micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
si li dist: « Bele douce amie, bien puissiez vos venir! je m’en voil aler a vostre congié. — Sire, fait ele, vos savez bien les couvenances 	si luy dist. Belle doulce amye bien puissez uous uenir ie men uueil aler o uostre congie. Sire fait elle uous sauez les conuenances 	bien puissies vous uenir.  quar iou men voel aler a uostre congie. Sire fait elle vous saues bien lez conuenences 	si luy dit. Belle doulce amie bien soies uenue/ ie men ueult aller a uostre cengie. Sire fit elle uous sauez bien les cenuenances 	si li dist. bele douce amie  bien puissiez uos uenir. Ie men uoil aler a uostre congie. Sire fet elle : uous sauez bien les coueuances 	si li dit bele douce amie  bien puissiez uos uenir. Ie men uoil aler a uostre congie Sire fait ele uos sauez bien les couenances 	amiga mia quierome yr conla vuestra graçia  señor bien sauedes 	si le disse: Bella dolze amica,  ben possiate vo venire! l’ me ne voglio andare a vostro comiato. 
							— Sire, diss’ella, 
							vo' sapete bene le convenenze 
						dixo ella el fecho 	
qui sont entre moi et vos 	qui sont entre uous 	qui sont entre moi et vous. 	qui sont entre uous et moy. 	qui sont entre moi et uos. 	qui sont entre moi et uous. 	que es entremi y vos 	che sono intra me e voi, 
et je ne sai  quant je vos reverrai mes. 	et moy ie ne scay quant ie uous reuerray 	Et iou ne sai quant iou mais vous uerrai 	Et ie ne scay  quant ie uous uerray mes 	Et ge ne sai quant  ge uos uerrai mes. 	et ie ne sa quant ie uos uerrai  mais diex le saiche 	e yo no se quanto vos vere 	e io non so  quand’io vo rivedrò mai, 
Et por ce vos demant je J. de voz joiaux 	et par ce uous demande ie de uoz ioyaux 	et por ce vous demanc. j. de voz ioiaus 	si uous prie  qu il uous plaise de me laissier ung de uoz ioyaulx 	Et por ce uos demande ge .i. de uos ioiaux 	et por ce weil ie  que uos me donez un de uos Iouiaus 	e poreso vos Ruego 	e perciò vo domand’io un di vostri gioelli 
que je puisse garder  por l’amor de vos, quant vos en serez 	que ie puisse garder  si que iaye plus de remenbrance de uous  quant uous en serez alle. 	que iou puisse garder pour lamour de vous.  quant vous vous en serois ales	que ie puisse garder pour lamour de uous/  quant uous en seres alle/ 	que ge puisse garder  por lamor de uous.  quant uous en serez alez. 	que ie puisse garder por amour de uous  quant uos en cerez ales.	que me dedes alguna dona  que traia porvuestro amor 	ch’i possa guardare per amor di voi  quando vo' voi ne sarete andato, 
alez,si que je vos en aie plus en remanbrance. —  Certes, damoiselle, fait il, volentiers. » 	Certes damoisele fait il uoulentiers. 	que iou vous en aie plus en ramembrance.  Certes damoisele fet il volentiers 	si que ie uous en aye plus en remembrance.  Certes damoiselle fist il uoullentiers/ 	si que ie uous en aie plus en remembrance.  Certes damoisele fet il uolenters. 	et por ce que ie uos aie plus souant en remembrance Damoisele fait lanc̃ uolentiers. 	y me miembre devos desde  que fueredes de aqui  cada quela viere  çierto dixo don lançarote esto fare yo muy de grado 	si ch’io vo n’abbia più in rimembranza.  — Certo, damigella, diss’elli, volentier». 
Lors prant une soie ceinture a membres d’or  qu’il avoit çeinte 	Lors prent une siemne ceinture a menbres dor 	Lors prent lancelot vne chainture  quil auoit a membres dor et lauoit chainte pour ce 	lors prent une sienne chaincture a membres dor/  qu il auoit chaincte 	Lors prent une seue ceinture a membrez dor.  quil auoit ceinte. 	Lors prant unes Sainture a manbres doir 	entonçes tomo vna çinta muy guarnida con chapas de oro 	Allor prende una sua cintura molto riccamente lavorata a membra d’oro e a pietre preziose  ch’elli avea cinta, 
que la roine li avoit donnee 	que la royne luy auoit donne 	que la royne li auoit donnee 	que la roynecluy auoit dennee 	que la royne li auoit donee. 	que la roine li auoit done 	que la Reyna le diera 	che lla reina li avea donata, 
et dist: « Damoisele, tenez. Sachiez 	et luy dist tenez.  et sachez 	Si li dist. damoisele tenes. 	et dist/ tenes damoyselle sachies 	et dit tenez damoisele. sachiez 	et li dit. tenez damoisele  et sachiez uraiement	y dixo donzella tomadvos esta çinta  que yo vos do 	e disse: Tenete, damigella,  e sappiate 
qu’il n’a el monde dame ne damoisele  a cui je la donnasse. » 	quil ny a ou monde dame ne damoisele  a qui ie la donnasse. 	Certes feel il na el ja monde dame ne damoisele fors celle  qui la me donna  a qui iou le donnaisse.	qu il ny a eu mende dame ne damoiselle  a qui ie la donnasse/ 	quil na el monde dame ne damoisele  a qui ge la donasse. 	quil na el monde dame ne damoisele fors celi  qui la me dona  a cui ie la donaisse. 	que no ay enel mundo dueña ni donzella  aquien yo la diese  sino aquella aquien mela dio 	che non à al mondo dama né damigella a cu' i' passo la donasse». 
Et cele l’an mercie moult, 	et elle len mercie moult 	Et cele len mercie moult 	et celle len mercie menlt 	et cele len mercie molt.	et cele len mercie mout. 	señor dixo ella muchas merçedes 	eE quella ne l merceda molto, 
si la prant joieuse et liee, 	si la prent lie a ioyeuse. 	si le prent ioieuse et lie. 	si la print lyee  et iopeuse.	si la prent liee et ioieuse. 	si en est mout lie  et mout Ioians. 	entonzes la tomo ella y fue conella muy alegre 	si la prende lieta e gioiosa; 
puis li donna J. fermail d’or 	et elle luy donna ung fremail dor 	Et cele li dona vn fermail dor. 	et elle lui denne ung fermail dor/ 	puis li done .i. fremail dor.	puis li done .I. fermail dor 	y luego tomo ella vna broncha de oro  y diola a don lanzarote 	poscia li dona un fermaglio d’oro 
et li prie 	et le prie 	si li prie 	si luy prie 	et li prie 	et li dit 	y dixole 	e l priega 
						señor Ruegovos 	
qu’il le port a son col  por l’amor de lui, 	qu elle pende a son coul  pour lamour de lie. 	quil le port a son col pour lamor de li. 	quil le porte a son col  pour lamour de elle/ 	que il le port a son col.  por amor de lui 	qui le port por amour de li. et il dit 	que traiades esta broncha  por amor de my donzella dixo lançarote ami plaze  porel vuestro amor 	ch’elli il porti a suo collo per amore di lei, 
et il dist 	Et il dit 	Et il li dist 	et celluy luy dist	et il dit 		entonçes la tomo el  y pusola ensu corazon y agradesçioselo mucho 	ed e' dice 
que si fera il volentiers.  Lors demande ses armes  et l’an li aporte;  et quant il fu armez bien et bel, 	que si fera il uoulentiers.  Lors demande ses armes  et len luy aporte.  Et quant il fut arme	que si fera il moult uolentiers.  Lors demande ses armes  et on li aporte.  Et quant il est armes et bien et bel 	que si fera il uoullentiers.  Lors demanda ses armes/  et quant il fut arme bien et bel/ 	que si fera il uolenters.  lors demande ses armes.  et len li aporte.  Et quant il fu armez bien et bel. 	que si fera il uolentiers por amour de li LOrs demande lanc̃ ses armes  et len li aporte  Et quant il est armes bien et bel 	Como don lançarote Juro ala vieja de ayudar alos çinco hermanos contra el duque Entonzes demando lançarote sus armas  e armose e subio ensu Cauallo 	che si farà elli volentieri.  Allor domanda sue armi e l’uomo liellaporta;  e quand’egli fu armato bene e bello, 
si prant congié a touz cels de laienz 	si prent congie de tous ceulx de leans 	si prent congie a tous chiaus de laiens. 	si print cengie a tous ceulx de leans/ 	si prent congie a touz cels de laienz. 	si prent congie a tous ceus de laiens.	e despidiose dela donzella  e del Cauallero su hermao 	si prende comiato a tutti  que' di là entro;
et puis monte en son cheval  et s’em part entre lui et Lyonel et la vielle 	et puis monte sur son cheual  et sem part luy et lyon et la uielle 	puis monte sor son cheual et sen part de laiens entre lui et lyonel et la vielle 	et sen part entre lui et lyennel. 	puis monte en son cheual.  et sen part entre lui et lyonel. et la uieille 	et puis monte en son cheual.  et part atant deus entre lui et lyonnel et la uielle 	y de toda su compaña  e fueronse el y leonel y la donzella vieja 	'e poscia monta in su' cavallo  e si parte intra lui e Lionel  e-lla vecchia 
qui les mainne tant amont et aval  qu’il vindrent au chastel 	qui tant les mainne amont et aual  quilz uindrent au chastel 	qui lez maine tant amont et aual  quil vindrent au castel 	Et sa uieille le maine tout droit au chastel 	qui les maine tant amont et aual.  quil uindrent au chastel.	qui le mainne.  et les mainne tant et amont et aual  que le mainne au chastel 	y ella los lleuo tanto porsus jornadas  que llegaron al castillo delos çinco hermanos 	che-lli mena tanto a monte e a valle  ch’elli vennero a un castello 
que li. V. frere tenoient  que li dus Karles lor peres guerreoit, cil a cui Gaheriez aidoit. 	que les six freres tenoyent  que le duc leur pere gueroyoit cil  a qui gaheries aidoit. 	que li. v. frere tenoient  que li dus kalless lor perres guerroioit. cil a qui Gaheries aidoit entre lui et Guerrehes et agrauains. 	que les cinq freres tenoient  que le duc  karles leur pere guerrioit/  cellny 	que li .u. frere tenoient.  qui li dux karles leur pere gerreoient. Cil a  qui gaeħ aidoit. 	que li .u. frere tenoient.  qui guerrioient kalles le duc leur pere.  Celui a cui Gaheries aidoit. 	que hauian guerra consu padre el duque gauelas al qual ayudaua guauete e sus hermanos 	ch'e sei fratelli tenevano,  e l duca lor padre gueregiavano, quegli a cui Gariet atava. 
			a qui gaheriet aidoit/ 				
Et quant Lanceloz i vint, il avoient ja perdu toute lor terre ne mes I. chastiax 	Et quant lancelot y uint ilz auoient ia toute perdue leur terre  et nousoient yssir de deux chasteaux 	Et quant lancelot y vint li. V. frere auoient perdu toute lor terre ja fors. ij. castiaus. 	et quant lancelot  uint ilz auoient ia toute perdue leur terre 	Et quant lanc̃. uint. il auoient ia perdue toute lor tre. ne mes .i. chastel 	et quant lanc̃ i uint  si auoient tote lor terre perdue. ne mais .I. chastel 	y quando lançarote ay llego heran ellos muy maltrechos  e toda su tierra hauian perdido saluo aquel castillo 	sE quando Lancelotto vi venne, elli avieno già perduta tutta lor terra, fôrse un sol castello
			fors que ung chastel 				
dont il n’osoient issir  et a la derrienne bataille avoient il perdu la moitié de lor homes. 	qu ilz tenoient.  Et a la derraine baitaille auoient ilz perdu la moitie de leurs hommes.	dont il nosoient issir.  Et a la daerraine bataille auoient il perdu la moitie de lor hommes. 	denc ilz nosoient issir.  Et a la derniere assemblee auoient ilz perdu la moictie de leurs hommes. 	dont il nosoient issir. et a la derreniere bataille auoient il perdu la moitie de lor homes. 	ou il estoient  dont il nosoient Issir. et a la dairainne bataille  quil auoient eux auoient il la moitie de lor gent perdue. 	ado se acogian donde no podian salir asu voluntad y enla postrimera batalla  que ouieron consu padre abian perdido mas dela mitad dela gente suya 	donde non osavano uscire: alla di dietro battaglia avieno e' perduti lametà di loro huomini. 
Et quant la vielle ot laienz mené Lancelot, il demande la verité de la guerre; 	Et quant la uielle eut leans mene lancelot il demanda la uerite de la guerre. 	Et quant la uielle ot laiens amene lancelot. il li demanda la verite de la guerre. 	et quant la uieille olt seans amene lancelot/ il demanda la uerite de la guerre/ 	Et quant la uieille ot laienz amene lanc̃. il demande la uerite de la guerre. 	quant la uielle ot amene laiens lanc̃.  si demanda la uerite de la guerre. 	e desque don lanzarote fue enel castillo pregunto  por nuebas dela guerra y la donzella vieja 	eE quando la vecchia ebbe là entro amenato Lancelotto,  e ella domandò la verità della guerra, 
se li conte l’an les greingnors mençonges del monde  et blasment le duc a merveilles  et Lanceloz cuida	et en luy compte les plus grans menconges du monde ent blasment le duc a merueilles  et lancelot cuidoit 	Si li conta len lez greignors merueilles del monde.  et blasmerent le duc a merueilles.  Et lancelot quida 	si luy compta len les greigneurs mensonges du monde.  Et luy blasmerent le duc a merueilles. Lancelot cuida 	si li conte len les greignors menchonges del monde.  et blame len len duc a merueilles.  Et lanc̃. quida 	et cil li conterent les grignors mensonges dou monde  et blasment Le duc de tout lor pooir.  Et lanc̃ cuida 	que conel veniase las conto muy mentirosas  ca le conto todo el mal del duque  e don lançarote cuidaua 	si le contò l’uomo le magior menzogne del mondo,  e biasimavano il duca a maraviglia.  E Lancelotto crede ben 
que ce fust voirs: 	que ce fust uoir 	que ce fust uoirs. 	que ce fut uoir/ 	que ce fust uoirs. 	quil deissent uerite. 	que deçia verdad 	che cciò fosse vero, 
si jura son sairement  qu’il ne lairoit jamés les V. freres devant 	si iura  qu il ne leiroit iames les six freres iucquatant 	si iura son sairement  quil ne lairoit pas lez. v. freres sdeuant ce 	si iura son serment  que iames ne partiroit tant 	si iura son serement  quil ne leroit iames les .u. freres 	si Iura  quil ne lairoit les .u. freres deuanent 	e dixo yo juro a dios de jamas me partir delos çinco hermanos 	si giurò su' saramento  che non lascerebbe i sei fratelli 
que li dus fust deseritez, 	que le duc fust desherite. 	que li dus fust desherites 	que le duc seroit desherite/ 	deuant que li dux fust desheritez. 	que li dus fust desserites. 	fastaque el duque sea deseredado 	davanti che l duca fusse diseritato; 
et ansi fist Lioniax. 	et aussi fist lionel. 	et aussi fist lyoniaus. 	et aussi fist lyonnel. 	et aussi fist lyoniaux.	et ausi fit lyonnias. 	e lionel lo juro otrosi 	altresi fece Lionel. fol » 
Quant la vielle vit  qu’il l’orent ainsi juré,  si vint as V. freres 	et quant la uieille uit  quil a ainsi iure si uint aux .u. freres	Et quant la uielle vit quil orent ensi iure.  si vint as. v. freres. 	QUant la uieille uist  qu il olt ainsi iure elle uint aux cinq freres 	Quant la uieille uit  quil orent einssi iure.  si uint as .u. freres 	Qnent la uielle sot  quil orrent ainsi iure  si uient au .u. freres.	y despues quela donzella oyear la jura  que el hauia fecho fue muy alegre  e fue alos çinco hermanos 	Quando la vecchia vide  ch’elli ebono insi giurato, si venne a llor sei frategli 
et lor dist: «  Biax signor, il vos est mielz avenu  que vos ne cuidiez,  car je vos ai ceanz tels Il. chevaliers amenez 	et leur dist Beaux seigneurs il uous est meult aduenu  que uuous ne cuidez.  car ie uous ay ceans amene deux cheualiers 	et lor dist biau seignor. il vous est miex auenu  que vous ne quidies  quar il a chaiens teuls. ij. cheualiers 	et leur dist/ Beausseigneurs il uous est menlt bien aduenu  Car ie uous ay amene ceans telz deux cheualiers 	et lor dist.  Biax seignors. il uous est molt miex auenu que uous ne quidiez.  quar. ge uous ai caiens amene tiex .ii. cheualiers. 	et lor dit.  Signor il uos est miex auenu  qu il nauint onques mais a cheualiers.  Car ie uos ai amene tex .ii. homes	e dixoles  amigos nunca tan bien vos auino como agora  ca yo vos traigo tales dos caualleros 	e-llor disse:  PeBe signori, elli vo est molto meglio avenuto  che vo' non credete,  ch’i' vo li ò  qua entro amenati e due cavalieri 
qui mestront vostre guerre a fin ainz I. mois. »	qui mectront uostre guerre a fin  auant que soit ung moys. 	qui meteront vostre guerre a fin aincois vn mois. 	quilz mettrent uostre guerre a fin ains ung moys. 	qui metront uostre a̶ guerre a fin ainz .i. mois. 	qui metront uostre guerre a fin : dedens .I. mois. 	que ante devn mes daran çima avuestra guerra a honrra 	che meteranno bene vostra guerra a-ffine anzi un meses. 
Et cil demandent 	et ilz demandent	Et cil li demandent 	Et ceulx demandent 	Et cil demandent 	et cil demandent 	ca plazer devos donzella dixeron ellos 	PeE que' domandarono 
qui il sont. «  Par foi, fait il, les nons ne poez vos ore pas savoir par moi, 	quilz sont.  Certes fait il les noms ne pouez uous ores sauoir par moy 	qui il sont. par foy fet elle  lor nons ne poes vous ore sauoir en nulle maniere.	qui ilz sont/ les nens ne poues ores mie sauoir par moy/ 	qui il sont par foi fet ele.  les nons ne poez uous ore pas sauoir par moi. 	qui il sont.  par foi fait  ele le non dax ne poez uos mie bien ore sauoir par moi 	quien son  e como an nombre esto no vos sabredes agora 	chi elli sono.  «Per fé, diss’ella, il nome di loro non potete voi ora passo sapere per me, 
car il le m’ont desfandu ; 	car ilz le mont defendu. 	quar il le mont desfendu. 	car il le me ont deffendu/ 	Car il le mont deffendu.	car il le mont desfandu. 	ca ellos melo defendieron  dixo ella 	ch’elli il m’ânno difeso; 
mais itant vos di je bien  que vos ailliez a aux 	mais alez seulement a eulx	mais encor le vous di ie bier que vous aillies a euls 	mes tant uous diz ie bien  que lun est le meilleur cheualier du mende  pour ce uous loe ie  que uous alles a eulx/ 	Mes itant uous di ge binen  que li uns est li mieldres cheualiers del monde.  Et por ce uous loe ge  que uous ailliez a els. 	Mais li uns est li mieudues cheualiers del monde.  et por ce uos loie  que uos alliez a eus. 	mas tanto vos digo bien  que vno dellos es el mejor cauallero del mundo 	Pma tanto vo dich’i' bene  che l’uno est il miglior cavaliere del mondo,  e perciò vo lod’io  che voi andiate a-llui 
et lor faites si grant feste  com l’an doit faire a II. si prodomes. »  Et cil les vont maintenant veoir et lor font la greingnor joie del monde 	et leur faites aussi grant ioye  comme on doit faire a deux si preudommes  come ilz sont.  Et Iors les uont ueoir et leur font la plus grant feste du monde 	et lor faites si grant ioie comme vous poes.  Et cil lez vont maintenant veoir.  et lor font la plus grant ioie del monde 	et leur faictes si grant ioie  comment len doibt faire a deux si preudommes.  Et ceulx les uont maintenant uoir/ si leur font la gregneur ioye du monde 	et leur fetes la greigneur ioie  que len puet fere a .ii. si preudomes.  Et cil les uont maintenant ueoir.  et leur font la greingneur ioie del monde. 	et leur faites si grant ioie  q len doit faire a .ii. preudomes.  maintenant les uont li dui frere ueoir  et leur font la grignor feste del monde.	e por eso vos consejo  que vaiades aellos 	e lor fate si gran gioia  come l’uom dee fare a due produominis.  eE quelli li vano immantenente a vedere  e lor fanno la maggior gioia del mondo 
et se prometent i del tout a lor servise;  si firent la nuit moult grant feste a l’un et a l’autre.  Et au matin les menerent oîr messe a une chapele 	et se offrent a leur seruice.  et firent la nuyt molt grant feste lun a lautre  Et landemain les menerent ouyr messe a une chapelle 	Et se poroffrent del tout a lor seruice.  Si firent la nuit moult grant feste a lun et a lautre .  et au matin lez menerent oir messe en vne capele	et se promettent du tout a leur seruice.  Au matin les menerent ouyr messe a une chappelle 	et se prometent del tout a lor seruise.  Si firent la nuit molt grant feste a lun et a lautre.  et au matin les menerent oir messe a une chapele	et se presentent del tout en lor seruisse.  Cele nuit fu mout grans la feste  que len fist a lanc̃ et a lyonnial son cousin.  Et au matin 	e les fagades quanta honrra pudieredes  y ellos ansi lo fizieron 	e ssi promettono del tutto a llor servigio.  PSi feciono la notte molto gran festa all’uno e all’altro. Al matino li menarono a udir messa a una cappella 
qui laienz estoit. l.  poi aprés prime conmancerent a crier par le chastel : «  Or as armes ! Montez, seingnor chevalier, car nostre annemi sont ja a noz murs. »  Et li V. frere sont venu a Lancelot  et li demandent  s’il voldra porter armes	qui estoit leans. et tantost apres commencerent a crier aux armes. montez seigneurs cheualiers  car noz ennemys sont ia a noz murs.  Et les .u. freres sont uenuz a lancelot  et luy demandent  sil ueult porter armes 	qui laiens estoit.  Vn poi apres prime commencierent a crier parmi le castel.  Ore as armes montes seignor cheualier  quar no anemi sont i auenu a nos murs.  et li. v. frere sont uenu a lancelot. si li demandent  sil voldra porter armes. 	qui leans estoit. ung pou aprez prime commencerent a crier/ or aux armes/  or aux armes/ mentes seigneurs cheualiers noz ennemis sont en nos murs.  Et les .u. freres sont uenus a lancelot  Si luy demandent  sil uouldra porter armes 	qui laienz estoit. un poi apres prime. commencierent a crier par le chastel. or as armes . montez seigneur cheualier .  Car nostre anemi sont ia a nos murs.  Et li .u. frere sont uenu a lanc̃.  Et li demandent  se il uoldra porter armes. 	quant il furent leue et uestu et aparilliet. Si les menerent oir messe a une chapede  qui laiens estoit. .I. pou ap̾s messe comancerent a crier or as armes. signor cheualier  car nos anemis sont ia a nos murs.  et li .u. frere sont uenu a lanc̃.  et li demandent  se il uodroit porter armes. 	Como don lançarote ayudo alos çinco hermanos en su guerra  y mato al duque Aquella noche fiçieron los çinco hermanos  quanta honrra pudieron a don lançarote e a lionel y otro dia demañana dixeron ellos a don lançarote  señor queredes vos tomar armas 	che là entro era.  PUn poco apresso prima, cominciarono a gridare: «All'arme! Montate signor cavalier,  ché nostri nimici son già a noi venutil».  esE'sei fratelli son venuti a Lancelotto elli domandarono  s’elli vorà portare armi, 
et il dist  qu’il nel lairoit en nule manniere 	Et il dit quil ne lerroit en nulle maniere 	Et il dist  quil nel lairoit en nulle maniere 	Et il dist  qu il ne lairoit en nulle maniere 	Et il dist quil ne leroit en nule maniere 	et il dit  qu il ne leiroit en nule maniere 	si dixo el çiertamente 	ed e lor disse  che non lascerebbe ienulla maniera 
qu’il n’alast veoir conment cil defors sevent jouster, « 	quil nalast ueoir comme ceulx de dehors scauent iouster et porter armes. 	quil ne voist ueoir  comment cil de lahors iousteront. 	qu il ne uoise uoir  comment ceulx de dehors scaiuent iouster. 	quil nalast ueoir  comment cil de hors seuent i oster. 	qu il nalast ueir  comment cil de bois Ioustent. 	ca yo quiero ver  como sauen justarlos desta tierra 	che non andasse a vedere  come que di fuori sanno giostrare; 
mais je voil, fet il  que vos ailliez avant, 	Mais ie uueil fait il  que uous aillez deuant. 	mez iou voeil fait il  que vous aillies auant. 	mes ie uueil fist il  que uous alles deuant/ 	mes ge uoil fet il  que uous ailliez auant. 	Mais ie ueil fait il  que uos ailliez auant 	mas quiero que salgades vos primero 	ma i' voglio, diss’egli,  che voi andiate inanzi, 
