micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
que retorner ne voldroit il mie.  Atant voit issir del chastel une damoisele  qui ert tote nue en sa chemise, 	fare, ché ritornare non vorebbe elli mica. ?Atanto vide uscire una damigella del castello  ch’era tutta ignuda in sua camicia 	car retorner  ne wet il mie atant uoit issir une damoisele dou chastel  qui estoit tote nue en sa chemisse 	quar retorner ne volroit il en nulle maniere.  Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	car retourner ne uouldroit il pas.  Adonc uoit yssir du chastel une damoisele  qui estoit toute nue en sa chemise. 	car retourner ne uoulloit pas.  A tant uoit yssir une damoiselle du chastel la  quelle estoit toute nue en sa chemise/	ca el no se queria tomar en ninguna manera  Ansi estando vio del castillo salir vna donçella en camisa 
si le menoient troi vilain molt vilainement a 	solamente, si-lla menavano iiii. rubaldi molto villanamente 	si la menoient. iiii.tre ribaus mout uilment. 	si le menoient.  iiij. ribaut moult felenessement 	si la menoyent quatre nibaux moult uilainement 	sy la menoient quatre ribaulx monlt felonneusement 	que traian quatro rribaldos muy sañudamente 
et tenoit chescuns une hache en sa main;  et ele crioit 	e tenieno ciascuno una acciaia in sua mano. Ed ella grida 	et tenoit chascuns une hache en sa main.  et ele crioit 	et tenoit Cascuns en sa main. i. coutel trenchant.  Et elle crioit	et tenoit ch̃un une hache en sa main.  et elle crioit 	et tenoient chascun en sa main ung coustel trenchant.  Et la damoiselle crioit	e cadavno traia enla mano vna lança  e ella daua vozes 
quanque ele pooit crier por els  qui li faisoient tel honte et tel laidure  qu’il la venoient batant tot contreval la riviere.  Et quant la damoisele vit le chevalier de l’autre part de ! l’eve,  si commence a crier: « 	quanto ch’ella può gridare  per coloro  che-lle facieno cotale onta  e tal  ladiura, ch’elli la menavano battendo tutto contravalle la riviera.E quando la damigella vide lo cavaliere dall’altra parte  dell’acqua, si gli comincia a 	quantque le pooit crier. por ciax  qui li fasoient tele honte. et tel laidure  que il la menoient batant tout contrtual la riuiere t  quant la damoisele uoit le cheualier dautre part la riuiere.  si li comance a crier. 	quamque elle pooit por chiaus  qui li faisoient tel laidure. quar il lenmenoient tot contreual la riuiere batant  Et quant elle vit le cheualier de lautre part de laigue.  si li commenche a crier. 	tant  quelle pouoit crier pour ceulx qui luy faisoient tel honte et telle laidure  qui la uenoient batant tout contreual la riuiere.  Et quant la damoisele uoit le cheualier de lautre part de leaue  si luy commence a crier 	tant comme elle pouoit pour la laidure et honte  que telx ribaulx luy faisoient/  et la menoient batant contre ual la riuiere.  Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier et dire en tell maniere 	quanto podia dar  e ellos la lleuaron muy desonrrada mente contra la rribera  porla yr ha echar  e quando la donçella vio a bores dela otra parte del agua començo a dar vozes 
Ha, gentilz chevaliers, secorés ceste damoisele  que cist ribaut vuelent ocirre.  Ha, frans hom,  ne m’i laissiés morir,  se vos onques eustes pitié de nule gentil damoisele !»  Quant Boors ot ce	gridare: Hal, gentile  huomo, soccorete questa damigella  che questi rubaldi vogliono uccidere! Hal, franco  cavaliere, non mi lasciate uccidere, se voi unque aveste piatà di nulla gentile damigella». “Quando Boordo ode colei che l priega 	ha: gentis cheualiers secores ceste damoisele  que ciz ribaut wellet ocire.  ha; frans hons ne mi laissiez morir  se uos eutes onques pitie de franche damosele.  quant boh̾. oit cele 	Ha : gentils homs  quar secoures ceste damoisele  que cist ribaut voelent ochirre.  Pour dieu ne mi laissies ore mie morir.  se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame  Quant bohors oy 	haa gentili cheualier secourez ceste damoisele  que ces ribaux ueulent occire.  Haa franc homme ne me lessez mourir  si uous eustes onc pitie de nulle gentilz damoisele.  quant boort ouy celle 	Haa beau et gentil cheualier secoures ceste damoiselle  que ces ribaulx ueullent occire/  haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars.  et se uous pitie de moy  car se uous ne me secoures ie suys a la mort liurer.  Et quant boort ouyt 	e a deçir ay jentil cauallero acorred a esta donçella  que estos Ribaldos me quieren ansi matar ay buen cauallero  si nunca oviste piedad de donçella auelda agora de mi 
qu’ele li prie si pitousement  qu'il la secore,  si ne set  que fere,  kar volentiers li aidast 	si piatosamente che-lla  soccorra,  si non sa che 	que si piteusement lapele  et li prie  quil la sekeure. Sire set que faire.  car uolentiers li alait aidier 	que la damoisele li prioit si piteusement de li secorre  si One sot  que faire  quar volentiers li alast aidier 	qui le prie si piteusement  quil la sequeure il ne scait  que faire car uoulentiers luy alast aider 	quelle le prioit si piteusement si ne scait  que faire  car uoulentiers luy allast aider	e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo  que façer ca muy de grado la quisiera acorrer si pudiese 
s’il peust;  mais il voit l’eve noire et parfonde et si perilluse  qu’il cuide bien noier, 	fare, ché volentieri l’andasse ad atare se potesse, ma e vede l’acqua nera e profonda e perigliosa  che crede bene morire s’elli 	se il poist. Mais il uoit leue si parfonde et si perilleuse  que il cuide bien perir 	sil peust estre  mais il voit laigue parfonde et perillouse et noire.  si quide bien morir 	sil peust  mais il uoit leaue parfonde noire et perilleuse  que il cuide bien mourir	se il peult estre/  mes il uoit la riuiere parfonde et dangereuse a passer.  et scait bien 	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 
s’il se met dedens; 	si mette di dentro; 	se il se met dedans. 	se il si met 	sil si mect dedans. 	sil entre dedens qu il se met en peril de mort. 	si se y Metiese 
et d'autre part il voit cele 	e d’altra parte 	et dautre part il uoit cele 	Et dautre part voit il cels 	Et dautre part il uoit celle	Et daultre part il uoit celle 	e dela otra parte veya la donçella 
qui si durement crie merci; 	e vede colei che si duramente gli grida 	qui si docemet li prie nc .ci. 	qui si piteusement li crie merci. 	qui si fort luy crie mercy. 	qui si piteusement fui crie mercy.	que muy afincada mente le pedia merçed 
si l'em prent tels pitiés 	mercé, si ne gli prende tale piatà 	Si len prent tes pitiez 	si len prent tele pities 	si luy en prent telle pitie 	Si luy en prent telle pitie 	e ovo tal piedad della 
qu’il en laisse totes poors 	che ne lascia tutte paure 	quil en laisse totes paours. 	quil en laisse toute paour 	quil en laisse toute paour. 	quil en laisse toute paour 	que le fiço todo el miedo perder 
et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce  nel miluogo del suo 	Si fait le signe de la crois enmi son uis. 	et met le signe de la vraie crois en mi son front et en mi son pis. 	si en fait le signe de la croix enmy son uis. 	et fait le signe de la croix 	e fiço la señal dela cruz sobre si 
puis enbrace l’escu  et broche le cheval des esperons  et se fiert en l’eve.  Et li chevals fu fors,  si commence a noer 	viso, poscia imbraccia lo scudo e broca il cavallo degli  sproni,  si fiede nell’acqua isnellamente. El cavallo fu  forte, incominciò a notare 	puis enbrace lescu.  et broche le cheual des esperons  et se fiert en leue tot errantment.  Et li cheuaus fu fors  si comance a noer 	puis enbrace son escu  et fiert le cheual des esperons  et se lance en laigue.  Et li cheuaus commence a noier: 	puis embrace lescu et broche le cheual des esperons  et se fiert erraument en leaue.  et le cheual fu fort  si commence a nouer 	deuant son uisaige puys embrache son escu  et fiert son cheual des esperens  et se lanche dedens leaue tout erraument:  et le cheual commence a noer 	e enbraço el escudo  e firio al cauallo de las espuelas  e lanço se en el agua e el cauallo començo de nadar luego 
si tost com il ot terre perdue, 	si tosto com'elli ebbe terra  perduta, 	si tost com il ot terre perdue 	si tost  quil a terre perdue. 	si tost  quil eut terre perdue 	si tost  quil eust terre perdue.	e perdio tierra  en tal manera 
si l’enporte d’autre part de la rive a quelque paine,  mais ançois ot beu de l’eve li uns et li autre,	si ne l portò d’altra parte della riva a qualche  pena, 'ma inanzi furono amenduni tutti  molli, 	si lenporte dautͤ part la riue a quelque painne. 	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns et li autres. 	si lemporte de lautre part de ma riue a quelque peine.  mais ancois eut beu de leaue lun et lautre. 	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine  car ains quilz feussent passes beurent de leaue lun et laultre 	que paso dela otra parte del agua  mas ante beuio el cauallo del agua 
et se li chevals ne fust si buens, noié fuissent ambedui, 	e se l cavallo non fosse stato  si 		Et se li cheuaus ne fust  si boins noie fussent ambedui 	et se le cheual ne eust este  si bon ilz fuszent tous deux noyez. 	et se le cheual neust este fort  et bon ilz feussent noyes et lun et laultre 	e si el caballo tan bueno no fuera sin dubda  el moriera enel agua 
kar li chevaliers estoit pesans por les armes 	forte, anegati fossono  amenduni, ché l cavaliere era pesante per l’arme ch’elli avea 		Car li cheualiers estoit pesans pour lez armes 	car le cħlr estoit pesant pour les armes	car le cheualier estoit fort pesant pour les armes 	e boores  porel peso delas armas 
qu’il avoit vestues. 	vestite. 		quil auoit uestues si en fu moult en peril. . 	quil auoit uestues 	quil auoit uestues. 	que llebaua 
Quant il fu de l’autre part de l’eve,  si ne descendi pas,  ains cort vers cels 	Quand’e fu da l’altra parte  dell’acqua,  si non discende  passo, anzi muove il cavallo inverso di coloro 	Si ne descendi pas ains cort uers ciax 	uant bohors ot passe laigue pour la damoisele secorre  ainsi que vous poes oir. si ne descendi mie ains cort sus a chiaus 	Quant il fu de lautre part de leaue  si ne descendy pas.  ains court uers ceulx 	Quant il fut de lautre part de leaue  si ne descendist oncques ains courust uers ceulx 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 
qui la damoisele tenoient 	che lla T tenieno 	qui la damoisele renoient 	qui la damoisele tenoient 	qui tenoient la damoisele 	qui la damoiselle tenoient: 	
et fiert si le premier  qu’il aconsieut	e fiede si il primaio ch’elli agiugne 	que il consieut 	si fiert le premier  quil encontre si durement 	et fiert si fort le premier  quil actaint 	et fiert tellement le premier  quil encontre 	e firio al primero  que encontro en tal manera 
qu’il li met le glaive par mi le cors,  si l’abat a terre, 	che gli mette la lancia  per me' il  corpo, si-llo abatte a  terra, 	quil li met le glaiue parmi le cors  si labat mort aterre.	quil li met le glaiue parmi le cors si labat a la terre. 	quil luy mect le glaiue parmy le corps  si labat a terre 	qu il lui met le glauie parmy le corps  si labat a terre 	que le metio la lança porel cuerpo 
et li autre s’enfuient erraument  por ce que desarmé estoient.  Et la damoisele  qui delivree se voit se met a genols devant Boort 	e gli altri se ne fugono tosto  per ciò che disarmati erano. E la damigella, che si vide  dilivera, si mette a ginocchia davanti  Boordo: Hal, gentile 	et li autre sen fuient  porre  qu il estoient desarme. et la damaisele 	Et li autre senfuient pour chou  que desarme estoient.  Et la damoisele  qui deliure se uoit. se met maintenant a genouls deuant bohort 	et les autres senfuyent erraument par ce qͥlz estoient desarme.  Et la damoisle  qui se uoit deliure  se mect a genoux deuant boort. 	et les autres se met tent en fuite. La damoiselle  qui deliuree se sent se met a genoulx deuant lui 	e los otros dos que aquello vieron fuyeron luego por miedo de no ser muertos  ca todos estauan desarmados  e la donçella desque aquello vido finco los ynojos ante boores 
et dist: «  Ha, gentils chevaliers, de Dieu soiés vos beneois,  quant vos m’avés de mort rescosse,  et aorés en soit Diex,  quant il ceste part vos amena, 	cavaliere,  diss’ella, da Dio siate vo' benedetto  quando vo m’avete di morte riscossa, e adorato ne sia lddio quand’elli in queste parti vo  menò, ché questi guiglioni m’avessono già 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu.  quant uos mauez de mort rescoce.  et aoures soit diex  quant ils amena ceste part. 	et dist. ha: gentiex cheualiers de dies oess vous beneois  quar vous maues de mort rescousse.  Et aoures en soit diex  quant il ceste part vous amena. 	Haa gentilz cheualier fait elle.  de dieu soyez uous beneist  dont uous mauez de mort rescousse  et aoure en soit dieu  dont il uous amena ceste part. 	et lui dit.  Haa gentil cheualier de dieu soiez uous benoit:  car ces gloutens me eussent occiz  se ne feussez uous. Damoiselle fait il	e dixo ay jentil cauallero  vendito seades de dios que asi me librastes de muerte  e bendito sea dios  que aqui vos traxo 
kar cist gloton m’euissent ja morte. — Damoisele, fet il, 	morta, se vo' non foste. — Damigella, disse Boordo, perché? -Il vo 	Car cil gloton meussent ia morte 	Car cist glouton meussent morte se vous ne fuissies. Damoisele ce dist bohors 	Car ces gloutons meussent ia occise  se uous ne fussez Damoisele fait il 		que estos villanos me hubieran muerto  si por vos no fuera donçella dixo boores 
por quoi ? — Sire fet ele, jel vos dirai bien, 	dirò, diss’ella, bene, ma' che vo' m’abiate messa a 	ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien.	pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien. 	pour quot. Sire fait elle ie le uous diray bien. 	pour quoy. Sire fait elle ie le uous diray 	Por que señor dixo ella  yo vos lo dire 
mais que vos m’aiés mise a sauveté. —  Coment ? fet il. Avés vos dont garde ? —  Certes, fet ele, ja asseur ne seraî fant 	salvamento. — Come, disse  elli, avete vo' dunque guardia? - Certo,  sire,  diss'ella, già sicura non sarò 	mais que uos maiez misse a Sauuete.  Coument fait il auez uos dont garde.  Certes sire faic ele ia a seur ne sera  tant 	mais que vous maies mise a sauuete  Comment fait il aues vous encore paour. Sire fait elle ia asseuree ne serai tant 	mais que uous mayez mise a sauuete  Comment fait il auez uous donc garde.  Certes sire fait elle ia ne seray asseuree	mais que uous me aiez mise a sauuete.  Comment fait il auez uous donc paour. Sire fait elle ia seure  ne seray 	mas ante conuiene  que non aya miedo de ninguno Donzella dixo boores  de quien auedes miedo 
com je sache laiens le seignor del chastel,  kar c’est li plus fel chevaliers del monde et li plus traîtres. »  A ces paroles voient issir I. chevalier del chastel  et la  ou il vit Boort,  si li escrie : « Laissiés, dans chevaliers, la damoisele 	tanto com’io sappia là entro il signore del castello, ché ciò è il più fiero cavaliere del mondo  e I più  traditore». A queste parole vidono uscire un cavaliere del  castello,  e là  ov’egli vide Boordo  si-llo isgrida: «Danzi cavaliere, lasciate la  damigella, ché vonon la menere mica, 	com ie saiche laiens le signeur de cest chastel.  Car cest li plus fel cheualiers dou monde et li plus traites.  a ces paroles uoit issir un cheualier del chastel.  et la ou il uoit behort si li est terre. Laissiez dans cheualiers la damoisele 	que iou y sache le seignor del chastel :  quar cest li plus fel cheualiers del monde et li plus desloiaus. ches paroles voient. j. cheualier issir du castel.  Et la ou il voit bohors.  si li escrie dans cheualiers laissies ester la damoisele 	tant que ie sache.  qui est le seigneur de ce chastel leans  car cest le plus fel cheualier du monde. Coment boort se combaty pour la damoisele.  A cest parole voyent yssir ung cheualier du chastel  et la ou il uoit boors  si luy crie laissez sire cheualier la damoisele  que uous nemmennerrez pas. par mon chief mal la rescoussistes.  si luy court sus  tant comme il puet le glayue esloigne.  Et boort le firrt si fort a son uenir  que lescu ne le haubert ne le garantist	tant que ie sache leans le seigneur de ce chasteau/  car cest le plus fel cheualier du monde et le plus cruel  Ces parolles uoient issir ung cheualier du chasteau:  et la ou il uoit boort il lui escrie. Cheualier laissez la damoiselle 	señor dixo ella del señor del castillo ca es el mas follon omne de todo el mundo  e mas cruel Ellos asi fablando vieron salir del castillo vn caballero  e quando vido a boores començo le a dar boçes  e a deçir don cauallero a dexar vos conuiene la donzella 
que vos n’enmenrois mie!  Par mon chief, mar le rescosistes!»  Si li cort 	e per mio capo male la riscoteste!».Si gli corre suso  quanto ch’elli puote, la lancia islungata, e Boordo il fiede si duramente in suo venire  che llo scudo né llo asbergo no-llo guerentisce  che non gli metta  per me' il corpo e ferro e fusto, 	que uos nen meneroie  et par mon chief mar la rescousites. Si li acort 	quar vous ne lenmenrois pas et par mon chief mar le rescousistes  quar vous le comperres 	quil ne luy mecte fer  et fust parmy le corps. Et cil cheit a terre tout estandu  car plus na mestier de mire.  Et quant ceulx du chastel uoyent leur cheualier ainsi abatu  si luy en enuoyent incontinant ung autre pour uenger celuy  qui dist a boort 	et par mon chief mal la rescouistes. Boort lentent  si lui court tant 	ca la non lleuaredes  e porla my cabeza ental Punto la acorristes 
quanqu’il puet le glaive alongié;  et Boors retrait son glaîve a lui del cors a celui 	e que' cade a terra tutto isteso che più nonn-à mestier di medico. E quando que del castello vidono insi lor cavaliere  abatuto, si ve ne rimandarono immantanente uno altro  per quello  vendicare, che disse a Boordo che ssi guardi da- 	quanquil puet le glaiue alongnre.  et behors retrait son glaiue del cors au ribaut 	se iou puis moult chier.  Et quant bohors lentent  si point vers lui	quil se gardast de luy  quil le deffioit.  et il dist  quil le desfie aussi.  Lors trait son glayue du corps a celuy	qu il peut du cheual traire le glaiue allongnie et le fiert si durement 	e luego se dexaron correr el vno contra el otro  e boores lo firio conla lança  que auia sacado del cuerpo del villano 
qu’il avoit ocis;	llui, ch’elli il  disfida, ed e' dice che disfida lui. PAllora trae la lancia del corpo a colui ch’elli avea 	que il auoit ocis. 	quanque il pot del cheual traire le glaiue alongie  quil auoit trait del cors a celui 	quil auoit occis. 		que auia muerto 
si laisse le cheval corre et le fiert  si tres durement  qu’il l’abat a terre si estordi 	morto, si lascia il cavallo andare  e l fiede  si duramente ch’elli Il’labatte a terra 	Si li laisse le cheual.  et le fiert si durement  quil labat a terre si estordi 	quil auoit ochis.  Si fiert celui si durement  quil labat a terre  si estordi	si luy laisse aller le cheual et le fier si fort  quil labat a terre  si estourdy	quil labat a terre si estourdy 	en tal manera  que dio conel Porlas ancas del cauallo a tierra asi estordido 
qu’il n’a pooir de relever,  ains gist pasmés,  kar il chai si felenessement	si stordito  che non à podere di sé  rilevare, anzi giace 	que cil na pooir de releuer.  Ains fu pasmes.  Car il fu cheus si uilainnement 	quil not pooir de lui releuer.  Ains iut illueques tous pasmes  quar il cai si felenessement 	quil na pouoir de se releuer.  ains gist pasme  car il fu cheu si felonnessement 	qu il na pouoir de soy releuer: 	que non se pudo leuantar  asi estaua amorteçido dela cayda 
qu’a poi  que la canole del col n'avoit brisee. 	ispasimato, ché fu caduto  si fellonosamente che a poco che non si ruppe il 	qua pou  quil not la chenole dou col bͥsie. 	que a poi que la canoele  del col ne li est brisie. 	qua ponu  que la chanole du coul  ne luy eftoit brise. 		que las coyunturas del pescuezo tenia quebradas 
Et Boors li vet a cheval  par desus le cors tant	collo, e Boordo gli va cavalcando  per di suso il corpo tanto 	et behors li ua a cheual par desus le cors. 	Et bohors li uait tout a cheual  par desus le cors	Et boort luy uait a cheual par dessus le corps 	et booit lui ua par dessus le col a cheual tant 	e boores traxo tantas vezes el cauallo sobre el Que todo lo quebranto e la donçella 
que tot le debrise.  Et lors est la damoisele si liee 	che di tutto il dibriscia. Allora est la damigella 	tant que tout le debrisse.  et lors est la damoisele  si lie 	Si que tout le debrise.  Et lors est la damoisele si lie 	tant que tout le debrise.  et lors est la damoisele si liee 	que tout le debrise.  Et boort a tant la damoiselle esiouye 	que aquello vido fue muy alegre 
qu’ele ne puet plus 	si lieta ch’ella non può più, e disse a 	que ele ne puet plus. 	que plus ne puet. 	quelle ne puet plus 	que elle ne peut plus: 	que mas no lo podia ser 
et dist a Boort : « Sire, nos n’avons mes garde, 	Boordo: Sire, non no abiamo oggimai 	et dit a beh̾. Sire fait ele nous nauons  mais garde ce cuige. 	Si dist a bohort sire nous nauons hui mes garde. 	et dist a boort. sire nous nauons  mais garde 	et dit a boort. Sire nous nauons mes garde:	e dixo a boores  señor agora non auedes aqui deque vos mas guardar 
kar je ne cuit	guardia, ch’io non credo mica 	Car ie ne cuit 	Car iou quit 	car ie cuidoie 	car ie ne cuide point 	ca eneste castillo no auia 
qu’il eust plus de chevaliers çaiens que cestui; 	ch’egli abbia là entro più cavalieri che 	quil ait mais cheualier laiens plus que cestui. 	quil ni a plus de cheualiers laiens  que cestui. 	quil y eust leans plus de cheualiers  quil ny a 	qu il y ait plus de cheualiers  leans que cestui 	mas deste cauallero  segund cuydo 
si vos dirai ore seurement ce 	questi, si vi dirò ora sicuramente ciò che voi mi  domandaste. — Dite, 	Si uus dirai ore seurement ce 	Si vous dirai ce  que vous me denmandastes. 	Si uous diray seurement ce	si uous diray seurement ce	e agora os direlo  que me preguntastes seguramente 
			ore le me dites			
que vos me demandastes n’a encor gaires. — Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	diss’elli. — laPer  fé, diss’ella, intra me 	que uos me demandates na gaires.  Dites 	dont fait bohors.  Par foy sire fait elle entre moi et. i. cheualier 	que uous me demandastes. dictes fait il.  par foy fait elle moy et ung cheualier 	que uous mauez demande.  Par ma foy fait elle moy et ung cheualier 	Pues deçidmelo dixo boores  asi es dixo la donçella que oy mañana entre mi 
		dont damoisele fait il.				
		SIre fait ele par foi entre moi 				
