0	avoir trové. » 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre pour pour ce 	0|1
39|40	qu’il la venoient batant tot contreval la riviere. |Et	et la menoient batant contre ual la riuiere. 	42
41|42	quant la damoisele vit le chevalier de l’autre part de ! l’eve, |si commence a crier: « 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier et dire en tell maniere 	43
43	Ha, gentilz chevaliers, secorés ceste damoisele 	Haa beau et gentil cheualier secoures ceste damoiselle 	44
44	que cist ribaut vuelent ocirre. 	que ces ribaulx ueullent occire/ 	45
45	Ha, frans hom, 	haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	46
46	ne m’i laissiés morir, 	et se uous pitie de moy 	47
47	se vos onques eustes pitié de nule gentil damoisele !» 	car|se uous ne me secoures ie suys a la mort liurer. 	48|49
48	Quant Boors ot ce	Et quant boort ouyt 	50
49|50	qu’ele li prie si pitousement |qu'il la secore, 	quelle le prioit si piteusement	51
51	si ne set 	si ne scait 	52
52	que fere, 	que faire 	53
53	kar volentiers li aidast 	car uoulentiers luy allast aider	54
54	s’il peust; 	se il peult estre/ 	55
55	mais il voit l’eve noire et parfonde et si perilluse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	56
56	qu’il cuide bien noier, 	et scait bien 	57
57	s’il se met dedens; 	sil entre dedens|qu il se met en peril de mort. 	58|59
58	et d'autre part il voit cele 	Et daultre part il uoit celle 	60
59	qui si durement crie merci; 	qui si piteusement fui crie mercy.	61
60	si l'em prent tels pitiés 	Si luy en prent telle pitie 	62
61	qu’il en laisse totes poors 	quil en laisse toute paour 	63
62	et fet le signe de la crois en mi son vis, 	et fait le signe de la croix 	64
63	puis enbrace l’escu 	deuant son uisaige puys embrache son escu 	65
64	et broche le cheval des esperons 	et fiert son cheual des esperens 	66
65|66	et se fiert en l’eve. |Et li chevals fu fors, 	et se lanche dedens leaue tout erraument: 	67
67	si commence a noer 	et le cheual commence a noer 	68
68	si tost com il ot terre perdue, 	si tost |quil eust terre perdue.	69|70
69	si l’enporte d’autre part de la rive a quelque paine, 	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine 	71
70	mais ançois ot beu de l’eve li uns et li autre,	car ains quilz feussent passes beurent de leaue lun et laultre 	72
71	et se li chevals ne fust si buens, noié fuissent ambedui, 	et se le cheual neust este fort |et bon ilz feussent noyes et lun et laultre 	73|74
72	kar li chevaliers estoit pesans por les armes 	car le cheualier estoit fort pesant pour les armes 	75
73	qu’il avoit vestues. 	quil auoit uestues. 	76
74	Quant il fu de l’autre part de l’eve, 	Quant il fut de lautre part de leaue 	77
75|76	si ne descendi pas, |ains cort vers cels 	si ne descendist oncques ains courust uers ceulx 	78
77	qui la damoisele tenoient 	qui la damoiselle tenoient: 	79
78	et fiert si le premier 	et fiert tellement le premier 	80
79	qu’il aconsieut	quil encontre 	81
80	qu’il li met le glaive par mi le cors, 	qu il lui met le glauie parmy le corps 	82
81	si l’abat a terre, 	si labat a terre 	83
82|83	et li autre s’enfuient erraument |por ce	et les autres se met tent en fuite. La damoiselle 	84
84	que desarmé estoient. 		
85|86	Et la damoisele |qui delivree se voit se met a genols devant Boort 	qui deliuree se sent se met a genoulx deuant lui 	85
87	et dist: « 	et lui dit. 	86
88	Ha, gentils chevaliers, de Dieu soiés vos beneois, 	Haa gentil cheualier de dieu soiez uous benoit: 	87
89	quant vos m’avés de mort rescosse, 	car ces gloutens me eussent occiz 	88
90|91	et aorés en soit Diex, |quant il ceste part vos amena, 	se ne feussez uous. Damoiselle fait il	89
92	kar cist gloton m’euissent ja morte. — Damoisele, fet il, 		
93	por quoi ? — Sire fet ele, jel vos dirai bien, 	pour quoy. Sire fait elle ie le uous diray 	90
94	mais que vos m’aiés mise a sauveté. — 	mais|que uous me aiez mise a sauuete. 	91|92
95	Coment ? fet il. Avés vos dont garde ? — 	Comment fait il auez uous donc paour. Sire fait elle ia seure 	93
96	Certes, fet ele, ja asseur ne seraî fant 	ne seray 	94
97	com je sache laiens le seignor del chastel, 	tant que ie sache leans le seigneur de ce chasteau/ 	95
98	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	car cest le plus fel cheualier du monde et le plus cruel 	96
99|100	A ces paroles voient issir I. chevalier del chastel |et la 	Ces parolles uoient issir ung cheualier du chasteau: 	97
101|102	ou il vit Boort, |si li escrie : « Laissiés, dans chevaliers, la damoisele 	et la ou il uoit boort il lui escrie. Cheualier laissez la damoiselle 	98
103|104	que vos n’enmenrois mie! |Par mon chief, mar le rescosistes!» 	et par mon chief mal la rescouistes. Boort lentent 	99
105	Si li cort 	si lui court tant 	100
106|107	quanqu’il puet le glaive alongié; |et Boors retrait son glaîve a lui del cors a celui 	qu il peut du cheual traire le glaiue allongnie et le fiert si durement 	101
108	qu’il avoit ocis;		
109	si laisse le cheval corre et le fiert 		
110|111	si tres durement |qu’il l’abat a terre si estordi 	quil labat a terre si estourdy 	102
112|113	qu’il n’a pooir de relever, |ains gist pasmés, 	qu il na pouoir de soy releuer: 	103
114	kar il chai si felenessement		
115	qu’a poi 		
116	que la canole del col n'avoit brisee. 		
117|118	Et Boors li vet a cheval |par desus le cors tant	et booit lui ua par dessus le col a cheual tant 	104
119	que tot le debrise. 	que tout le debrise. 	105
120	Et lors est la damoisele si liee 	Et boort a tant la damoiselle esiouye 	106
121	qu’ele ne puet plus 	que elle ne peut plus: 	107
122	et dist a Boort : « Sire, nos n’avons mes garde, 	et dit a boort. Sire nous nauons mes garde:	108
123	kar je ne cuit	car ie ne cuide point 	109
124	qu’il eust plus de chevaliers çaiens que cestui; 	qu il y ait plus de cheualiers |leans que cestui 	110|111
125	si vos dirai ore seurement ce 	si uous diray seurement ce	112
126	que vos me demandastes n’a encor gaires. — Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	que uous mauez demande. |Par ma foy fait elle moy et ung cheualier 	113|114
127	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mon amy estoit cheuauchions parmi cest chasteau. 	115
128	et quant li freres a celui 	Et quant le frere de celui 	116
129	que vos avés abatu me vit, 	que uous auez abatu me uist 	117
130	si me volt a force prendre, 	si me uoulut auoir |et prendre a force: 	118|119
131|132	kar il m’avoit molt longuement amee;|si me prist al frain 	car il me auoit longuement aymee. Il print mon cheual 	120
133	et m’en volt mener a force, 	et men uoulut mener a force: 	121
134	mes mes amis se combati a lui 	mais mon amy se combatist a lui 	122
135	tant qu’il l’ocist. 	tant qu il loccist. 	123
136	Et quant cist 	Et quant celui 	124
137|138	que vos veez ci ore vit son frere mort, |si fist mon ami prendre a force de vilains et de gens 	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens et de uillains/ 	125
139	et l’ocist en venjance de son frere. 	et loccist en uengance de son frere 	126
140|141	Mais de moi, |por cui Ses freres avoit esté ocis, dist il 	et dist	127
142	qu’il se vengeroit sans main metre;	quil se uengeroit de moy sans main mettre. 	128
143	si me fist prendre a ces ribaus 	Si me fist prendre par ces quatre ribaulx 	129
144	que vos veistes	que uous auez ueu	130
145	et lor commanda 	et leur commanda 	131
146	qu’il me noiaissent, « 	quilz me noyassent/ 	132
147|148	kar par armes, dist il, |ne vueil je mie 	car par armes ne uueil ie pas 	133
149	qu’ele muire » ;	que elle meure. 	134
150	si m'enmenoient, 	Si me emmenoient ainsi	135
151	si com vos veistes, morir 	comment uous auez ueu pour noyer 	136
152	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre.	137
153	Or vos ai conté mon errement ; 	Or uous ay toute compte ma fortune/ 	138
154	si voldroie des Ore mes, 	si uouldroie 	139
155	se vostre plaisirs estoit, 	se uostre uoulente y estoit 	140
156	que vos me menissois a salveté en un mien chastel 	que uous me menissez a sauuete en ung mien chasteau 	141
157	qui est ci pres. — Volentiers », fet il. 	qui est cy pres. Voulentiers dit il. 	142
158	Si le prent par les bras 	et il la prent par le bras 	143
159	et le monte par devant lui sor le col de son cheval, 	et puis la met sur le col de son cheual/ 	144
160	si a geté son escu derieres son dos, 	si a iecte son escu derrier son dos: 	145
161	si s’en vet cele part 	et puis tourne celle part la 	146
162	ou la damoisele li enseigne tant 	ou la damoiselle lui enseigne tant 	147
163	que ce vint aprés midi	que uint aprez midy 	148
164	qu’il voient en un tertre I. bel a chastel, 	que ilz uirent deuant eulx ung moult beau chasteau: 	149
165|166	et lors ataignent Il. escuiers |qui issoient d’un bossel 	et lors attaignent deux escuiers a lentree de ung petit boix 	150
167	et aportoit chescuns venoisons trosee detriers soi. 	et portoit chacun uenoisen derrier lui troussee. |Et	151|152
168|169	Quant il virent la damoisele, |si descendent a pié 	quant ilz uirent la damoiselle ilz descendirent a pie 	153
170	et li font grant joie com a celi 	et lui firent si grant henneur et si grant ioye |comme a celle 	154|155
171	qui lor dame estoit 	qui leur dame estoit: 	156
172|173	mais molt |se merveillent de ce 	mais moult se merueillent de ce 	157
174	qu’il la virent plorer: 	qu ilz la uoient plourer: 	158
175	si li enquierent	si demandent 	159
176	que ele a. 	que elle a. 	160
177	Et ele lor dit 	et elle leur compte 	161
178	comment ses amis avoit esté ocis, « 	comment son amy auoit este occy/ 	162
179	et je meismes euisse esté morte.	et moy mesmes eusse este occie 	163
180	se ne fust cis frans chevaliers 	se ne feust ce franc cheualier 	164
181	qui par sa debonaireté me resqueust 	qui par sa debonnairete ma rescousse	165
182	et se mist em peril de mort 	et sest mis en peril de mort 	166
183	por ma vie sauver. » 	pour moy sauuer.	167
184	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Et lors elle parle a conseil a ung des escuiers	168
185	si la baille a son compaignon por porter, 	et celui se destrousse maintenant de sa uenoison et la baille a porter a son compaignon 	169
186	si s’en vet vers le chastel 	et sen ua uers le chasteau 	170
187	quanqu’il puet traire del roncin. 	tant quil peut courir atout son roussin. 	171
188	Et Boors demande a la damoisele 	Et boort demande a la damoiselle 	172
189	comment li chastials a non 	comment le chasteau auoit nom	173
190	ou ses amis a esté ocis. « Sire, fet ele, il a non Galedon 	ou son amy auoit este occy. Sire fait elle il a nen galdon/ 	174
191|192	et l’eve |par ou vos passastes a non Galede. » 	et leaue ou uous passastes a nom galide. 	175
193	Ensi parolent tant 	Ainsi sen uont parlant ensemble boort et la damoiselle	176
194	qu’il sont venu jusqu’al chastel, 	tant que ilz sont uenus prez du chasteau 	177
195	si le voit Boors bien seant et fort.	si le uoient beau et fort et moult bien seant. 	178
196	Et quant il montent ! le tertre, 	Et quant ilz sont montez le tertre 	179
197	si voient de laiens issir dames et damoiseles a grant plenté 	si uirent dames et damoiselles a grant plante 	180
198|199	dont les unes karolent |et les autres dancent 	dent les unes dansoient et les autres deuisoient 	181
200	et les autres joent de divers geus; 	et les autres iouoient de diuers ieux. 	182
201	si estoient acesmees et vestues richement et avec venoient chevaliers jusqu’a X. 	si estoient toutes uestues moult richement/ |et auec elles uenoient des cheualiers iusques a dix 	183|184
202	qui molt faisoient grant joie;	qui faisoient moult grant ioye. 	185
203	et quant il voient Boort, 	Et quant ilz uirent boort 	186
204	si crient tuit encontre lui: « Bien viengniés, sire, 	si lui crierent tous. |Bien uiengniez uous	187|188
205|206	qui nostre dame avez delivres de mort |et rescosse des mains a ses enemis !» 	qui nostre dame auez rescousse de mort et deliuree des mains de ses ennemis. 	189
207|208	Et|lors font descendre lor dame 	Et lors font descendre leur dame	190
209	et lui avec : 	et lui auec. 	191
210	si ne vos porroit nus conter la joie 	Si ne pourroit nul homme compter la grant ioye 	192
211	qui li fu fete. A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, 	qui leur fut faicte. |A telle ioye menerent boort au pallais. 	193|194
212	si le font desarmer, 	Et quant ilz eurent mengie la damoiselle lui demanda 	195
213	ou il volsist ou non, 	comment il auoit nom. 	196
214	et il le fist a envis,	Et il respendist 	197
215	kar il n’estoit encore mie tens de herbergier. 		
216|217	Ensi remist Boors laiens, |si li firent grant joie li un et li autre 	quil auoit nom boort le essillie 	198
218	Et quant il orent mengié. a damoisele demande a Boort 		
219|220	comment il avoit non ét ¡l dist|qu’il avoit non Boors li Essilliés. « 	et si estoit cousin germain de lancelot du lac. 	199
221	Et vos, fet il. damoisele, 	Et uous dame 	200
222	quels est li vostre nons ? — Sire, fet ele. je ai non Blevine de Glocedun, 	quel est uostre nom. Sire fait elle iay nom benigne de glacedon. 	201
223	issi a non cist chastials ou nos somes. » A ces paroles 	et ce chasteau cy |ou nous sommes a aussi nom glacedon. ces parolles 	202|203
224	qu’il disoient, es vos I escuier 	quilz disoient uecy ung escuyer 	204
225	qui laiens entre,	qui entra leans	205
226	si s’agenoille devant la damoisele. « Dame, fet il, la damoisele de Honguefort vostre cosine vos salue et vos mande	si se agenoille |de uant la damoiselle dame fait il madame de honguesfort uous sallue 	206|207
227	qu’ele vient herbergier o vos. » 	et uous mande 	208
228	Et quant cele l’entent,	que elle	209
229	si saut sus si liee et si joiose 	se ueult ennuyt logier auec uous. 	210
230	que nule plus 	Et quant celle lost	211
231	et demande al vaslet 	si demande a lescuyer 	212
232	ou ele est. « Dame. fet il, a mains de demie lieue pres de ci. » 	ou elle est dame fait il a demye lieue de cy/ 	213
233|234	Et ele fet maintenant sa sele metre |et dist	et elle mente sur son cheual auec quatre cheualiers et quatre escuyers 	214
235|236	qu’ele ira encontre li; |si monte 	pour aller a lencontre de la dame 	215
237|238	et maine o li. VI. chevaliers |et Illl. en laisse 	et si laisse quatre cheualiers auec boort 	216
239|240	por fere compaignie a Boort ; |si se part atant de laiens. 	pour luy faire compagnie mes boort 	217
241|242	Mes Boors|qui les noveles a of̈es de cele de Honguefort si ne set que fere, 	qui les nouuelles a entendues de la dane de honguesfort ne scait 	218
243	kar se il remaint laiens, ne puet estre 	que faire 	219
244	que l’en nel conoisse 	si pense longuement 	220
245	et ce ne voldroit il por rien: 	car il ne ueult pas estre congneu 	221
246|247	si pense longuement a ceste chose.|Quant il ot une piece pensé, 	et quant il a longuement pen se 	222
248	si se drece en estant 	si se lieuue en son estant 	223
249	et demande ses armes tost et isnel. « Sire, font cil 	et demande ses armes. Sire sont ceulx 	224
250	qui avec lui estoient, 	qui auec luy estoient 	225
251	qu’en volés vos fere ? — Je me vueil. fet il, un poi aler esbatre jusqu’a cel boschel, 	pour quoy les demandes uous ie me uueil fait il armer |pour moy aller esbatre iusques en ce bochel 	226|227
252	si revendrai orendroit. » 	mes ie reuendray tantost/ 	228
253	Cil n’osent son commandement refuser. 	et ceulx nosent reffuser son commandement 	229
254|255	si aportent ses armes |et il les prent. 	lors luy apportent ses armes et	230
256	Et quant il est armés, 	quant il fust arme 	231
257|258	si monte en son cheval a, |si se part de laiens par une posterne par devers le boschel », 	si sen part de le ans par la posterne uers ung petit bosc 	232
259	ne ne velt 	et ne ueult	233
260	que nus li face compaignie. 	que nul luy face compagnie. 	234
261|262	Et quant il est l. poi eslongiés del chastel, |si torne a destre vers une forest	Et quant il est ung pou eslongnie il tourne uers une forest grande et espesse	235
263|264	qu’il voit haute et espesse |et s’en vet al ferir des esperons; 	si fiert des esperons 	236
265|266	si se fiert en la forest et eirre tant |qu’il li anuite ; 	et sen entra dedens et cheuaucha	237
267|268	et lors escote, |si ot une cloche soner 	tant que la nuyt uint. Il ouyt une cloche sonner	238
269	et il sot bien tantost 	si pense tantost 	239
270|271	que c’estoit hermitages: |si s’en torne cele part 	que cest ung hermitage. il sen alla celle part 	240
272	et descent a l’uis,	et puys frappa a luys/ 	241
273|274	si apele et li hermites li oevre son huis, |si a le reçoit a bele chiere 	et lermite le rechoit a belle chere 	242
275	et le desarme il meismes, 	et le desarma 	243
276	puis vet cueillir de l’erbe al cheval et	et puys cueillit de lerbe uerte pour le cheual 	244
277	por fere lit al chevalier. 	et fist le lyt au cheualier. 	245
278|279	Ensi est Boors remés chiés l’ermite, |et la damoisele de Glocedun chevalcha 	Insi est boort demoure auec lermite et la damoiselle de glacedon a tant alle 	246
280|281	tant a|qu’ele encontra cele de Honguefort; 	quelle encentra celle de honguesfort/ 	247
282	si s’entresaluent, 	si sentresalluerent. 	248
283	mais molt se merveille cele de Glocedun, 	Et quant celle de |glacedon uoit sa cousine et toute sa mesgnie 	249|250
284	quant ele voit sa cosine si atornee et tote sa maisnie: 	ainsi atournee elle sen merueille monlt sy lui demande lachoison 	251
285	si li demande l’acheison et cele li conte de chief en chief 	et celle luy compte toute la uerite 	252
286	et dist 	et dist 	253
287	que jamés ne finera d’errer 	que iamaiz ne finera de errer iusques a tant 	254
288	jusqu’el ait le chevalier trové, « et bien sachiés, fet ele, bele cosine, 	quelle aura trouue le cheualier/ |et sachiez belle cousine 	255|256
289	que c’est li plus bials chevaliers et li mieldres 	que cest le plus beau et le meilleur	257
290	que je onques mes veisse, 	que ie ueisse on ques 	258
291	et si est encore jovenes enfés; 	et sy est encore ione enfant/ 	259
292	si ai tel duel, 	si ay tel deul 	260
293	quant il me membre de la vilenie 	quant il me souuient de la uillanie 	261
294	que je fis, 	que ie luy feiz 	262
295	qu’a poi 	que a pou 	263
296	que li cuers ne me part el ventre. — En non Dieu, bele cosine, fet cele de Glocedun, 	que le cueur ne me part du uentre. Eu nom dieu belle cousine fait celle de glacedon/ 	264
297	s’il vos avint bele aventure, il ne m’est pas hui avenue mains bele. » 	sy uous est aduenu belle auanture/ il ne men est pas aduenue |une moins belle. 	265|266
298	Si li conte tot ensi 	Sy luy compte tout ainsi 	267
299	com il li estoit avenu 	comment il luy estoit aduenu/ 	268
300	et dist 	et dist 	269
301	qu’ele a le chevalier herbergié; « 	quelle auoit herbegie le cheualier/ 	270
302	mais bien sachiés, fet ele, 	et uous dys bien 	271
303|304	que c’est li plus bials chevaliers |que je onques mes veisse	que cest le plus beau cheualier du monde/	272
305|306	et jovenes durement » ; |si li devise sa façon et son grant et sa mesure 	sy lui deuise sa facon 	273
307	tant qu’a cele de Honguefort est avis 	tant quil est aduiz a celle de honguesfort 	274
308	que c’est cil 	que cest celuy 	275
309	qu’ele quiert, 	quelle quiert/ 	276
310	si li tarde molt 	si luy tarde 	277
311	qu’ele le voie. 	quelle le uoie En telle magniere cheuauchent 	278
312	Ensi chevalchent jusqu’al chastel,	tant quilz sont uenues au chastel 	279
313	si descendent la damoisele molt honorement 	si decendent la damoiselle monlt hounourablement	280
314|315	et molt font grant joie de li |Et lors sont montees el palés;	et font grant ioye de celle de honguesford. 	281
316	si demande cele de laiens 	lors sont mentees au pallaiz 	282
317|318	ou ses ostes est. «|Par foi, font si chevalier, ¡l s’en vet orrendroit tos armés fors de cest chastel, 	si demande la damoiselle de leans ou est son hoste/ deuray dirent les cheualiers de leans Il sen ua orendroit tout seul arme hors de ce chastel	283
319	mais il nos dist 	mes il nous dist 	284
320	qu’il revendroit tantost; 	quil reuendroit tantost/ 	285
321|322	n’onques |por nul pooir ne volt soffrir 	ne onques ne uolt souffrir 	286
323	que nus de nos alast avec lui. — 	que nul allast auec luy 	287
324	Quel part s’en ala il ? fet ele. — Dame, font il, vers cel boschel. — 	si a prins sen chemin uers ce bochel. 	288
325	Or tost, fet ele, montés, alés aprés lui, 	Or tost dyt la dame montes |sy alles apprez luy 	289|290
326	si le nos ramenés. » 	et le ramenes arriere. 	291
327	Lors sont monté li X. chevalier 	Lors montent tous les cheualiers 	292
328|329	et vienent jusqu’al boschel, |si le cerchent amont et aval, 	et uiennent iusques au bochel et le chercent ament et aual/ 	293
330	mes del chevalier ne pueent riens trover,		
331	si en sont molt irié et dolent 		
332	et mandent a lor dame 		
333	qu’il ne le pueent trover. « 	mais ne le peuent trouuer/	294
334|335	En non Dieu, fet ele, |ensi ne remandra il pas. » 	Eu nen dieu fait elle il ne demoura pas ainsy	295
336|337	Si monte |et tote sa maisnie 	si monte elle et sa mesgnie 	296
338	et commande a cerchier le bois de totes pars 	et commencent a chercer le bochel de toutes pars 	297
339	et il en font son commandement.	et prie aulx cheualiers |quilz le chersacent 	298|299
340	Mais tot ce ne lor valt riens, 	mes |ce ne leur ualust riens/ 	300|301
341	kar il n'em puent avoir nul asenement a, 	car ilz nen porent |ouyt nulle uraie enseigne. 	302|303
342	Quant ele vit ce,	Quant elle uoit ce	304
343|344	si s’en retorne en son chastel dolente et corociee et conte a cele de Honguefort |comment ses ostes 	si sen retoure en son chastel dollente et courroucee/ et compte a celle de henguesford 	305
345	s’en estoit alez, 		
346|347	puis demande a cels de laiens: « |Bials seignors,	comment son hoste sen est alle puys demande a ceulx de leans. Beaux seigneurs 	306
348	quant s’em parti il — 	quant sen parti il/ 	307
349|350	Par foi, dame, font il, |si tost 	par ma foy si tost 	308
351	com il vos en vit aler et dist 	que uous feustes partie/ |et dist 	309|310
352	qu’il revendroit tost. — 	quil reuendroit tantost. 	311
353	Par foi, fet ele, gabez nos a. » 	par ma foy dist la dame il nous a gabes. 	312
354	Lors demanda cele de Honguefort 	Lors demande celle de honguesford 	313
355	quels armes il portoit 	quelles armes il portoit 	314
356	et ele li devise. « 	et elle luy deuise. Eu nom dieu fait elle ie le trouuay 	315
357	En non Dieu, fet ele, je te trovai hui matin a l’entree d’une forest, 	huy matin a lentree de une forest/ 	316
358	mes il ne portoit mie tel escu 	mes il ne portoit mye telles armes 	317
359	com cil	come celuy 	318
360|361	que je quier. — Bele cosine, fet cele de laiens, il le puet bien avoir changié |et je vos di al mien cuidier 	que ie quiers/ belle cousine fait celle de leans il les peult bien auoir changiez et ie cuide bien a mon aduiz 	319
362	que ce est cil 	que cest celuy 	320
363	que vos querez : 	que uous queres 	321
364	si vos prie 	sy uous prie 	322
365|366	que vos me laissiés o vos aler tant que trové l’aions |et lors savrai l’acheison 	que me lessiez aller auecques uous tant 	323
367|368	por|quoi il laissa mon ostel a tel ore. — Il m’est molt bel, fet cele de Honguefort, 	que laurens trouue. Il mest monlt bel dyt celle de honguesfort 	324
369	que vos i viegniés, 	que uous uiengnies auec moy 	325
370	puis qu’il vos plest. » 	puis quil uous plaist. 	326
371	Ensi remistrent la nuit laiens et al matin. 	ainsi demeurent la nuyt leans. |et au matin	327|328
372|373	si tost com eles ! virent le jor, |si leverent 	quant ilz uirent le iour 	329
374	et se partirent del chastel	si sen partirent du chastel	330
375	et entrerent en la queste de lor chevalier. 	et entrerent en la queste de leur cheualier. 	331
376|377	Mais or laisse atant li contes a parler d’eles et de Boort|et retorne a parler de Lancelot la 	Or lessons maintenant le compte de boors et des deux dames et retourons a parler de lancelot du lac le 	332
378	ou il est entrez en la forest de Sarpenic, 	quel est entre en la forest de la sapine. 	333
379	si com li contes a devise ariers. 	Comment lancelot emporta le corps de gallehaut 	334
380	Or dist li contes 	que plusieurs cheualiers gardoient: |et comment il rescouist la seur de meleagant 	335|336
381	qu’il fist grant chaut le jor 	que len uouloit ardre iiii.xx. xiiii. Grant chault fist dit le compie le iour	337
382	que Lancelos entra en la forest de Sarpenic 	que lancelot fut entre en la sapinoie 	338
383|384	et por ce ne remest il mie |qu’il ne chevalchast jusqu’à none; 	et pour ce ne demoura il pas 	339
385	si li avint ensi 		
386|387	qu’il n’encontra home ne feme jusqu’al vespre; |mais lors sans faille, 	quil ne cheuauchast iusques a uespres sans rencentrer homme ne femme. 	340
388|389	si com il dut issir de forest |qui tot le jor li ot duré, encontra une damoisele 	Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy. Il salue la damoiselle 	341
390	qui molt faisoit grant duel		
391	et chevalchoit I. palefroi noir a molt riehe lorain et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele 		
392	et ele lui. « Damoisele, fet il, 	et lui dit. Dame dictes moy 	342
393	kar me dites, 	pour quoy uous plourez 	343
394	s’il vos plest, 	sil uous plaist	344
395	por quoi vos plorés. — 		
396	Certes, sire, fet ele, 	Certes sire 	345
397	se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja, 	se ie y cuidoie |auoir prouffit ie uous le diroie. 	346|347
398|399	se Dieu plest, |mais dites le moi 	Dommage fait il ny aurez uous ia 	348
400	par covent	se dieu plaist. 	349
401|402	que, |se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	350
403	donc le vos dirai je. ll est voirs que Meleagans, li fiz al roi Baldemagu, ala a la cort le roi Artu por la roine Genievre conquerre,	Par dieu sire 	351
404	s’il peust; 	denc fait elle le uous diray ie. Il fut uoir 	352
405	et endementiers fist tant une damoisele 	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. En dementiers fist tant une damoiselle 	353
406	qui estoit? sa suer 	qui sa seur estoit	354
