65	et se fiert en l’eve	et se fiert erraument en leaue	59
66	Et li chevals fu fors	et le cheual fu fort	60
67	si commence a noer	si commence a nouer	61
68	si tost com il ot terre perdue	si tost quil eut terre perdue	62
69	si l’enporte d’autre part de la rive a quelque paine	si lemporte de lautre part de ma riue a quelque peine	63
70	mais ançois ot beu de l’eve li uns	mais ancois eut beu de leaue lun	64
71	et li autre	et lautre	65
72	et se li chevals ne fust	et se le cheual ne eust este	66
73|74	si buens|noié fuissent ambedui	si bon ilz fuszent tous deux noyez	67
75	kar li chevaliers estoit pesans por les armes qu’il avoit vestues	car le cħlr estoit pesant|pour les armes quil auoit uestues	68|69
76	Quant il fu de l’autre part de l’eve	Quant il fu de lautre part de leaue	70
77	si ne descendi pas	si ne descendy pas	71
78	ains cort vers cels	ains court uers ceulx	72
79	qui la damoisele tenoient	qui tenoient la damoisele	73
80	et fiert	et fiert	74
81	si le premier qu’il aconsieut qu’il li met le glaive par mi le cors	si fort le premier quil actaint quil luy mect le glaiue parmy le corps	75
82	si l’abat a terre	si labat a terre	76
83|84	et li autre s’enfuient erraument|por ce que desarmé estoient	et les autres senfuyent erraument par ce qͥlz estoient desarme	77
85	Et la damoisele	Et la damoisle	78
86	qui delivree se voit se met a genols devant Boort	qui se uoit deliure se mect a genoux deuant boort	79
87|88	et dist Ha|gentils chevaliers	Haa gentilz cheualier fait elle	80
89	de Dieu soiés vos beneois	de dieu soyez uous beneist	81
90	quant vos m’avés de mort rescosse	dont uous mauez de mort rescousse	82
91	et aorés en soit Diex	et aoure en soit dieu	83
92	quant il ceste part vos amena	dont il uous amena ceste part	84
93|94	kar cist gloton m’euissent ja morte|— Damoisele	Car ces gloutons meussent ia occise se uous ne fussez Damoisele fait il	85
95|96	fet il|por quoi	pour quot	86
97|98	— Sire fet ele|jel vos dirai bien	Sire fait elle ie le uous diray bien	87
99|100	mais que vos m’aiés mise a sauveté|— Coment	mais que uous mayez mise a sauuete Comment fait il auez uous	88
101|102	fet il|Avés vos	donc garde	89
103|104	dont garde|— Certes	Certes sire fait elle ia ne seray asseuree	90
105	fet ele	tant que ie sache	91
106	ja asseur ne seraî fant com je sache laiens le seignor del chastel	qui est le seigneur de ce chastel leans	92
107	kar c’est li plus fel chevaliers del monde	car cest le plus fel cheualier du monde|Coment boort se combaty	93|94
108	et li plus traîtres	pour la damoisele	95
109|110	A ces paroles voient issir I|chevalier del chastel	A cest parole voyent yssir ung cheualier du chastel	96
111	et la ou il vit Boort	et la ou il uoit boors	97
112	si li escrie Laissiés	si luy crie laissez sire cheualier la damoisele	98
113	dans chevaliers	que uous nemmennerrez pas|par mon chief mal la rescoussistes	99|100
114	la damoisele	si luy court sus tant comme il puet le glayue esloigne|Et boort le firrt	101|102
115	que vos n’enmenrois mie! Par mon chief	si fort a son uenir|que lescu ne le haubert ne le garantist quil ne luy mecte fer	103|104
116	mar le rescosistes	et fust parmy le corps	105
117	Si li cort quanqu’il puet le glaive alongié;	Et cil cheit a terre tout estandu	106
118	et Boors retrait son glaîve a lui del cors a celui qu’il avoit ocis;	car plus na mestier de mire|Et quant ceulx du chastel uoyent leur cheualier ainsi abatu	107|108
		si luy en enuoyent incontinant ung autre	109
		pour uenger celuy	110
		qui dist a boort quil se gardast de luy quil le deffioit	111
		et il dist quil le desfie aussi	112
		Lors trait son glayue du corps a celuy quil auoit occis	113
119	si laisse le cheval corre	si luy laisse aller le cheual	114
120	et le fiert	et le fier	115
121	si tres durement qu’il l’abat a terre	si fort quil labat a terre	116
122	si estordi qu’il n’a pooir de relever	si estourdy quil na pouoir de se releuer	117
123	ains gist pasmés	ains gist pasme	118
124	kar il chai	car il fu cheu	119
125	si felenessement qu’a poi	si felonnessement qua ponu	120
126	que la canole del col n'avoit brisee	que la chanole du coul ne luy eftoit brise	121
127	Et Boors li vet a cheval par desus le cors	Et boort luy uait a cheual par dessus le corps	122
128	tant que tot le debrise	tant que tout le debrise	123
129	Et lors est la damoisele	et lors est la damoisele	124
130	si liee qu’ele ne puet plus	si liee quelle ne puet plus	125
131	et dist a Boort Sire	et dist a boort	126
132	nos n’avons mes garde	sire nous nauons|mais garde	127|128
133|134	kar je ne cuit qu’il eust plus de chevaliers çaiens|que cestui;	car ie cuidoie quil y eust leans plus de cheualiers quil ny a	129
135	si vos dirai ore seurement ce	Si uous diray seurement ce	130
136	que vos me demandastes n’a encor gaires	que uous me demandastes	131
137|138	— Dites|fet il	dictes fait il	132
139	— Sire		
140|141	fet ele|entre moi	par foy fait elle moy	133
142|143	et I|chevalier	et ung cheualier	134
144	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez	135
145|146	et quant li freres a celui|que vos avés abatu me vit	Et quant le frere a celuy quie uous auez ores abatu me uit	136
147	si me volt a force prendre	si me uoult prendre a force	137
148	kar il m’avoit molt longuement amee;	car il mauoit longuement amee	138
149	si me prist al frain	si me prist au fraing	139
150	et m’en volt mener a force	et me uoult mener a force	140
151	mes mes amis se combati a lui tant qu’il l’ocist	mais mon amy se combaty a luy|si loccist	141|142
152	Et quant cist	Et quant celuy	143
153	que vos veez ci ore vit son frere mort	que uous auez ores cy abatu uit son frere mort	144
154	si fist mon ami prendre a force de vilains	si fist prendre mon amy a force de uilanis	145
155	et de gens	et de gens	146
156	et l’ocist en venjance de son frere	si loccist on uengence de son frere	147
157	Mais de moi	Mais il dist quil se uangeroit de moy	148
158|159	por cui Ses freres avoit esté ocis|dist il qu’il se vengeroit sans main metre;	pour qui son frere auoit este occis sans main mectre	149
160	si me fist prendre a ces ribaus	si me fist prendre a ces quatre ribaux	150
161	que vos veistes	qui uous ueistes	151
162	et lor commanda qu’il me noiaissent	et leur commanda quilz me noyassent	152
163|164	kar par armes|dist il	Car par armes fist il ne uueil ie pas quelle meure	153
165	ne vueil je mie qu’ele muire ;		
166	si m'enmenoient	si me menoient	154
167|168	si com vos veistes|morir	pour mourir ainsi comme uous ueistes	155
169	quant vos me venistes secorre par la volenté de Dieu	quant uous me uenistes secourir|par la uoulente de dieu	156|157
170|171	et par la vostre|Or vos ai conté mon errement ;	et par la uostre Or uous ay tout comte mon criement	158
172	si voldroie des Ore mes	si uoudroye desormais	159
173	se vostre plaisirs estoit	si uostre plaisir estoit	160
174	que vos me menissois a salveté en un mien chastel	que uous me menez a sauuete en ung mien chastel	161
175	qui est ci pres	qui est cy pres	162
176|177	— Volentiers|fet il	uoulentiers fait il	163
178	Si le prent par les bras	si la prent par les braz	164
179	et le monte par devant lui sor le col de son cheval	et la monte deuant soy sur le col de son cheual	165
180	si a geté son escu derieres son dos	si a gecte son escu derriere son dos	166
181	si s’en vet cele part ou la damoisele li enseigne	et sen uait celle part ou la damoisele luy enseigne	167
182|183	tant que ce vint aprés midi qu’il voient en un tertre I|bel a chastel	tant que ce uient apres medoy quilz uoyent deuant eulx en ung tertre ung meoult bel chastel	168
184|185	et lors ataignent Il|escuiers	et lors actaignent deux escuiers	169
186	qui issoient d’un bossel	qui yssoient dung boys	170
187	et aportoit chescuns venoisons trosee detriers soi	et chascun aportoit uenoison troussee derriere soy	171
188	Quant il virent la damoisele	Et quant ilz uirent la damoisele	172
189	si descendent a pié	si descendirent a pie	173
190	et li font grant joie com a celi	et luy font moult grant ioye comme a celle	174
191	qui lor dame estoit	qui leur dame estoit	175
192	mais molt se merveillent de ce qu’il la virent plorer:	mais moult se merueillent de ce quilz la uirent plourer	176
193|194	si li enquierent|que ele a	si luy enquierent quelle a	177
195|196	Et ele lor dit|comment ses amis avoit esté ocis	et elle leur comte comme son amy auoit este occis	178
197|198	et je meismes euisse esté morte|se ne fust cis frans chevaliers	Et ie mesmes fait elle feusse morte se ne fust ce franc cheualier	179
199	qui par sa debonaireté me resqueust	qui par sa debonairete ma rescousse	180
200	et se mist em peril de mort por ma vie sauver	et sest mise on peril de mort|pour sauuer ma uie	181|182
201	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison	Et lors conseille a lun	183
202	si la baille a son compaignon por porter	et cil baille sa uenoison a porter a son compaiguon	184
203	si s’en vet vers le chastel quanqu’il puet traire del roncin	si sen uait uers le chastel tant quil puet traire du roucin	185
204|205	Et Boors demande a la damoisele|comment li chastials a non ou ses amis a esté ocis	Et boort demande a la damoisele coment le chasteau a nom ou sen amy auoit este occis Sire fait elle il a nom galedon	186
206	Sire		
207|208	fet ele|il a non Galedon	et leue par ou nous passasmes	187
209|210	et l’eve par ou vos passastes a non Galede|Ensi parolent tant qu’il sont venu jusqu’al chastel	si a nom galede Ainsi parlent tant quilz sont uenuz iucquau chastel	188
211	si le voit Boors bien seant	et boort le uoit moult fort	189
212	et fort	et moult bien seant	190
213	Et quant il montent ! le tertre	Et quant il ont monte le tertre	191
214	si voient de laiens issir dames	si uoyent yssir dames	192
215	et damoiseles a grant plenté	et damoiseles a grant plante	193
216	dont les unes karolent	dont les unes caroloient	194
217|218	et les autres dancent|et les autres joent de divers geus;	et les autres iouoient de diuers ieux	195
219	si estoient acesmees	si estoient toutes atournees	196
220	et vestues richement	et uestues moult richement	197
221	et avec venoient chevaliers jusqu’a X	et auec elles uenoient dix cheualiers	198
222	qui molt faisoient grant joie;	qui moult faisoient grant ioye	199
223	et quant il voient Boort	Et quant ilz uoyent boort	200
224	si crient tuit encontre lui Bien viengniés	si uiennent tous enconttr luy	201
225	sire	et dient bien ueignez sire|qui auez deliuree	202|203
226	qui nostre dame avez delivres de mort	et rescousse noustre dame de mort	204
227	et rescosse des mains a ses enemis	et des mains de ses enuemys	205
228	Et lors font descendre lor dame	Et lors font descendre leur dame	206
229	et lui avec :	et luy auec	207
230	si ne vos porroit nus conter la joie	si ine uous pourroit nul compter la grant ioye	208
231|232	qui li fu fete|A tel joie	qui luy fu faicte A telle ioye	209
233	et a tel feste enmainent Boort jusqu’al palés del chastel	et a tel feste emmainent boort iucquez au maistre palais du chastel	210
234|235	si le font desarmer|ou il volsist ou non	si le font desarmer uoulsist il ou non	211
236	et il le fist a envis	et il le fist a peine	212
237	kar il n’estoit encore mie tens de herbergier	car il nestoit pas encor temps de herbreger	213
238	Ensi remist Boors laiens	Ainsi demeure boort leans	214
239	si li firent grant joie li un	si luy firent moult grand ioye les ungs	215
240	et li autre	et les autres	216
241|242	Et quant il orent mengié|a damoisele demande a Boort	Et quant il eurent mange la damoisele luy demande	217
243	comment il avoit non ét ¡l dist qu’il avoit non Boors li Essilliés	comment il auoit nom|et il luy dist	218|219
244	Et vos	que il auoit nom boort lessille	220
245|246	fet il|damoisele	Et uous fait il damoisele	221
247	quels est li vostre nons	quel est uostre nom	222
248	— Sire		
249|250	fet ele|je ai non Blevine de Glocedun	Sire fait elle iay nom blocedin	223
251	issi a non cist chastials ou nos somes	Ainsi a nom ce chasteau ou nous somes	224
252|253	A ces paroles qu’il disoient|es vos I escuier	A ces paroles quilz disoient uoyez uous ung escuier	225
254	qui laiens entre	qui entre leans	226
255|256	si s’agenoille devant la damoisele|Dame	et sagenoille deuant la damoisele	227
257|258	fet il|la damoisele de Honguefort vostre cosine vos salue	dame fait il madame la damoisele de hunguefort uoustre cousine uous salue	228
259	et vos mande qu’ele vient herbergier o vos	et uous mande quelle uient|et herbregera o uous	229|230
260	Et quant cele l’entent	et quant elle lentend	231
261	si saut sus	si sault sus	232
262	si liee	si liee	233
263	et si joiose	et si ioyeuse	234
264	que nule plus	qui plus ne puet	235
265|266	et demande al vaslet ou ele est|Dame	et demande au uarlet ou elle est	236
267|268	fet il|a mains de demie lieue pres de ci	Dame fait il elle est a demye lieue pres de cy	237
269|270	Et ele fet maintenant sa sele metre|et dist qu’ele ira encontre li;	et elle fait adonc mectre la sele a dist quelli yra encontre luy	238
271	si monte	Si monte	239
272	et maine o li	et mainne o lie	240
273	VI	u	241
274|275	chevaliers|et Illl	cheualiers	242
276	en laisse por fere compaignie a Boort ;	pour faire compaignie a boort|et en laisse quatre	243|244
277	si se part atant de laiens	si se part adonc de leans	245
278	Mes Boors	mais boort	246
279|280	qui les noveles a of̈es de cele de Honguefort|si ne set	qui a ouy les nouueles de celle dunguefort ne seut	247
281	que fere	que faire	248
282|283	kar se il remaint laiens|ne puet estre	car sil remaint leans il ne puet estre quelle ne le cognoisse	249
284	que l’en nel conoisse		
285	et ce ne voldroit il por rien:	et ce ne uoudroit elme|pour nul rien	250|251
286	si pense longuement a ceste chose	si pense longuement a ceste chose	252
287	Quant il ot une piece pensé	Quant il a grant piece sis en paix	253
288	si se drece en estant	si se die ce en estant	254
289	et demande ses armes tost	et demande ses armes tost	255
290|291	et isnel|Sire	et isnel Sire font ceulx	256
292|293	font cil|qui avec lui estoient	qui auec luy estoient	257
294	qu’en volés vos fere	que uoulez uous faire	258
295	— Je me vueil		
296|297	fet il|un poi aler esbatre jusqu’a cel boschel	Ie me uueil fait il ung pou aller esbatre iucqua ce boys	259
298	si revendrai orendroit	si reuiendray tantost	260
299	Cil n’osent son commandement refuser	ceulx nousent refusrr son commandement	261
300	si aportent ses armes	et apportent ses armes	262
301	et il les prent	et il les prent	263
302	Et quant il est armés	Et quant il est arme	264
303	si monte en son cheval a	si monte a cheual	265
304|305	si se part de laiens par une posterne par devers le boschel|ne ne velt	et se part de leans par la pousterne deuers le chastel ne ne ueult	266
306	que nus li face compaignie	que nul luy face compaignie	267
307|308	Et quant il est l|poi eslongiés del chastel	Et quant il est ung pou esloigne du chastel	268
309	si torne a destre vers une forest qu’il voit haute	si torne a destre partie uers une fourest quil uoit haute	269
310	et espesse	et espesse	270
311	et s’en vet al ferir des esperons;	si sen ua au ferir des esperons	271
312	si se fiert en la forest	et se fiert en la fourest	272
313	et eirre tant qu’il li anuite ;	et erra tant qͥl anuyta	273
314	et lors escote	Et lors escoute	274
315	si ot une cloche soner	si ouy sonner une cloche	275
316	et il sot bien tantost	si sceit bien tantost	276
317	que c’estoit hermitages:	que cest hermitage	277
318	si s’en torne cele part	si se tourne celle part	278
319	et descent a l’uis	et descent a luys	279
320	si apele	si apelle	280
321	et li hermites li oevre son huis	et lermite luy euure	281
322	si a le reçoit a bele chiere	et le recoit a belle chiere	282
323|324	et le desarme il meismes|puis vet cueillir de l’erbe al cheval	Ainsi est demoure Comme boot demoura chex lermite	283
325	et por fere lit al chevalier	che tant quelle fu partie de son chastel	284
326	Ensi est Boors remés chiés l’ermite	et quelle encontra celle boort chex lermite	285
327	et la damoisele de Glocedun chevalcha tant a qu’ele encontra cele de Honguefort;	et la damoisele de glossedin cheuaude hunguefort	286
328	si s’entresaluent	si sentresaluent	287
329	mais molt se merveille cele de Glocedun	mais celle de glossedin se merueille moult	288
330	quant ele voit sa cosine	quant elle uoit sa cousine	289
331	si atornee	si atournee	290
332	et tote sa maisnie:	et toute sa mesgniee	291
333	si li demande l’acheison	si luy en demande lachoison	292
334	et cele li conte de chief en chief	et elle luy comta de chief en chief	293
335	et dist	et dist	294
336	que jamés ne finera d’errer jusqu’el ait le chevalier trové	que iamais ne finera derrer iucqua tant quelle ait trouue le cheualier	295
337|338	et bien sachiés|fet ele	et bien sachez fait elle belle cousme	296
339|340	bele cosine|que c’est li plus bials chevaliers	que cest le plus bel cheualier	297
341	et li mieldres	et le meilleur	298
342	que je onques mes veisse	que ie ueisse oncquez mais	299
343	et si est encore jovenes enfés;	et si est encores ienne enfant	300
344	si ai tel duel	si ay tel deul	301
345	quant il me membre de la vilenie	quant il me menbre de la uilenie	302
346|347	que je fis|qu’a poi	que ie luy feis qua pou	303
348|349	que li cuers ne me part el ventre|— En non Dieu	que le cuer ne me part ou uentre Certes belle cousine fait celle de glocedin	304
350	bele cosine		
351	fet cele de Glocedun		
352|353	s’il vos avint bele aventure|il ne m’est pas hui avenue mains bele	sil uous aduint belle auanture il ne mest pas huy aduenue belle	305
354	Si li conte tot ensi com il li estoit avenu	Si luy compte tout ainsi comme il luy est aduenu	306
355	et dist qu’ele a le chevalier herbergié	et dist quelle a herbrege le cheualier	307
356|357	mais bien sachiés|fet ele	Mais bien sachez fait elle	308
358	que c’est li plus bials chevaliers	que cest le plus bel cheualier	309
359	que je onques mes veisse	que ie ueisse oncque	310
360	et jovenes durement ;	mais et fort ienne	311
361|362	si li devise sa façon|et son grant	si luy deuise sa facon sa grandeͬ	312
363	et sa mesure tant qu’a cele de Honguefort est avis	et sa mesure tant quil est aduis a celle de hunguefort	313
364	que c’est cil qu’ele quiert	qui cest cil quelle quiert	314
365	si li tarde molt qu’ele le voie	si luy tarde moult quelle ne le uoit	315
366	Ensi chevalchent jusqu’al chastel	Ainsi cheuauchent tant quilz sont uenuz au chastel	316
367	si descendent la damoisele molt honorement	si descendent la damoisele moult honnoureement	317
368	et molt font grant joie de li	et moult font grant ioye de luy	318
369	Et lors sont montees el palés;	Et lors sont montez ou palays	319
370|371	si demande cele de laiens ou ses ostes est|Par foi	si demande celle de leans ou est son hoste	320
372	font		
373|374	si chevalier|¡l s’en vet orrendroit tos armés fors de cest chastel	par foy font ces cheualiers il sen uait orendroit tout arme hors de ce chastel	321
375|376	mais il nos dist qu’il revendroit tantost; n’onques por nul pooir ne volt soffrir|que nus de nos alast avec lui	mais il nous a dit quil renuiendra tantost	322
377	—		
378|379	Quel part s’en ala il|fet ele	Quelle part est il alle fait la dame	323
380|381	— Dame|font il	Dame font ilz uers ce boys	324
382	vers cel boschel		
383|384	— Or tost|fet ele	Or montez tost fait elle allez apres	325
385	montés		
386	alés aprés lui		
387|388	si le nos ramenés|Lors sont monté li X	et le ramenez Lors sont montez tous les dix cheualiers	326
389|390	chevalier|et vienent jusqu’al boschel	et uiennent au boys	327
391	si le cerchent amont	si le sercherent amont	328
392	et aval	et aual	329
393	mes del chevalier ne pueent riens trover	mais le cheualier ne peuent ilz pas trouuer	330
394	si en sont molt irié		
395	et dolent		
396|397	et mandent a lor dame qu’il ne le pueent trover|En non Dieu	si le mandent a leur dame quilz ne le peuent trouuer En nom dieu fait elle anisi ne demeurra il pas	331
398	fet ele		
399	ensi ne remandra il pas		
400	Si monte	si monte elle	332
401	et tote sa maisnie	et toute sa mesgniee	333
402	et commande a cerchier le bois de totes pars	et commande a sercher le boys de toutes pars	334
403	et il en font son commandement	et ilz font son commandement	335
404	Mais tot ce ne lor valt riens	mais tout ce ne leur uault riens	336
405	kar il n'em puent avoir nul asenement a	car ilz nen peuent ouyr nul assignement du monde	337
406	Quant ele vit ce	Et quant elle uoit ce	338
407	si s’en retorne en son chastel dolente	si sen retourne en son chastel doulente	339
408	et corociee	et couroucee	340
409	et conte a cele de Honguefort	Et compte a celle de hunguefort	341
410	comment ses ostes s’en estoit alez	comment son hoste sen est alle	342
411	puis demande a cels de laiens Bials seignors	et puis demande a ceulx de leans beaux seigneurs	343
412	quant s’em parti il — Par foi	quant party il	344
413|414	dame|font il	par foy dame font ilz	345
415	si tost com il vos en vit aler	si tost quil uous en uit aller il dist	346
416|417	et dist qu’il revendroit tost|— Par foi	que il reuendroit tantost	347
418|419	fet ele|gabez nos a	Certes fait elle uous uous gabez	348
420	Lors demanda cele de Honguefort quels armes il portoit	Lors demande celle de hunguefort quelz armes il portoit	349
421	et ele li devise	et elle luy deuise	350
422	En non Dieu		
423|424	fet ele|je te trovai hui matin a l’entree d’une forest	Certes fait elle ie le trouuae huy matin a lentree dune fourest	351
425|426	mes il ne portoit mie tel escu com cil|que je quier	mais il ne portoit pas tel escu comme cil	352
427	— Bele cosine		
428|429	fet cele de laiens|il le puet bien avoir changié	que ie quier Belle cousine fait celle de leans il le puet bien auoir despuis change	353
430	et je vos di al mien cuidier	et ie cuide bien a mon cuider	354
431	que ce est cil	que cest cil	355
432	que vos querez :	que uous querez	356
433	si vos prie	si uous pry	357
434	que vos me laissiés o vos aler	que me lessez aller o uous	358
435	tant que trové l’aions	tant que nous layons trouue	359
436	et lors savrai l’acheison por quoi il laissa mon ostel a tel ore	Et lors scauray lachoison	360
437|438	— Il m’est molt bel|fet cele de Honguefort	pour quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort	361
439	que vos i viegniés	que uous y uieguez	362
440	puis qu’il vos plest	quant il uous plaist	363
441	Ensi remistrent la nuit laiens	Ainsi demeurent la nuyt leans	364
442	et al matin	Et au matin	365
443|444	si tost com eles ! virent le jor|si leverent	si tost quelles uirent le iour se leuerent	366
445	et se partirent del chastel	et se partirent du chastel	367
446	et entrerent en la queste de lor chevalier	si entrent en la queste de leur cheualier	368
447	Mais or laisse atant li contes a parler d’eles	Mais or laisse le compte a parler deulx	369
448	et de Boort	et de boort	370
449	et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic	et retourne a parler de lancelot|quant il entra en la fourest de sarponie sicomme le compte a deuise	371|372
450	si com li contes a devise ariers	Cy fine le comte|Et parle de lancelot du lac	373|374
451	Or dist li contes qu’il fist grant chaut le jor	Or dit le conte quil faisoit grant chault le iour	375
452	que Lancelos entra en la forest de Sarpenic	que lancelot entra en la fourest de serpeme	376
453	et por ce ne remest il mie qu’il ne chevalchast jusqu’à none;	et pour ce ne demoura il pas quil ne cheuauchast iucqua nonne	377
454	si li avint ensi qu’il n’encontra home ne feme jusqu’al vespre;	Si luy aduint quil nencontra homme ne femme iucqua uespres	378
455|456	mais lors sans faille|si com il dut issir de forest	mais lors quil deut yssir de la fourest	379
457|458	qui tot le jor li ot duré|encontra une damoisele	qui tout le iour luy auoit dure il encontra une damoisele	380
459	qui molt faisoit grant duel	qui moult faisoit grant deul	381
460|461	et chevalchoit I|palefroi noir a molt riehe lorain	et cheuauchoit ung palefroy noir a moult riche loram	382
462|463	et a molt cointe sele de l'oevre d’Engleterre|Il salue la damoisele	et a moult cointe sele de lueure de angleterre Il salue la damoisele	383
464	et ele lui	et elle aussi luy	384
465	Damoisele	Damoisele	385
466|467	fet il|kar me dites	fait il or me dictes	386
468	s’il vos plest		
469	por quoi vos plorés	pour quoy uous plourez	387
470|471	— Certes|sire	Certes fait elle	388
472	fet ele		
473|474	se je i' cuidoie avoir preu|je le vos diroie	si ie y cuidoye auoir preu ie le uous diroye	389
475	— Damage		
476|477	fet il|ll’i avrez vos ja	Dommaige fait il ny aurez uous pas	390
478	se Dieu plest	si dieu plaist	391
479	mais dites le moi par covent que	Mais dictes le moy par conuent	392
480	se je vos	que si ie uous	393
481	puis aidier a vos esleecier	puis aider a uous aider	394
482	je vos aiderai a mon pooir	it uous aideray a mon pouoir	395
483|484	— En non Dieu|sire	En nom dieu sire fait elle	396
485|486	fet ele|donc le vos dirai je	dont uous diray ie	397
487	ll est voirs	Il est uoir	398
488|489	que Meleagans|li fiz al roi Baldemagu	que meleagant le filz du rop bandemagu alla a la court du roy artus	399
490|491	ala a la cort le roi Artu por la roine Genievre conquerre|s’il peust;	pour conquerre la royne genieure sil eust peu	400
492	et endementiers fist tant une damoisele	Cependant fist tant une damoisele	401
493|494	qui estoit|sa suer qu’ele geta Lancelot d’une tor ou Meleagans l’avoit mis en prison	qui estoit sa seur quelle gecta lancelot du lac dune tour ou meleagant lauoit mis en prison ie ne scay	402
495	ne sai por quoi	pour quoy	403
496	Quant ele l’ot delivré	Quant elle leut deliure	404
497	si le tint avec li tant qu’il fu garis	si le tint auecquez luy tant quil fu guery	405
498	kar molt avoit eu mesaise en la prison	car moult auoit eu mesaise en la prison	406
499|500	et puis l’envoia a la cort le roi Artu ou il ocist Meleagan|ce savons nos or bien	Et puis lenuoya a la court du roy artus ou il occist meleagant ce scauons nous ores bien	407
501	Mais si tost com li parent sorent qu’ele avoit Lancelot osté de la prison	mais si tost|que les parens meleagant sceurent quelle auoit oste lancelot de la prison	408|409
