43|44	gentilz chevaliers|secorés ceste damoisele	et gentil cheualier secoures ceste damoiselle	40
45	que cist ribaut vuelent ocirre	que ces ribaulx ueullent occire haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars	41
46|47	Ha|frans hom	et se uous pitie de moy	42
48|49	ne m’i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	car se uous ne me secoures ie suys a la mort liurer	43
50	Quant Boors ot ce qu’ele li prie	Et quant boort ouyt quelle le prioit	44
51	si pitousement qu'il la secore	si piteusement	45
52	si ne set	si ne scait	46
53	que fere	que faire	47
54|55	kar volentiers li aidast s’il peust;|mais il voit l’eve noire	car uoulentiers luy allast aider se il peult estre mes il uoit la riuiere parfonde	48
56	et parfonde	et dangereuse a passer	49
57|58	et si perilluse qu’il cuide bien noier|s’il se met dedens;	et scait bien sil entre dedens qu il se met en peril de mort	50
59	et d'autre part il voit cele	Et daultre part il uoit celle	51
60	qui si durement crie merci;	qui si piteusement fui crie mercy	52
61	si l'em prent tels pitiés qu’il en laisse totes poors	Si luy en prent telle pitie quil en laisse toute paour	53
62|63	et fet le signe de la crois en mi son vis|puis enbrace l’escu	et fait le signe de la croix deuant son uisaige puys embrache son escu	54
64	et broche le cheval des esperons	et fiert son cheual des esperens	55
65|66	et se fiert en l’eve|Et li chevals fu fors	et se lanche dedens leaue tout erraument:	56
67	si commence a noer	et le cheual commence a noer	57
68	si tost com il ot terre perdue	si tost quil eust terre perdue	58
69	si l’enporte d’autre part de la rive a quelque paine	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine	59
70	mais ançois ot beu de l’eve li uns	car ains quilz feussent passes beurent de leaue lun	60
71	et li autre	et laultre	61
72	et se li chevals ne fust	et se le cheual neust este fort	62
73	si buens	et bon ilz feussent noyes	63
74	noié fuissent ambedui	et lun|et laultre	64|65
75	kar li chevaliers estoit pesans por les armes qu’il avoit vestues	car le cheualier estoit fort pesant|pour les armes quil auoit uestues	66|67
76	Quant il fu de l’autre part de l’eve	Quant il fut de lautre part de leaue	68
77|78	si ne descendi pas|ains cort vers cels	si ne descendist oncques ains courust uers ceulx	69
79	qui la damoisele tenoient	qui la damoiselle tenoient:	70
80|81	et fiert|si le premier qu’il aconsieut qu’il li met le glaive par mi le cors	et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps	71
82	si l’abat a terre	si labat a terre	72
83|84	et li autre s’enfuient erraument|por ce que desarmé estoient	et les autres se met tent en fuite	73
85	Et la damoisele	La damoiselle	74
86	qui delivree se voit se met a genols devant Boort	qui deliuree se sent se met a genoulx deuant lui	75
87	et dist Ha	et lui dit	76
88|89	gentils chevaliers|de Dieu soiés vos beneois	Haa gentil cheualier de dieu soiez uous benoit:	77
90	quant vos m’avés de mort rescosse		
91	et aorés en soit Diex		
92|93	quant il ceste part vos amena|kar cist gloton m’euissent ja morte	car ces gloutens me eussent occiz se ne feussez uous	78
94|95	— Damoisele|fet il	Damoiselle fait il	79
96	por quoi	pour quoy	80
97|98	— Sire fet ele|jel vos dirai bien	Sire fait elle ie le uous diray	81
99|100	mais que vos m’aiés mise a sauveté|— Coment	mais que uous me aiez mise a sauuete	82
101|102	fet il|Avés vos	Comment fait il auez uous	83
103	dont garde	donc paour	84
104|105	— Certes|fet ele	Sire fait elle ia seure ne seray	85
106	ja asseur ne seraî fant com je sache laiens le seignor del chastel	tant que ie sache leans le seigneur de ce chasteau	86
107|108	kar c’est li plus fel chevaliers del monde|et li plus traîtres	car cest le plus fel cheualier du monde	87
109|110	A ces paroles voient issir I|chevalier del chastel	et le plus cruel Ces parolles uoient issir ung cheualier du chasteau:	88
111|112	et la ou il vit Boort|si li escrie Laissiés	et la ou il uoit boort il lui escrie	89
113|114	dans chevaliers|la damoisele	Cheualier laissez la damoiselle	90
115	que vos n’enmenrois mie! Par mon chief	et par mon chief mal la rescouistes	91
116|117	mar le rescosistes|Si li cort quanqu’il puet le glaive alongié;	Boort lentent	92
118|119	et Boors retrait son glaîve a lui del cors a celui qu’il avoit ocis;|si laisse le cheval corre	si lui court tant qu il peut du cheual traire le glaiue allongnie	93
120	et le fiert	et le fiert	94
121	si tres durement qu’il l’abat a terre	si durement quil labat a terre	95
122|123	si estordi qu’il n’a pooir de relever|ains gist pasmés	si estourdy qu il na pouoir de soy releuer:	96
124	kar il chai		
125	si felenessement qu’a poi		
126|127	que la canole del col n'avoit brisee|Et Boors li vet a cheval par desus le cors	et booit lui ua par dessus le col a cheual	97
128	tant que tot le debrise	tant que tout le debrise	98
129	Et lors est la damoisele	Et boort a tant la damoiselle esiouye	99
130	si liee qu’ele ne puet plus	que elle ne peut plus:	100
131	et dist a Boort Sire	et dit a boort	101
132	nos n’avons mes garde	Sire nous nauons mes garde:	102
133	kar je ne cuit qu’il eust plus de chevaliers çaiens	car ie ne cuide point qu il y ait plus de cheualiers leans	103
134	que cestui;	que cestui	104
135	si vos dirai ore seurement ce	si uous diray seurement ce	105
136|137	que vos me demandastes n’a encor gaires|— Dites	que uous mauez demande	106
138	fet il		
139	— Sire		
140|141	fet ele|entre moi	Par ma foy fait elle moy	107
142|143	et I|chevalier	et ung cheualier	108
144	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mon amy estoit cheuauchions parmi cest chasteau	109
145	et quant li freres a celui	Et quant le frere de celui	110
146	que vos avés abatu me vit	que uous auez abatu me uist	111
147	si me volt a force prendre	si me uoulut auoir|et prendre a force:	112|113
148	kar il m’avoit molt longuement amee;	car il me auoit longuement aymee	114
149	si me prist al frain	Il print mon cheual	115
150	et m’en volt mener a force	et men uoulut mener a force:	116
151	mes mes amis se combati a lui tant qu’il l’ocist	mais mon amy se combatist a lui tant qu il loccist	117
152	Et quant cist	Et quant celui	118
153|154	que vos veez ci ore vit son frere mort|si fist mon ami prendre a force de vilains	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens	119
155	et de gens	et de uillains	120
156	et l’ocist en venjance de son frere	et loccist en uengance de son frere	121
157	Mais de moi		
158|159	por cui Ses freres avoit esté ocis|dist il qu’il se vengeroit sans main metre;	et dist quil se uengeroit de moy sans main mettre	122
160	si me fist prendre a ces ribaus	Si me fist prendre par ces quatre ribaulx	123
161	que vos veistes	que uous auez ueu	124
162	et lor commanda qu’il me noiaissent	et leur commanda quilz me noyassent	125
163	kar par armes	car par armes ne uueil ie pas	126
164	dist il	que elle meure	127
165|166	ne vueil je mie qu’ele muire ;|si m'enmenoient	Si me emmenoient ainsi	128
167	si com vos veistes	comment uous auez ueu	129
168	morir	pour noyer	130
169	quant vos me venistes secorre par la volenté de Dieu	quant uaus me uenistes secourir par la uoulente de dieu	131
170	et par la vostre	et par la uostre	132
171	Or vos ai conté mon errement ;	Or uous ay toute compte ma fortune	133
172|173	si voldroie des Ore mes|se vostre plaisirs estoit	si uouldroie se uostre uoulente y estoit	134
174	que vos me menissois a salveté en un mien chastel	que uous me menissez a sauuete en ung mien chasteau	135
175	qui est ci pres	qui est cy pres	136
176|177	— Volentiers|fet il	Voulentiers dit il	137
178	Si le prent par les bras	et il la prent par le bras	138
179	et le monte par devant lui sor le col de son cheval	et puis la met sur le col de son cheual	139
180	si a geté son escu derieres son dos	si a iecte son escu derrier son dos:	140
181	si s’en vet cele part ou la damoisele li enseigne	et puis tourne celle part la ou la damoiselle lui enseigne	141
182	tant que ce vint aprés midi qu’il voient en un tertre I	tant que uint aprez midy	142
183	bel a chastel	que ilz uirent deuant eulx ung moult beau chasteau:	143
184|185	et lors ataignent Il|escuiers	et lors attaignent deux escuiers a lentree de ung petit boix	144
186|187	qui issoient d’un bossel|et aportoit chescuns venoisons trosee detriers soi	et portoit chacun uenoisen derrier lui troussee	145
188	Quant il virent la damoisele	Et quant ilz uirent la damoiselle ilz descendirent a pie	146
189	si descendent a pié	et lui firent|si grant henneur	147|148
190	et li font grant joie com a celi	et si grant ioye comme a celle	149
191	qui lor dame estoit	qui leur dame estoit:	150
192	mais molt se merveillent de ce qu’il la virent plorer:	mais moult se merueillent de ce qu ilz la uoient plourer:	151
193	si li enquierent	si demandent	152
194	que ele a	que elle a	153
195	Et ele lor dit	et elle leur compte	154
196	comment ses amis avoit esté ocis	comment son amy auoit este occy	155
197|198	et je meismes euisse esté morte|se ne fust cis frans chevaliers	et moy mesmes eusse este occie se ne feust ce franc cheualier	156
199	qui par sa debonaireté me resqueust	qui par sa debonnairete ma rescousse	157
200	et se mist em peril de mort por ma vie sauver	et sest mis en peril de mort|pour moy sauuer	158|159
201	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison	Et lors elle parle a conseil a ung des escuiers|et celui se destrousse maintenant de sa uenoison	160|161
202	si la baille a son compaignon por porter	et la baille a porter a son compaignon	162
203	si s’en vet vers le chastel quanqu’il puet traire del roncin	et sen ua uers le chasteau tant quil peut courir atout son roussin	163
204	Et Boors demande a la damoisele	Et boort demande a la damoiselle	164
205	comment li chastials a non ou ses amis a esté ocis	comment le chasteau auoit nom ou son amy auoit este occy	165
206|207	Sire|fet ele	Sire fait elle il a nen galdon	166
208	il a non Galedon	et leaue ou uous passastes a nom galide|Ainsi sen uont parlant ensemble boort	167|168
209	et l’eve par ou vos passastes a non Galede	et la damoiselle	169
210	Ensi parolent tant qu’il sont venu jusqu’al chastel	tant que ilz sont uenus prez du chasteau	170
211	si le voit Boors bien seant	si le uoient beau	171
212	et fort	et fort	172
		et moult bien seant	173
213	Et quant il montent ! le tertre	Et quant ilz sont montez le tertre	174
214	si voient de laiens issir dames	si uirent dames	175
215|216	et damoiseles a grant plenté|dont les unes karolent	et damoiselles a grant plante dent les unes dansoient	176
217	et les autres dancent	et les autres deuisoient	177
218	et les autres joent de divers geus;	et les autres iouoient de diuers ieux	178
219|220	si estoient acesmees|et vestues richement	si estoient toutes uestues moult richement	179
221	et avec venoient chevaliers jusqu’a X	et auec elles uenoient des cheualiers iusques a dix	180
222	qui molt faisoient grant joie;	qui faisoient moult grant ioye	181
223	et quant il voient Boort	Et quant ilz uirent boort	182
224	si crient tuit encontre lui Bien viengniés	si lui crierent tous|Bien uiengniez uous	183|184
225|226	sire|qui nostre dame avez delivres de mort	qui nostre dame auez rescousse de mort	185
227	et rescosse des mains a ses enemis	et deliuree des mains de ses ennemis	186
228	Et lors font descendre lor dame	Et lors font descendre leur dame	187
229	et lui avec :	et lui auec	188
230	si ne vos porroit nus conter la joie	Si ne pourroit nul homme compter la grant ioye	189
231	qui li fu fete	qui leur fut faicte	190
232|233	A tel joie|et a tel feste enmainent Boort jusqu’al palés del chastel	A telle ioye menerent boort au pallais	191
234	si le font desarmer		
235	ou il volsist ou non		
236|237	et il le fist a envis|kar il n’estoit encore mie tens de herbergier	Et quant ilz eurent mengie la damoiselle lui demanda	192
238	Ensi remist Boors laiens		
239|240	si li firent grant joie li un|et li autre	comment il auoit nom	193
241|242	Et quant il orent mengié|a damoisele demande a Boort	Et il respendist quil auoit nom boort le essillie	194
243	comment il avoit non ét ¡l dist qu’il avoit non Boors li Essilliés	et si estoit cousin germain de lancelot du lac	195
244|245	Et vos|fet il	Et uous dame	196
246	damoisele		
247	quels est li vostre nons	quel est uostre nom	197
248|249	— Sire|fet ele	Sire fait elle iay nom benigne de glacedon	198
250|251	je ai non Blevine de Glocedun|issi a non cist chastials ou nos somes	et ce chasteau cy ou nous sommes a aussi nom glacedon	199
252|253	A ces paroles qu’il disoient|es vos I escuier	ces parolles quilz disoient uecy ung escuyer	200
254	qui laiens entre	qui entra leans	201
255|256	si s’agenoille devant la damoisele|Dame	si se agenoille de uant la damoiselle dame fait il madame de honguesfort uous sallue	202
257|258	fet il|la damoisele de Honguefort vostre cosine vos salue	et uous mande	203
259|260	et vos mande qu’ele vient herbergier o vos|Et quant cele l’entent	que elle se ueult ennuyt logier auec uous	204
261	si saut sus		
262	si liee		
263|264	et si joiose|que nule plus	Et quant celle lost	205
265|266	et demande al vaslet ou ele est|Dame	si demande a lescuyer ou elle est dame fait il a demye lieue de cy	206
267|268	fet il|a mains de demie lieue pres de ci	et elle mente sur son cheual auec quatre cheualiers	207
269|270	Et ele fet maintenant sa sele metre|et dist qu’ele ira encontre li;	et quatre escuyers	208
271|272	si monte|et maine o li	pour aller a lencontre de la dame	209
273	VI		
274	chevaliers		
275|276	et Illl|en laisse por fere compaignie a Boort ;	et si laisse quatre cheualiers auec boort	210
277|278	si se part atant de laiens|Mes Boors	pour luy faire compagnie mes boort	211
279|280	qui les noveles a of̈es de cele de Honguefort|si ne set	qui les nouuelles a entendues de la dane de honguesfort ne scait	212
281	que fere	que faire	213
282|283	kar se il remaint laiens|ne puet estre	si pense longuement	214
284|285	que l’en nel conoisse|et ce ne voldroit il por rien:	car il ne ueult pas estre congneu	215
286|287	si pense longuement a ceste chose|Quant il ot une piece pensé	et quant il a longuement pen se	216
288	si se drece en estant	si se lieuue en son estant	217
289	et demande ses armes tost	et demande ses armes	218
290|291	et isnel|Sire	Sire sont ceulx	219
292|293	font cil|qui avec lui estoient	qui auec luy estoient	220
294|295	qu’en volés vos fere|— Je me vueil	pour quoy les demandes uous ie me uueil fait il armer	221
296	fet il		
297|298	un poi aler esbatre jusqu’a cel boschel|si revendrai orendroit	pour moy aller esbatre iusques en ce bochel mes ie reuendray tantost	222
299|300	Cil n’osent son commandement refuser|si aportent ses armes	et ceulx nosent reffuser son commandement lors luy apportent ses armes	223
301	et il les prent		
302	Et quant il est armés	et quant il fust arme	224
303|304	si monte en son cheval a|si se part de laiens par une posterne par devers le boschel	si sen part de le ans par la posterne uers ung petit bosc	225
305	ne ne velt	et ne ueult	226
306|307	que nus li face compaignie|Et quant il est l	que nul luy face compagnie	227
308|309	poi eslongiés del chastel|si torne a destre vers une forest qu’il voit haute	Et quant il est ung pou eslongnie il tourne uers une forest grande	228
310	et espesse	et espesse	229
311|312	et s’en vet al ferir des esperons;|si se fiert en la forest	si fiert des esperons	230
313	et eirre tant qu’il li anuite ;	et sen entra dedens	231
314	et lors escote	et cheuaucha	232
315	si ot une cloche soner	tant que la nuyt uint|Il ouyt une cloche sonner	233|234
316	et il sot bien tantost	si pense tantost	235
317	que c’estoit hermitages:	que cest ung hermitage	236
318	si s’en torne cele part	il sen alla celle part	237
319|320	et descent a l’uis|si apele	et puys frappa a luys	238
321|322	et li hermites li oevre son huis|si a le reçoit a bele chiere	et lermite le rechoit a belle chere	239
323	et le desarme il meismes	et le desarma	240
324	puis vet cueillir de l’erbe al cheval	et puys cueillit de lerbe uerte	241
325	et por fere lit al chevalier	pour le cheual|et fist le lyt au cheualier	242|243
326	Ensi est Boors remés chiés l’ermite	Insi est boort demoure auec lermite	244
327	et la damoisele de Glocedun chevalcha tant a qu’ele encontra cele de Honguefort;	et la damoiselle de glacedon a tant alle quelle encentra celle de honguesfort	245
328	si s’entresaluent	si sentresalluerent	246
329|330	mais molt se merveille cele de Glocedun|quant ele voit sa cosine	Et quant celle de glacedon uoit sa cousine	247
331	si atornee		
332|333	et tote sa maisnie:|si li demande l’acheison	et toute sa mesgnie ainsi atournee elle sen merueille monlt sy lui demande lachoison	248
334	et cele li conte de chief en chief	et celle luy compte toute la uerite	249
335	et dist	et dist	250
336|337	que jamés ne finera d’errer jusqu’el ait le chevalier trové|et bien sachiés	que iamaiz ne finera de errer iusques a tant quelle aura trouue le cheualier	251
338|339	fet ele|bele cosine	et sachiez belle cousine	252
340	que c’est li plus bials chevaliers	que cest le plus beau	253
341	et li mieldres	et le meilleur	254
342	que je onques mes veisse	que ie ueisse on ques	255
343	et si est encore jovenes enfés;	et sy est encore ione enfant	256
344	si ai tel duel	si ay tel deul	257
345	quant il me membre de la vilenie	quant il me souuient de la uillanie	258
346	que je fis	que ie luy feiz	259
347	qu’a poi	que a pou	260
348	que li cuers ne me part el ventre	que le cueur ne me part du uentre	261
349|350	— En non Dieu|bele cosine	Eu nom dieu belle cousine fait celle de glacedon sy uous est aduenu belle auanture il ne men est pas aduenue une moins belle	262
351|352	fet cele de Glocedun|s’il vos avint bele aventure	Sy luy compte tout ainsi	263
353|354	il ne m’est pas hui avenue mains bele|Si li conte tot ensi com il li estoit avenu	comment il luy estoit aduenu	264
355	et dist qu’ele a le chevalier herbergié	et dist quelle auoit herbegie le cheualier	265
356|357	mais bien sachiés|fet ele	et uous dys bien	266
358|359	que c’est li plus bials chevaliers|que je onques mes veisse	que cest le plus beau cheualier du monde sy lui deuise sa facon tant quil est aduiz a celle de honguesfort	267
360	et jovenes durement ;		
361	si li devise sa façon		
362	et son grant		
363	et sa mesure tant qu’a cele de Honguefort est avis		
364	que c’est cil qu’ele quiert	que cest celuy quelle quiert	268
365|366	si li tarde molt qu’ele le voie|Ensi chevalchent jusqu’al chastel	si luy tarde quelle le uoie En telle magniere cheuauchent tant quilz sont uenues au chastel	269
367|368	si descendent la damoisele molt honorement|et molt font grant joie de li	si decendent la damoiselle monlt hounourablement	270
369	Et lors sont montees el palés;		
370|371	si demande cele de laiens ou ses ostes est|Par foi	et font grant ioye de celle de honguesford	271
372|373	font|si chevalier	lors sont mentees au pallaiz	272
374|375	¡l s’en vet orrendroit tos armés fors de cest chastel|mais il nos dist qu’il revendroit tantost; n’onques por nul pooir ne volt soffrir	si demande la damoiselle de leans ou est son hoste deuray dirent les cheualiers de leans Il sen ua orendroit tout seul arme hors de ce chastel mes il nous dist quil reuendroit tantost ne onques ne uolt souffrir	273
376|377	que nus de nos alast avec lui|—	que nul allast auec luy	274
378|379	Quel part s’en ala il|fet ele	si a prins sen chemin uers ce bochel	275
380	— Dame		
381	font il		
382|383	vers cel boschel|— Or tost	Or tost dyt la dame montes sy alles apprez luy	276
384	fet ele		
385	montés		
386|387	alés aprés lui|si le nos ramenés	et le ramenes arriere	277
388|389	Lors sont monté li X|chevalier	Lors montent tous les cheualiers	278
390	et vienent jusqu’al boschel	et uiennent iusques au bochel	279
391|392	si le cerchent amont|et aval	et le chercent ament	280
393	mes del chevalier ne pueent riens trover		
394	si en sont molt irié		
395	et dolent	et aual	281
396|397	et mandent a lor dame qu’il ne le pueent trover|En non Dieu	mais ne le peuent trouuer Eu nen dieu fait elle il ne demoura pas ainsy	282
398	fet ele		
399|400	ensi ne remandra il pas|Si monte	si monte elle	283
401	et tote sa maisnie	et sa mesgnie	284
402	et commande a cerchier le bois de totes pars	et commencent a chercer le bochel de toutes pars	285
403|404	et il en font son commandement|Mais tot ce ne lor valt riens	et prie aulx cheualiers quilz le chersacent mes ce ne leur ualust riens	286
405	kar il n'em puent avoir nul asenement a	car ilz nen porent ouyt nulle uraie enseigne	287
406	Quant ele vit ce	Quant elle uoit ce	288
407	si s’en retorne en son chastel dolente	si sen retoure en son chastel dollente	289
408	et corociee	et courroucee	290
409	et conte a cele de Honguefort	et compte a celle de henguesford	291
410	comment ses ostes s’en estoit alez	comment son hoste sen est alle puys demande a ceulx de leans	292
411	puis demande a cels de laiens Bials seignors	Beaux seigneurs	293
412	quant s’em parti il — Par foi	quant sen parti il par ma foy	294
413	dame	si tost	295
414|415	font il|si tost com il vos en vit aler	que uous feustes partie	296
416|417	et dist qu’il revendroit tost|— Par foi	et dist quil reuendroit tantost	297
418|419	fet ele|gabez nos a	par ma foy dist la dame il nous a gabes	298
420	Lors demanda cele de Honguefort quels armes il portoit	Lors demande celle de honguesford quelles armes il portoit	299
421	et ele li devise	et elle luy deuise	300
422	En non Dieu		
423	fet ele		
424|425	je te trovai hui matin a l’entree d’une forest|mes il ne portoit mie tel escu com cil	Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest mes il ne portoit mye telles armes come celuy	301
426	que je quier		
427	— Bele cosine		
428|429	fet cele de laiens|il le puet bien avoir changié	que ie quiers belle cousine fait celle de leans il les peult bien auoir changiez	302
430	et je vos di al mien cuidier	et ie cuide bien a mon aduiz	303
431	que ce est cil	que cest celuy	304
432|433	que vos querez :|si vos prie	que uous queres sy uous prie	305
434	que vos me laissiés o vos aler	que me lessiez aller auecques uous	306
435	tant que trové l’aions	tant que laurens trouue	307
436	et lors savrai l’acheison por quoi il laissa mon ostel a tel ore		
437|438	— Il m’est molt bel|fet cele de Honguefort	Il mest monlt bel dyt celle de honguesfort	308
439	que vos i viegniés	que uous uiengnies auec moy	309
440	puis qu’il vos plest	puis quil uous plaist	310
441	Ensi remistrent la nuit laiens	ainsi demeurent la nuyt leans	311
442	et al matin	et au matin	312
443|444	si tost com eles ! virent le jor|si leverent	quant ilz uirent le iour	313
445	et se partirent del chastel	si sen partirent du chastel	314
446	et entrerent en la queste de lor chevalier	et entrerent en la queste de leur cheualier	315
447	Mais or laisse atant li contes a parler d’eles	Or lessons maintenant le compte de boors	316
448	et de Boort	et des deux dames	317
449	et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic	et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine	318|319
450	si com li contes a devise ariers	Comment lancelot emporta le corps de gallehaut	320
451|452	Or dist li contes qu’il fist grant chaut le jor|que Lancelos entra en la forest de Sarpenic	que plusieurs cheualiers gardoient:	321
453|454	et por ce ne remest il mie qu’il ne chevalchast jusqu’à none;|si li avint ensi qu’il n’encontra home ne feme jusqu’al vespre;	et comment il rescouist la seur de meleagant	322
455	mais lors sans faille		
456	si com il dut issir de forest		
457	qui tot le jor li ot duré	que len uouloit ardre iiii	323
458|459	encontra une damoisele|qui molt faisoit grant duel	xx	324
460|461	et chevalchoit I|palefroi noir a molt riehe lorain	xiiii	325
462|463	et a molt cointe sele de l'oevre d’Engleterre|Il salue la damoisele	Grant chault fist dit le compie le iour	326
464|465	et ele lui|Damoisele	que lancelot fut entre en la sapinoie	327
466|467	fet il|kar me dites	et pour ce ne demoura il pas quil ne cheuauchast iusques a uespres sans rencentrer homme ne femme	328
468|469	s’il vos plest|por quoi vos plorés	Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy	329
470|471	— Certes|sire	Il salue la damoiselle	330
472	fet ele	et lui dit	331
473	se je i' cuidoie avoir preu		
474|475	je le vos diroie|— Damage	Dame dictes moy	332
476|477	fet il|ll’i avrez vos ja	pour quoy uous plourez sil uous plaist Certes sire se ie y cuidoie auoir prouffit ie uous le diroie	333
478|479	se Dieu plest|mais dites le moi par covent que	Dommage fait il ny aurez uous ia se dieu plaist	334
480	se je vos	car se ie uous	335
481|482	puis aidier a vos esleecier|je vos aiderai a mon pooir	puis aider ie uous aideray a esclercir uostre cueur a mon pouoir	336
483|484	— En non Dieu|sire	Par dieu sire denc fait elle le uous diray ie	337
485	fet ele		
486	donc le vos dirai je		
487	ll est voirs	Il fut uoir	338
488	que Meleagans		
489|490	li fiz al roi Baldemagu|ala a la cort le roi Artu por la roine Genievre conquerre	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre	339
491|492	s’il peust;|et endementiers fist tant une damoisele	En dementiers fist tant une damoiselle	340
493	qui estoit	qui sa seur estoit	341
494|495	sa suer qu’ele geta Lancelot d’une tor ou Meleagans l’avoit mis en prison|ne sai por quoi	que elle iecta lancelot hors de prison de une tour la ou il lauoit mis	342
496|497	Quant ele l’ot delivré|si le tint avec li tant qu’il fu garis	Quant elle leust deliure elle le tint auec elle tant qu il fut gary:	343
498	kar molt avoit eu mesaise en la prison	et moult y auoit eu mesaise	344
499|500	et puis l’envoia a la cort le roi Artu ou il ocist Meleagan|ce savons nos or bien	et puis lenuoia a la court du roy artus la ou il occist meleagant	345
501|502	Mais si tost com li parent sorent qu’ele avoit Lancelot osté de la prison|si distrent qu’ele l’avoit fait por Meleagan ocirre;	mais tantost	346
503	si le pristrent a force	que ses parens sceurent	347
504	et l’acheisonerent de sa mort	que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant	348
505	et distrent que	et fut dit	349
506	s’ele ne trovoit	que se elle ne trouuoit	350
507	qui l’en desfendist	qui la deffendist	351
508	qu'il feroient de lui justice	que len feroit de elle telle iustice	352
509	si grant com l’en doit fere de cele	que len deuoit faire de femme	353
510	qui son frere ocist	qui son frere auoit occis	354
511	Et ele dist qu’ele troveroit bien	Et elle dit|que elle trouueroit bien	355|356
512	qui la desfendroit:	qui len deffendroit	357
513	si mist jor d’amener I	Si lui fut iour determine de trouuer ung cheualier	358
514	chevalier por li desfendre	pour elle deffendre	359
515	si s’est	Et elle a depuis	360
516	puis porchaciee en Pluisors liex	pour chasse en plusieurs lieux	361
517	mais onques ne trova chevalier	mais oncques ne trouua cheualier	362
518	qui ses armes en osast prendre contre celui	qui ses armes osast prendre centre celui	363
519	qui apelee l’avoit	qui lauoit appelle	364
520|521	Or|si est tant la chose alee	Or est tant la chose allee	365
522	que li jors est aterminés a hui ;	que le iour est ennuy termine:	366
523	si n’a trové la pucele nul desfendeor	si na trouue nul desfendeur	367
