	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
24|25|26|27|28|29|30|31	qu’il ne respondront rien, |si ne laisse mie por ce|qu’il ne s’asiee, i’espee çainte, |et oste son hialme de sa teste|et le met delés lui; |puis commence a mengier molt durement, |comme cil |qui grant fain avoit, 	quilz ne respondirent riens |si ne laisse il pas pour ce a sasseoir lespee sainte |et oste son heaume de sa teste |et le mect pres de luy |puis commence fort a manger com cil |qui grant faim en auoit. 	quil ne li réspondent riens |Si ne laisse mie pour chou |quil ne se soit assis auec euls lespee chainte et Oste son heaume de sa teste. |et le met deles lui. |puis mangue moult durement comme cils |qui moult grant fain auoit. 	quilz ne respendirent riens/ |si ne lessa pas pour ce |quil ne se assiesse lespee chainte/ |et oste son heaulme de sa teste |et le mist empres luy |puis commence a menger comme celluy |qui grant fain auoit/ 	quil ne respondent rien. |si ne laisse mie por ce |quil ne saciee lespee sainte. |et oste son hiaume de sa teste |et le met deles lui. |et comance a mengier mout durement. comme ciz |qui grant fain auoit. 	que le non Respondian palabra tiro el yelmo dela cabeza |e asentose conellos ala mesa su espada çinta |e començo a comer muy de Reçio |como aquel que muy grande fambre tenia 	che non gli risponderanno nulla, |si non lascia mica per ciò |che non s’asega, la spada cinta, |e trae suo elmo di sua testa e l mise dallato a llui. |Poscia comincia a parlare molto invisiosamente |come colui |che gran fame avea, 
32	et dist a celui delés 	et dist a celluy 	Et dist a celui 	et dist a celluy empres	et dit a celui 	e dixo aquellos 	e disse a colui 
33|34|35	cui il seoit «Mengiés, bials sire, |et fetes bele chiere ! — |En non Dieu, sire chevaliers, bele chiere ne puis je mie fere de mon mengier, 	pres du quel il estoit assis a mangez beau sire et faictes belle chiere En nom dieu sire cheualier fait il belle chiere ne quis ie faire de mon manger 	qui deles lui seoit. |Biaus sire mangies |et faites lie chiere.|Non dieu sire cheualiers |ce dist cils bele chiere |ne puis iou faire de mon mangier 	qui il se seoit/ mengies |et si faictes benne chere Eu nen dieu dist le cheualier/ belle chere ne puis ie pas faire de mon mengier 	qui deles lui seoit mengiez biau sire |et si faites bele chiere. |En non dieu biax sire cheualiers bele chiere |puis ie faire. de mon mangier	que ante el estauan comed señores e fazed buena cara Pardios dixo el señor dela tienda buena cara yo non puedo fazer |pormi vianda 	che dallato lui sedeva: Mangiate, bel sire, |e fate bella ceral |—A nome di Dio, sire cavaliere, disse quelli, bella cera non posso io mica fare di mi' mangiare, 
36	que vos mengiés devant moi; 	que uous mangez |deuant moy. 	que vous mangies deuant moi 	que uous prenes cy deuant moy/ 	que uos mengiez deuant moi. 	que comedes antemi 	ché vo' mangiate davanti 
37|38|39	kar par aventure ausi grant talent avoie je de mengier |com vos avés : |si vos deffent 	car par auanture en ay ie aussi grant talent |comme uous auez |si uous deffens 	Car par auenture aussi grant mestier en ai iou |comme vous aues. |Si vous desfench	car par aduanture aussi grant tallent auois ie de mengier come uous/ |si uous deffens 	Car par auanture ausi bon mestier auoie ie de mengier |comuos auiez. |si uous desfen 	ca por auentura tamaño talente he della |como vos habedes e ansi vos defiendo 	me;'ché per aventuraaltresi gran talento avea io di mangiare |come voi abiate, |si vo difendo 
40|41	que vos plus ne adesois, |lar par mon chiet vos le porriés bien comparer. » 	que uous ne touchez plus. |Car par mon chief uous le pourriez tost comparer 	que vous ni metes plus la main |quar par mon chief vous le porries bien comparer. 	que uous au mengier ne tendes plus la main/ 	que uos ni adesez plus. |Car par mon chief uos le porrois bien conparee. 	que non metades mas la mano enella |Ca lo podriades muy caramente comprar pormi cabeza 	che vo' più non vi mettiate la mano, |ché, per lo mi capo. vo' la potrete bene comperare». 
42	Et tuit ii autre dient bien 	Et tous les autres dient |que	Et tout li autre dient a une vois. 	et tous les aultres dient 	et tuit li autre li desfandent 	e todos los otros deçian 	E tutti gli altri dicono bene 
43	que s’il ne s’en vet, il l’ocirront; 	se messire gauuain ne sen ua |quilz locciront. 	sil ne sen uait il locirront 	que se mensieur gau. ne sen ua |quilz le occhirent/ 	que ce il ne sen ua il locirront.	que mucho hera loco don galuan por fazer aquello que fazia ya porvos todos dixo 	che se monsignor Galvano no se ne va, |che-ll’uccidranno, 
44	et il dist 	Et il dit 	Et il dist 	et il dist 	et il dit 	don galuan 	ed e' dice 
45|46	que ia por els tos ne s’en remuera, « |mais de mon cheval, fet il, me poisse 	que ia pour eulx tous ne se bougera |mais il me poise fait il de mon cheual 	que ia	que ia pour eulx ne se mouuera/ |mes de mon cheual me poise 	que por aus tous ne ce moura ia. |Mais de mon cheual fait il me poise 	de aqui |no me leuantare |mas de mi cauallo me pesa 	che già per loro tutti non si moverà, |ema di mi' cavallo, diss’elli, mi pesa molto 
47|48	qui n’a que mengier. a» |Lors saillent en estant tuit a et corent as haches et as espees 	qui na que manger |Lors saillent sus tous ceulx de leans |et courent aux haches et aux espees 	por aus tous ne sen partira. |Lors saillent cil as haches et as espees. 	qui na gueres que mengier |Lors saillent en estant tous ceulx de leans |et courent aux haches et aux espees. 	quil na que mengier. LOrs saille tuit a haches et a espees 	que no tiene que comer |entonçes se leuantaron aquellos que ala mesa estauan asentados |e fueron a tomar fachas y espadas 	che non à che mangiare». |Allora salgono in istante tutti quelli di là entro |e corsono ad acciaie 
49|50|51	dont il avoient a plenté. |Quant mesire Gauvain voit ce, |si lace son hialme 	dont leans en auoit grant plante. |Et quant messire gauuain uoit ce si lace son heaume 	Et quant mesires Gauuain uit chou |si lache son heaume	Et|quant mensieur gau. uist ce |si lache son heaulme 	dom il auoit assez laiens.|et quant messires .G. uoit ce: |si relasse son hiaume. 	que ay estauan |que hauia ay nuebas |e quando don galuan aquello vido enlaço su yelmo 	ed a spade, |donde là entro n’avea grande quantita. |PQuando monsignor Galvano vide ciò, |si laccia immantanente suo elmo in suo capo 
52	et cort a son escu. 	et court a son escu la 	et prent son escu. 	et court a son escu la |ou il lauoit lessie: 	et cort a son escu la |ou il lauoit laissie. 	e fue a do estaua su escudo |e tomolo 	e corre a suo scudo là|ov’elli l’avea lasciato; 
		ou il lauoit laisse					
53|54	Et cil vienent les espees traites |por lui ocire, 	et ilz luy uiennent les espees traictes pour loccire 	Et cil sen vienent uers lui lez espees traites |por lui ocirre. 	et ceulx lui uindrent les espee traictes |pour luy occhire/ 	et cil cort alui lespee traite par lui ocirre 	e los dela tienda fueron todos contrael con hachas y espadas |porlo matar 	e que' gli corono, le spade tratte, per lui uccidere, 
55	et il n'en refuse nul 	et il nen refuse nul 	Et il nen refuse nul. 	et il nen reffuse nul/ 	et il ne refuse rien 	mas don galuan no los Rehuso 	ed e' non ne rifiuta niuno 
56|57|58|59|60	qui al devant li viegne, |ains fiert le premier|qu’il encontre a ce |qu’il estoit desarmés, si durement |qu’il li fent la teste en II. moitiés », 	qui uienne au deuant de luy |ains fiert si fort le premier |quil lui fend la teste en deux moities. 	ains trait lespee|et fiert si le premier |que il ataint 	ains fiert le premier |quil encentre |si quil luy fent la teste en deux moitties 	qui au deuant li uaingne. |ains fiert le premier |quil en contre a ce|quil estoit desarmes si duremet |quil li fent la teste en .ii. moitiez. 	antes firio dela espada al primero que encontro porçima dela cabeza |que sela fendio en dos partes |ca estaua desarmado 	che davanti gli vegna, |anzi fiede el primaio |ch’elli incontra, |acciò |ch’egli era disarmato, si duramente |che gli fende la testa in due metà, 
61	et cil chiet mors. 	Et il cheit mort 	quil labat mort. 	et il chiect mort/ 	et cil chiet mors. 	e Cayo luego muerto 	e que cade morto. 
62|63|64|65|66|67|68|69	Et il recort sus as autres |qui lor pooir faisoient de lui blecier e : |si en fiert si l’un |qu’il li trenche le bras par entre l’espaule et le coute. |Et li autre tornent en fuie, |quant il voient lor compaignons si atornez. |Et mesire Gauvain nes deigne plus enchaucier, |ains monte en son cheval 	et il court sus es autres |qui faisoient leur pouoir de blecier |si en fiert ung |si qu il luy trenche le braz entre lespaule et le coude |et les autres tournent en fuye|quant ilz uoyent leurs compaignons |si atourne. |Et messire gauuain ne les daigne chacer |ains monte sur son cheual 	et|puis en fiert. j. autre |si quil li cope le bras. |Et li autre tornent en fuies. |mais mesires Gauuain nen daigna onques. j. encachier. |Ains monta sor son cheual 	et il recourt sus a laultre et le premier |quil encentra apres il lui couppa le bras |et le coste par entre lespaulle, les aultrre tournent en fuite |quant il y uirent leurs compoignens si actournes. |Et mensieur gau. ne les daigne plus enchassier |ains mente sur son cheual 	et il recort sus as autres a|ce |quil faissoient lor pooirs de lui blecier. |si en fiert lun|si quil li tranche le bras enpres lespaule. et li autre dui tornent en fuie |quant il uoient |que lor conpangnon sont ainsi atorne.|et messires .G. nes dangne plus enchaucier |ains monte en son cheual	entonçes se dexo correr a los otros |e firio avno asi quele corto el braço y las costillas por atras dela espalda |e los otros |enque esto bieron començaron a fuir |mas don galuan no quiso yr enpos dellos ante subio ensu cauallo 	Poscia corre suso agli altri |che loro podere facieno di lui uccidere, |si ne fiede si l’uno |che gli trinca il braccio intra la spalla e lo seudo, |e gli altri tornano in fuga |quand’e' vidono loro compagnoni si atornati. |E monsignor Galvano non si travaglia incacciargli, |anzi monta in su' cavallo 
70|71	et se remet en son chemin |et erre jusqu'aprés vespres 	et se mect en son chemin |et era iucqu apres uespres 	et se remist en son chemin. |Si a tant ale 	et se remist en son chemin|et erra iusques a uespres 	et entre en sont chemin. |et erre 	e metiose ensu camino e andado tanto 	e si rimette in suo camino, |e va insino |qu’apresso a vespero 
72	tant qu’il vient en une grant valee	tant qu il uient en une grant ualee. 	quil vint en vne grant ualee 	tant quil uint en une grande uallee:	tant quil uient en une grant ualee. 	que llego a vn balle grande 	tanto |ch’elli giunse in una gran vallata; 
73|74	et esgarde desos Iui el fons del val; |si voit I. petit chastel molt bien seant, 	et il regarde soubz luy ou fons du ual et ueoit ung petit chastel bien seant 	Et il regarde deuant lui 	et il uist au fons du ual ung chasteau moult bien seant	et il esgarde desous lui el fons dun ual. |Si uoit .i. petit chastelet mout bien seant. 	y cato ante si |y vio vn castillo muy bien asentado 	ed elli isguarda di sotto lui nel fondo della valle, |si vide uno castello molto bello e ben sedente, 
75|76	kar il estoit clos d’eve tot entor et de buens murs bateilliés. Il torne son cheval cele part, |kar il i voldra la nuit gesir, 	car il estoit clos deaue tout entour |et de bons murs bataillez Il tourne son cheual celle part.|car il y ueult gesir la nuyt. 	si uit vn castel moult bien seant. clos daigue tout environ. 	et si estoit fort de eaue et de bens murs auirenne. Il tourne celle part |si est uenu iusques a leaue/ 	Car il estoit clos deue tous anuiron. |et de tous murs batilliez. Il torne cele part son cheual. |Car il i uodra la nuit iesir 	ca era çercado enderredor de muy buen muro e fuerte |e don galuan corrio su cauallo contrael castillo |ca queria aquella noche aluergar enel 	ch’egli era chiuso di riviera tutto intorno e di muro battagliato. |Immantanente si torna monsignor Galvano in quelle parti, |ché vorrà là entro stanotte essere a ostello. 
77|78	et est venus jusqu’a l’eve; |si trueve un pont de fust 	et est uenu iucqua leaue|si treuue ung pont de fust 	Et il torne maintenant cele part si est venus iusques a laigue 	et y trouu a ung pent de fust 	et il est uenus iuqua leue. et trueue .i. pont de fust 	e desque llego avna agua pasola a cauallo porvna puente 	Si è venuto insin qua su l’acqua, |si vi truova uno ponte di legno per
							dove l’uomo passava al castello, 
79|80|81|82|83	par ont l’en passoit el chastel ».|Quant il fu venus en la maistre rue, |si chevalche vers la forteresce de laiens; |et quant il en aproche, |si le prise trop, kar c’est la plus riche et la plus fors 	par ou len passoit ou chastel|Quant il fu uenu en la maistre |⟦gue⟧ |si cheuauche uers la forteresce de leans. |et cestoit la maistre tour. |Et quant il est aprouche |si la prise trop |car cest la plus riche 	et entre en la maistre rue. |Si cheualllehe |tant quil vint uers vne forteresce 	par ou len passoit au chasteau. |QUant il fut entre en la maistresse forteresse il la prisa moult |car cest la plus belle et la plus forte 	par ou en passoit au chastel |et quant il est uenus a la maistͤ rue; |si cheuauche uers la fortresce de laiens. |et cestoit li maistre tors. et|quant il laproche |si la priSe trop. |Car cest la plus rich et la plus fort 	e desque llego al castillo entro enel |e fue porvna gran Rua tanto |que llego al alcaçar |y desque y llego el la preçio |mucho |ca era la mas Rica que el nunca viera |e la mas fuerte desu grandez 	e passa el ponte |e si mette di dentro. |E quand’egli è venuto alla mastra ruga, |si cavalca inverso la mastra fortereza di là entro |e agiugne una torre. |a |quand’e' la risguarda, |si-lla pregia troppo, |ché ciò è la più ricca e la più forte 
		et la plus fort 					
84|85|86|87|88|89|90	que jamés il voie de son grant. Il regarde sor destre |et ot crier une feme assés pres de lui, |ce li samble; |et il point maintenant cele part |ou il ot cele |qui crie |et voit en une grant sale, par terre », une damoisele en une cuve de marbre	quil ueist oncquez de son grant. Il regarde sur destre|et ouy crier une femme assez pres de luy |ce luy semble|et il point maintenant celle part |et uoit en une sale par terre une damoisele en une cuue de marbre 	Si regarde desor destre si oy vne vois de femme asses pres de lui |ce li sambloit. ors point maintenant cele part. |ou il ot oy la uois. |Si uit vne damoisele Len vne cuue de marbre 	quil uist oncques de sen grant Il regarde a destre |et ouist crier une femme assez pres de lui |se lui semble. Il alla celle part |et trouua une damoiselle en une cuue de marbre 	que il iamais uoie de son grant. Il regarde sor drestre |si oit crier une fame |se li samble assez pres de lui. |et il point maintenant celepart |ou il oit cele|qui crie. |et ua en une grant sale par terre. |et uit en une cuue de maubre une damoisele. 	e don galuan paro mientes asu diestra |e oyo dar vozes avna donzella |que le pareçio ay çerca y fue contra aquella parte |ado dauan las vozes |e vio vn gran palaçio |e ante el vna donzella |que estaua metida en vna tina de marmol 	ch’elli unque vedesse mai di su' grande. |E elli isguarda di sopra destra partita |e udi gridare una femina assai presso di lui, ciò gli |sembia;Ped e' pugne in quelle parti |ov’elli intende|che quella grida |e vide, inn-una gran sala terena, una damigella in una conca di marmo 
91	qui crioit si durement: « Sainte Marie, 	qui crioit moult fort Saincte marie 	qui crioit a hautes vois. sainte marie aiue 	qui crioit. Saincte marie 	qui crioit mout durement sainte marie 	que daua vozes e deçia sancta maria 	che gridava molto duramente: «Santa Maria, 
92	qui me getera de ci ?» Mesire Gauvain acort cele part 	qui me gectera de cy. Messire gauuain court celle part|ou il oyt celle 	qui me getera de chi |Et mesires Gauuain point cele part 	qui me iectera de cy Messire gauuain approucha 	qui me ietera de ci. Messires .G. acort cele part |ou il oit cele 	quien me sacara de aqui |e don galuan se llego ala tina 	chi mi gitterà di qui?». Monsignor Galvano brocca in quelle parti 
					qui crie. 		
		qui crie 					
93|94	et voit la cuve |qui est bien la moitié plaine d'eve, 	et uoit la cuue |qui est bien la moitie pleine deaue 	et uit la cuue |qui estoit demi plaine daigue	et uit la cuue plaine de eaue 	et uoit la cuue |qui estoit la moitie plainne deue. 	e vido que estaba bien |fasta la meitad llena de agua 	e vide la concache bene era la metà piena, 
95	si qu’a la damoisele i avient jusqu’amont le nombril. 	si que la damoisele y aduient iucquamont sur le nombril. 	si que la damoisele y auenoit iusques au nombril. 	et la damoiselle y estoit iusques au nombril. 	Si que la damoisele ia uient iuscau nombril. et	e la donçella estaua en aquella agua fasta el ombligo 	sicché l’acqua dava alla damigella insin qua presso al petto, 
96|97|98|99|100|101	Et quant ele le voit, |si li dist: « |Ha, sire chevaliers, |por Dieu, getés me de ci !» |Lors gete les mains |et r’aert par mi les flans, 	et quant elle le uoit |si luy dist. |haa sire cheualier pour dieu gectez moy de cy. |lors gecte messire gauuain les mains |et lahert par les flans 	Et quant elle uit monseignour Gauuain |Si li dist. Sire cheualiers pour dieu getes moi de chi Lors giete mesires Gauuain lez mains |et lahert parmi les bras. 	Quant elle le uist |si lui dit. Sire cheualier pour dieu iectez moy de cy. |Lors lui iecte menseigneur gauuain ses bras parmi les flans 	quant ele le uoit |si li dit sire cheualiers ietes moi decci.|Lors geste messires .G. les mains |et laert par les flans. 	e desque vido a don galuan dixole |ay pordios sacadme de aqui |e luego la tomo don galuan porlos braços |e començo a tirar porla sacar 	e si tosto com’ella vide monsignor Galvano, |si gli disse: |Hal, gentil cavaliere, per Dio e per dibonarità, |che voi mi gittiate di qui ovi'sono! |Si m’arete tratta della maggior pena|ov’unche damigella fosse»s. |Mantanente gitta le mani monsignor Galvano |e la piglia per me' fianchi, 
102|103	mais il ne la puet remuer |por pooir 	mais il ne la puet remuer |pour pouoir 	mais il ne la puet remuer |pour pooir 	mais il ne la peut remuer. Il y essaya deux ou trois fois	Mais il ne la puet remuer por pooir 	mas no la pudo Remouer |por poder 	ma unque no-lla può rimuovere per podere 
104|105|106|107|108|109|110|111|112|113|114|115|116|117	qu’il ait; |si s’i essaie Il. fois |ou trois, |et quant cele voit |qu’il ne la remuera, |si li dist: « |Ha, sire chevaliers, failli avés. |Ore poés dire seurement |que ja de cest chastel |ne partirois sans honte avoir. — Damoisele, fet il,|se je ne vos ai delivree, |ce poise moi, |et je en ai fet si mon pooir |que je n’en doi estre blasmés. 	quil ayt. |si se y essaye deux foiz uoire tiers |Et quant elle uoit |qu il ne la remuera pas |si dist |haa sire cheualier uous auez failly. |Or pouez dire sceurement |que ia de ce chastael ne partirez sans honte auoir. Damoisele fait il|si ie ne uous ay deliuree |ce me poise. |et ien ay tant fait mon pouoir |que ie nen deuroye estre blasme 	quil ait. |Si|si assaie. ij. fois ou. iij. |Et quant cele uit |quil ne la remouera |Si li dist. |ha : sire cheualiers failli aues a ceste auenture |Or poes dire |que ia nen partires de chi |sans za honte |auoir Damoisele fait mesires Gauuain |se iou ne vous ai deliuree ce poise moi. |Et sachies |que ie en ai fait tout mon pooir. 	mais il ne la peut remuer. |Quant elle uit |qu il ne la pourroit remuer elle lui dit. |Haa sire cheualier failli auez or pouez bien dire |que de ce chasteau ne partirez ia sans hente auoir. Damoiselle dit il |se ie ne uous ay deliuree ce poise moy/ Ie en ay fait tout mon pouoir/ |si nen dois pas estre blasme. 	quil ait. |Si ci essaie .ii. fois ou trois. |Et quant ele le uoit |si li dit. A sire cheualiers uos i aues faille. |Or porrois dire seurement |que de cest chastel |ne partirois sans honte auoir. Damoisele fait. il ce ie ne uos ai deliuruee ce poise moi. |et Ien ai fait mon poori nen doi estre blasmez. 	que ouiese e prouola vien dos vezes o tres |e quando la donzella vio quela no podia sacar dixo ay señor Cauallero fallido auedes agora podedes dezir |seguramente |que deste castillo non vos partiredes sin desonrra |donzella dixo don galuan |si vos non libro esto pesa ami e yo e hay fecho todo my poder |e poreso non deuo ser vlasmado |mas Ruegovos 	ch’elli abbia.|eSi vi si provò elli due volte o tre, |e quando la damigella vide |che no-lla potrà rimuovere, |si gli disse: |aHal, sire cavaliere, fallito avete a questa aventura. |Or sapiate veracemente |che già di questo castello non uscirete sanza onta |avere.— Damigella, disse monsignor Galvano, |si non v’ô io dilivera ciò pesa ad me, |ch’i' n’ô, diss'elli, fatto tutto mio podere, |si non ne debbo essere biasimato; 
118|119|120	Mes or vos voldroie je proier par amor |que vos me deissiés |comment vos estes ci et par quele aventure 	Mais or uous uoudroye ie prier par amours |que uous me deissez |comment uous estes cy a par quelle auanture 	mais or vous proi par amors |que vous me dites porcoi vous estes chi 	mais or uous uueil ie prier par amours |que uous me diez |pour quoy uous estes icy/ 	Mais or uos uodroie ie prier par enmors |que uos me deissies por coi uos estes ci. et|par quel auanture 	que me digais por amor |porque estades aqui asi |e por qual auentura 	ma io vorei pregare, per Dio, |che vo' mi diciate |come vo ci foste |e per quale aventura, 
121	et se vos en porrois estre delivree. — 	et se uous en poriez estre deliure. 	et se par nul homme vous en porries estre ostee 	et se par nul homme en pourriez estre deliuree. 	et se uos en poez estre deliuree. 	e si podedes por algund ome ser libre |Por buena fee 	e se vo' ne potrete essere dilivera. 
						dixo ella 	
122	Par foi, fet ele, je sui en tele maniere 	Certes fait elle ie y suys en tel maniere 	Par foy fait elle iou sui en tel maniere	Par ma foy fist elle ie suis en telle maniere 	Par foi fait ele ie sui ci en tel maniere. 	yo esto aqui |ental manera 	— Il eper fé, diss’ella, io sono in tale maniera 
123|124|125	que g’i ai totes les dolors |et sueffre totes les anguoisses, ne n’en serai hors devant |que li mieldres chevaliers del monde m’en getera. 	que iaa toutes douleurs |et seuffre toutes les augoisses ne nen seray hors iuqua ce |que le meilleur cheualier du monde men gectera. 	que iou y soeffre toutes les dolours |que femme nulle puist soffrir.|Ne ia nen serai getee deuant chou |que li mieldres cheualiers del monde men getera. 	que iay toutes les doulleurs |et seuffre toutee les peines du mende. |et si nen seray iectee |deuant que le meilleur cheualier du mende men iectera. 	et si sueffre totes les dolors et ai totes les angoisses. |ne nan ferai fors deuant|que li millors cheualiers del monde men ietera. 	que he todos los dolores e todas las cuitas |que persona podria sufrir |e non salire deaqui fastaque el mejor cauallero del mundo me saque 	ch’i' ò tutti e, dolori|e sofero tutte l’angosce |che femina potrebbe sofferire, |né non uscirò davanti|che l miglior cavaliere del mondo me ne trarrà. 
126|127	Mais l’achoisons |por quoi g’i sui mise ne savrois vos ja ne vos ne autres par moi, 	mais loccasion pour|quoy ie suys cy mise ne scaurez uous ia ne uous ne autre par moy 	Mais loccoison porcoi iou y sui. ne saures vous ia par moi 	Et la cause |pour quoy ie y suis ne saurez uous pas 	Mais locoisons por coi ie i sui misse ne sauroif uos Ia ne uos ue autres de par moi. 	e mas la ocasion |por que yo esto aqui metida |non sabredes bos ni otro por mi 	Ma la cagione |perch’io ci sono messa non saprete vo già, |né voi né altri, per me, 
128|129|130	devant |que cil sera venus |qui de ci me getera: 	iucqua ce que cil sera uenu |qui de cy me gectera 	ne vous ne autres deuant chou |que cil|qui men getera sera uenus. 	deuant que celui sera uenu |qui de cy me doibt iecter. 	deuant que cil cera uenus |qui me ietera. 	fastaque venga el que deaqui me sacara o sea venida sera muy ayna 	davanti che que sarà venuto |che di qui mi gitterà; 
131|132	et sa venue est assés pres, |kar ce sera en cest an. — 	et sa uenue est assez pres |ou ce sera en cest an. 	et sa uenue est asses pres. |quar che sera en chest an 	et sa uenue est assez prez/ |car se sera en cest an. 	et sa uenue est assez pres |que |se sera en cest an. 	ca el sera aqui muy ayna eneste año 	e sua venuta est assai presso, |ché ciò sarà in questo anno. 
133|134	Et comment, fet il, est ce |que vos soffrés tantes dolors ? — 	Et comment fait il est ce |que uous souffrez toute douleurs. 	Comment fait il est chou |que vous soffres tant de dolors. 	Et comment fist il est ce |que uous souffrez tant de doulleur. 	et|coment fait il esse |que uos souffres tant de dolors. 	como dixo don galuan sofrides tanto dolor 	—sCome, damigella, disse monsignor Galvano, est ciò |che vo patite tanti dolori? 
135|136|137|138|139	Comment? fet ele. Tastés |quels ceste eve est |et lors le savrois. » reve |mais il ne la cuide l |ja avoir retraite a tens, 	Comment fait elle tastez |quelle est ceste eaue |et lors le scaurez. |Lors mist messire gauuain une main dedans leaue. |mais il ne len cuide ia auoir traicte a temps 	Che safulres vous fait elle |se vous tastes ceste aigue |quele elle est. 	Comment fait elle. Tastez |quelle est ceste eaue |Lors mist monseigneur gauuain sa main dedens |mais il ne la cuida ia auoir retraicte/ 	Comet fait ele tastes |ques ceste eue . |et lors le saures. |Lors met messires .G. lune de ses mains en leue. |mais il ne la cuide ia auoir retraite a tans. 	Como dixo la donzella |prouad esta agua e sauello edes |e luego metio vna de sus manos enel agua 	— Come?, diss’ella. Tastate |qual questa acqua est, |allor lo saprete».
140|141	kar |Lors mist mesire Gauvain l’une des mains dedens 		Lors mist mesires Gauuain ses mains en laigue. 			mas nunca la cuido ende sacar 	PAllor mise monsignor Galvano una delle sue mani ne l’acqua, 
