0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	le pere le filz |et le saint esperit 	0|1
280|281	se j’en fuisse venus al desus. |Et al desus en venisse je par tens, 	et pour ceste chose ie uous quitte men amende 	183
282|283	se je ne vos euisse encontré. — |Par foi, fet Agloval, vos feissiés trop grant desmesure, 	mes ie uueil 	184
284	quant por I. escuier occissiés I. chevalier,		
285|286	et por cest outrage weil |jeque vos vos en metois en sa merci 	que uous uous mettes en la mercy du cheualier/ 	185
287	et je vos cuit orendroit moi. 		
288	Et cil dist 	et celluy dist 	186
289|290	qu’il le fera, |puis qu’autrement ne puet estre; 	que si fera il uoulenlentiers/ 	187
291	si vient devant le chevalier et s’agenoille 	sy uint maintenant au cheualier|et se agenoille deuant lny 	188|189
292	et li crie merci del meffet; 	et lui crie mercy du meffait/ 	190
293	et cil li pardone tot.	et celluy luy pardonne uoullentiers/ 	191
294	Et lors remonte li chevaliers conquis 	et lors monte le cheualier cenquis sur son cheual 	192
295|296	et dist a Agloval: « Sire, fet il, il est huimés tens et hore de herbergier, |kar la nuis i aproche molt durement, 	et dist a agloual. Sire il est meshuy bien temps de herbegier 	193
297|298	et j’ai pres de ci un recet molt aaisié: |por ce vos pri 	car la nuit appronche: 	194
299|300	que vos veigniés anuit mes herbergier o moi |et vos i seriés plus a aise 	et iay cy prez une mienne maison pour ce uous prie ie 	195
301|302	que vos ne seriés en lieu |ou vos puissiés huimés venir. ». 	que uous y uiengnies huymes herbergier: agloual luy octroye/ 	196
303|304	Et Agloval l'otroie,|puis demande al chevalier 	puys demande aglonal au cheualier 	197
305	qu’il avoit rescos 	qu il auoit rescoux 	198
306	dont il est; 	donc il est/ 	199
307	et il dist 	et il dit 	200
308	qu’il est del chastel de Roguedon 	quil est du chastel de roguedon le	201
309	qui est pres d’iluec a une lieue englesche. « 	quel est pres a une lieue englesche/ 	202
310	Et se vos i voliés venir, je vos i feroie honorer sor tos homes 	et se uous y uoulles uenir ie uous y honnoureroye sur tous hommes 	203
311	et je le doi bien fere, lear vos m’avés de mort rescos. — 	car uous me aues de mort rescoux/ 	204
312	Or vos dirai 	or ie uous diray fait le cheuasier cenquis 	205
313|314	que vos ferois, fet li chevaliers conquis. |Vos vendrois huimés herbergier avec nos deus.	que uous feres uons deux: uous uous uendres herbeger auec moy 	206
315|316	Lors si sera entre nos la joie greignor |que se nos estiom departis li uns ça, li autres la. » 	si en ferens meilleur chere/ 	207
317	Et Agloval r'em prie tant que cil l'otroie. 	et agloual en prie tant le cheualier |quil luy octroie/ 	208|209
318	Lors sont tuit troi retorné 	lors sent tous .iii. retournes 	210
319|320	et vont tant|qu’il vienent a unes praeries 	et uent tant quilz uiudient en ung prellet 	211
321	qui estoient en mi la forest; 		
322	et el mi lieu de ces pres avoit une tor fort 		
323	et faute		
324|325	qui estoit close de murs et de fossés; |et il vienent jusqu’a la tor, 	qui estoit eu millieu de la forest/ et eu millieu du quel auoit une tour forte et haulte close de murs et de fosses tout enuiron ilz uindrent iusques a la tour 	212
326	si entrent ens. 	et entrerent ens/ 	213
327	Et cil de laiens corent as estriés,	et ceulx de leans les fent deschendre 	214
328	si les font descendre, 	pour eux desarmer. 	215
329	puis les desarment, lar grant mestier avoient de reposer. 	Et	216
330	Et quant il sont alegié de lor armes, li sires de laiens les maine en sa mestre sale. 	quant ilz sent alleges de leurs armes le signeur de leans les a menes en la maistrrsse salle/ 	217
331	Lors li demande Agloval 	et agloual luy demande 	218
332	comment il a non, 	comment il auoit a nen/ 	219
333	et il dist 	et il dist 	220
334	qu’il a non Grifon del Mal Pas. « 	qu il a a nen griffon du maupas/ 	221
335|336	Et vos, bials sire, fet il a Agloval, |dont estes a vos ? s 	et uous sire fait il a agloual/ 	222
337	Et il dist 	et il dist	223
338	qu’il est de la maison le roi Artu. « 	qu il est de la maison du roy artus 	224
339	Et qu’alés vos querant ? » fet Grifon.	et qu il a a nom agloual/ 	225
340	Et il li conte tote l’aventure de la roine et de Lancelot	et que alles uous querant fait griffon/ et il luy compte laduanture de la royne et de lancelot 	226
341|342	et comment ele vit |que I. chevaliers em portoit la teste. b « 	et comment ung cheualier emportoit sa teste par deuant luy/ 	227
343	Si avom, fet il, tuit juré 	Et sy auons tous iure 	228
344	a que, se nos poons le chevalier trover ne conoistre, 	que se iamais nous pouons le cheualier congnoistre ou trouuer 	229
345	que nos en aporterom la teste al roi e; 	que nous emporterons la teste au roy et a la royne 	230
346	et por ceste chose somes nos meu de la cort tresqu’a dis chevaliers. 	et sommes partis iusques a dix cheualiers les meilleurs |que len puisse trouuer en la court du roy artus 	231|232
347	Quant Gritons ot ce 	qui iamais ne finerens de aller tant|que nous laurons trouue 	233|234
348	que Agloval dist, 	QUant griffon entent ce |que agloual lui a compte 	235|236
349	si se pense 	si se pourpensa 	237
350	qu’il porra fere, 	comment il pour ra faire 	238
351	lar il set bien 	car il scait bien 	239
352	que, s’Agloval le conoist, til ne croira mie 	et cengnoit |que se agloual sauoit 	240|241
353|354	qu’il n’ait Lancelot ocis; |si l’en covendra morir,	comment il auoit naure lancelot a la iouste il ne creoit pas 	242
355	s’il en set novele. 	quil ne leust occis. |Lors lui respont griffon 	243|244
356	Lors dist 	et dist 	245
357	que ce seroit trop grans damages, se Lancelos estoit mors. « 	que trop seroit grant dommage |se lancelot estoit occis. 	246|247
358	Mes totes voies, 		
359|360	bials sire, fet il, i perdistes plus que Lancelot ? — |Oil, en non Dieu, fet il, nos i perdimes Keu le seneschal 	Mais toutesfois ny perdistes uous que lancelot. Eu nen dieu fait agloual keux le seneschal/ saigremor le desree/ 	248
361	et Saigremor le Desreé et Dodinel le Salvage; 	et dodineau le sauuage:	249
362	mais de la perte d’els tos ne nos est mie autant ? comme de Lancelot. — Voire, bials sire, 	mais de sa perte de eulx ne nous est il pas autant comme de lancelot Non fait griffon. |Et ne sauriez uous pas bon gre 	250|251
363	et qui vos rendroit Keu le seneschal, 	qui uous rendroit le seneschal. 	252
364	dont ne l’en savriés vos molt buen gré ? — 		
365|366	Si m’art Diex, fet il, oil, |et molt en avroie grant ioie. 	Si maist dieu oy fait agloual.	253
367	Or sachiés donc, fet il, 	Or sachez fait le cheualier 	254
368	que se vos estes demain a l’ermitage de la Haie, 	que se uous estes demain a lermitage de la haie 	255
369	que vos l’i troverois sans faille. — En non Dieu, sire, fet il, molt grans mercis. »	que uoue le trouerez. Grant mercy sire dit agloual.|et ie y seray 	256|257
370|371	Cele nuit jut laiens Agloval |et a l’endemain se leva, 	Celle nuit geust leans agloual et lendemain si tost comme il uoit 	258
372|373	si tost|com il vit le ior, 	se iour se leua 	259
374	et prist ses armes a; 	et monta sur son cheual 	260
375	si ehevalche droit vers l'ermitage 	et print son chemin tout droit uers lermitage 	261
376	que cil ti avoit dit. 	que griffen lui auoit dit. 	262
377|378	Et quant il se fu partis de l’ostel |ou il avoit geu, Grifons vint a Keu le seneschal 	Quant agloual fut party griffon uint maintenant a keux le seneschal 	263
379	qu’il avoit en sa prison 	quil auoit en sa prison 	264
380|381	et li dist: « Sire Kex, vos estes delivrés de ma prison», |et li conte 	si lui dist keux uous estes deliure de ma prison 	265
382|383	comment, «|et je vueil 	si uueil 	266
384	que vos vos en ailliés de ci a l’ermitage de la Haie 	que uous alliez droit a lermitage de la haie 	267
385	et vos rendés a Agloval. 	et uous rendez a agloual |que uous trouuerez la.	268|269
386	Et s’il vos demande	Et sil uous demande 	270
387|388	qui vos i envoie, |si li dites 	qui uous y enuoie. uous direz 	271
389|390	que vos ne savés |qui ; 	que uous ne sauez pour ce 	272
391	et por ce que je ne ? vueil mie a 	que ie ne uueil pas 	273
392	que nus sache de moi noveles, vueil je 	que len sache uouuelles de moy uueil ie 	274
393	que vos me fiançois 	que uous me promettez 	275
394|395	que vos ne dirois en lieu ou vos veingnois |que 	que uous ne direz en lieu 	276
396	Et vos aiés	ou uous alliez 	277
397|398	çaiens esté |ne nel dirois a home né. » 	que uous auez este ceans en prison. 	278
399	cil li fiance,	Et celui lui promet 	279
400	qui molt est liés de ceste delivrance; 	qui moult estoit ioyeux de sa deliurance.	280
401	si li fet Grifons aporter a mengier 	Si lui fist griffon apporter a mengier 	281
402	et puis commande 	et puis commande 	282
403|404	que l’en li aport ses armes, |et eles li sont aportees. 	que len lui apporte ses armes. 	283
405	Si se part de laiens 	Lors sen part keux 	284
406	et vet tant	et tant erra 	285
407	qu’il vient a hore de tierce al lieu 	quil uint au lieu 	286
408	que l’en li avoit dit; 	ou griffon lui auoit enseigne: 	287
409	si trova Agloval 	si trouua agloual 	288
410|411	qui molt fist grant joie de lui, |quant il le vit, 	qui moult lui fist grant chiere. 	289
412	et li demande 	et lui demanda 	290
413	dont il venoit. 	dent is uenoit 	291
414	Mais il ne li en velt riens dire, 	mais il ne lui en uoulut riens dire. 	292
415	qu’il ne trespassast sa foi. 	qu il ne feust pariure.	293
416	Lors i conte Agloval 	Lors lui compta agloual 	294
417	comment ti dis chevaliers estoient meu por querre Lancelot	comment dix compaignens de la table ronde sestoient meuz |pour querir lancelot 	295|296
418	et que jamés ne finermunt d’errer 	et que iamais ne fineront de errer 	297
419	devant qu’il en aient ores verraies noveles. « 	tant|quilz en aient ouy certaines nouuelles. 	298|299
420	Et vos, fet li mesire Kex, 	Et uous keux dit il 	300
421|422	qu’en ferois vos ? Voldrois vos entrer en ceste queste |por l’amor de Lancelot ? 	que ferez uous. ne uendrez uous point en ceste queste auec nous pour lamour de lancelot. Voulentiers dit il. 	301
423	Certes il i entrast volentiers por vos. » 		
424	Et il dist 		
425	que voirement i enterra il; 		
426	si jure sor une crois de fust, 	Lors iura sur une croix de fust 	302
427	qui devant lui estoit, tot autel sairement 	qui deuant lui estoit autel serment 	303
428	com li autre avoient tet. 	comment les autres auoient iure.	304
429	Et lors acueillent ensamble lor chemin. 	et lors accueillent leur chemin tous ensemble. 	305
430	Mes atant laisse ore li contes a parler d’els deus 	Mais icy laisse le compte a parler de eulx 	306
431	et retorne a mon seignor Gauvain, 	et retourne a messire gauuain 	307
432	si com il s’est partis de ses compaignons. 	si comme il se partist de ses compaignons 	308
		Comme messire gauuain cenquist mathanias deuant son chasteau 	309
		et deliura saigremor le desree de prison. C.ui. 	310
433	Or dit li conte 	Or dist le compte 	311
434|435	que, |quant mesire Gauvain se fu partis de sa compaignie, 	que quant monseigneur gauuain se fut party de ses compaignons 	312
436	qu’il chevalcha tos sols, molt dolens et molt pensis de l’aventure de l’espee 	quil cheuacha tout seul moult dolent et moult pensif de lauanture 	313
437|438	a quoi il avoit failli; |si erra tot le jor sans boivre et sans mengier et	a quoy il auoit failli Il erra toute iour 	314
439	sans trouver aventure 	sans auanture trouuer. 	315
440	qui face a amentevoir 	et tout	316
441|442	Et ausi erra le secunt jor et le tiers. |Mes al quart li avint endroit miedi 	ainsi erra il le secend iour et le tiers Au quart iour	317
