	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
59|60	si l’enporte d’autre part de la rive a quelque paine, |mais ançois ot beu de l’eve li uns et li autre, 	si lenporte dautͤ part la riue a quelque painne. 	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns et li autres. 	si lemporte de lautre part de ma riue a quelque peine. |mais ancois eut beu de leaue lun et lautre. 	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	que paso dela otra parte del agua |mas ante beuio el cauallo del agua 	si ne l portò d’altra parte della riva a qualche pena, 'ma inanzi furono amenduni tutti molli, 
61	et se li chevals ne fust si buens, noié fuissent ambedui, 		Et se li cheuaus ne fust si boins noie fussent ambedui 	et se le cheual ne eust este si bon ilz fuszent tous deux noyez. 	et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre 	e si el caballo tan bueno no fuera |sin dubda el moriera enel agua 	e se l cavallo non fosse stato si forte, anegati fossono amenduni, 
62	kar li chevaliers estoit pesans por les armes 		Car li cheualiers estoit pesans pour lez armes	car le cħlr estoit pesant pour les armes 	car le cheualier estoit fort pesant pour les armes 	e boores porel peso delas armas 	ché l cavaliere era pesante per l’arme 
63	qu’il avoit vestues. 		quil auoit uestues 	quil auoit uestues 	quil auoit uestues. 	que llebaua 	ch’elli avea vestite. 
64|65|66	Quant il fu de l’autre part de l’eve, |si ne descendi pas, |ains cort vers cels 	Si ne descendi pas ains cort uers ciax 	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre |ainsi que vous poes oir.|si ne descendi mie ains cort sus a chiaus 	Quant il fu de lautre part de leaue |si ne descendy pas. |ains court uers ceulx 	Quant il fut de lautre part de leaue |si ne descendist oncques ains courust uers ceulx 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	Quand’e fu da l’altra parte dell’acqua, |si non discende passo, |anzi muove il cavallo inverso di coloro 
67|68	qui la damoisele tenoient |et fiert si le premier 	qui la damoisele renoient 	qui la damoisele tenoient si fiert le premier 	qui tenoient la damoisele |et fiert si fort le premier 	qui la damoiselle tenoient: |et fiert tellement le premier 	e firio al primero 	che lla T tenieno |e fiede si il primaio 
69	qu’il aconsieut 	que il consieut 	quil encontre si durement 	quil actaint 	quil encontre 	que encontro en tal manera 	ch’elli agiugne 
70|71|72|73	qu’il li met le glaive par mi le cors, |si l’abat a terre, |et li autre s’enfuient erraument |por ce que desarmé estoient. 	quil li met le glaiue parmi le cors|si labat mort aterre. |et li autre sen fuient porre |qu il estoient desarme. 	quil li met le glaiue parmi le cors si labat a la terre. |Et li autre senfuient pour chou |que desarme estoient. 	quil luy mect le glaiue parmy le corps |si labat a terre et les autres senfuyent erraument par ce qͥlz estoient desarme. 	qu il lui met le glauie parmy le corps |si labat a terre |et les autres se met tent en fuite. La damoiselle	que le metio la lança porel cuerpo |e los otros dos |que aquello vieron fuyeron luego por miedo de no ser muertos |ca todos estauan desarmados 	che gli mette la lancia per me' il corpo, |si-llo abatte a terra, |e gli altri se ne fugono tosto per ciò |che disarmati erano. 
74|75|76|77|78	Et la damoisele|qui delivree se voit se met a genols devant Boort |et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, |quant vos m’avés de mort rescosse, 	et la damaisele |qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. |quant uos mauez de mort rescoce. 	Et la damoisele |qui deliure se uoit. se met maintenant a genouls deuant bohort |et dist. ha: gentiex cheualiers de dies oess vous beneois |quar vous maues de mort rescousse. 	Et la damoisle|qui se uoit deliure se mect a genoux deuant boort. |Haa gentilz cheualier fait elle. de dieu soyez uous beneist |dont uous mauez de mort rescousse 	qui deliuree se sent se met a genoulx deuant lui |et lui dit. |Haa gentil cheualier de dieu soiez uous benoit: |car ces gloutens me eussent occiz 	e la donçella desque aquello vido finco los ynojos ante boores |e dixo |ay jentil cauallero vendito seades de dios que asi me librastes de muerte 	E la damigella, |che si vide dilivera, si mette a ginocchia davanti Boordo: Hal, gentile cavaliere, diss’ella, da Dio siate vo' benedetto |quando vo m’avete di morte riscossa, 
79|80	et aorés en soit Diex, |quant il ceste part vos amena, 	et aoures soit diex |quant ils amena ceste part. 	Et aoures en soit diex |quant il ceste part vous amena. 	et aoure en soit dieu |dont il uous amena ceste part. 	se ne feussez uous. Damoiselle fait il 	e bendito sea dios |que aqui vos traxo 	e adorato ne sia lddio |quand’elli in queste parti vo menò, 
81|82|83|84|85	kar cist gloton m’euissent ja morte. — Damoisele, fet il,|por quoi ? — Sire fet ele, jel vos dirai bien, |mais|que vos m’aiés mise a sauveté. — Coment ? fet il. Avés vos dont garde ? — |Certes, fet ele, ja asseur ne seraî fant com je sache laiens le seignor del chastel, 	Car cil gloton meussent ia morte ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. |mais que uos maiez misse a Sauuete. |Coument fait il auez uos dont garde. |Certes sire faic ele ia a seur ne sera |tant com ie saiche laiens le signeur de cest chastel. 	Car cist glouton meussent morte |se vous ne fuissies. Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien. |mais que vous maies mise a sauuete |Comment fait il aues vous encore paour. Sire fait elle ia asseuree ne serai tant que iou y sache le seignor del chastel :	Car ces gloutons meussent ia occise |se uous ne fussez Damoisele fait il |pour quot. Sire fait elle ie le uous diray bien.|mais que uous mayez mise a sauuete |Comment fait il auez uous donc garde. |Certes sire fait elle ia ne seray asseuree |tant que ie sache. 	pour quoy. Sire fait elle ie le uous diray |mais que uous me aiez mise a sauuete. |Comment fait il auez uous donc paour. Sire fait elle ia seure ne seray tant que ie sache leans le seigneur de ce chasteau/ 	que estos villanos me hubieran muerto |si por vos no fuera donçella |dixo boores |Por que señor dixo ella |yo vos lo dire |mas ante conuiene |que non aya miedo de ninguno |Donzella dixo boores 	ché questi guiglioni m’avessono già morta, |se vo' non foste. |— Damigella, disse Boordo, perché? -Il vo dirò, diss’ella, bene, |ma' che vo' m’abiate messa a salvamento.|— Come, disse elli, avete vo' dunque guardia? - Certo, sire, diss'ella, già sicura non sarò tanto com’io sappia là entro il signore del castello, 
86|87|88|89	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel |et la ou il vit Boort, |si li escrie : « Laissiés, dans chevaliers, la damoisele|que vos n’enmenrois mie! 	Car cest li plus fel cheualiers dou monde et li plus traites. a ces paroles uoit issir un cheualier del chastel. |et la ou il uoit behort |si li est terre. Laissiez dans cheualiers la damoisele |que uos nen meneroie 	quar cest li plus fel cheualiers del monde et li plus desloiaus. ches paroles voient. j. cheualier issir du castel. |Et la ou il voit bohors. |si li escrie dans cheualiers laissies ester la damoisele |quar vous ne lenmenrois pas 	qui est le seigneur de ce chastel leans |car cest le plus fel cheualier du monde. |Coment boort se combaty pour la damoisele. A cest parole voyent yssir ung cheualier du chastel et la |ou il uoit boors |si luy crie laissez sire cheualier la damoisele |que uous nemmennerrez pas. 	car cest le plus fel cheualier du monde et le plus cruel Ces parolles uoient issir ung cheualier du chasteau: |et la 	de quien auedes miedo |señor dixo ella del señor del castillo ca es el mas follon omne de todo el mundo |e mas cruel |Ellos asi fablando vieron salir del castillo vn caballero |e quando vido a boores començo le a dar boçes 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». A queste parole vidono uscire un cavaliere del castello, |e là |ov’egli vide Boordo si-llo isgrida: «Danzi cavaliere, lasciate la damigella, |ché vonon la menere mica, 
90|91	Par mon chief, mar le rescosistes!» |Si li cort 	et par mon chief mar la rescousites. |Si li acort 	et par mon chief mar le rescousistes |quar vous le comperres se iou puis moult chier. |Et quant bohors lentent si point vers lui 	par mon chief mal la rescoussistes.|si luy court sus 	ou il uoit boort il lui escrie. Cheualier laissez la damoiselle	e a deçir don cauallero a dexar vos conuiene la donzella |ca la non lleuaredes 	e per mio capo male la |riscoteste!».Si gli corre suso |quanto ch’elli puote, la lancia islungata, |e Boordo il fiede si duramente in suo venire 
92|93	quanqu’il puet le glaive alongié; |et Boors retrait son glaîve a lui del cors a celui 	quanquil puet le glaiue alongnre. |et behors retrait son glaiue del cors au ribaut 	quanque il pot del cheual traire le glaiue alongie |quil auoit trait del cors a celui 	tant comme il puet le glayue esloigne. |Et boort le firrt si fort a son uenir |que lescu ne le haubert ne le garantist |quil ne luy mecte fer |et fust parmy le corps. |Et cil cheit a terre tout estandu 	et par mon chief mal la rescouistes. Boort lentent 	e porla my cabeza |ental Punto la acorristes |e luego se dexaron correr el vno contra el otro |e boores lo firio conla lança 	che llo scudo né llo asbergo no-llo guerentisce |che non gli metta per me' il corpo e ferro e fusto, |e que' cade a terra tutto isteso |che più nonn-à mestier di medico. 
				car plus na mestier de mire. 			
94|95|96	qu’il avoit ocis; |si laisse le cheval corre |et le fiert si tres durement 	que il auoit ocis. |Si li laisse le cheual.|et le fiert si durement 	quil auoit ochis. |Si fiert celui si durement 	Et quant ceulx du chastel uoyent leur cheualier ainsi abatu |si luy en enuoyent incontinant ung autre |pour uenger celuy |qui dist a boort |quil se gardast de luy |quil le deffioit. |et il dist |quil le desfie aussi. 	si lui court|tant qu il peut du cheual traire le glaiue allongnie et le fiert si durement 	que auia sacado del cuerpo del villano |que auia muerto en tal manera 	E quando que del castello vidono insi lor cavaliere abatuto,|si ve ne rimandarono immantanente uno altro per quello vendicare, |che disse a Boordo |che ssi guardi da- llui, |ch’elli il disfida, |ed e' dice 
							che disfida lui. PAllora trae la lancia del corpo a colui ch’elli avea morto, 
							si lascia il cavallo andare e l fiede si duramente 
				Lors trait son glayue du corps a celuy 			
				quil auoit occis. 			
				si luy laisse aller le cheual et le fier si fort 			
97	qu’il l’abat a terre si estordi 	quil labat a terre si estordi 	quil labat a terre si estordi	quil labat a terre si estourdy 	quil labat a terre si estourdy 	que dio conel Porlas ancas del cauallo a tierra asi estordido 	ch’elli Il’labatte a terra si stordito 
98|99|100	qu’il n’a pooir de relever, |ains gist pasmés, |kar il chai si felenessement 	que cil na pooir de releuer. |Ains fu pasmes. |Car il fu cheus si uilainnement 	quil not pooir de lui releuer. |Ains iut illueques tous pasmes |quar il cai si felenessement 	quil na pouoir de se releuer. |ains gist pasme |car il fu cheu si felonnessement 	qu il na pouoir de soy releuer: 	que non se pudo leuantar |asi estaua amorteçido dela cayda 	che non à podere di sé rilevare, |anzi giace ispasimato, |ché fu caduto si fellonosamente 
101	qu’a poi que la canole del col n'avoit brisee. 	qua pou quil not la chenole dou col bͥsie. 	que a poi que la canoele del col ne li est brisie. 	qua ponu que la chanole du coul ne luy eftoit brise.		que las coyunturas del pescuezo tenia quebradas 	che a poco che non si ruppe il collo, 
102|103|104	Et Boors li vet a cheval par desus le cors |tant que tot le debrise. |Et lors est la damoisele si liee 	et behors li ua a cheual par desus le cors. |tant que tout le debrisse. |et lors est la damoisele si lie 	Et bohors li uait tout a cheual par desus le cors |Si que tout le debrise. |Et lors est la damoisele si lie 	Et boort luy uait a cheual par dessus le corps |tant que tout le debrise. |et lors est la damoisele si liee 	et booit lui ua par dessus le col a cheual tant que tout le debrise. |Et boort a tant la damoiselle esiouye 	e boores traxo tantas vezes el cauallo sobre el Que todo lo quebranto e la donçella |que aquello vido fue muy alegre 	e Boordo gli va cavalcando per di suso il corpo |tanto che di tutto il dibriscia. Allora est la damigella si lieta 
105	qu’ele ne puet plus 	que ele ne puet plus. 	que plus ne puet. 	quelle ne puet plus 	que elle ne peut plus: 	que mas no lo podia ser 	ch’ella non può più, 
106	et dist a Boort : « Sire, nos n’avons mes garde,	et dit a beh̾. Sire fait ele nous nauons mais garde ce cuige. 	Si dist a bohort sire nous nauons hui mes garde. 	et dist a boort. sire nous nauons mais garde 	et dit a boort. Sire nous nauons mes garde: 	e dixo a boores |señor agora non auedes aqui deque vos mas guardar 	e disse a Boordo: Sire, non no abiamo oggimai guardia, 
107	kar je ne cuit 	Car ie ne cuit 	Car iou quit 	car ie cuidoie 	car ie ne cuide point 	ca eneste castillo no auia 	ch’io non credo mica 
108	qu’il eust plus de chevaliers çaiens que cestui;	quil ait mais cheualier laiens plus que cestui. 	quil ni a plus de cheualiers laiens que cestui. 	quil y eust leans plus de cheualiers |quil ny a 	qu il y ait plus de cheualiers leans que cestui 	mas deste cauallero segund cuydo |e agora os direlo 	ch’egli abbia là entro più cavalieri |che questi, 
109	si vos dirai ore seurement ce 	Si uus dirai ore seurement ce 	Si vous dirai ce |que vous me denmandastes. 	Si uous diray seurement ce 	si uous diray seurement ce	que me preguntastes seguramente |Pues deçidmelo dixo boores 	si vi dirò ora sicuramente ciò 
							che voi mi domandaste. 
