	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
28	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	dont la facon luy plaist moult a regarder 	car monlt luy plaisoit a uoir/ 	dont la fachons li plaisoit moult a regarder. 	ca mucho se pagaua delo catar 	donde la fazion gli piace molto al riguardare, 
29	puis s’en torne contreval la riviere 	et puis sen torne tot contreual la riuere. 	puis sen retourne tout contreual la riuiere 	puis sen tourne contre ual la riuiere 	puis sen torne contremont la riuiere 	e despues torno la rribera ayuso 	poscia ritorna tutto contravalle la riviera 
30|31	por savoir |s’il i peust trover ne pont ne gué, 	Por sauoir |se il i troueroit ne pont ne gue. 	pour sauoir sil pourroit trouuer ne pont ne gue 	pour scauoir sil |pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	pour sauoir |se il troueroit ne pont ne gue. 	Por saber si podria fallar puente 	per sapere se potrebbe trovare né ponte né guado, 
32|33|34|35|36	mais il n’en trueve point |et quant il voit |qu’il n’i passera, |si ne set que fere, |que retorner ne voldroit il mie. 	mais il nen i trurue point : |si ne sot que faire |car retorner ne wet il mie 	Mais il ny en treuue point. |Et quant il uoit quil ne puet passer |si ne scet que faire |car retourner ne uouldroit il pas. 	mes il nen truue point. |Et il uoit ce |si ne scait que faire/ |car retourner ne uoulloit pas. 	mais il ni trueue nul passage. |Et quant il voit chou |si ne set |que faire |quar retorner ne volroit il en nulle maniere. 	Por do pasase |mas el no pudo fallar ninguna |e boores desque esto vido no sabia |que se façer |ca el no se queria tomar en ninguna manera 	ma e non ve ne truova punto, |e quand’e vede che non potrà passare, |si non sa che fare, |ché ritornare non vorebbe elli mica. 
37|38	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise, 	atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	Adonc uoit yssir du chastel une damoisele |qui estoit toute nue en sa chemise. 	A tant uoit yssir une damoiselle du chastel |la quelle estoit toute nue en sa chemise/ 	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	Ansi estando vio del castillo salir vna donçella en camisa 	?Atanto vide uscire una damigella del castello |ch’era tutta ignuda in sua camicia solamente, 
39	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	si la menoyent quatre nibaux moult uilainement 	sy la menoient quatre ribaulx monlt felonneusement 	si le menoient. iiij. ribaut moult felenessement 	que traian quatro rribaldos muy sañudamente 	si-lla menavano iiii. rubaldi molto villanamente e 
40	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	et tenoit ch̃un une hache en sa main. 	et tenoient chascun en sa main ung coustel trenchant. 	et tenoit Cascuns en sa main. i. coutel trenchant. 	e cadavno traia enla mano vna lança 	tenieno ciascuno una acciaia in sua mano. 
41|42|43|44	et ele crioit |quanque ele pooit crier |por els |qui li faisoient tel honte et tel laidure 	et ele crioit |quantque le pooit crier. |por ciax |qui li fasoient tele honte. et tel laidure 	et elle crioit tant quelle pouoit crier |pour ceulx |qui luy faisoient tel honte et telle laidure 	Et la damoiselle crioit |tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ 	Et elle crioit |quamque elle pooit por chiaus |qui li faisoient tel laidure. 	e ella daua vozes |quanto podia dar |e ellos la lleuaron muy desonrrada mente 	Ed ella grida quanto |ch’ella può gridare |per coloro che-lle facieno cotale onta e tal ladiura, 
45	qu’il la venoient batant tot contreval la riviere. 	que il la menoient batant tout contrtual la riuiere t 	qui la uenoient batant tout contreual la riuiere. 	et la menoient batant contre ual la riuiere. 	quar il lenmenoient tot contreual la riuiere batant 	contra la rribera |porla yr ha echar 	ch’elli la menavano |battendo tutto contravalle la riviera. 
46|47	Et quant la damoisele vit le chevalier |de l’autre part de ! l’eve, 	quant la damoisele uoit le cheualier dautre part la riuiere. 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ 	Et quant elle vit le cheualier de lautre part de laigue. 	e quando la donçella vio a bores dela otra parte del agua 	E quando la damigella vide lo cavaliere |dall’altra parte dell’acqua, 
48|49|50|51	si commence a crier: « |Ha, |gentilz chevaliers, |secorés ceste damoisele 	si li comance a crier. ha: |gentis cheualiers secores ceste damoisele 	si luy commence a crier |haa gentili cheualier secourez ceste damoisele 	uiere commenca a crier |et dire en tell maniere |Haa beau et gentil cheualier secoures ceste damoiselle 	si li commenche a crier. |Ha : |gentils homs quar secoures ceste damoisele 	començo a dar vozes |e a deçir ay jentil cauallero acorred a esta donçella 	si gli comincia a gridare: |Hal, gentile huomo, |soccorete questa damigella 
52|53|54|55	que cist ribaut vuelent ocirre. |Ha, |frans hom, |ne m’i laissiés morir, 	que ciz ribaut wellet ocire. ha; |frans hons ne mi laissiez morir 	que ces ribaux ueulent occire. |Haa franc homme ne me lessez mourir 	que ces ribaulx ueullent occire/ haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. |et se uous pitie de moy |car se uous ne me secoures 	que cist ribaut voelent ochirre. |Pour dieu ne mi laissies ore mie morir. 	que estos Ribaldos me quieren |ansi matar ay buen cauallero 	che questi rubaldi vogliono uccidere! |Hal, franco cavaliere, |non mi lasciate uccidere, 
56	se vos onques eustes pitié de nule gentil damoisele !» 	se uos eutes onques pitie de franche damosele. 	si uous eustes onc pitie de nulle gentilz damoisele. 	ie suys a la mort liurer. 	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	si nunca oviste piedad de donçella auelda agora de mi 	se voi unque aveste piatà di nulla gentile damigella». 
57	Quant Boors ot ce 	quant boh̾. oit cele 	quant boort ouy celle 	Et quant boort ouyt 	Quant bohors oy 	e no me dexedes asi morir Quando boores oyo lo 	“Quando Boordo ode colei 
58|59|60	qu’ele li prie si pitousement |qu'il la secore, |si ne set que fere, 	que si piteusement lapele |et li prie quil la sekeure. |Sire set que faire. 	qui le prie si piteusement |quil la sequeure |il ne scait que faire 	quelle le prioit si piteusement |si ne scait que faire 	que la damoisele li prioit si piteusement de li secorre |si One sot 	que la donçella deçia no supo |que façer 	che l priega si piatosamente |che-lla soccorra, |si non sa che fare, 
61|62	kar volentiers li aidast |s’il peust; 	car uolentiers li alait aidier |se il poist. 	car uoulentiers luy alast aider sil peust 	car uoulentiers luy allast aider |se il peult estre/ 	que faire quar volentiers li alast aidier sil peust estre 	ca muy de grado la quisiera acorrer |si pudiese 	ché volentieri l’andasse ad atare se potesse, 
63	mais il voit l’eve noire et parfonde et si perilluse 	Mais il uoit leue si parfonde et si perilleuse 	mais il uoit leaue parfonde noire et perilleuse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	mais il voit laigue parfonde et perillouse et noire. 	Mas el agua hera muy fonda e peligrosa e negra 	ma e vede l’acqua nera e profonda e perigliosa 
64|65	qu’il cuide bien noier, |s’il se met dedens; 	que il cuide bien perir |se il se met dedans. 	que il cuide bien mourir sil si mect dedans. 	et scait bien sil entre dedens |qu il se met en peril de mort. 	si quide bien morir |se il si met 	e bien cuidaua morir |si se y Metiese 	che crede bene morire |s’elli si mette di dentro; 
66	et d'autre part il voit cele 	et dautre part il uoit cele 	Et dautre part il uoit celle 	Et daultre part il uoit celle 	Et dautre part voit il cels 	e dela otra parte veya la donçella 	e d’altra parte e vede colei 
67	qui si durement crie merci; 	qui si docemet li prie nc .ci. 	qui si fort luy crie mercy. 	qui si piteusement fui crie mercy. 	qui si piteusement li crie merci. 	que muy afincada mente le pedia merçed 	che si duramente gli grida mercé, 
68	si l'em prent tels pitiés 	Si len prent tes pitiez 	si luy en prent telle pitie 	Si luy en prent telle pitie 	si len prent tele pities 	e ovo tal piedad della 	si ne gli prende tale piatà 
69	qu’il en laisse totes poors 	quil en laisse totes paours. 	quil en laisse toute paour. 	quil en laisse toute paour 	quil en laisse toute paour 	que le fiço todo el miedo perder 	che ne lascia tutte paure 
70|71|72	et fet le signe de la crois en mi son vis, |puis enbrace l’escu |et broche le cheval des esperons 	Si fait le signe de la crois enmi son uis. |puis enbrace lescu. |et broche le cheual des esperons 	si en fait le signe de la croix enmy son uis. |puis embrace lescu et broche le cheual des esperons 	et fait le signe de la croix deuant son uisaige puys embrache son escu |et fiert son cheual des esperens 	et met le signe de la vraie crois en mi son front et en mi son pis. |puis enbrace son escu |et fiert le cheual des esperons 	e fiço la señal dela cruz sobre si |e enbraço el escudo |e firio al cauallo de las espuelas 	e si fa el segno della santa croce nel miluogo del suo viso, |poscia imbraccia lo scudo |e broca il cavallo degli sproni, 
73|74|75	et se fiert en l’eve. |Et li chevals fu fors, |si commence a noer 	et se fiert en leue tot errantment. |Et li cheuaus fu fors si comance a noer 	et se fiert erraument en leaue. |et le cheual fu fort |si commence a nouer 	et se lanche dedens leaue tout erraument: |et le cheual commence a noer 	et se lance en laigue. |Et li cheuaus commence a noier: 	e lanço se en el agua |e el cauallo començo de nadar |luego 	si fiede nell’acqua isnellamente. |El cavallo fu forte, |incominciò a notare 
76|77	si tost com il ot terre perdue, |si l’enporte d’autre part de la rive a quelque paine, 	si tost com il ot terre perdue |si lenporte dautͤ part la riue a quelque painne. 	si tost quil eut terre perdue |si lemporte de lautre part de ma riue a quelque peine. 	si tost quil eust terre perdue. |et sen passe le cheual |iusques de laultre part de leaue 	si tost quil a terre perdue. |si lenporte de lautre part a grant paine 	e perdio tierra en tal manera que paso dela otra parte del agua 	si tosto com'elli ebbe terra perduta, |si ne l portò d’altra parte della riva a qualche pena, 
78	mais ançois ot beu de l’eve li uns et li autre, 		mais ancois eut beu de leaue lun et lautre. 	mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	mes aincois ot beu de laigue li vns et li autres. 	mas ante beuio el cauallo del agua 	'ma inanzi furono amenduni tutti molli, 
79|80	et se li chevals ne fust si buens, |noié fuissent ambedui, 		et se le cheual ne eust este |si bon ilz fuszent tous deux noyez. 	et se le cheual neust este fort |et bon ilz feussent noyes et lun et laultre 	Et se li cheuaus ne fust si boins noie fussent ambedui 	e si el caballo tan bueno no fuera |sin dubda el moriera enel agua 	e se l cavallo non fosse stato si forte, |anegati fossono amenduni, 
81	kar li chevaliers estoit pesans por les armes 		car le cħlr estoit pesant pour les armes 	car le cheualier estoit fort pesant pour les armes 	Car li cheualiers estoit pesans pour lez armes 	e boores porel peso delas armas 	ché l cavaliere era pesante per l’arme 
82	qu’il avoit vestues. 		quil auoit uestues 	quil auoit uestues. 	quil auoit uestues 	que llebaua 	ch’elli avea vestite. 
83|84|85|86|87|88	Quant il fu de l’autre part de l’eve, |si ne descendi pas, |ains cort vers cels |qui la damoisele tenoient |et fiert si le premier |qu’il aconsieut 	Si ne descendi pas ains cort uers ciax |qui la damoisele renoient |que il consieut 	Quant il fu de lautre part de leaue |si ne descendy pas. |ains court uers ceulx |qui tenoient la damoisele |et fiert si fort le premier |quil actaint 	Quant il fut de lautre part de leaue |si ne descendist oncques |ains courust uers ceulx qui la damoiselle tenoient: |et fiert tellement le premier quil encontre 	si en fu moult en peril. . |uant bohors ot passe laigue |pour la damoisele secorre ainsi que vous poes oir. |si ne descendi mie ains cort sus a chiaus |qui la damoisele tenoient |si fiert le premier quil encontre si durement 	e desque fue dela otra Parte del agua dexo se correr |aquellos que la donçella tenian |e firio al primero |que encontro en tal manera 	Quand’e fu da l’altra parte dell’acqua, |si non discende passo, |anzi muove il cavallo inverso di coloro |che lla T tenieno e fiede si il primaio |ch’elli agiugne 
89|90|91|92	qu’il li met le glaive par mi le cors, |si l’abat a terre, |et li autre s’enfuient erraument |por ce que desarmé estoient. 	quil li met le glaiue parmi le cors |si labat mort aterre. |et li autre sen fuient porre |qu il estoient desarme. 	quil luy mect le glaiue parmy le corps |si labat a terre et les autres senfuyent erraument par ce qͥlz estoient desarme. 	qu il lui met le glauie parmy le corps |si labat a terre |et les autres se met tent en fuite. 	quil li met le glaiue parmi le cors si labat a la terre. |Et li autre senfuient |pour chou |que desarme estoient. 	que le metio la lança porel cuerpo |e los otros dos |que aquello vieron fuyeron 	che gli mette la lancia per me' il corpo, |si-llo abatte a terra, |e gli altri se ne fugono tosto per ciò che disarmati erano. 
93	Et la damoisele 	et la damaisele 	Et la damoisle 	La damoiselle 	Et la damoisele 	luego por miedo de no ser muertos 	E la damigella, 
94|95|96|97|98|99	qui delivree se voit |se met a genols devant Boort |et dist: « |Ha, |gentils chevaliers, |de Dieu soiés vos beneois, 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele |beneois soiez uos de dieu. 	qui se uoit deliure se mect a genoux deuant boort. |Haa gentilz cheualier fait elle. |de dieu soyez uous beneist 	qui deliuree se sent |se met a genoulx deuant lui |et lui dit. |Haa gentil cheualier de dieu soiez uous benoit: 	qui deliure se uoit. |se met maintenant a genouls deuant bohort |et dist. ha: |gentiex cheualiers de dies oess vous beneois 	ca todos estauan desarmados |e la donçella desque aquello vido finco los ynojos ante boores e dixo |ay jentil cauallero vendito seades de dios 	che si vide dilivera, |si mette a ginocchia davanti Boordo: |Hal, gentile cavaliere, diss’ella, |da Dio siate vo' 
100|101|102	quant vos m’avés de mort rescosse, |et aorés en soit Diex, |quant il ceste part vos amena, 	quant uos mauez de mort rescoce. |et aoures soit diex |quant ils amena ceste part. 	dont uous mauez de mort rescousse et aoure en soit dieu |dont il uous amena ceste part. 	car ces gloutens me eussent occiz |se ne feussez uous. 	quar vous maues de mort rescousse. |Et aoures en soit diex |quant il ceste part vous amena. 	que asi me librastes de muerte |e bendito sea dios |que aqui vos traxo 	benedetto quando vo m’avete di morte riscossa, |e adorato ne sia lddio |quand’elli in queste parti vo menò, 
103|104|105|106	kar cist gloton m’euissent ja morte. |— |Damoisele, |fet il, 	Car cil gloton meussent ia morte ce uos ne fussiez. |Damoisele fait il porcoi. 	Car ces gloutons meussent ia occise se uous ne fussez |Damoisele fait il pour quot. 	Damoiselle fait il pour quoy. 	Car cist glouton meussent morte |se vous ne fuissies. |Damoisele ce dist bohors 	que estos villanos me hubieran muerto |si por vos no fuera |donçella dixo boores 	ché questi guiglioni m’avessono già morta, |se vo' non foste. |— Damigella, |disse Boordo, 
107|108|109|110	por quoi ? |— |Sire fet ele, |jel vos dirai bien, 	Sire fait ele |ie le uos dirai bien. 	Sire fait elle ie le uous diray bien. 	Sire fait elle ie le uous diray 	pourcoi vous voloient il mal faire |Sire fait elle iou le vous dirai bien. 	Por que señor dixo ella |yo vos lo dire 	perché? |-Il vo dirò, |diss’ella, bene, 
111|112|113	mais que vos m’aiés mise a sauveté. |— |Coment ? 	mais que uos maiez misse a Sauuete. 	mais que uous mayez mise a sauuete 	mais que uous me aiez mise a sauuete. 	mais que vous maies mise a sauuete 	mas ante conuiene 	ma' che vo' m’abiate messa a salvamento. |— Come, 
114|115	fet il. |Avés vos dont garde ? — 	Coument fait il auez uos dont garde. 	Comment fait il auez uous donc garde. 	Comment fait il auez uous donc paour. 	Comment fait il aues vous encore paour. 	que non aya miedo de ninguno 	disse elli, |avete vo' dunque guardia? - 
116|117|118|119	Certes, |fet ele, |ja asseur ne seraî fant |com je sache laiens le seignor del chastel, 	Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel. 	Certes sire fait elle ia ne seray asseuree tant que ie sache. |qui est le seigneur de ce chastel leans 	Sire fait elle ia seure ne seray |tant que ie sache leans le seigneur de ce chasteau/ 	Sire fait elle ia asseuree ne serai tant que iou y sache le seignor del chastel : 	Donzella dixo boores |de quien auedes miedo |señor dixo ella del señor del castillo 	Certo, |sire, diss'ella, |già sicura non sarò tanto |com’io sappia là entro il signore del castello, 
120	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	Car cest li plus fel cheualiers dou monde |et li plus traites. 	car cest le plus fel cheualier du monde. |Coment boort se combaty pour la damoisele. 	car cest le plus fel cheualier du monde et le plus cruel 	quar cest li plus fel cheualiers del monde et li plus desloiaus. 	ca es el mas follon omne de todo el mundo |e mas cruel 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». 
121	A ces paroles voient issir I. chevalier del chastel 	a ces paroles uoit issir un cheualier del chastel. 	A cest parole voyent yssir ung cheualier du chastel 	Ces parolles uoient issir ung cheualier du chasteau: 	ches paroles voient. j. |cheualier issir du castel. 	Ellos asi fablando vieron salir del castillo vn caballero 	A queste parole vidono uscire un cavaliere del castello, 
122|123|124|125|126	et la ou il vit Boort, |si li escrie : « |Laissiés, |dans chevaliers, |la damoisele 	et la ou il uoit behort |si li est terre. |Laissiez dans cheualiers la damoisele 	et la ou il uoit boors |si luy crie laissez sire cheualier la damoisele |que uous nemmennerrez pas. |par mon chief mal la rescoussistes. |si luy court sus tant comme il puet le glayue esloigne. |Et boort le firrt si fort a son uenir 	et la ou il uoit boort il lui escrie. |Cheualier laissez la damoiselle 	Et la ou il voit bohors. |si li escrie dans |cheualiers laissies ester la damoisele 	e quando vido a boores començo le a dar boçes |e a deçir don cauallero |a dexar vos conuiene la donzella 	e là ov’egli vide Boordo |si-llo isgrida: |«Danzi cavaliere, |lasciate la damigella, 
127|128|129|130	que vos n’enmenrois mie! |Par mon chief, |mar le rescosistes!» |Si li cort 	que uos nen meneroie et par mon chief mar la rescousites. |Si li acort 	que lescu ne le haubert ne le garantist |quil ne luy mecte fer |et fust parmy le corps. |Et cil cheit a terre tout estandu |car plus na mestier de mire. |Et quant ceulx du chastel uoyent leur cheualier ainsi abatu |si luy en enuoyent incontinant ung autre |pour uenger celuy 	et par mon chief mal la rescouistes. 	quar vous ne lenmenrois pas |et par mon chief mar le rescousistes |quar vous le comperres se iou puis moult chier. |Et quant bohors lentent si point vers lui 	ca la non lleuaredes |e porla my cabeza |ental Punto la acorristes |e luego se dexaron correr el vno contra el otro 	ché vonon la menere mica, |e per mio capo male la riscoteste!». |Si gli corre suso quanto ch’elli puote, |la lancia islungata, 
							e Boordo il fiede si duramente in suo 
			qui dist a boort 				
131|132	quanqu’il puet le glaive alongié; |et Boors retrait son glaîve a lui del cors a celui 	quanquil puet le glaiue alongnre. |et behors retrait son glaiue del cors au ribaut 	quil se gardast de luy |quil le deffioit. |et il dist |quil le desfie aussi. |Lors trait son glayue du corps a celuy 	Boort lentent si lui court 	quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui 	e boores lo firio conla lança 	venire che llo scudo né llo asbergo |no-llo guerentisce che non gli metta per me' |il corpo e ferro e fusto, |e que' cade a terra tutto isteso 
							che più nonn-à mestier di medico. 
133|134	qu’il avoit ocis; |si laisse le cheval corre 	que il auoit ocis. |Si li laisse le cheual. 	quil auoit occis. |si luy laisse aller le cheual 	tant qu il peut du cheual traire le glaiue allongnie 	quil auoit ochis. 	que auia sacado del cuerpo del villano 	E quando que del castello vidono insi lor cavaliere abatuto, |si ve ne rimandarono |immantanente uno altro per quello vendicare, |che disse a Boordo |che ssi guardi da- llui, |ch’elli il disfida, |ed e' dice che disfida lui. |PAllora trae la lancia del corpo a colui |ch’elli avea morto, |si lascia il cavallo andare 
135	et le fiert si tres durement 	et le fiert si durement 	et le fier si fort 	et le fiert si durement 	Si fiert celui si durement 	que auia muerto en tal manera 	e l fiede si duramente 
136	qu’il l’abat a terre si estordi 	quil labat a terre si estordi 	quil labat a terre si estourdy 	quil labat a terre si estourdy 	quil labat a terre si estordi 	que dio conel Porlas ancas del cauallo a tierra asi estordido 	ch’elli |Il’labatte a terra si stordito 
137|138|139|140|141|142|143	qu’il n’a pooir de relever, |ains gist pasmés, |kar il chai si felenessement |qu’a poi |que la canole del col n'avoit brisee. |Et Boors li vet a cheval par desus le cors |tant que tot le debrise. 	que cil na pooir de releuer. |Ains fu pasmes. |Car il fu cheus si uilainnement |qua pou quil not la chenole dou col bͥsie. |et behors li ua a cheual par desus le cors. |tant que tout le debrisse. 	quil na pouoir de se releuer. |ains gist pasme |car il fu cheu si felonnessement qua ponu |que la chanole du coul ne luy eftoit brise. |Et boort luy uait a cheual par dessus le corps |tant que tout le debrise. 	qu il na pouoir de soy releuer: |et booit lui ua par dessus le col a cheual |tant que tout le debrise. 	quil not pooir de lui releuer. |Ains iut illueques tous pasmes |quar il cai si felenessement |que a poi que la canoele del col ne li est brisie. |Et bohors li uait tout a cheual par desus le cors |Si que tout le debrise. 	que non se pudo leuantar |asi estaua amorteçido dela cayda |que las coyunturas del pescuezo tenia quebradas |e boores traxo tantas vezes el cauallo sobre el |Que todo lo quebranto e la donçella 	che non à podere di sé rilevare, |anzi giace ispasimato, |ché fu caduto si fellonosamente |che a poco che non si ruppe il collo, |e Boordo gli va cavalcando per di suso il corpo tanto che di tutto il dibriscia. 
144	Et lors est la damoisele si liee 	et lors est la damoisele si lie 	et lors est la damoisele si liee 	Et boort a tant la damoiselle esiouye 	Et lors est la damoisele si lie 	que aquello vido fue muy alegre 	Allora est la damigella si lieta 
145	qu’ele ne puet plus 	que ele ne puet plus. 	quelle ne puet plus 	que elle ne peut plus: 	que plus ne puet. 	que mas no lo podia ser 	ch’ella non può più, 
146	et dist a Boort : « 	et dit a beh̾. 	et dist a boort. 	et dit a boort. 	Si dist a bohort 	e dixo a boores 	e disse a Boordo: 
147|148	Sire, |nos n’avons mes garde, 	Sire fait ele nous nauons mais garde ce cuige. 	sire nous nauons mais garde 	Sire nous nauons mes garde: 	sire nous nauons hui mes garde. 	señor agora non auedes aqui 	Sire, non no abiamo oggimai guardia, 
149|150	kar je ne cuit |qu’il eust plus de chevaliers çaiens que cestui; 	Car ie ne cuit quil ait mais cheualier laiens plus que cestui. 	car ie cuidoie |quil y eust leans plus de cheualiers |quil ny a 	car ie ne cuide point |qu il y ait plus de cheualiers leans |que cestui 	Car iou quit quil ni a plus de cheualiers laiens que cestui. 	deque vos mas guardar |ca eneste castillo no auia |mas deste cauallero segund cuydo 	ch’io non credo mica |ch’egli abbia là entro più cavalieri che questi, 
