micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
qui l’engendra. » 	qui lengendra. 	qui lengendra 	qui lengendra. 	qui lengendra. 	qu il lengendra. 	esto es verdad 	che-llo ingeneròs. 
Lors se mervilla Lanceloz plus que devant  et dist : « 	Lors se merueille. lanc̃. plus que deuant.  Et dist biaux ostes uous auez mespris.  par auenture uous	Lors se merueille lancelot.  et dist bel hoste uous auez mespris 	Quant lancelot entent la parole de son oste  si sen esmeruelle moult et plus asses  quil ne faisoit deuant. 	Lors sen merueilla lancelot plus que deuant/  et luy dist quest ce 	Lors sesmerueille lanc̃.  et dit. Sire uos aues mespris par auanture 	pordios señor dixo el huesped 	Allor si maraviglia Lancelotto più che davanti,  si gli disse: Bell’oste, vo avete mispreso per aventura  e vo à l’uomo fatto intendere mengna. 
Biax ostes, vos avez mespris, par avanture l’an vos a fait mançonge entandant. — En non Deu, fait il, je sai vraiement  que li rois Ban de Benoye  qui vos engendra engendra celui Hestor 	a len fet menchonge entendant.  En non dieu fet li ostes. Ie sai uraiement  que li rois bans de benoic.  qui uous engendra. si engendra icelui hector 	car par auanture len uous a fait entendre menconge  Certes sire ie scar urayement  que le roy ban de benoic engendra cest hector 	Et dist biaus ostes vous aues dsaid se mespris .  Par auenture on vous a fait menchoingne a entendre. Enon de dieus fait cil iou sai bien  que li roys bans de benoyc  qui vous engendra. en gendra celui hector 	que uous dictes bel hoste uous auez mesprins par auenture ou len uous a fait mensonge entendant En nom dieu fist il ie scay urayement  que le rop ban de benoic engendra icellui hector/ 	lan uos a fait mensonge entandant. par foi fait  cil ie sai bien  quil est f̾is le roi de benoic. 	verdad es que el Rey ban lo fizo enla fija del duque mares  y direvos 	— Al nome di Dio, disse l’oste,  i' so veracemente  che il re Bando di Benoic  che voi ingenerò,  e si generò quello Astore 
que vos me dites,  et si vos dirai comment. —  Or me dites, fait Lanceloz, 	que uous me dites.  Et si uous dirai comment. Or me ditez fet lanc̃. 	que uous me dictes.  et si uous diray comment.  Or dictes fait lancelot. 	que vous me dites  Et si vous dirai comment. Il est bien voirs	et si uous diray  comment.  Or me dictes fist Lancelot 	si uos dirai commnt. Il auint 	como asi fue  que quando vter padragon Rey de la gran bretaña murio el Rey artur fue Rey ansi Como sabedes por elecçion dela espada  entonzes se ayuntaron  y todos los Reyes y perlados y condes y Ricos omes dela tierra toda paralo ver sagrar e coronar 	che vo' mi dite,  si vo dirò come.  —?Or me lo dite, disse Lancelotto, 
quar vos me faites tout mervillier, — Il avint, fait li chevaliers, n’a mie lonc tans, 	Car uous me fetes tout merueillier. Il auint fet li cheualiers 	car uous me faictes tout merueiller. Il aduint fait le chl̃t 		Car uous me faictez durement merueiller Il auint fist le cheualier 		y porle fazer omenajes porlas villas y porlos castillos 	ché vo' mi fate tutto 
quant li rois Uterpandragon fu morz 	que li rois uterpendragon fu mors. 	quant le roy uterpandragon fu mort 	que quant li roys vterpandragons fu mors 	que du temps du roy uterpendragon/ 	quant li rois uterpandragons fu mors 	entonçes vinieron al corte el Rey ban vuestro padre 	maravigliare.—eE egli avene, disse il cavaliere, che quando Utrepadragone fu morto 
et l’an vost couronner le roi Artu  qui lors ert jovenes enfés, 	Et len uolt coronner li rois artuz.  qui lors estoit ioenes enfes. 	et len ueult couronner le roy artus  qui estoit encor ienne enfant 	et on volt coronner le roy artus  qui lors ert iouenes enfes. 	et quant len uoulut courenner le roy artus  qui lors estoit ieune enfant/ 	et len uot coroner le roi artus : 	e su hermano el Rey bores  y abinoles 	e-ll’uom volle incoronare il re Artù  ch’allora era giovane infante, 
que li baron  qui de Uterpandragon tenoient refurent mandé devant le roi Artu  et  por recevoir lor fiez de lui et por faire lui homage, 	que li barons de uter pendragon tenoient. refurent mandez a artur.  pour receuoir lor fiex de lui.  et por fere lui hommage. 	que les barons  qui tenoient de uterpandragon furent mandez de artus  pour receuoir leurs fiefs de luy  et pour luy faire hommage. 	et li baron  qui del roy vterpandragon tenoient terre furent mande  pour receuoir lor fies de lui. et pour faire lor hommages. 	que tous les haultz barons  qui du roy artus tenoient terre furent mandez a son courennement  pour recepuoir les fiefz de lui  et pour lui faire hommaige/ 	que li haut houme  qui d uterpandragon auoient r̶e̶tenue terre furent mande furent mande por faire lui homage et faute  et por tenir lor terres de lui.	ansi que aluergaron  y el duque mares hera entonzes señor de aquel castillo  y tenia ay vna su fija la mas fermosa de toda la tierra 	e baroni  che tenevano terra da Uterparaone furono mansdajti per venire ad Artù  per ricevere lor fiu da-llui  per farli omaggio, tanto 
et tant que li rois Bans entre lui et le roi Boort de Gaunes son frere furent venu a la feste  et jurent une nuit en ce chastel  ou vos volsistes ersoir entrer.  A celui  tans en estoit sires li dus des Mares	Et tant que li rois bans entre lui  et boort de gauues son frere. furent uenuz a la feste.  et iurent une nuit en cest chastel  ou uous uousistes hersoir entrer. A  Celui temps en estoit sires li duz des maires. 	tant que li roy ban  et le roy boort de gaunes son frere furent mandez a la feste  et ieurent une nuyt en ce chastel  ou uous ueistes arsoir entrer  A celuy temps en estoit sire le duc des mares	Tant que li roys bans et li roys bohors sez freres li rois de Gannes furent uenu a la feste.  et iurent vne nuit en chesl chastel  ou vous volsistes hier soir entrer.  Et a cel tamps en estoit sires.  li sires dez mares. 	et tant que le roy ban py uint auec le roy boort de gannes son frere  si geurent une nuyt en ce chastel/  ou uous uoulustes ersoir hebergier En celui temps en estoit sire le seigneur des mares 	Tant que li rois bans et li rois hectors  qui frere estoient i furent uenu. nu.  et herbregerent une nuit en cel chastel ou nos habrigestes ersoir.  A ses tans en estoit sires li dus des mares 	y quando la vio el Rey ban pagose della y ella otrosi del y echose conella a furto  e fizo enella aestor  de que agora avos marauillades 	che l re Bando intra-llui  e l re Boordo di Gaones furono venuti alla festa,  e giacquono una notte a quel castello  ove vo' voleste iarsera entrare.  A quel tempo n’era signore il duca di Mare 
qui avoit une fille la plus bele  que l’an seust en tout cest païs. 	qui auoit une fille la plus bele  qui fust en cest pays. 	qui auoit une fille la plus belle  qui fust en ce pays	qui auoit vne fille la plus bele de tout cest pais.	qui auoit une fille/ la plus belle damoiselle  qui fust en ce pais/ 	qui ot une fille la plus bele  que lan ceust en cest pais. 	por ser vuestro hermano 	ch’avea una figliuola più bella di questo paese. 
Et quant li rois Bans la vit,  si la convoita tant por sa grant biauté  que il l’an fist mener en emblé et jut a li  et engendra celui Hestor  dont je vos cont. Et quant li chevaliers  a cui vos alez combatre li ot donné armes  por aler a la cort le roi Artu,  li desfendi il bien 	Et quant li rois bans la uit  si la couoita tant pour sa grant biaute  quil len fist mener a emble.  et iut a li.  et engendra celui hector  dont ie uous conte.  Et quant li cheualier.  a qui uous alez combatre. li ot donees armes pour aler a la court le roy artur. Li deffendi bien 	et quant le roy ban la uit  si la conuoita tant par sa beaute  quil la fist emmener demblee et ieut o lie et engendra celuy hector  dont ie uous compte  Et quant le ch̃lr a qui uous uous alez combatre luy eut donne armes  pour aler a la court du roy  artus il luy deffendy bien 	Et quant li roys bans la vit  si las conuoita tant pour sa grant biaute  quil iut a li  et engendra hector  dont iou vous cont.  Et quant li cheualiers  a qui vous vous uoles aler combatre. li ot donne armes  pour aler a la court le roy artu.  se li desfendi il moult bien 	Et quant le roy ban la uit  si la conuoita moult pour sa grant beaulte/ tant qu il la fist amener en emblee,  si geut auec elle et engendra celluy hector  dont ie uous compte.  Et quant le cheualier a qui uous allez combatre lui eut donne armes  pour aller a la court au roy artus  si lui deffendit 	Et qnent li rois la uit  si la fit enbler et Iut a li  et engendra hector.  et quant li cheualiers a cui uos alez combatre li dona armes  por aler a court li desfandi il 	y quando aqueste con quien vos ydes conbatir agora lo ymbio ala corte del Rey artur ase fazer cauallero le dixo  que non se fiziese Conoçer  fastaque fuese conoçido por muchos lugares  Por buen cauallero en armas y el ansi lo prometio quelo faria  y porende me marauillo  pues el es tan buen Cauallero  Como vos deçides 	E quando il re Bando la vide,  si gli piacque tanto per suo biltà  che ne la fece menare a imbolio,  e giacque co-llei  e ngenerò quell’Astor di Mare  dond’i' v’ò contato.  E quando il cavaliere a cui voi andate a combattere li ebbe donate arme  per andare a-ccorte del re Artù,  si gli difende bene 
qu’il ne se feist connoistre a vos,  se sa prouesce ne li acontoit i 	quil ne se feist connoistre a uous.  se sa proesce ne li acointoit. 	quil ne se fist pas cognoistrea uous  si sa prouesce ne luy acomtoit. 	quil ne se feist connoistre a vous  se ce ne fust par pris de cheualerie. 	que ia a uous ne se fist a congnoistre  se par prouesse non/ 	que ia ne ce feist quenoistre a uous. se Sa proesse ne len acointoit. 	como non se vos a fecho conozer 	che non si facesse conoscere a voi,  se suo prodeza non acontasse: 
et il dist loiaument  que no feroit il. 	Et il dist loiaument  que non feroit il. 	Et il dist  que non feroit il. 	Et il li creanta loiaument  que non feroit il. 	et il dist urayement  que non seroit il. 	et il dit  que non feroit il. 	que vos non abredes desonrra en tenerlo por hermano çierto dixo don lançarote 	ed e disse lealmente  che non farebbe egli. 
Si me merveil  quant il est si preuz  com vos dites,  qu’il ne s’est pieça acointiez a vos, 	Si me merueil  quant il est si preuz  comme uous dites.  quil ne sest pieca acointiez de uous. 	si me merueil  sil est si preux comme uous dictes  qu il ne sest pieca acomte de uous 	Si mesmerueille moult  quant il est si preus  comme vous me dites.  quant il nest piecha acointies a vous. 	Si me merueille  puis quil est si preux  comment uous dictes/  qu il ne sest pieca acointie de uous. Car de ce 	et mout me merueil cil est si preus  com uos dites  et quil nest piesa acointiez a uos. 	ante he muy gran honrra  e tengome por bien andante 	Si mi maraviglio,  quand’egli è si pro' come vo'mi dite,  che non s’à peza acontato di voi, 
car en ce qu’il est vostre frere n’avez vos nule honte. —  Si m’aïst Diex, fait Lanceloz, honte n’en ai je mie, 	Car en ce quil est uostre frere nauez uous nule honte. Sire si mait diex fet lanc̃. honteus nen sui ge mie. 	Car uous nauez nulle honte en ce  dont il est uostre frere.  Si maist dieu fait lancelot honte nen ay ie pas. 	quar en ce quil est vostres freres.  naues vous nulle honte.  Si mait diex fait lancelot. honte nen ai iou mie. 	quil est uostre frere/  ne auez uous nulle honte/ Si maist dieu fist lancelot honte  ne y ay ie mie/ 	Car en ce quel est ur̃es freres nauez uos pas honte  Si maist diex fait lanc̃. honte  ni aurai ge pas 	y dios sea loado 	ché in ciò ch’egli è vostro fratello non avete voi nulla onta.  —e m’aiuti Idio, disse Lancelotto,  ontoso no ne son io mica, 
ainz an sui liez et joianz,  quant il est mes freres; 	ainz en sui liez et ioianz  quant il est mes freres. 	ains en suys lie et ioyeux  dont il est mon frere. 	ains en sui liez et ioians  quant il est mes freres et diex en soit aores. 	aincoiz en suis tresfort ioyeulx  dent il est mon frere/ 	ains en sui mout liez. 	que me fizo tanto bien 	anzi ne sono lieto e gioiente  quand’egli è mio fratello. 
et Diex en soit aourez  quant vos le m’avez dit,	Et diex en soit aourez  quant uous le mauez dit. 	et dieu soit loue dont uous le mauez dit. 	et grant mercis en aies  quant vous le maues dit 	et dieu en soit aoure de ce  que le mauez dit. 	puis quil est ainsis que uos le mauez dit diex en soit aoures. 	y non sere alegre fasta quelo alle y bere  que me dira 	E Dio ne sia adorato quando voi il m’avete detto, 
car jamais ne serai aise devant  que j’en sache la verité;  et ja  si tost ne le tandrai  qu’il li couvendra rendre raison  por quoi il s’est tant celez envers moi. »  Tant ont alé parlant	Car iames ne serai a aise  deuant que ien sache la uerite.  Et ia si tost ne le uerrai.  quil li couendra rendre raison.  por quoi il sest tant celez enuerz moi.  Tant ont parle 	Car ie ne seray iamais aise  deuant que ien sache la uerite.  et ia  si tost ne le uerery quil luy conuiendra rendre raison  pour quoy il sest tant cele uers moy.  Tant ont parle 	quar iamais ne serai a aise  deuant que iou le uoie. Et quant iou le verrai il li conuendra rendre raison  pourcoi il sest tant celes enuers moi.  Tant ont ale parlant 	Car iamais ne seray aise  deuant que ie en saiche la uerite/  et ia si tost ne le tiendray  que rendre lui en conuiendra rayson  pour quoy il cest tant cele de moy.  Tant allerent parlant 	que ie iamais ne cerai aise  tant que ie laurai troue.  Ne Ia plus tost ne le tanrai au mains  quil me randra raison de ce  qu il est tant celez uers moi.  Tant ont ale 	porque tanto sea enCubierto de my  Como don lançarote y el huesped  que conel yba llegaron al castillo  Tanto fueron fablando 	ché giamai non sarò ad agio davanti ch’i' ne sappia la verità. “Già si tosto nol vedrò  che me converà  che mi renda ragione  perch’egli s’è tanto celato inverso di me». Tanto ânno andato 
qu’il vindrent pres dou chastel 	quil uindrent pres du chastel.	qu ilz unidrent pres du chastel. 	quil sen vindrent pres del castel. 	qu ilz uindrent pres du chastel 	quil uiennent pres dou chastel 	fastaque llegaron çerca del Castillo  entonzes 	che vengono presso del castello 
et li ostes dist a Lancelot : « Sire, atandez moi I. poi ici  tant que je reviengne a vos  et je vos di  que je ne demorrai mie. »  Et Lanceloz s’areste 	Et li ostes dist a lancelot. Sire atendez moi  tant que ie reuiengne a uous.  Et ge uous di  que ie ne demorrai mie. Et lanc̃. sareste. 	et louste dist a lancelot. Sire actendez moy cy  tant que ie reuiegne a uous  et ie ne demourray mie  Et lancelot sarreste 	Et li ostes dist a lancelot. Sire atendes vous vn poi tant  que iou reuiegne a vous  et iou vous di que iou vous reuendrai tantost  et ne demorrai mie.  Et lancelot sareste.	si dist loste a lancelot. Sire attendez moy ung peu icy  tant que ie reuienne a uous  et ie ne demourray gaires/ Et lancelot se arresta. 	et li hostes dit a lanc̃. Sire atandes ore tant que ie reuangne. 	dixo el Cauallero a don lanzarote  señor attendedme aqui en quanto llegue al Castillo  y luego me tornare  y el dixo plaçeme 	e-ll’oste disse a Lancelotto: «Sire, atendeteme tanto  ch’i rivegna,  e vo dico  ch’i' non dimoro mica». E-lLancelotto s’aresta, 
et cil s’en vait grant aleure dusqu’au chastel  et troeve le chevalier 	Et cil sen uet grant aleure iusques au chastel. Et regarde le cheualier. 	et cil sen ua grant aleure iucquau chastel  et regarde le cheualier 	et cil sen uait grant aleure iusques au chastel.  et trueue le cheualier 	et loste sen ala iusques au chastel si trouua le cheualier 	et il sen ua grant aleure droit au chastel. et trueue sor le pont le cheualier 	mas non tardedes entonçes se fue el huesped 	e que se ne va a grande andatura insino al castello  e riguarda il cavaliere 
qui gardoit l’antree, 	qui est a lentree. 	qui est a lentre 	qui gardoit lentree 	qui gardoit lentree 	qui gardoit lentree. 	quanto mas pudo 	ch’è nell’entrata, 
qui ert frere la mere Hestor.  Et li chevaliers 	qui est freres a la mere hector.  Et li cheualiers. 	qui est frere a la mere de hector et le cheualier	qui estoit freres a la mere hector et li cheualiers 	lequel estoit frere a la mere hector/  et loste 	qui estoit oncles hestor freres sa mere. 	y fallo al cauallero 	ch’è fratello della madre d’Astore.  E l çavaliere, 
qui venoit grant oirre le salue  et cil li rent son salu 	qui uenoit grant erre le salue. Et cil li rent son salu. 	qui uenoit grant erre le salue.  et il luy rent son salut	qui uenoit moult grant oirre. salue le cheualier.  et cil li rent son salut 	qui uenoit grant erre le salua  et laut̾ lui rendit sen salut 	Si sentresaluent. 	que guardaua la Entrada dela puente 	che venia grande andatura, il saluta,  e que' gli rende il saluto, 
qui bien le connoissoit,  car il ert ses cousins germains. « Biaux cousins, fait li ostes, il couvient 	qui bien le connoissoit  Car il est ses cousins germains biaux cousins fet li ostes Il conuendra 	qui bien le cognoissoit.  car il est son cousin germain. beau cousin fait loste. il uous conuient 	qui bien le connissoit.  quar il ert son cousin germain.  Biaus cousins fet li ostes il re conuient 	qui bien le congnoissoit  car il estoit sen cousin germain beau cousin fist loste. Il conuient 	Car bien se quenoissent  quil estoient cousin germain. Sire fait li ostes il couient 	que hera tio de estor hermano de su madre 	che be-llo conosceva,  ch’egli era suo cugino carnale.  PeBello cugino, disse l’oste, elli conviene 
que vos preingniez bon conseil de vos meesmes 	que uous prengiez bon conseil de uous meismes 	que uous preignez bon conseil  de uous mesmes. 	que vous preignies conseil de vous meismes. 	que uous pregniez bon conseil de uous mesmes/ 	que uos prangiez consel de uos meismes. 	e dixole señor cauallero aqui biene el mejor Cauallero del mundo ase conbatir convos  e Ruegovos quele fagades mucha honrra 	che vo' pigliate buon consiglio di vo' medesimo, 
et que vos ne soiez mie fel ne estouz, 	Et que uous ne soiez ne fel ne estouz. 	et que uous ne soyez pas foul. 	si que vous ne soies fel ne estous. 	et que uous ne soiez pas folestourdi 	et que uos ne soies ne estous ne felons	y non le fagades argulloso 	che voi non siate né folle né stolto,  ché
car ici vient li mieldres chevaliers del monde  por soi combatre a vos  et por passer le pont a force; 	Car ci uient li mieldres cheualiers del monde. pour combatre a uous.  Et pour pass̾ le pont a force. 	car cy uient le meilleur cheualier du monde  pour combatre a uous.  et pour passer le pont a force 	quar chi vient li mieudres cheualiers del monde  pour combatre a vous  et pour passer le pont a force. 	Car icy uient le meilleur cheualier du monde  pour soy combatre a uous/ et pour passer le pont a force. 	que auient li muedres cheualiers del monde  por combatre a uous por paser le pont a force. 	Ca saued 	qui viene il miglior cavaliere del mondo  per combattere a voi  e per passare il ponte a-fforza; 
et il est de si grant prouesce  que vos nel porriez mie legierement soffrir,  et por ce ving je ça  por dire vos  que vos i feissiez a lui la plus honorable pais  que vos porriez. —  Qui est il fait li chevaliers  qui garde le pont. —  C’est mes sires Lanceloz del Lac. — Enon Dieu, fait il,  encontre lut ne me combatrai je ja,  se Diex plaist, 	Et il est de plus grant force  que uous nestes/  Et uous ne porriez pas legierement sousfrir.  Et  por ce uieng ie ca.  que uous feissez a lui la plus honorble pes  que uous porriez.  Et qui est il fet li cheualiers  qui garde le pont.  Ce est misire lanc̃. del lac.  En non dieu fet il contre lui  ne me combatͣi ge ia.  se dieu plest. 	et il est de plus grant prouesce  que uous nestes.  ne ne le pourrez pas legierement souffrir  Et par ce uiens ir ca  afin que uous facez a luy la plus honnourable paix que uous pourrez.  Qui est il fait le cheualier.  qui garde le pont cest messire lancelot du lac.  Certes fait il contre luy ne me combatray ie ia  si dieu plaist. 	Et il est de si grant uertu  que vous ne le porries mie legierement soffrir.  Et pour ce ving iou a vous.  que vous feissies la plus honorable pais  que vous peussies.  Et qui est il fait li cheualiers  qui gardoit le pont  Chest fait il mesires lancelot del lac.  E non dieu fait  dont cil a lui ne me combaterai iou ia  se dieu plaist 	Celluy est de si grant prouesse que uous ne le pourrez pas legierement souffrir/  et pour ce suis icy uenn affin  que uous lui faciez la plus honnourable paix  que uous pourrez.  Et qui est il fist le cheualier  qui gardoit le pont/  cest dist il monseigneur Lancelot du lac.  En nen dieu respendit le cheualier encontre luy ne me combatray ie pas  se dieu plaist	Si uos pri  que uos faciez la plus bele pais a lui que uos porrois.  qui est il fait il . Sire cest lanc̃ del lac.  par foi fait il contre lui ne me combatrai ie ia. 	que si conel vos conbatides quele non podredes durar  y quien es ese cauallero dixo el cauallero  dela puente  dixo el  huesped  es don lanzarote del lago  Pordios dixo el Cauallero 	ed egli è di più grande prodeza che voi non siete,  e vo' non potreste passo leggermente sofferire:  per ciò venn’io qua,  che vo facciate a llui la più onorabil pace che vo' potre.  — Chi est elli?, disse il cavaliere  che guarda il ponte.  — Ciò è monsignor Lancelotto de Lac.  —Al nome di Dio, diss’elli, incontro a-llui no mi combattere io già,  se Dio piace, ché io non arei già onore, 
car je n’i avroie ja honor ne plus qui li autre 	Car ge ni auroie ia honneur ne plus que li autre 	car ie ny auroye pas honneur non plus que les autres 	quar ie ni auroie ia honor. nient plus  que li autre ont 	Car ie ny auroye ia honneur nen plus que les aultres 	que ie ni auroie la honor nient plus que li autre 	conese non me Conuatire yo si dios quisiere 	né più che gli altri ànno avuto 
qui encontre lui se sont combatu.  Et meesmement  se bien le cuidoie conquerre,  ne m’i combatroie je mie,  si le devroie je leissier  por amor de Hestor mon neveu cui freres il est. 	qui contre lui. se sont combatuz.  Et meesmement  se bien le cuidoie conquerre.  ne mi combatroie ie mie.  Si le deuroie ge lessier  pour amor de hector mon neueu.  qui freres il est. 	qui se sont contre luy combatuz. et toutefoiz  si ie le deuoye ores conqueirr  si ne my combatray mie.  ains le lerray pour amour de hector mon nepueu  qui est son frere. 	qui a lui se sont pris.  Et se iou le quidoie conquerre  ne mi combateroie iou mie  quar iou le deueroie laissier pour lamor de mon neueu  qui freres il est. 	qui a lui se sont combatus.  Et mesmement se bien ie le cuidoie conquerre/  si ne my combatroye ie mie pout lamour de hector mon nepueu  qui est son frere. 	qui a lui ce prannent.  et se ie le deuoie outrer  se le deuroi ie laissier  por amor destor cui freres il est. 	que non ganaria y nada  y aunque supiese quelo vençeria non me Conuatiria conel  por amor de estor mi sobrino 	che ncontro a llui sono combattuti,  e medesimamente,  s’i' bene il credessi conquidere, non mi combatterei mica,  si l dovere” io lasciare per amore d’Astore mio nipote cu' fratello egli è. 
Mais itant me dites  quex armes il porte.»  Et il li devise 	Mes itant me dites  quiex armes il porte.  Et cil li deuise. 	Mais dictes moy quelz armes porte il.  et il luy deuise 	mais dites moi quels armes il porte.  Et cil li deuise. 	Mais dictes moy  quelles armes porte il, et il luy deuisa/ 	et dites moi  ques armes il a  et il li dit. 	que es su hermano  mas dezidme que armas trae 	Ma già tanto mi dite  quale arme egli porta».  MEd egli gliele divisa, 
et il connoist maintenant  que ce est li chevaliers  qu’il abati ersoir en l’eve. « 	Et il connoist maintenant  que ce est li cheualiers.  quil abati her soir en leue. 	et il cognoist maintenant  que cest cil  que il abaty arsoir en leaue. 	Et quant cil lentent si set maintenant  que cest li cheualiers  que il auoit hier soir abatu el fosse. 	et quant il eut cella ouy  si sceut bien  que cestoit le cheualier  quil auoit abatu le soir en leaue	et il quenut bien  que cestoit li cheualiers a cui il auoit Ioste le soir deuant. 	y el selas deuiso  y luego dixo el cauallero dela puente 	ed elli conosce immantanente che ciò è il cavaliere  ch’egli abatté iersera nell’acqua. 
