A	B
447	
448	436
449	437
450	438
451	439
452	
453	
454|455	440
456	
457	
458	
459	441
460	442
461	443
462	444|445
463	446
464	447
465	448
466	449
467	450
468	451
469	452
470|471	453
472|473	454
474|475	455
476	456
477	457
478	458
479|480	459
481	460
482	461
483	462
484	463
485	464
486	465
487	466
488	467
489	468
490|491	469
492	470
493	471
494	472
495|496	473
497	474
498	475|476
499	477
500	478
501	479|480
502	481
503	482
504	483
505	484
506	485
507	486
508	487
509	488
510	489
511	490
512|513	491
514	492
515	493|494
516	495
517	496
518	497
519	498
520	499
521	500
522	501
523	502|503
524	504
525	505
526	506
527	507
528	508
529	509
530	510
531	511
532	512
533	513
534	514
535	515
536	516
537	517
538|539	518
540	519
541	520
542	521
543	522
544	523
545	524
546|547	525
548	526
549	527
550	528
551	529
552	530|531
553	532
554	533|534
555	535
556	536
557	537
558	538
559	539|540
560	
561	541|542
562	543
563	544|545
564	546
565	547
566	548
567	549
568	550
569	551
570	552
571	553
572	554
573|574	555
575	556
576	557
577	558
578	559
579	560|561
580	562
581	563
582|583	564
584	565
585	566
586	567
587	568
588	569
589	570
590	571
591|592	572
593|594	573
595	
596|597	574
598	575
599	576
600	577
601	578
602|603	579
604	580
605	581
606	582
607|608	583
609	584
610	585
611	586|587
612	588
613	589
614	590
615	591
616	592
617|618	593
619	594
620	595
621	596
622	597
623	598
624	599
625	600|601
626|627	602
628	603|604
629|630	605
631	606
632	607
633	608
634	609
635	610
636|637	611
638	612|613
639	614
640	615
641	616
642|643	617
644	618
645	619
646	620
647	621
648	622
649|650	623
651|652	624
653	625
654|655	626
656	627
657	628
658|659	629
660	630
661	631
662	632
663	633
664	634
665|666	635
667	636
668	637
669	638|639
	640
670	641
671	642
672	643|644
673	645
674	646
675	647
676	648
677	649
678	650|651
679	652
680	653
681	654|655
682	656|657
683	658
684	659
685	660
686	661
687	662
688	663
689|690	664
691	665
692|693	666
694	667
695	668
696	669
697	670|671
698	672|673
699	674
700	675
701	676
702	677
703	678
704	679
705	680
706	681
707	682
708	683
709	684
710	685
711	686
712	687
713	688
714	689
715	690
716|717	691
718|719	692
720	693
721	694
722	695
723	696|697
724	698
725	699
726	700
727	701
728	702
729	703
730	704
731	705
732	706
733	707
734	708
735	709
736	710
737	711
738	712
739	713
740	714
741	715
742	716
743	717
744	718
745	719
746	720
747	721|722
748	723
749	724
750	725
751	726|727
752	728
753	729
754	730|731
755	732
756	733
757	734
758	735
759	736
760	737
761	738
762	739
763	740|741
764	742
765	743
766	744
767	745
768	746
769	747
770	748
771	749
772	750
773	751
774|775	752
776	753
777	754
778	755
779	756
780|781	757
782	758|759
783	760|761
784|785	762
786	763
787	764|765
788	766
789	767
790	768
791	769
792	770
793	771
794	772
795	773
796	774
797	775
798	776|777
799	778
800	779
801	780
802	781
803	782
804	783
805	784
806|807	785
808	786
809	787
810	788|789
811	790
812	791
813	792
814|815	793
816	794
817	795
818	796
819	797
820	798
821	799
822	800
823	801
824	802|803
825|826	804
827	805
828|829	806
830	807
831	808
832|833	809
834	810|811
835	812|813
836	814|815
837	816|817
838	818|819
839	820
840	821
841	822
842	823
843	824|825
844	826|827
845	828
846	829
847	830
848	831
849	832
850	833
851	834
852	835
853	836
854	837
855	838
856	839
857	840
858	841
859	842
860	843
861	844
862	845
863	846
864	847
865	848
866	849
867	850
868	851
869	852
870	853
871	854
872	855
873	856
874	857|858
875	859
876|877	860
878	
879	861
880|881	862
882	863|864
883	865
884	866
885	867
886	868
