micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
que fere que retorner ne voldroit il mie Atant voit issir del chastel une damoisele qui ert tote nue en sa chemise	que faire car retorner ne wet il mie atant uoit issir une damoisele dou chastel qui estoit tote nue en sa chemisse	que faire quar retorner ne volroit il en nulle maniere Lors uoit issir del castel vne damoisele toute nue en sa chemise	que faire car retourner ne uouldroit il pas Adonc uoit yssir du chastel une damoisele qui estoit toute nue en sa chemise	que faire car retourner ne uoulloit pas A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise sy la menoient quatre ribaulx monlt felonneusement	que se façer ca el no se queria tomar en ninguna manera Ansi estando vio del castillo salir vna donçella en camisa	che fare ché ritornare non vorebbe elli mica Atanto vide uscire una damigella del castello ch’era tutta ignuda in sua camicia solamente si lla menavano iiii
	si la menoient					
si le menoient troi vilain molt vilainement a et tenoit chescuns une hache en sa main;	iiii tre ribaus mout uilment et tenoit chascuns une hache en sa main	si le menoient iiij ribaut moult felenessement et tenoit Cascuns en sa main i	si la menoyent quatre nibaux moult uilainement et tenoit ch̃un une hache en sa main	et tenoient chascun en sa main ung coustel trenchant	que traian quatro rribaldos muy sañudamente e cadavno traia enla mano vna lança	rubaldi molto villanamente e tenieno ciascuno una acciaia in sua mano
		coutel trenchant				
et ele crioit quanque ele pooit crier por els qui li faisoient tel honte	et ele crioit quantque le pooit crier por ciax qui li fasoient tele honte	Et elle crioit quamque elle pooit por chiaus qui li faisoient tel laidure	et elle crioit tant quelle pouoit crier pour ceulx qui luy faisoient tel honte	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte	e ella daua vozes quanto podia dar	Ed ella grida quanto ch’ella può gridare per coloro che lle facieno cotale onta
et tel laidure qu’il la venoient batant tot contreval la riviere	et tel laidure que il la menoient batant tout contrtual la riuiere t	quar il lenmenoient tot contreual la riuiere batant	et telle laidure qui la uenoient batant tout contreual la riuiere	que telx ribaulx luy faisoient et la menoient batant contre ual la riuiere	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	e tal ladiura ch’elli la menavano battendo tutto contravalle la riviera
Et quant la damoisele vit le chevalier de l’autre part de ! l’eve si commence a crier Ha gentilz chevaliers secorés ceste damoisele	quant la damoisele uoit le cheualier dautre part la riuiere si li comance a crier ha: gentis cheualiers secores ceste damoisele	Et quant elle vit le cheualier de lautre part de laigue si li commenche a crier Ha : gentils homs quar secoures ceste damoisele	Et quant la damoisele uoit le cheualier de lautre part de leaue si luy commence a crier haa gentili cheualier secourez ceste damoisele	Et quant la damoyselle uoit le cheualier de lautre coste de la ry uiere commenca a crier et dire en tell maniere Haa beau et gentil cheualier secoures ceste damoiselle	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes e a deçir ay jentil cauallero acorred a esta donçella	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua si gli comincia a gridare Hal gentile huomo soccorete questa damigella
que cist ribaut vuelent ocirre Ha frans hom ne m’i laissiés morir se vos onques eustes pitié de nule gentil damoisele Quant Boors ot ce qu’ele li prie	que ciz ribaut wellet ocire ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele quant boh̾ oit cele	que cist ribaut voelent ochirre Pour dieu ne mi laissies ore mie morir se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame Quant bohors oy que la damoisele li prioit	que ces ribaux ueulent occire Haa franc homme ne me lessez mourir si uous eustes onc pitie de nulle gentilz damoisele quant boort ouy celle qui le prie	que ces ribaulx ueullent occire haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars et se uous pitie de moy car se uous ne me secoures ie suys a la mort liurer Et quant boort ouyt quelle le prioit	que estos Ribaldos me quieren ansi matar ay buen cauallero si nunca oviste piedad de donçella auelda agora de mi e no me dexedes asi morir Quando boores oyo	che questi rubaldi vogliono uccidere Hal franco cavaliere non mi lasciate uccidere se voi unque aveste piatà di nulla gentile damigella “Quando Boordo ode colei che l priega
si pitousement qu'il la secore si ne set	que si piteusement lapele et li prie quil la sekeure Sire set	si piteusement de li secorre si One sot	si piteusement quil la sequeure il ne scait	si piteusement si ne scait	lo que la donçella deçia no supo	si piatosamente che lla soccorra si non sa
que fere kar volentiers li aidast s’il peust; mais il voit l’eve noire	que faire car uolentiers li alait aidier se il poist Mais il uoit leue	que faire quar volentiers li alast aidier sil peust estre mais il voit laigue parfonde	que faire car uoulentiers luy alast aider sil peust mais il uoit leaue parfonde noire	que faire car uoulentiers luy allast aider se il peult estre mes il uoit la riuiere parfonde	que façer ca muy de grado la quisiera acorrer si pudiese Mas el agua hera muy fonda	che fare ché volentieri l’andasse ad atare se potesse ma e vede l’acqua nera e profonda
et parfonde	si parfonde	et perillouse	et perilleuse	et dangereuse a passer	e peligrosa	e perigliosa
et si perilluse qu’il cuide bien noier s’il se met dedens;	et si perilleuse que il cuide bien perir se il se met dedans	et noire si quide bien morir se il si met	que il cuide bien mourir sil si mect dedans	et scait bien sil entre dedens qu il se met en peril de mort	e negra e bien cuidaua morir si se y Metiese	che crede bene morire s’elli si mette di dentro
et d'autre part il voit cele	et dautre part il uoit cele	Et dautre part voit il cels	Et dautre part il uoit celle	Et daultre part il uoit celle	e dela otra parte veya la donçella	e d’altra parte e vede colei
qui si durement crie merci;	qui si docemet li prie nc ci	qui si piteusement li crie merci	qui si fort luy crie mercy	qui si piteusement fui crie mercy	que muy afincada mente le pedia merçed	che si duramente gli grida mercé
si l'em prent tels pitiés qu’il en laisse totes poors	Si len prent tes pitiez quil en laisse totes paours	si len prent tele pities quil en laisse toute paour	si luy en prent telle pitie quil en laisse toute paour	Si luy en prent telle pitie quil en laisse toute paour	e ovo tal piedad della que le fiço todo el miedo perder	si ne gli prende tale piatà che ne lascia tutte paure
et fet le signe de la crois en mi son vis puis enbrace l’escu	Si fait le signe de la crois enmi son uis puis enbrace lescu	et met le signe de la vraie crois en mi son front et en mi son pis puis enbrace son escu	si en fait le signe de la croix enmy son uis puis embrace lescu	et fait le signe de la croix deuant son uisaige puys embrache son escu	e fiço la señal dela cruz sobre si e enbraço el escudo	e si fa el segno della santa croce nel miluogo del suo viso poscia imbraccia lo scudo
et broche le cheval des esperons	et broche le cheual des esperons	et fiert le cheual des esperons	et broche le cheual des esperons	et fiert son cheual des esperens	e firio al cauallo de las espuelas	e broca il cavallo degli sproni
et se fiert en l’eve Et li chevals fu fors si commence a noer	et se fiert en leue tot errantment Et li cheuaus fu fors si comance a noer	et se lance en laigue Et li cheuaus commence a noier:	et se fiert erraument en leaue et le cheual fu fort si commence a nouer	et se lanche dedens leaue tout erraument: et le cheual commence a noer	e lanço se en el agua e el cauallo començo de nadar	si fiede nell’acqua isnellamente El cavallo fu forte incominciò a notare
si tost com il ot terre perdue	si tost com il ot terre perdue	si tost quil a terre perdue	si tost quil eut terre perdue	si tost quil eust terre perdue	luego e perdio tierra en tal manera	si tosto com'elli ebbe terra perduta
si l’enporte d’autre part de la rive a quelque paine mais ançois ot beu de l’eve li uns	si lenporte dautͤ part la riue a quelque painne	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns	si lemporte de lautre part de ma riue a quelque peine mais ancois eut beu de leaue lun	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine car ains quilz feussent passes beurent de leaue lun	que paso dela otra parte del agua mas ante beuio el cauallo del agua e si el caballo tan bueno no fuera sin dubda el moriera enel agua e boores porel peso delas armas	si ne l portò d’altra parte della riva a qualche pena 'ma inanzi furono amenduni tutti molli
et li autre		et li autres	et lautre	et laultre	que llebaua	
et se li chevals ne fust si buens noié fuissent ambedui kar li chevaliers estoit pesans por les armes qu’il avoit vestues Quant il fu de l’autre part de l’eve		Et se li cheuaus ne fust si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues si en fu moult en peril uant bohors ot passe laigue pour la damoisele secorre ainsi que vous poes oir	et se le cheual ne eust este si bon ilz fuszent tous deux noyez car le cħlr estoit pesant pour les armes quil auoit uestues Quant il fu de lautre part de leaue	et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre car le cheualier estoit fort pesant pour les armes quil auoit uestues Quant il fut de lautre part de leaue	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian e firio al primero	e se l cavallo non fosse stato si forte anegati fossono amenduni ché l cavaliere era pesante per l’arme ch’elli avea vestite Quand’e fu da l’altra parte dell’acqua
si ne descendi pas ains cort vers cels qui la damoisele tenoient	Si ne descendi pas ains cort uers ciax qui la damoisele renoient	si ne descendi mie ains cort sus a chiaus qui la damoisele tenoient	si ne descendy pas ains court uers ceulx qui tenoient la damoisele	si ne descendist oncques ains courust uers ceulx qui la damoiselle tenoient:	que encontro en tal manera que le metio la lança porel cuerpo	si non discende passo anzi muove il cavallo inverso di coloro che lla T tenieno
et fiert si le premier qu’il aconsieut qu’il li met le glaive par mi le cors si l’abat a terre	que il consieut quil li met le glaiue parmi le cors si labat mort aterre	si fiert le premier quil encontre si durement quil li met le glaiue parmi le cors si labat a la terre	et fiert si fort le premier quil actaint quil luy mect le glaiue parmy le corps si labat a terre	et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps si labat a terre	e los otros dos que aquello vieron fuyeron	e fiede si il primaio ch’elli agiugne che gli mette la lancia per me' il corpo si llo abatte a terra
et li autre s’enfuient erraument por ce que desarmé estoient	et li autre sen fuient porre qu il estoient desarme	Et li autre senfuient pour chou que desarme estoient	et les autres senfuyent erraument par ce qͥlz estoient desarme	et les autres se met tent en fuite	luego por miedo de no ser muertos ca todos estauan desarmados	e gli altri se ne fugono tosto per ciò che disarmati erano
Et la damoisele qui delivree se voit se met a genols devant Boort et dist Ha gentils chevaliers de Dieu soiés vos beneois quant vos m’avés de mort rescosse	et la damaisele qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu quant uos mauez de mort rescoce	Et la damoisele qui deliure se uoit se met maintenant a genouls deuant bohort et dist ha: gentiex cheualiers de dies oess vous beneois quar vous maues de mort rescousse	Et la damoisle qui se uoit deliure se mect a genoux deuant boort Haa gentilz cheualier fait elle de dieu soyez uous beneist dont uous mauez de mort rescousse	La damoiselle qui deliuree se sent se met a genoulx deuant lui et lui dit Haa gentil cheualier de dieu soiez uous benoit:	e la donçella desque aquello vido finco los ynojos ante boores e dixo ay jentil cauallero vendito seades de dios que asi me librastes de muerte	E la damigella che si vide dilivera si mette a ginocchia davanti Boordo Hal gentile cavaliere diss’ella da Dio siate vo' benedetto quando vo m’avete di morte riscossa
et aorés en soit Diex	et aoures soit diex	Et aoures en soit diex	et aoure en soit dieu		e bendito sea dios	
quant il ceste part vos amena kar cist gloton m’euissent ja morte — Damoisele fet il por quoi — Sire fet ele jel vos dirai bien mais que vos m’aiés mise a sauveté — Coment	quant ils amena ceste part Car cil gloton meussent ia morte ce uos ne fussiez Damoisele fait il porcoi Sire fait ele ie le uos dirai bien mais que uos maiez misse a Sauuete	quant il ceste part vous amena Car cist glouton meussent morte se vous ne fuissies Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien mais que vous maies mise a sauuete Comment fait il aues vous encore paour	dont il uous amena ceste part Car ces gloutons meussent ia occise se uous ne fussez Damoisele fait il pour quot Sire fait elle ie le uous diray bien mais que uous mayez mise a sauuete Comment fait il auez uous	car ces gloutens me eussent occiz se ne feussez uous Damoiselle fait il pour quoy Sire fait elle ie le uous diray mais que uous me aiez mise a sauuete	que aqui vos traxo que estos villanos me hubieran muerto si por vos no fuera donçella dixo boores Por que señor dixo ella yo vos lo dire mas ante conuiene que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo	e adorato ne sia lddio quand’elli in queste parti vo menò ché questi guiglioni m’avessono già morta se vo' non foste — Damigella disse Boordo perché Il vo dirò diss’ella bene ma'
fet il Avés vos dont garde — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel kar c’est li plus fel chevaliers del monde et li plus traîtres A ces paroles voient issir I chevalier del chastel et la ou il vit Boort si li escrie Laissiés dans chevaliers la damoisele que vos n’enmenrois mie! Par mon chief mar le rescosistes Si li cort quanqu’il puet le glaive alongié; et Boors retrait son glaîve a lui del cors a celui qu’il avoit ocis; si laisse le cheval corre et le fiert	Coument fait il auez uos dont garde Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel Car cest li plus fel cheualiers dou monde et li plus traites a ces paroles uoit issir un cheualier del chastel et la ou il uoit behort si li est terre Laissiez dans cheualiers la damoisele que uos nen meneroie et par mon chief mar la rescousites Si li acort quanquil puet le glaiue alongnre et behors retrait son glaiue del cors au ribaut que il auoit ocis Si li laisse le cheual et le fiert	Sire fait elle ia asseuree ne serai tant que iou y sache le seignor del chastel : quar cest li plus fel cheualiers del monde et li plus desloiaus ches paroles voient j cheualier issir du castel Et la ou il voit bohors si li escrie dans cheualiers laissies ester la damoisele quar vous ne lenmenrois pas et par mon chief mar le rescousistes quar vous le comperres se iou puis moult chier Et quant bohors lentent si point vers lui quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui quil auoit ochis Si fiert celui	donc garde Certes sire fait elle ia ne seray asseuree tant que ie sache qui est le seigneur de ce chastel leans car cest le plus fel cheualier du monde Coment boort se combaty pour la damoisele A cest parole voyent yssir ung cheualier du chastel et la ou il uoit boors si luy crie laissez sire cheualier la damoisele que uous nemmennerrez pas par mon chief mal la rescoussistes si luy court sus tant comme il puet le glayue esloigne Et boort le firrt si fort a son uenir que lescu ne le haubert ne le garantist quil ne luy mecte fer et fust parmy le corps Et cil cheit a terre tout estandu car plus na mestier de mire Et quant ceulx du chastel uoyent leur cheualier ainsi abatu si luy en enuoyent incontinant ung autre pour uenger celuy qui dist a boort quil se gardast de luy quil le deffioit et il dist quil le desfie aussi Lors trait son glayue du corps a celuy quil auoit occis si luy laisse aller le cheual et le fier	Comment fait il auez uous donc paour Sire fait elle ia seure ne seray tant que ie sache leans le seigneur de ce chasteau car cest le plus fel cheualier du monde et le plus cruel Ces parolles uoient issir ung cheualier du chasteau: et la ou il uoit boort il lui escrie Cheualier laissez la damoiselle et par mon chief mal la rescouistes Boort lentent si lui court tant qu il peut du cheual traire le glaiue allongnie et le fiert	ca es el mas follon omne de todo el mundo e mas cruel Ellos asi fablando vieron salir del castillo vn caballero e quando vido a boores començo le a dar boçes e a deçir don cauallero a dexar vos conuiene la donzella ca la non lleuaredes e porla my cabeza ental Punto la acorristes e luego se dexaron correr el vno contra el otro e boores lo firio conla lança que auia sacado del cuerpo del villano que auia muerto en tal manera	che vo' m’abiate messa a salvamento — Come disse elli avete vo' dunque guardia Certo sire diss'ella già sicura non sarò tanto com’io sappia là entro il signore del castello ché ciò è il più fiero cavaliere del mondo e I più traditore A queste parole vidono uscire un cavaliere del castello e là ov’egli vide Boordo si llo isgrida Danzi cavaliere lasciate la damigella ché vonon la menere mica e per mio capo male la riscoteste Si gli corre suso quanto ch’elli puote la lancia islungata e Boordo il fiede si duramente in suo venire che llo scudo né llo asbergo no llo guerentisce che non gli metta per me' il corpo e ferro e fusto e que' cade a terra tutto isteso che più nonn à mestier di medico E quando que del castello vidono insi lor cavaliere abatuto si ve ne rimandarono immantanente uno altro per quello vendicare che disse a Boordo
si tres durement qu’il l’abat a terre si estordi qu’il n’a pooir de relever ains gist pasmés	si durement quil labat a terre si estordi que cil na pooir de releuer Ains fu pasmes	si durement quil labat a terre si estordi quil not pooir de lui releuer Ains iut illueques tous pasmes	si fort quil labat a terre si estourdy quil na pouoir de se releuer ains gist pasme	si durement quil labat a terre si estourdy qu il na pouoir de soy releuer:	que dio conel Porlas ancas del cauallo a tierra asi estordido	che ssi guardi da llui ch’elli il disfida ed e' dice che disfida lui PAllora trae la lancia del corpo a colui ch’elli avea morto si lascia il cavallo andare e l fiede si duramente ch’elli Il’labatte a terra
kar il chai	Car il fu cheus	quar il cai	car il fu cheu		que non se pudo leuantar	si stordito che non à podere di sé rilevare anzi giace ispasimato ché fu caduto
si felenessement qu’a poi que la canole del col n'avoit brisee Et Boors li vet a cheval par desus le cors	si uilainnement qua pou quil not la chenole dou col bͥsie et behors li ua a cheual par desus le cors	si felenessement que a poi que la canoele del col ne li est brisie Et bohors li uait tout a cheual par desus le cors	si felonnessement qua ponu que la chanole du coul ne luy eftoit brise Et boort luy uait a cheual par dessus le corps	et booit lui ua par dessus le col a cheual	asi estaua amorteçido dela cayda que las coyunturas del pescuezo tenia quebradas e boores traxo tantas vezes el cauallo sobre el	si fellonosamente che a poco che non si ruppe il collo e Boordo gli va cavalcando per di suso il corpo
tant que tot le debrise	tant que tout le debrisse	Si que tout le debrise	tant que tout le debrise	tant que tout le debrise	Que todo lo quebranto	tanto che di tutto il dibriscia
Et lors est la damoisele	et lors est la damoisele	Et lors est la damoisele	et lors est la damoisele	Et boort a tant la damoiselle esiouye	e la donçella	Allora est la damigella
si liee qu’ele ne puet plus	si lie que ele ne puet plus	si lie que plus ne puet	si liee quelle ne puet plus	que elle ne peut plus:	que aquello vido fue muy alegre que mas no lo podia ser	si lieta ch’ella non può più
et dist a Boort Sire nos n’avons mes garde kar je ne cuit qu’il eust plus de chevaliers çaiens que cestui;	et dit a beh̾ Sire fait ele nous nauons mais garde ce cuige Car ie ne cuit quil ait mais cheualier laiens plus que cestui	Si dist a bohort sire nous nauons hui mes garde Car iou quit quil ni a plus de cheualiers laiens que cestui	et dist a boort sire nous nauons mais garde car ie cuidoie quil y eust leans plus de cheualiers quil ny a	et dit a boort Sire nous nauons mes garde: car ie ne cuide point qu il y ait plus de cheualiers leans que cestui	e dixo a boores señor agora non auedes aqui deque vos mas guardar ca eneste castillo no auia mas deste cauallero segund cuydo	e disse a Boordo Sire non no abiamo oggimai guardia ch’io non credo mica ch’egli abbia là entro più cavalieri che questi
si vos dirai ore seurement ce	Si uus dirai ore seurement ce	Si vous dirai ce	Si uous diray seurement ce	si uous diray seurement ce	e agora os direlo	si vi dirò ora sicuramente ciò
que vos me demandastes n’a encor gaires — Dites fet il — Sire	que uos me demandates na gaires Dites dont damoisele fait il	que vous me denmandastes ore le me dites dont fait bohors	que uous me demandastes dictes fait il	que uous mauez demande	que me preguntastes seguramente Pues deçidmelo dixo boores asi es dixo la donçella	che voi mi domandaste — Dite diss’elli
fet ele entre moi	SIre fait ele par foi entre moi	Par foy sire fait elle entre moi et	par foy fait elle moy	Par ma foy fait elle moy	que oy mañana entre mi	— laPer fé diss’ella intra me
et I chevalier	et i cheualier	i cheualier	et ung cheualier	et ung cheualier	e vn cauallero	e uno cavaliere
qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mes amis estoit cheuauchiens hui matin parmi cest chastelet illuec	qui mes amis estoit cheualchiemes parmi chest chastel	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez	qui mon amy estoit cheuauchions parmi cest chasteau	que hera mi amigo pasamos poreste castillo	che mio amico era cavalcamo oggi mattinetto per me questo ricetto
et quant li freres a celui que vos avés abatu me vit si me volt a force prendre kar il m’avoit molt longuement amee; si me prist al frain	et quant li freres a celui que uos aues ore abatu: me uit Si me uot a force prandre Car il mauoit mout longuement amee Si me prist	Et quant li freres a celui qui vous aues abatu me uit si me volt auoir et prendre par force quar il mauoit lonc tamps amee Si me prist au frain	Et quant le frere a celuy quie uous auez ores abatu me uit si me uoult prendre a force car il mauoit longuement amee si me prist au fraing	Et quant le frere de celui que uous auez abatu me uist si me uoulut auoir et prendre a force: car il me auoit longuement aymee Il print mon cheual	e quando el señor del castillo hermano de aquel que vos derribastes me vido quisome prender afuerça e trabo del freno demi palafren	e quando il fratello di colui che voi avete ora abatuto mi vide si mi volle a forza prendere ché m’avea lungamente amato simmi prese al freno
et m’en volt mener a force	et me uost mener a force	et men volt mener a force	et me uoult mener a force	et men uoulut mener a force:	e quisome llebar	e mi volle menare a forza ma mio amico
	si tost comme il me tint au fraing					
mes mes amis se combati a lui tant qu’il l’ocist	Mais mes amis se combati a lui tant que il locit	Mais mes anis se combati a lui tant quil locist	mais mon amy se combaty a luy si loccist	mais mon amy se combatist a lui tant qu il loccist	e me vido mi amigo llebar conbatiose conel tanto quelo mato	si combatté tanto a llui che ll’ucise
Et quant cist	et quant ciz	Et quant chils cheualiers	Et quant celuy	Et quant celui	e quando	ME quando questo
que vos veez ci ore vit son frere mort si fist mon ami prendre a force de vilains	que uos ueez ore ci uit son frere mort : si fist mon ami prandre a force de uilains	que vous uees chi vit son frere mort si fist mon ami prendre par force de vilains	que uous auez ores cy abatu uit son frere mort si fist prendre mon amy a force de uilanis	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens	aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente	che voi avete qui ora abatuto vide suo fratello morto si fece mio amico prendere a forza di villani
et de gens et l’ocist en venjance de son frere	et de gent Et locit en la uangence de son frere	et locist por uengance de son frere quil auoit ochis	et de gens si loccist on uengence de son frere	et de uillains et loccist en uengance de son frere	e de villanos e matolo en enmienda dela muerte desu hermano	e di genti e l’uccise in vendicanza di suo fratello
Mais de moi			Mais il dist quil se uangeroit de moy		e dixo	
por cui Ses freres avoit esté ocis dist il qu’il se vengeroit sans main metre;	mais de moi p̾ cui ses freres auoit este ocis dist il quil sen uangeroit sans main mestre	Et dist quil se vengeroit de moi sans main metre	pour qui son frere auoit este occis sans main mectre	et dist quil se uengeroit de moy sans main mettre	que demi se vengaria el seguramente porque fui ocasion dela muerte de su hermano	Ma di me per cui suo fratello avea stato morto diss’elli che ssi vendicherebbe sanza in me mettere mano
