A	B
490|491	409
492	410|411
493	412
494	413
495	414
496|497	415
498	416
499	417|418
500	419
501	420|421
502	422
503	423
504	424
505|506	425
507	426
508	427
509	428
510	429
511	430
512|513	431
514|515	432
516	433
517|518	434
519|520	435
521|522	436
523|524	437
525|526	438
527|528	439
529|530	440
531|532	441
533|534	442
535	443
536	444
537	445
538	446
539|540	447
541|542	448
543	449|450
544	451
545|546	452
547|548	453
549	454
550	455
551	456|457
552	458
553	459
554	460
555	461|462
556|557	463
558	464|465
559|560	466
561	467
562|563	468
564|565	469
566|567	470
568	471|472
569	473
570|571	474
572	475|476
573	477
574	
575	
576|577	478
578|579	479
580	480
581|582	481
583|584	482
585	483|484
586|587	485
588	486
589	487
590	488
591	489|490
592|593	491
594|595	492
596	493
597|598	494
599|600	495
601|602	496
603|604	497
605	498
606|607	499
608|609	500
610|611	501
612	502
613	503
614	504
615	505
616|617	506
618	507
619	508
620	509|510
621|622	511
623|624	512
625	513
626|627	514
628|629	515
630	516
631	517
632|633	518
634|635	519
636	520
637	521
638	522
639|640	523
641	524|525
642	526
643	527
644|645	528
646	529
647	530
648	531
649	
650|651	532
652	533
653	534
654	535
655|656	536
657	537|538
658	539
659	540
660	541
661|662	542
663|664	543
665	544
666|667	545
668	546
669	547
670|671	548
672	549
673|674	550
675	551
676	552
677|678	553
679	554
680	555
681	556
682	557
683	558
684|685	559
686|687	560
688	561
689	562|563
690|691	564
692|693	565
694	566
695	567|568
696	569
697	570
698	571
699|700	572
701|702	573
703|704	574
705|706	575
707|708	576
709	577
710|711	578
712	579
713	580
714	581|582
715	583|584
716	585
717|718	586
719|720	587
721	588|589
722	590
723	591
724	592
725	593|594
726	595
727	596
728	597
729	598
730	599|600
731	601
732	602|603
733	604
734	605
735	606
736	
737|738	607
739|740	608
741|742	609
743|744	610
745	611|612
746	613
747|748	614
749	615
750	616|617
751	618|619
752	620
753	621
754	622
755	623
756	624
757|758	625
759	626
760	627
761|762	628
763	629|630
764	631|632
765|766	633
767	634
768	635|636
769	637
770	638|639
771	640|641
772|773	642
774	643
775	644
776	645
777|778	646
779|780	647
781|782	648
783	649|650
784|785	651
786|787	652
788|789	653
790|791	654
792|793	655
794|795	656
796	657
797	658
798	659|660
799|800	661
801	662
802	663
803	664
804	665
805	666|667
806	668
807|808	669
809|810	670
811	671
812|813	672
814|815	673
816	674
817	675|676
818	677
819	678
820|821	679
822	680|681
823	682|683
824	684
825	685
826|827	686
828|829	687
830	688
831	689
832	690
833	691|692
834|835	693
836|837	694
838	695
839|840	696
841	697
842	698
843	699|700
844	701|702
845	703
846	704
847	705|706
848	707|708
849|850	709
851	710|711
852	712|713
853	714
854	715|716
855	717|718
856|857	719
858	720
859|860	721
861	722
862|863	723
864	724
865	725
866|867	726
868	
869|870	727
871|872	728
873|874	729
875|876	730
877|878	731
879	732
880	733
881	734
882	735
883|884	736
885	737
886	738
887	739
888	740
889	741|742
890	743
891	744
892	745
893|894	746
895|896	747
897|898	748
899	749
900	750
901	751
902	752|753
903|904	754
905|906	755
907	756
908	757
909|910	758
911	759
912	760
913	761
914	762|763
915|916	764
917	765
918	766
919	767
920	768|769
921|922	770
923	771|772
924	773
925|926	774
927	775
928	776
929	777
930	778|779
931|932	780
933|934	781
935	
936	
937|938	782
939|940	783
941	784
942	785
943|944	786
945	787
946	788
947	789|790
	791
	792
948	793|794
949	795
950	796
951	797
952	798|799
953	800|801
	802
954	803|804
955	805|806
956	807|808
957|958	809
959|960	810
961|962	811
963|964	812
965|966	813
967|968	814
969|970	815
971	816
972	817
973|974	818
975	819
976|977	820
978|979	821
980|981	822
982|983	823
984|985	824
986	825
987|988	826
989	827
990|991	828
992	829|830
993	831
994|995	832
996	833
997	834
998|999	835
1000|1001	836
1002	837
1003	838
1004	839|840
1005	841
1006	842
1007|1008	843
1009|1010	844
1011|1012	845
1013	
1014	846
1015	847
1016	848
1017|1018	849
1019	850
1020	851|852
1021|1022	853
1023|1024	854
1025	855
1026	856|857
1027	858|859
1028	860|861
1029|1030	862
1031	863
1032	864
1033	865
1034	866
1035|1036	867
1037	868|869
1038	870
1039	871
1040	872|873
1041	874|875
1042	876
1043	877
1044	878
1045	879
1046	880
1047	881
1048|1049	882
1050	883
1051	884
1052	885
1053	886
1054	887
1055	888|889
1056	890
1057	891
1058	892
1059|1060	893
1061	894
1062|1063	895
1064	896|897
1065	898
1066|1067	899
1068|1069	900
1070|1071	901
1072|1073	902
1074|1075	903
1076	904
1077	905
1078|1079	906
1080|1081	907
1082	908
1083	909
1084	910|911
1085|1086	912
1087	913
1088|1089	914
1090|1091	915
1092|1093	916
1094	917
1095	918
1096	919
1097	920
1098	921
1099	922
1100	923
1101	924|925
1102	926
1103	927
1104|1105	928
1106	929|930
1107|1108	931
1109	932
1110	933|934
1111	935
1112|1113	936
1114|1115	937
1116	938
1117|1118	939
1119	940
1120	941
1121	942
1122|1123	943
1124	944|945
1125|1126	946
1127	947
1128	948
1129	949
1130	950|951
1131	952
1132	953
1133	954
1134|1135	955
1136	956|957
1137	958
1138|1139	959
1140	960
1141	961|962
	963
1142|1143	964
1144	965
1145	966
1146	967
1147	968
1148	969
1149|1150	970
1151|1152	971
1153|1154	972
1155|1156	973
1157|1158	974
1159|1160	975
1161	976
1162	977|978
1163	979
1164	980
1165	981
1166	982
1167	983|984
1168	985
1169	986
1170	987
1171	988|989
1172|1173	990
1174|1175	991
1176	992
1177|1178	993
1179	994
1180|1181	995
1182|1183	996
1184	997
1185	998|999
1186|1187	1000
1188|1189	1001
1190	1002
1191	1003
1192	1004|1005
	1006
1193|1194	1007
1195	1008
1196	1009|1010
1197|1198	1011
1199	1012|1013
1200	1014|1015
1201	1016|1017
1202	1018|1019
1203	1020|1021
1204	1022
1205	1023|1024
1206|1207	1025
1208	
1209|1210	1026
1211|1212	1027
1213|1214	1028
1215|1216	1029
1217|1218	1030
1219|1220	1031
1221|1222	1032
1223	
1224	
1225	
1226	
1227|1228	1033
1229	1034
1230|1231	1035
1232|1233	1036
1234	1037
1235|1236	1038
1237|1238	1039
1239|1240	1040
1241	1041
1242	1042
1243|1244	1043
1245	1044
1246	1045|1046
1247	1047
1248|1249	1048
1250|1251	1049
1252|1253	1050
1254	1051
1255|1256	1052
1257|1258	1053
1259|1260	1054
1261|1262	1055
1263	1056
1264	1057
1265|1266	1058
1267|1268	1059
1269	1060
1270|1271	1061
1272	1062
1273	1063|1064
1274|1275	1065
1276	1066|1067
1277|1278	1068
	1069
1279	1070
1280	1071
1281	1072
1282|1283	1073
1284	1074
1285|1286	1075
1287	1076
1288	1077
	1078
1289	1079|1080
1290	1081
1291	1082
1292	1083|1084
1293	1085
1294	1086
1295	1087
1296	1088
1297	1089
1298	1090
1299	1091
1300	1092
1301	1093
1302	1094
1303	1095
1304	1096
1305	1097|1098
1306|1307	1099
1308	1100
1309|1310	1101
1311	1102|1103
