,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
14|15|16|17|18,si se mist en son chemin|et acueilli sa voie aprés la vielle|Quant il ot chevauchié dusqu a midi|si ataint I|damoi] cjsele a l entree d une forest,Et il se mist en son chemin ap̃s la uielle|Quant il eust cheuauche iusques a midy|si attaint une damoyselle a lentree de une forest,mas no le plazia|porque yoguiera tanto envn lugar y|entonçe se partio dende y la vieja le tenia muy buenas armas y vn escudo blanco y armose y acogiose asu camino conla vieja y desque andubieron asta visperas fallaron ala entrada devna floresta vna donzella,Si se mist en son chemin|et acueilli sa voie apres la vielle|Et quant il ot cheualchie iusques a miedi|si ataint une damoisele en mi vne forest,si misse in su camino|si acolse sua via apresso la vechia|Quand egli ebbe cavalcato insin qu apresso mezodi|si agiugne una damigella all entrata d una foresta
19|20|21,qui chevauchoit I|petit palefroi noir|et pensoit moult durement,qui cheuauchoit ung petit palleffroy noir la quelle pensoit menlt durement,que andaba envn palafren morzillo y no andaua conella ome del mundo|e yba pensando muy fieramente,qui cheualchoit|j petit palefroi noir|si pensoit moult durement,che cavalcava un piccol palafreno nero|e pensava molto duramente
22|23,et bien paroit a ses iauz qu ele avoit rouges|et anflez qu ele eust ploré,et sembloit bien a ses yeux quelle auoit ploure,e semejaua|que lloraua mucho,Et bien paroit a sez iex quelle auoit rouges|et enfles quele auoit plore,e ben parea assuoi occhi|ch ella avea rossi|e nfiati|ch ella avea pianto
24|25,Il la salue|quant il l aproche,Il la sallue,e traia los ojos vermejos|e inchados,Il le salue|quant il laproce,Elli la saluta quand
,,,,,e l apresima
26|27,et ele lui ausi|Damoisele fait il vos me samblez moult couroucie,et elle luy|Damoiselle fist il uous me sembles courouchee,e lanzarote saluo la donzella y ella ael donzella dixo el semejame,et elle lui autresi Damoisele fet il vous me sambles corocie,e ella lui altresi|: Damigella diss elli vo mi sembiate molto crucciata
28,et je savroie volentiers l achoison de vostre courouz,ie scairoie uoulentiers lachoison de uostre couroust:,que algun gran pesar auedes|e querria sauer,Et iou sauroie volentiers locoison de vostre corous,e io saprei volentieri la cagione di vostro cruccio
,,,,,;
29,Et bien sachiez,et sachies,porque ca saued,Et bien sachies,e ben sappiate
30,que j'i metroie volentiers tout le bon conseil,que ie y mettroie tout le meilleur conseil,que os porne todo el mejor consejo,que ie y meteroie volentiers tout le bon conseil,ch i' vi metterei volentier pena|e tutto il buon consiglio
31,que je porroie — Certes fait ele il n a home el monde fors Deu,que ie pourroie|Certes fist elle il nest homme fors dieu,que yo pudiere çierto señor dixo la donzella enel mundo no a ome,que iou y porroie mettre|Certes fait elle il na homme el monde fors dieu,ch i potrei|— Al certo sire disse ella
32|33|34|35,qui consoil i poïst metre|car de ce|dont je cuit estre couroucie sont C|mile autre couroucie ne ce n est,qui conseil y peust mettre|car de ce|donc ie suis courouchiee sont cent mille aultres courouchies,que pudiese poner consejo enesto|porque yo so triste sino dios|e por lo|que yo so triste lo debria ser todo el mundo|e se quelo son|mas de çient mill|omes,qui conseil y peust metre|Car ce de coi ie soi corocie|sont autre coroucie,e non à huomo al mondo fôrse ldio|che consiglio vi potesse mettere ché cciò dond io son crucciata son centomiglia altre crucciate
36|37,? mie chose ou je perde seulement|mais tuit li povre gentil home del monde,ne ce nest mie chose ou ie perde seullement mes tous les preudommes du mende tant de la grande bretaingne,ca esto no es perdida devn|ome solo antes lo es de todos los Ricos,Ne ce nest mie chose ou iou perde seule|mais tot li poure gentil homme del monde,: né ciò nonn è mica cosa ov i' solamente perda ma tutti i poveri gentili huomini del mondo
38,et tuit li riche de la Grant Bretaingne,,e delos pobres dela gran bretaña,et tout li riche de la grant bertaigne,e tutti i ricchi della Gran Brettagna
39|40|41,et d autres terres|— Enon Dieu damoisele faît Lanceloz|dont n est a il mie merveille se vos en estes couroucie,que de autres terrrs|Par dieu dit lancelot du lac damoiselle denc nest ce pas de merueille se uous estes courroucee,e demas delas otras tierras pordios dixo el donzella no es marauilla|si uos ende pesa,& dautres terres|Enon dieu damoisele fet lancelot|dont nest ce mie merueilles se vous estes coroucie,e dell altre terre|— A nome di Dio disse Lancelotto damigella dunque non è elli mica maraviglia se voi ne siete crucciata
42,et je vos pri,et ie uous prie,e porende vos Ruego,Et iou vous pri,! E i' vo priego
43,que vos me diez,que uous me diez,que me digades,que vous me dites,che vo mi diciate
44|45|46|47|48|49,que ce est|car puis|que toutes genz le sevent vos le poez bien dire ce m est' avis|sanz meffait|— Sire fait ele jel vos dirai|puis que vos avez tel talant del savoir,que cest:|puis que toutes gens le scaiuent uous le me pouez bien dire|Sire fist elle ie le uous diray|puis que uous auez tel tallent de le sauoir,que cosa es o|que perdida es puesque tantos lo sauen bien melo podedes dezir|si quisieredes señor dixo la donzella pues vos tan gran sauor auedes delo sauer deçiruosloe marauillome|como lo vos no sauedes|Ca ya tiempo|a que todo el mundo lo saue verdad es dixo la donzella,que chou est|Car|puis que tant de gent le seuent vous le me poes bien dire ce mest auis sans mesfait|Sire fait elle ie le vous dirai|puis que vous en aues|si grant talent del sauoir,che ciò è ché poscia|che tutte genti il sanno voi il mi potete ben dire ciò m è aviso sanza misfatto|— Sire diss ella io il vi dirò poscia|che voi avete tal talento del sapere
50,et si me merellie mouit,et si me merueille,que este pesar me viene,,:
51|52|53,que vos nei savez|car toz li mondes le set ja a|Voirs est fait ele,que uous ne le sauez|Uray est dit la damoiselle|que mon courroust est de|ii|choses|De une mienne seur,por dos cosas la vna es demi hermana|que me tomo vn cauallero a fuerça y la otra es|por muerte devn cauallero el mejor del mundo,Voirs ert fet elle,si mmi maravigli ol molto quando vo' nol sapete ché tutto il mondo il sa|Ver è diss ella
54|55,que mes couroz est de Jl|¡or a force,que ung cheualier print lautre iour a force,que si el fuese viuo el me daria derecho dequien tanto tuerto me fizo|mas vien se,que mes corous est pour|ij|choses|li vns est dune moie sereur|que vns cheualiers prist lautre ior a force,che mi' cruccio est di due cose
,,,,Et li autres,
,,,que es muerto y dire vos,,
56,et d un prodome,et de ung preudomme,como asi es,si est dun prodomme,: d una mia sirocchia
,,,,,ch un cavaliere prese l altsrlo giorno a forza ee d un produomo
57|58,qui bien men venjast s il fust vis dusqu a ore|Mais il est morz,qui bien men uengast sil feust uif|mais il est mort,que quando yo vi el cauallero,qui bien men uengast se il eust uescu dusques a hore|mez il est mors,che ben me ne vendicasse s elli fosse vivuto infino a ora ma elli è morto
,,,,si vous dirai comment ie le sai,
,,,,Il est voirs,
59,et si vos dirai ot prise ma seror a force ne randre ne la me voloit,et uous diray comment ie le scay Il est uray,que ami hermana tomo|que mela no quiso dar,que quant li cheualiers ot prise ma seror a force ne rendre ne le me veult,Si vo dirò com'i' l so
60|61|62|63,por proiere ne|por donner|que ge m esmui a aler a la cort le roi Artus|por faire ma clamor de ce,que quant le cheualier eut prinse ma seur a force il ne la uoulloit rendre pour priere ne pour don|si men allay a la court du roy artus pour faire ma clameur,por Ruego ni|por al fui ala corte del Rey artur|por me quexar de aquel cauallero,por proiere ne pour donner|que iou li peusse faire|Si mesmui pour aler a la cort le roy artus pour faire ma clamor de ce,: elli fu vero|che quando l cavaliere ebbe pressa mia serocchia a forza né render no la mi volea per plrjeghieri né per donare|ch i' sapesse simmi mossi ad andare alla corte del re Artù per fare mi' chiamore di ciò
64,que li chevaliers m avoit fait sanz raison,,que nos tan gran tuerto fizo,que li cheualiers mauoit fet sanz raison,che l cavaliere m avea misfatto sanza ragione
65|66,Et quant je i fui venue n a mie encor IIl|jorz,Et quant ie ie y fuz uenue na pas encores huit iours ie ny trouuay encques personne,e desque llegue ala corte oy a quatro dias,Et quant iou y fui uenue|na mie encore|iij,
67|68,si ne trouvai|qui me respondist de riens,qui de riens me respendist,que me quexe no pude fallar quien me Respondiese,semaines|si ni trouuai|qui mi respondist de riens,si non trovai chi mi rispondesse di nulla ché tutti intendieno a piagnere
69|70,car tuit antandoient a plourer|et a duel faire,car ilz entendoient tous a faire deul,ca todos no entendian enal sino en llorar|e fazer gran duelo,quar tout entendoient a plorer|& a doel faire,e a duol fare
71|72,Et quant je vi ce|si fui toute esbahie,Et quant ie uiz ce ie fuz toute esbahie,e quando esto vi fuy marauillada,Et quant ie vi ce|si fui toute esbahie,Quand i vidi ciò|si ne fu' tutta isbigottita
73|74,si priai a J|escuier,,e Rogue a vn escudero,Si priai a|j|escuier,si prega a uno sleudieri
75|76|77,que il me deist|por quoi il faisoient tel duel|et il me dist,si priay a ung escuier quil me dist pour quoy ilz faisoient tel deul|Et il me dit,que me dixese|porque lo façia el me dixo este duelo fazen,que il me deist pourcoi il faisoient tel dojel|Et il me dist,ch elli mi dicesse perché facevano tal duolo|ed e' mi disse
78|79,que c estoit|por Lancelot de Lac,que cestoit pour lancelot du lac,por don lanzarote de lago,que ce estoit pour lancelot del lac se teal,che ciò era per Lancelotto de Lac
,,,que es muerto y otrosi porla Reyna ginebra,,
80,qui morz estoit,qui estoit mort,que esta maltrecha,qui mors estoit,che mort era
,,,que bien cuidan,,
,,,que no guaresçera,,
,,et aussi me dit,,,
,,que ma dame la royne estoit fort mallade de courroust,,,
81,Et quant je vi,Quant ie uiz,e quando yo vi,Et quant iou vi,“E quand i vidi
82|83,que je n i porroie riens faire de ma besoingne|si me parti ier matin dolante,que ie ne pouoie faire ma besongne,que no podia ay adouar demi façienda Partime dende muy triste,que ie ni pooie riens faire de ma besoigne|si men parti hier matin moult dolante,ch i non vi potrei nulla fare di mia bisogna|si me ne parti' ier mattina dolente
84|85|86,et couroucie de la mort au bon chevalier|dont touz li mons avra soufraite|car jamais ne sera hom,si men partiz dollente pour la mort du bon cheualier dent tout le mende aura mestier:|car iamais ne sera cheualier,e muy cuitada porla mi muerte del buen cauallero deque todo el mundo se fallara en mengua|ca enel mundo no hauia cauallero,et moult coroucie de la mort au boin cheualier|dont tous li mondes aura souffraite|quar iamais ne sera homs,e cruceiata della morte del buon cavaliere|donde tutto 'l mondo arà soffratta ché giamai non sarà huom
87|88,qui ait tel pitié de povre damoisele com il avoit|Si sui trop irie,qui ait telle pitie de poures damoiselles comment il auoit|et moy meismes en auray souffrecte,que tan gran duelo ouiese de donzellas,qui ait pitie de poures damoiseles|si grant comme il auoit|si en sui trop irie,ch abbia tal piatà delle povere damigelle com elli avea|Si ne sono troppo adirato
89|90,que je n avrai jamais|qui me face droit de tort,car ie ne trouueray|qui droit me face du tort,e de pobre gente y de,Car iou ne trouerai iamais|qui me face droit del tort,ch i' non arò giamai chi mi faccia diritto del gran torto
91|92|93|94,que l an m a fait|si ne finai|puis de plorer|por la grant pitié,que len me fait|si ne finay|puis de plourer pour la grant pitie du preudomme,oy|mas no podre fallar quien mi derecho faga y poresto no dexo de llorar porel gran daño,que len me fait|si ne finai onques|puis de plourer pour le pitie,che l uom mi fa|Si non finai poscia di piagnere per la piatà
95|96,que j ai del prodome|et por la perte,,que Resçeui porla muerte del buen Cauallero,que iou ai del prodomme,ch i' ò del produomo|e la reina Ginevra|ch era ieri molto malata quand i' fu' a corte per la perdita
97|98,que je i ai b;|car se il fust vis,,ca si el fuese bibo,Car sil fust vis,ch i' ci ô|:vché s elli fosse vivo
99|100,et il seust le grant tort|que l an m a fait il m an queist la venjance,et ie scay bien sil estoit uif qu il me uengeroit mieulx,e supiese el tuerto|que ami fizieron el me daria tal derecho,et il seust le tort con me fait|il men quesist tel uengance,e sapesse il gran torto|che l uom mi fa elli me ne chiedesse tutta la vendicanza
101,que j en fusse liee touz les jorz de ma vie,,Porque mi Corazon fuese alegre en,que iou en fuisse lie tous lez iors de ma vie,si ch i ne fosse lieta tutti i giorni di mia vita
102|103,Et ce est ce|por quoi je ai hui tant Ploré,que nul autre,quanto fuese viua agora vistes y sabeis|por que lloraua,Et cest|por ce|que u ai hui tant plore,: ciò è ciò perch io ho oggi tanto pianto
104,Quant Lanceloz an,QUant lancelot du lac entent,asi como vistes Como don lançarote estaua muy triste,ouant lancelot entent ce,pQuando Lancelotto intende
105|106|107,tant que la roine est|si malade|si est moult a malaise,que la royne est mallade|si en est moult a malaise:,Por quanto le dixeron quela Reyna ginebra estaua enferma|Quando Lançarote oyo quela Reyna hera tan enferma pesole ende mucho y,que il sont a cort|si troble|et si corocie,che lla reina est|si malata|si n é molto mal sal agio|;
108|109,et s il poist retorner a cort sanz cele en cui besoingne il ert entrez il i retornast|por mestre la roine a aise,et sil peut retourner a court sans soy meffaire uers celle pour|qui il est entre en queste il retournast uoulentiers,si el pudiera tornar ala corte de grado de aquella conquien yba mucho lo faria|por fazer algun plazer ala Reina,por lui|Si pense bien|que la royne en est acouchie de doel,e s elli potesse ritornare a corte sanza quella in cu' bisogno elli è entrato elli ritornasse per mettere la reina ad agio ché ben
,,,,Si en est moult a malaise,
110,car bien pense,car il pense bien,e bien sabia,Car bien pense,si pensa
111|112,que cele maladie|que ele a n est,que elle nest malla de sinon pour lui,que aquella enfermedad,quele ne seroit deshaitie se,che quella malattia
113|114,? se|por lui a non,Lors dit,que ella auia quela no hauia sino con deseo del y,por li non,ch ella ha non è se per lu' non
115,Lors dist a la pueele,,entonçes dixo ala donzella,Lors dist a la damoisele,Si disse alla damigella
116|117,qui la novele li avoit contee Damoisele se vos me volez faire I|message je metroie painne en vostre suer delivrer,Damoiselle se uous me uoullez faire ung mien message ie mectroie paine de deliurer uostre seur,si vos me lleuasedes vn mandado ado yo vos ymbiaria yo me trabajaria de librar avuestra hermana de aquel quela tiene señor dixo ella no ay enel mundo tan estraño lugar ado vos me ymbiasedes,qui la nouele li auoit contee|Damoisele : se vous me volies fere|j|message|iou metroie paine en vostre suer deliurer,Damigella se vo' mi vole fare un messaggio i' metterei pena in vostra sirocchia diliverares
118,Et ele dist qu il n est,et elle dist quil ny a nul,que y no baia en tal,Et cele dist quil nest nul,che non è
119|120|121|122,si estrange leu ou ele n alast par couvant|que sa suer fust delivree|Dites moi fait il|quel part li ehevaliers est,si estrange lieu ou elle ne allast par conuenant|que sa seur feust deliuree|Dictes fist il quelle part est le cheualier,que me dedes vos ami hermana|entonçes la dixo lançarote pues enseñadme|do esta el cauallero,si estranges lieus el monde ou elle nalast par ensi|que sa suer ne fust deliuree|Dites moi|dont fet il|de|quel part li cheualiers est,si stran luogo ov ella non andasse per convenente|che sua serocchia fosse dilivera
123,et je i irai,,e yo yre alla,et iou y irai,e i' v andrò
124|125|126|127,— I est fait ele pres de ci|— Or alez dont fait il|et je vos suirrai|Et ele ist fors del grant chemin,Il est fist elle prez dicy|Or allez|donc tost dit lancelot|et ie uous suiuray|Elle tourna hors du grant chemin,e dixo ella señor çerca es deaqui|e yo vos lleuare alla andad dixo el,Il est fait elle pres de chi|Ore ales|dont fet il auant|et iou vous sieurai|Et elle issi hors del grant chemin,— Elli è diss ella presso di qui|— Or andate dis egli dunque inanzi i vo seguirò|ella esce fori del gran camino s antra in un petito sentieri a destra
128|129,si entre en I|petit chemin a destre,si entra en ung petit sentier a destre Lancelot du lac,ca yo vos seguire|entonçes dexo la donzella el gran camino y fuese,si entre en vn petit sentier a destre,;
130|131|132|133|134,et Lanceloz|et la vielle chevauchent aprés tant qu il ont bien alé la monte de Il|liues anglesches|Lors voient desouz aux une petite valee ou il avoit une tor fort|et haute,et la damoisesle cheuaucherent aprez tant quilz ont bien alle deux lieues anglesches Lors uoient deuant eulx une uallee ou il y auoit une tour forte|et haulte,por otro camino derecho y lanzarote y la vieja se fueron conella|e desque andubieron|quanto dos leguas Pequeñas vieron antesi envn balle pequeño vna torre muy alta,Et lancelot|et la vielle cheualchent apres tant quil ont bien ale le montance de|ij|lieues englescthjes|Lors voient desouz vne petite valee ou il auoit vne tour forte|& haute,e Lancelotto|e la vecchia cavalcano appresso tanto|ch egli àno bene andato metà di due leghe inghilesche|Allor vegono di sotto loro una piccola vallata ov egli avea una torre forte|e alta
135|136,Et la damoisele apele Lancelot|et li dist Sire en cele tor la est ma seror se vos i volez aler,Et la damoiselle appelle lancelot|et lui dit Sire en celle tour la est ma seur:,e muy fuerte Como don lançarote tomo ala donzella,Et la damoisele dist a lancelot|Sire en cele tour la est sma suer,:|e la damigella appella Lancelotto|e li disse|: Sire in quella torre è mia serocchia se voi vi volete andare
137|138|139,et li chevaliers|dont je vos ai conté|— Vos vanrez fait il o moi,et le cheualier|dont ie uous ay compte se uous y uoullez aller|uous uendrez fait il auecques moy,e la dio a su donzella|que hera su sobrina ENtonce dixo la donzella a lanzarote señor vedes vos aquella torre alli fallaredes ami hermana y al cauallero quela forço donzella dixo lançarote ydvos alla comigo,et li cheualiers|dont ie vous ai conte est auec li|vous vous en uendres fait ile auec moi,e cavaliere altresi dond io ne ho contato|— Vo' verete diss elli con esso meco
140|141|142,et le me monssanté|Et ele dist qu ele doute moult le chevalier ;|et Lanceloz l an aseure,et la me monstrerez|et naiez ia paour:,e mostrarmela edes Señor dixo ella mucho he gran miedo del cauallero ningund miedo ayades dixo lançarote del cauallero,& le me mousterres|si le vous renderai se iou ai sante|Et cele dist|que elle doute moult le cheualier|Et lancelot lasseure,e la mi mosterete|;|e non abiate mica paura|ch i la voi renderò s i' ò santá|ch ella ridotta molto il cavaliere|e Lancelotto ne l asicura
143|144,et dit qu il la garantira contre touz ceus|qui riens li demanderont,car ie la uous rendray se dieu me donne uie,ca vos ende seguro yo señor dixo ella pues conbusco yre pues me asegurades,et li dist|que il le garantira contre tous ceuls|qui riens li demanderont,e dice|che ne la guarentirà incontro a tutti coloro|che nulla le domanderanno
145|146|147,Sire fait ele|donc irai ge ou vos|Einsi vont parlant dusqu a la porte,et sante|Ainsi uont parlant iusques a la porte,asi fablando llegaron ala puerta dela torre,Sire fet elle|dont y irai iou auec vous|Ensi sen vont parlant iusques a la porte,PSire diss ella dunque andrò io dove voi|Insi vanno parlando|tanto che son venuti insin qua alla porta
148|149|150,et huchent|et crient i tant a|que l an lor ouvre,et appellent a luis|tant que len leur uint ouurir Ilz entrent ens,e llamaron tanto fasta queles abrieron|e desque entraron fueron de vestia fasta el gran palaçio,Il hurtent a luis|tant que on lor oeure,e elli pereuotono all uscio|tanto che l uomo loro apre|; ̓e elli entrano dentro
151|152,et il entrent enz a cheval|et viennent en la sale,puis uiennent a cheual en la salle,e desçendieron y entraron dentro,Et il entrent ens tout a cheual|& puis entrent en la sale,e vengono tutto a cavallo nella sala
153,qui par terre estoit;,qui basse estoit,,qui par terre estoit,che per terre era
154|155,si trouverent le chevalier|qui gisoit malades des plaies,Si trouuerent le cheualier|qui estoit mallade des plaies,e fallaron envn Rico lecho al Cauallero muy mal llagado,si trueuent le cheualier|qui estoit malades des plaies,MSi vi trovarono il cavaliere|che malato giacea|e ciò era delle piaghe
156|157,que l an li avoit faites|et la pucele,que len lui auoit faictes|et la pucelle,ca lo llagara muy mal vn Cauallero conquien se conuatiera y la hermana dela donzella,que len li auoit faites|ets la damoisele,che l uomo li aveva fatte|;|e lla pulcella
,,,,,che lla damigella andava cercando
158,qui sa seror aloit querant se seoit sor une couche,que len alloit querant se seoit sur une couche,que con lanzarote venia estaua çerca del en vna cama,que sa suer aloit lquerant|sil se seoit sor vne couche,che sua sirocchia era|si si sedea susso una coltrice
159|160,Quant Lanceloz fu laienz|si dist a cele,Et quant lancelot uint leans|si dist a celle pour,e don lançarote dixo ala donzella es aquella vuestra hermana señor|si dixo ella,CNuant lancelot fu entres laiens|si dist a cele pour,Quando Lancelotto fu là entro venuto
161|162,por cui il estoit venuz Veez vos fait il vostre suer|? — Oil fait ele c est ele,qui il estoit uenu|Uoiez uous uostre seur|oy fist elle cest celle,e fue alla Corriendo asu hermana,qui il estoit la uenus|Cy Damoisele vees vous vostre suer|Oil sire fet elle chest chele,si disse a quella per cui elli era venuto|: Vedete vo' diss elli vostra serocchia|? — Oil diss ella ciò è quella
163,qui la se siet,qui est la assise,,qui la se siet,che llà|si siede
164,Et il la prant par la main,Et il la prent par la main,e tomola porla mano,Et lancelot le prent par le main,;|e elli la prende per la mano
,,,,,e liel baglia
165|166|167|168,et il li baille|et li dist Tenez la damoisele|et si la menez la ou il vos plaira|car ja ne trouverez home,si lui baisle|et lui dit|Tenez menez la ou uous uouldrez|car ia ne trouuerez homme,e don lanzarote le dixo donzella tomad avuestra hermana|e lleuad la ado vos quisieredes|que no ay,Si li baille|et li dist Tenes damoisele|et si le menes la ou vous voles|quar ia ne feoes cl trouueres homme,e disse|: Tenete damigella|si la menate là ove vo parrà ché già non troverete huomo
169,si hardi,,ome tan ardit,si hardi,si ardito
170|171|172|173,qui por|lui vos arest tant com je soie o vous|— Sire fait ele grant merciz|et je ne vos demant plus fors,qui pour elle uous arreste tant comme ie soie uif|Sire fait elle ie ne uous demande plus fors,que vos ose fazer fuerça|e si lo prouar quisiere caramente lo comprare señor muchas merçedes|ca yo no vos demando|mas sino,qui por li vous arrest|tant comme iou soie aueques vous Sire fet elle grans mercis|& ie ne vous demanc plus fors,che per lei voi aresti tanto com i vi sia|— vSire diss ella gran mercé|l' non vo domando più forse
174|175,que vos me conduiez a sauveté|car bien vos estes aquitez de ce,que uous me conduisez a sauuete:|et bien uous estes acquitte de ce,que me lleuedes|e pongades en saluo|ca muy bien vos quitastes delo,que vous me conduisies a aluete|quar bien vous estes aquites de ce,che voi mi conduciate I a ssalvamento ché bene vo' siete acheto di ciò
176|177,que vos m avez promis|— Alez vos an fait il seurement,que uous me auiez promis Allez uous en seurement:,que me prometistes sed segura dixo,que vous mauies promis|Ales vous ent seurement fait lancelot,che vo' m avete promesso|— Andatene voi diss elli sicuramente
178,car je vos conjal duirai la ou vos voudrez,car ie uous conduiray ou uous uouldrez,el que yo vos lleuare ado uos quisieredes,quar ie vous conseaoeelduira la ou vous voldrois aler,ch i' vo conducerò là ove vo' vorete
,,,e luego caualgo la donzella,,
,,,e don lanzarote otrosi,,
179,Et il prant la damoisele,lors prent la damoiselle,e tomo la donzella,Et lors prent lancelot la damoisele,JlME Lancelotto prende la damigella
180,et la monte devant soi;,et la monte deuant lui,que estaua enla camara antesi enel cauallo,& le monte deuant soi,e lla monta dinanzi sé
181,et quant li chevaliers malades voit qu il l amporte,Quant le cheualier mallade la uoit,e quando el cauallero llagado vio lleuar la donzella,Et quant li cheualiers malades len uoit porter,Quando l cavaliere malato vide|che l uomo ne la porte
182,si est moult dolanz de ce qu il ne se puet lever,si en est moult dolent de ce quil ne se peut leuer,que hera la cosa del mundo quel,si en est moult dolans de ce quil ne se puet leuer,si n è molto dolente|e più ancora di ciò
183|184,car s il fust en son droit pooir il ne l anmenast mie sanz contredit|Lors dist a Lancelot Biau sire vos me faites desraison,car sil feust sain il ne lemmenast point sans coupz denner|Et lors dit a lancelot|Beau sire uous me faictes tort,mas amaba dixo a lanzarote cauallero vos me fazedes gran tuerto,Car se il fust en son droit pooir|il ne lenportast mie sans contredit|Si dist a lancelot|Biau sire vous me faites desraison,che non|si può levare ché s elli fosse in su' diritto podere e' no ne la menasse mica sanza contradetto|eAllor disse sal Lancelotto|Bel sire vo mi fate disragione
,,,e gran desonrra,,
185,qui ainsi enmenez ma damoisele se n i avez nul droit,quant ma damoiselle emmenez|et ny auez nul droit,ca me lleuades mi donzella sin derecho,qui ensi menmenes ma damoisele,che insi ne menate mia damigella|si non avete nullo diritto
,,,e çierto,,
186|187,Certes se je fusse sains|et haîtiez vos n en menissiez point,Certes se ie feusse en bon point uous ne lemmeneissiez pas ainsi,si yo fuese sano no auriades vos talante delo fazer,et si ni aues nul droit Certes se iou fuisse sains|et haities vous ne lenmenissies point,e atato vo' no ne menaste punto
,,,,,;
188|189|190,Et bien sachiez se j en|puis venir en leu vos ne feistes onques choses|dont vos tant vos repantissiez comme vos feroiz de ceste,et bien sachez|que se ie|puis uenir en lieu oncques ne fistes chose|dont autant uous repentissiez comment uous ferez de ceste,e bien saued|que si yo en algund tiempo uos puedo fallar nunca feçistes cosa deque peor vos falledes,Et bien sachies se iou en|puis uenir en lieu: vous ne feistes onques cose|dont fntal vous repentissies tant comme vous feres de ceste,e ben sappiate che s i' ne posso venire in punto vo non faceste unque cosa|donde vo' tanto vo ripenteste come vo' farete di questa
191|192,— Blau sire|fait Lanceloz vos preistes la damoisele a force,Beau doulx sire fait lancelot uous prenistes la damoiselle a force,e de|quanto vos arrepentades Cauallero dixo don lanzarote vos tomastes la donzella a tuerto,Biau sire fet lancelot vous preistes la damoisele a force,— Bel sire disse Lancelotto vo' prendeste la damigella a forza
193,et estre son gré,et oultre sen gre,e sin su grado,et mal gre sien,e oltre su grado
194,et ausi conme vos a tort l en amenastes ausi l anmenrai je a droit,et ainsi comment uous lemmenastes a tort ainsi lemmeneray ie a droit,,Et Densi comme vous a tort lenmenastes|ensi le remenrai iou a droit,: insi come voi a torto ne la menaste insi ne la men'io a diritto
195,Et se vos cuidiez,Et se uous cuidez,e si cuidades,Et Se vous quidiez,Ese vo credete
196,que je vos face vilonnie,que ie uous face tort,que vos fago tuerto tanto,que iou vous face tort ne uilonnie,ch i' vo ne faccia vilania
197|198,si en querez vostre droit|quant vos porroiz,si en querez uostre droit|quant uous pourrez,que vos seades guarido buscad ende vuestro prouecho lo,si en queres vostre droit|quant vous porres,si ne chiedete vostro diritto
