a	b	c	d	e
62|63	que ge m esmui a aler a la cort le roi Artus|por faire ma clamor de ce	Si mesmui pour aler a la cort le roy artus pour faire ma clamor de ce	por al fui ala corte del Rey artur|por me quexar de aquel cauallero	simmi mossi ad andare alla corte del re Artù per fare mi' chiamore di ciò	si men allay a la court du roy artus pour faire ma clameur
64	que li chevaliers m avoit fait sanz raison	que li cheualiers mauoit fet sanz raison	que nos tan gran tuerto fizo	che l cavaliere m avea misfatto sanza ragione	
65|66	Et quant je i fui venue n a mie encor IIl|jorz	Et quant iou y fui uenue|na mie encore|iij	e desque llegue ala corte oy a quatro dias	|non à mica ancora guari	Et quãt ie ie p fuz uenue na pas encores hrit iours ie ny trouuap q̃cq̃s personne
67|68	si ne trouvai|qui me respondist de riens	semaines|si ni trouuai|qui mi respondist de riens	que me quexe no pude fallar quien me Respondiese	si non trovai chi mi rispondesse di nulla	qui de riens me respõ dist
69|70	car tuit antandoient a plourer|et a duel faire	quar tout entendoient a plorer|& a doel faire	ca todos no entendian enal sino en llorar|e fazer gran duelo	ché tutti intendieno a piagnere|e a duol fare	car ilz entendoient tous a faire deul
71|72	Et quant je vi ce|si fui toute esbahie	Et quant ie vi ce|si fui toute esbahie	e quando esto vi fuy marauillada	Quand i vidi ciò|si ne fu' tutta isbigottita	Et quãt ie uiz ce ie fuz toute esbahie
73|74	si priai a J|escuier	Si priai a|j|escuier	e Rogue a vn escudero	si prega a uno sleudieri	
75|76|77	que il me deist|por quoi il faisoient tel duel|et il me dist	que il me deist pourcoi il faisoient tel dojel|Et il me dist	que me dixese|porque lo façia el me dixo este duelo fazen	ch elli mi dicesse perché facevano tal duolo|ed e' mi disse	si priay aung escuier quil me dist pour quoy ilz faisoiẽt tel deul
78|79	que c estoit|por Lancelot de Lac	que ce estoit pour lancelot del lac se teal	por don lanzarote de lago	che ciò era per Lancelotto de Lac	Et il me dit q̃ cestoit pour lãcelot du lac
			que es muerto y otrosi porla Reyna ginebra		
80	qui morz estoit	qui mors estoit	que esta maltrecha	che mort era	qui estoit mort
			que bien cuidan		
			que no guaresçera		
81	Et quant je vi	Et quant iou vi	e quando yo vi	“E quand i vidi	et aussi me dit q̃ ma dame la copne estoit fort mallade de courroust
82|83	que je n i porroie riens faire de ma besoingne|si me parti ier matin dolante	que ie ni pooie riens faire de ma besoigne|si men parti hier matin moult dolante	que no podia ay adouar demi façienda Partime dende muy triste	ch i non vi potrei nulla fare di mia bisogna|si me ne parti' ier mattina dolente	Quãt ieuiz q̃ ie ne pouoie faire mahesong ne
84|85|86|87|88	et couroucie de la mort au bon chevalier|dont touz li mons avra soufraite|car jamais ne sera hom|qui ait tel pitié de povre damoisele com il avoit|Si sui trop irie	et moult coroucie de la mort au boin cheualier|dont tous li mondes aura souffraite|quar iamais ne sera homs|qui ait pitie de poures damoiseles|si grant comme il auoit|si en sui trop irie	e muy cuitada porla mi muerte del buen cauallero deque todo el mundo se fallara en mengua|ca enel mundo no hauia cauallero|que tan gran duelo ouiese de donzellas	e cruceiata della morte del buon cavaliere|donde tutto 'l mondo arà soffratta|ché giamai non sarà huom|ch abbia tal piatà delle povere damigelle com elli avea|Si ne sono troppo adirato	si men partiz dollente pour la mort du bon cheualiez dõt tout le mõ de aura mestier: cat iamais ne sera cheualier|qui ait telle pitie de poures da¬ moiselles commẽt il auoit|⁊ mopmeismes en auray souffrecte
89|90|91|92|93|94	que je n avrai jamais|qui me face droit de tort|que l an m a fait|si ne finai|puis de plorer|por la grant pitié	Car iou ne trouerai iamais|qui me face droit del tort|que len me fait|si ne finai onques|puis de plourer pour le pitie	e de pobre gente y de|oy|mas no podre fallar quien mi derecho faga y poresto no dexo de llorar porel gran daño	ch i' non arò giamai chi mi faccia diritto del gran torto|che l uom mi fa|Si non finai poscia di piagnere per la piatà	car ie ne trouueray|qui droit me sace du tort q̃ fen me fait|si ne finay|puis de plourer pour la grant pitie du preudõme
95|96	que j ai del prodome|et por la perte	que iou ai del prodomme	que Resçeui porla muerte del buen Cauallero	ch i' ò del produomo|per la perdita	
				e la reina Ginevra	
				ch era ieri molto malata quand i' fu' a corte	
97|98	que je i ai b;|car se il fust vis	Car sil fust vis	ca si el fuese bibo	ch i' ci ô|:vché s elli fosse vivo	
99|100	et il seust le grant tort|que l an m a fait il m an queist la venjance	et il seust le tort con me fait|il men quesist tel uengance	e supiese el tuerto|que ami fizieron el me daria tal derecho	e sapesse il gran torto|che l uom mi fa|elli me ne chiedesse tutta la vendicanza	⁊ ie scap biẽ sil estoit uif qͥl me uẽgeroit mieulx
101	que j en fusse liee touz les jorz de ma vie	que iou en fuisse lie tous lez iors de ma vie	Porque mi Corazon fuese alegre en	si ch i ne fosse lieta tutti i giorni di mia vita	
102|103	Et ce est ce|por quoi je ai hui tant Ploré	Et cest|por ce|que u ai hui tant plore	quanto fuese viua agora vistes y sabeis|por que lloraua	: ciò è ciò perch io ho oggi tanto pianto	que nul autre
104|105|106|107	Quant Lanceloz an|tant que la roine est|si malade|si est moult a malaise	ouant lancelot entent ce|que il sont a cort|si troble|et si corocie	asi como vistes Como don lançarote estaua muy triste|Por quanto le dixeron quela Reyna ginebra estaua enferma|Quando Lançarote oyo quela Reyna hera tan enferma pesole ende mucho y	pQuando Lancelotto intende|che lla reina est|si malata|si n é molto mal sal agio	Dant lãcelot du lac entent q̃ la toyne ◊est malla de|si en est moult amalaise:
108|109	et s il poist retorner a cort sanz cele en cui besoingne il ert entrez il i retornast|por mestre la roine a aise	por lui|Si pense bien|que la royne en est acouchie de doel	si el pudiera tornar ala corte de grado de aquella conquien yba mucho lo faria|por fazer algun plazer ala Reina	;|e s elli potesse ritornare a corte sanza quella in cu' bisogno elli è entrato|elli ritornasse per mettere la reina ad agio	⁊ sil peut retourner a court sans soy meffaire uers celle pour
					qui il est entre en q̃ste il retour nast uoulentiers
		Si en est moult a malaise			
110|111|112	car bien pense|que cele maladie|que ele a n est	Car bien pense|quele ne seroit deshaitie se	e bien sabia|que aquella enfermedad	ché ben|si pensa|che quella malattia	car il pense bien
113|114|115	? se|por lui a non|Lors dist a la pueele	por li non|Lors dist a la damoisele	que ella auia quela no hauia sino con deseo del y entonçes dixo ala donzella	ch ella ha non è se per lu' non|Si disse alla damigella	que elle nest mas la de sinon pour lui|Lors dit
116|117	qui la novele li avoit contee Damoisele se vos me volez faire I|message je metroie painne en vostre suer delivrer	qui la nouele li auoit contee|Damoisele : se vous me volies fere|j|message|iou metroie paine en vostre suer deliurer	si vos me lleuasedes vn mandado ado yo vos ymbiaria yo me trabajaria de librar avuestra hermana de aquel quela tiene señor dixo ella no ay enel mundo tan estraño lugar ado vos me ymbiasedes	Damigella|se vo' mi vole fare un messaggio|i' metterei pena in vostra sirocchia diliverares	Samoisel¬ le se uous me uoullez faire ung mienmessa ge ie mectroie paine de deliurer uostre seur
118	Et ele dist qu il n est	Et cele dist quil nest nul	que y no baia en tal	|che non è	et elle dist quil ny a nul
119	si estrange leu ou ele n alast par couvant	si estranges lieus el monde ou elle nalast par ensi		si stran luogo ov ella non andasse per convenente	si estrange lieu ou elle ne all ast par conuenant
120|121|122	que sa suer fust delivree|Dites moi fait il|quel part li ehevaliers est	que sa suer ne fust deliuree|Dites moi|dont fet il|de|quel part li cheualiers est	que me dedes vos ami hermana entonçes la dixo lançarote pues enseñadme|do esta el cauallero	che sua serocchia fosse dilivera||diss elli|in qual parte il cavaliere est	que sa seur feust deli uree|Dictes fist il quelle part est le cheualier
123|124|125	et je i irai|— I est fait ele pres de ci|— Or alez dont fait il	et iou y irai|Il est fait elle pres de chi|Ore ales|dont fet il auant	e yo yre alla|e dixo ella señor çerca es deaqui	e i' v andrò|— Elli è|diss ella|presso di qui|— Or andate|dis egli	Il est fistelle prez dicy|Orallez|donc tost dit lancelot
				dunque inanzi	
126|127	et je vos suirrai|Et ele ist fors del grant chemin	et iou vous sieurai|Et elle issi hors del grant chemin	e yo vos lleuare alla andad dixo el	i vo seguirò|ella esce fori del gran camino	⁊ ieuous suiuray|Elle tournahors du grant chemin
128|129	si entre en I|petit chemin a destre	si entre en vn petit sentier a destre	ca yo vos seguire entonçes dexo la donzella el gran camino y fuese	s antra in un petito sentieri a destra	si entra en ung petit sentiera ppartie
130|131	et Lanceloz|et la vielle chevauchent aprés tant qu il ont bien alé la monte de Il	Et lancelot|et la vielle cheualchent apres tant quil ont bien ale le montance de|ij	por otro camino derecho y lanzarote y la vieja se fueron conella	;|e Lancelotto|e la vecchia cavalcano appresso tanto|ch egli àno bene andato metà di due leghe inghilesche	destie Lanceloi du lac
132|133|134|135|136	liues anglesches|Lors voient desouz aux une petite valee ou il avoit une tor fort|et haute|Et la damoisele apele Lancelot|et li dist Sire en cele tor la est ma seror se vos i volez aler	lieues englescthjes|Lors voient desouz vne petite valee ou il auoit vne tour forte|& haute|Et la damoisele dist a lancelot|Sire en cele tour la est sma suer	e desque andubieron|quanto dos leguas Pequeñas vieron antesi envn balle pequeño vna torre muy alta|e muy fuerte Como don lançarote tomo ala donzella	Allor vegono di sotto loro una piccola vallata ov egli avea una torre forte|e alta|:|e la damigella appella Lancelotto|in quella torre è mia serocchia|se voi vi volete andare	⁊ la damoisesle cheuau cherẽt apiez tãt quilz ont bien alle deux lieues anglesches Lors uoient deuant eusx uneual lec ou il y auoit une tour foite|et haulte Etla damoiselle appelle lancelot|⁊ lui dit Sine en celle tour la est ma seur:
				e li disse	
				: Sire	
137|138|139	et li chevaliers|dont je vos ai conté|— Vos vanrez fait il o moi	et li cheualiers|dont ie vous ai conte est auec li|vous vous en uendres fait ile auec moi	e la dio a su donzella|que hera su sobrina ENtonce dixo la donzella a lanzarote señor vedes vos aquella torre alli fallaredes ami hermana y al cauallero quela forço donzella dixo lançarote ydvos alla comigo	e cavaliere altresi dond io ne ho contato|— Vo' verete|diss elli	⁊ le cheualier|dont ie uous ay comptese uous ꝑ uoullez aller|uoꝰ uendrez fait il auecques moy
				con esso meco	
140|141|142	et le me monssanté|Et ele dist qu ele doute moult le chevalier ;|et Lanceloz l an aseure	& le me mousterres|si le vous renderai se iou ai sante|Et cele dist|que elle doute moult le cheualier|Et lancelot lasseure	e mostrarmela edes Señor dixo ella mucho he gran miedo del cauallero ningund miedo ayades dixo lançarote del cauallero	e la mi mosterete||ch ella ridotta molto il cavaliere|e Lancelotto ne l asicura	⁊ la me monstie cez|⁊ naiez ia paour:
				;	
				e non abiate mica paura	
				ch i la voi renderò	
				s i' ò santá	
143|144	et dit qu il la garantira contre touz ceus|qui riens li demanderont	et li dist|que il le garantira contre tous ceuls|qui riens li demanderont	ca vos ende seguro yo señor dixo ella pues conbusco yre pues me asegurades	e dice|che ne la guarentirà incontro a tutti coloro|che nulla le domanderanno	car ie la uous rendrap se dieu me donne uie
145	Sire fait ele	Sire fet elle		PSire|diss ella	⁊ sãte
146|147	donc irai ge ou vos|Einsi vont parlant dusqu a la porte	dont y irai iou auec vous|Ensi sen vont parlant iusques a la porte	asi fablando llegaron ala puerta dela torre	dunque andrò io dove voi|Insi vanno parlando|tanto che son venuti insin qua alla porta	Ainsi uont parlant iusques a la porte
148|149|150	et huchent|et crient i tant a|que l an lor ouvre	Il hurtent a luis|tant que on lor oeure	e llamaron tanto fasta queles abrieron|e desque entraron fueron de vestia fasta el gran palaçio	e elli pereuotono all uscio|tanto che l uomo loro apre|; ̓e elli entrano dentro	⁊ appellent a luis|tant que lenleur uint ouurir Ilz entrent ens
151|152	et il entrent enz a cheval|et viennent en la sale	Et il entrent ens tout a cheual|& puis entrent en la sale	e desçendieron y entraron dentro	e vengono tutto a cavallo nella sala	puis uien nent a cheual en la salle
153	qui par terre estoit;	qui par terre estoit		che per terre era	qui basse estoit
154|155	si trouverent le chevalier|qui gisoit malades des plaies	si trueuent le cheualier|qui estoit malades des plaies	e fallaron envn Rico lecho al Cauallero muy mal llagado	MSi vi trovarono il cavaliere|che malato giacea|e ciò era delle piaghe	Si trouuerent le cheual ier|qui estoit mallade des plaies
156|157|158	que l an li avoit faites|et la pucele|qui sa seror aloit querant se seoit sor une couche	que len li auoit faites|ets la damoisele|que sa suer aloit lquerant|sil se seoit sor vne couche	ca lo llagara muy mal vn Cauallero conquien se conuatiera y la hermana dela donzella|que con lanzarote venia estaua çerca del en vna cama	che l uomo li aveva fatte|;|e lla pulcella|che lla damigella andava cercando|che sua sirocchia era|si si sedea susso una coltrice	que len lui auoit faictes|⁊ la pucelle q̃ len alloit querant se seoit sut une couche
159	Quant Lanceloz fu laienz	CNuant lancelot fu entres laiens	e don lançarote dixo ala donzella es aquella vuestra hermana señor	Quando Lancelotto fu là entro venuto	Et quant lancelot uintleans
				si disse a quella per cui elli era venuto	
				: Vedete vo'	
160	si dist a cele	si dist a cele pour	si dixo ella	diss elli	si dist a celle pour
161|162	por cui il estoit venuz Veez vos fait il vostre suer|? — Oil fait ele c est ele	qui il estoit la uenus|Cy Damoisele vees vous vostre suer|Oil sire fet elle chest chele	e fue alla Corriendo asu hermana	vostra serocchia|? — Oil|diss ella	qui il estoit uenu|Uoiez uous uostre seur|oy fist elle cest celle
				ciò è quella	
163	qui la se siet	qui la se siet		che llà|si siede	qui est la assise
164	Et il la prant par la main	Et lancelot le prent par le main	e tomola porla mano	;|e elli la prende per la mano	Et il la prẽt par la main
					si luibaisle
				e liel baglia	
165|166|167	et il li baille|et li dist Tenez la damoisele|et si la menez la ou il vos plaira	Si li baille|et li dist Tenes damoisele|et si le menes la ou vous voles	e don lanzarote le dixo donzella tomad avuestra hermana|e lleuad la ado vos quisieredes	e disse|: Tenete|damigella|si la menate là ove vo parrà	⁊ lui dit|Tenez me nez la ou uous uouldrez
168|169	car ja ne trouverez home|si hardi	quar ia ne feoes cl trouueres homme|si hardi	que no ay|ome tan ardit	ché già non troverete huomo|si ardito	car ia ne trouuerez homme
170|171|172|173	qui por|lui vos arest tant com je soie o vous|— Sire fait ele grant merciz|et je ne vos demant plus fors	qui por li vous arrest|tant comme iou soie aueques vous Sire fet elle grans mercis|& ie ne vous demanc plus fors	que vos ose fazer fuerça|e si lo prouar quisiere caramente lo comprare señor muchas merçedes|ca yo no vos demando|mas sino	che per lei voi aresti tanto com i vi sia|— vSire|diss ella|gran mercé|l' non vo domando più	qui pour elle uous arreste tant com¬ me ie soie uif|Eire fait elle ie ne uous demã de plus fors
				forse	
174	que vos me conduiez a sauveté	que vous me conduisies a aluete	que me lleuedes|e pongades en saluo	che voi mi conduciate I a ssalvamento	que uous me conduisez a sauue
175	car bien vos estes aquitez de ce	quar bien vous estes aquites de ce	ca muy bien vos quitastes delo	ché bene vo' siete acheto di ciò	te:|⁊ bien uous estes acquitie de ce
176|177	que vos m avez promis|— Alez vos an fait il seurement	que vous mauies promis|Ales vous ent seurement fait lancelot	que me prometistes sed segura dixo	che vo' m avete promesso|— Andatene voi|diss elli	que uoꝰ me auiez promis Allez uous en seurement:
178|179	car je vos conjal duirai la ou vos voudrez|Et il prant la damoisele	quar ie vous conseaoeelduira la ou vous voldrois aler|Et lors prent lancelot la damoisele	el que yo vos lleuare ado uos quisieredes|e tomo la donzella	sicuramente|ch i' vo conducerò là ove vo' vorete|JlME Lancelotto prende la damigella	car ie uous conduiray ou uous uouldrez lois prẽt la damoiselle
			e luego caualgo la donzella		
			e don lanzarote otrosi		
180	et la monte devant soi;	& le monte deuant soi	que estaua enla camara antesi enel cauallo	e lla monta dinanzi sé	⁊ la monte deuant lui
181	et quant li chevaliers malades voit qu il l amporte	Et quant li cheualiers malades len uoit porter	e quando el cauallero llagado vio lleuar la donzella	Quando l cavaliere malato vide|che l uomo ne la porte	Quãt le cheualier mallade la uoit
				si n è molto dolente	
				e più ancora di ciò	
182	si est moult dolanz de ce qu il ne se puet lever	si en est moult dolans de ce quil ne se puet leuer	que hera la cosa del mundo quel	che non|si può levare	si en est moult do lent de ce quil ne se peut leuer
183|184	car s il fust en son droit pooir il ne l anmenast mie sanz contredit|Lors dist a Lancelot Biau sire vos me faites desraison	Car se il fust en son droit pooir|il ne lenportast mie sans contredit|Si dist a lancelot|Biau sire vous me faites desraison	mas amaba dixo a lanzarote cauallero vos me fazedes gran tuerto	ché s elli fosse in su' diritto podere|e' no ne la menasse mica sanza contradetto|eAllor disse sal Lancelotto|Bel sire	car sil feust sain il ne lemmenast point sans coupz dõner|Et lors dit a lancelot|Seau sire uous me faictes toit
				vo mi fate disragione	
			e gran desonrra		
185	qui ainsi enmenez ma damoisele se n i avez nul droit	qui ensi menmenes ma damoisele	ca me lleuades mi donzella sin derecho	che insi ne menate mia damigella|si non avete nullo diritto	quant ma damoiselle emmenez|⁊ ny a¬ uez nul dioit
			e çierto		
186|187	Certes se je fusse sains|et haîtiez vos n en menissiez point	et si ni aues nul droit Certes se iou fuisse sains|et haities vous ne lenmenissies point	si yo fuese sano no auriades vos talante delo fazer	|s i' fosse sano|e atato|vo' no ne menaste punto	Certes se ie feusse en bon point uous ne lemmeneissiez pas aĩsi
188	Et bien sachiez se j en	Et bien sachies se iou en	e bien saued	;|e ben sappiate che	⁊ hien sachez q̃ se ie
189|190	puis venir en leu vos ne feistes onques choses|dont vos tant vos repantissiez comme vos feroiz de ceste	puis uenir en lieu: vous ne feistes onques cose|dont fntal vous repentissies tant comme vous feres de ceste	que si yo en algund tiempo uos puedo fallar nunca feçistes cosa deque peor vos falledes	s i' ne posso venire in punto|vo non faceste unque cosa|donde vo' tanto vo ripenteste come vo' farete di questa	puis uenir en fieu oncques ne fistes cho¬ se|dont autant uous repentissiez cõmẽt uous ferez de ceste
191|192	— Blau sire|fait Lanceloz vos preistes la damoisele a force	Biau sire fet lancelot vous preistes la damoisele a force	e de|quanto vos arrepentades Cauallero dixo don lanzarote vos tomastes la donzella a tuerto	— Bel sire|disse Lancelotto|vo' prendeste la damigella a forza	Seau doulx sire fait lãcelot uoꝰ prenistes la damoiselle a force
193	et estre son gré	et mal gre sien	e sin su grado	e oltre su grado	et oultre sõ gie
194	et ausi conme vos a tort l en amenastes ausi l anmenrai je a droit	Et Densi comme vous a tort lenmenastes|ensi le remenrai iou a droit		: insi come voi a torto ne la menaste|insi ne la men'io a diritto	⁊ ainsi comment uous lemmenastes a toit aĩ|si lemmenerap ie a droit
195|196	Et se vos cuidiez|que je vos face vilonnie	Et Se vous quidiez|que iou vous face tort ne uilonnie	e si cuidades|que vos fago tuerto tanto	Ese vo credete|ch i' vo ne faccia vilania	Et se uous cuidez q̃ ie uous face tort
197|198	si en querez vostre droit|quant vos porroiz	si en queres vostre droit|quant vous porres	que vos seades guarido buscad ende vuestro prouecho lo	si ne chiedete vostro diritto	si en querez uostre droit quãt uoͬ pourrez
