	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
17	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee |et acien 	et torne a destre en vn petit chemin viez 	et il tourne a destre vers ung chemin uieil et ancien.	et il tourna a destre uers ung petit chemyn uieil: 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	Ed e torna a destra inverso uno camino vecchio e |antico, 
18	si ne demora gueres 	Si ne demora gaires	Si ne demora gaires 	Si ne demoura gueres 	si ne demoura gueres 	e non andubo mucho 	si non dimora guari 
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	quil uient a une caue lee et parfonde	quil uint en une uallee/ |ou il couroit une eau monlt roidde la 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	che viene a una acqua lata e |perfonda, 
20|21	mais il n’i trueve pont |ne gué ne passage nul. 	mais il ni trueue ne pont ne |gue ne passaige nul. 	mais il ni troeue ne pont ne passage. 	mais il ny treuue pont |ne gue ne passage nul. 	quelle estoit grande et parfonde/ |et ne treuue ne pont ne planche |par ou il puisse passer. 	e non fallo puente |por do Pudiese pasar 	ma e' non vi truova né ponte né guado né passaggio nullo. 
22	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	Et il regarde de lautre part de laigue 	et il regarde de lautrepart de leaue 	Sy regarde de laultre part de leaue 	e cato dela otra parte Del agua 	Ed elli isguarda d’altra parte dell’acqua,
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla |ritonda. eElli riguarda gran peza il 
							castello, 
24	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	dont la fachons li plaisoit moult a regarder. 	dont la facon luy plaist moult a regarder 	car monlt luy plaisoit a uoir/ 	ca mucho se pagaua delo catar 	donde la fazion gli piace molto al |riguardare, 
25	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	puis sen torne contremont la riuiere 	puis sen retourne tout contreual la riuiere 	puis sen tourne contre ual la riuiere 	e despues torno la rribera ayuso 	poscia ritorna tutto contravalle la riviera
26|27	por savoir |s’il i peust trover ne pont ne gué, 	Por sauoir |se il i troueroit |ne pont ne gue. 	pour sauoir |se il troueroit |ne pont ne gue. 	pour sauoir |sil pourroit trouuer ne pont ne gue 	pour scauoir |sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	Por saber si podria fallar puente 	per sapere |se potrebbe trovare né ponte né |guado, 
28|29|30|31|32	mais il n’en trueve point |et quant il voit |qu’il n’i passera, |si ne set |que fere, 	mais il nen i trurue point : |si ne sot |que faire 	mais il ni trueue nul passage. |Et|quant il voit chou |si ne set que faire 	Mais il ny en treuue point. |Et|quant il uoit |quil ne puet passer |si ne scet |que faire	mes il nen truue point. |Et il uoit ce |si ne scait |que faire/ 	Por do pasase mas el no pudo fallar ninguna |e boores desque esto vido no sabia que se façer 	ma e non ve ne truova |punto, |e quand’e vede |che non potrà |passare, si non sa |che |fare, 
33|34|35	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	car retorner ne wet il mie atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	quar retorner ne volroit il en nulle maniere. |Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	car retourner ne uouldroit il pas. |Adonc uoit yssir du chastel une damoisele |qui estoit toute nue en sa chemise. 	car retourner ne uoulloit pas. |A tant uoit yssir une damoiselle du chastel la |quelle estoit toute nue en sa chemise/ 	ca el no se queria tomar en ninguna manera |Ansi estando vio del castillo salir vna donçella en camisa 	ché ritornare non vorebbe elli mica. |?Atanto vide uscire una damigella del castello |ch’era tutta ignuda in sua camicia solamente,
36	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	si le menoient. |iiij. ribaut moult felenessement	si la menoyent quatre nibaux moult uilainement 	sy la menoient quatre ribaulx monlt felonneusement 	que traian quatro rribaldos muy sañudamente 	si-lla menavano iiii. rubaldi molto villanamente 
37	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	et tenoit Cascuns en sa main. i. coutel trenchant. 	et tenoit ch̃un une hache en sa main. 	et tenoient chascun en sa main ung coustel trenchant. 	e cadavno traia enla mano vna lança 	e tenieno ciascuno una acciaia in sua mano. 
38	et ele crioit 	et ele crioit 	Et elle crioit	et elle crioit 	Et la damoiselle crioit 	e ella daua vozes 	Ed ella grida 
							quanto 
39|40|41	quanque ele pooit crier |por els |qui li faisoient tel honte et tel laidure 	quantque le pooit crier. por ciax |qui li fasoient tele honte. et tel laidure 	quamque elle pooit por chiaus |qui li faisoient tel laidure. 	tant |quelle pouoit crier pour ceulx |qui luy faisoient tel honte et telle laidure 	tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ 	quanto podia dar |e ellos la lleuaron muy desonrrada mente contra la rribera 	ch’ella può gridare per coloro |che-lle facieno cotale onta e tal |ladiura, 
42	qu’il la venoient batant tot contreval la riviere. 	que il la menoient batant tout contrtual la riuiere t 	quar il lenmenoient tot contreual la riuiere batant 	qui la uenoient batant tout contreual la riuiere.	et la menoient batant contre ual la riuiere. 	porla yr ha echar 	ch’elli la menavano battendo tutto contravalle la 
43|44	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, |si commence a crier: « 	quant la damoisele uoit le cheualier dautre part la riuiere. |si li comance a crier.	Et quant elle vit le cheualier de lautre part de laigue. |si li commenche a crier. 	Et quant la damoisele uoit le cheualier de lautre part de leaue |si luy commence a crier 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier et dire en tell maniere 	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes 	riviera.E quando la damigella vide lo cavaliere dall’altra parte |dell’acqua, si gli comincia a 
45|46|47|48|49|50	Ha, gentilz chevaliers, secorés ceste damoisele |que cist ribaut vuelent ocirre. |Ha, frans hom, |ne m’i laissiés morir, |se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	ha: gentis cheualiers secores ceste damoisele |que ciz ribaut wellet ocire. |ha; frans hons ne mi laissiez morir |se uos eutes onques pitie de franche damosele. |quant boh̾. oit cele 	Ha : gentils homs |quar secoures ceste damoisele |que cist ribaut voelent ochirre. |Pour dieu |ne mi laissies ore mie morir. |se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame |Quant bohors oy 	haa gentili cheualier secourez ceste damoisele |que ces ribaux ueulent occire. |Haa franc homme ne me lessez mourir |si uous eustes onc pitie de nulle gentilz damoisele. |quant boort ouy celle 	Haa beau et gentil cheualier secoures ceste damoiselle |que ces ribaulx ueullent occire/ |haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. |et se uous pitie de moy |car se uous ne me secoures ie suys a la mort liurer. |Et quant boort ouyt 	e a deçir ay jentil cauallero acorred a esta donçella |que estos Ribaldos me quieren ansi matar ay buen cauallero |si nunca oviste piedad de donçella auelda agora de mi 	gridare: Hal, gentile huomo, soccorete questa damigella |che questi rubaldi vogliono uccidere! Hal, franco |cavaliere, non mi lasciate |uccidere, se voi unque aveste piatà di nulla gentile damigella». |“Quando Boordo ode colei
51|52	qu’ele li prie |si pitousement 	que si piteusement lapele 	que la damoisele li prioit si piteusement de li secorre 	qui le prie si piteusement 	quelle le prioit si piteusement 		che l priega si piatosamente 
53|54	qu'il la secore, |si ne set que fere, 	et li prie |quil la sekeure. Sire set |que faire. 	si One sot|que faire 	quil la sequeure il ne scait |que faire 	si ne scait |que faire 	e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo 	che-lla |soccorra, |si non sa |che fare,
55|56|57|58	kar volentiers li aidast |s’il peust; |mais il voit l’eve noire et parfonde et si perilluse |qu’il cuide bien noier, 	car uolentiers li alait aidier |se il poist. |Mais il uoit leue si parfonde et si perilleuse |que il cuide bien perir 	quar volentiers li alast aidier |sil peust estre mais il voit laigue parfonde et perillouse et noire. |si quide bien morir	car uoulentiers luy alast aider |sil peust |mais il uoit leaue parfonde noire et perilleuse |que il cuide bien mourir	car uoulentiers luy allast aider |se il peult estre/|mes il uoit la riuiere parfonde et dangereuse a passer. |et scait bien sil entre dedens 	que façer ca muy de grado la quisiera acorrer si pudiese |Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	ché volentieri l’andasse ad atare |se |potesse, |ma e vede l’acqua nera e profonda e perigliosa |che crede bene morire 
59	s’il se met dedens; 	se il se met dedans. 	se il si met 	sil si mect dedans. 	qu il se met en peril de mort.	si se y Metiese 	s’elli si mette di dentro; 
60	et d'autre part il voit cele 	et dautre part il uoit cele 	Et dautre part voit il cels 	Et dautre part il uoit celle 	Et daultre part il uoit celle 	e dela otra parte veya la donçella 	e d’altra parte |e vede colei 
61	qui si durement crie merci; 	qui si docemet li prie nc .ci.	qui si piteusement li crie merci. 	qui si fort luy crie mercy. 	qui si piteusement fui crie mercy.	que muy afincada mente le pedia merçed 	che si duramente gli grida |mercé, 
62	si l'em prent tels pitiés 	Si len prent tes pitiez 	si len prent tele pities 	si luy en prent telle pitie 	Si luy en prent telle pitie 	e ovo tal piedad della 	si ne gli prende tale piatà 
63|64	qu’il en laisse totes poors |et fet le signe de la crois en mi son vis, 	quil en laisse totes paours. |Si fait le signe de la crois enmi son uis. 	quil en laisse toute paour |et met le signe de la vraie crois en mi son front |et en mi son pis. 	quil en laisse toute paour. |si en fait le signe de la croix enmy son uis. 	quil en laisse toute paour et fait le signe de la croix 	que le fiço todo el miedo perder |e fiço la señal dela cruz sobre si 	che ne lascia tutte paure |e si fa el segno della santa croce nel miluogo del suo |viso, 
65|66|67	puis enbrace l’escu |et broche le cheval des esperons |et se fiert en l’eve. 	puis enbrace lescu. |et broche le cheual des esperons |et se fiert en leue tot errantment.	puis enbrace son escu et fiert le cheual des esperons |et se lance en laigue. 	puis embrace lescu |et broche le cheual des esperons et se fiert erraument en leaue. 	deuant son uisaige puys embrache son escu et fiert son cheual des esperens |et se lanche dedens leaue tout erraument: 	e enbraço el escudo |e firio al cauallo de las espuelas 	poscia imbraccia lo scudo |e broca il cavallo degli|sproni, si fiede nell’acqua 
68|69	Et li chevals fu fors,|si commence a noer 	Et li cheuaus fu fors si comance a noer 	Et li cheuaus commence a noier: 	et le cheual fu fort |si commence a nouer 	et le cheual commence a noer si tost 	e lanço se en el agua e el cauallo començo de nadar luego 	isnellamente. El cavallo fu |forte, incominciò a notare 
70	si tost com il ot terre perdue, 	si tost com il ot terre perdue 	si tost |quil a terre perdue. 	si tost |quil eut terre perdue 	quil eust terre perdue. 	e perdio tierra |en tal manera 	si tosto com'elli ebbe terra |perduta, 
71|72	si l’enporte d’autre part de la rive a quelque paine, |mais ançois ot beu de l’eve li uns et li autre, 	si lenporte dautͤ part la riue a quelque painne. 	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns et li autres. 	si lemporte de lautre part de ma riue a quelque peine. |mais ancois eut beu de leaue lun et lautre. 	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	que paso dela otra parte del agua |mas ante beuio el cauallo del agua 	si ne l portò d’altra parte della riva a qualche |pena, |'ma inanzi furono amenduni tutti|molli, 
73	et se li chevals ne fust si buens, noié fuissent ambedui, 		Et se li cheuaus ne fust si boins noie fussent ambedui 	et se le cheual ne eust este si bon ilz fuszent tous deux noyez. 	et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre 	e si el caballo tan bueno no fuera sin dubda |el moriera enel agua 	e se l cavallo non fosse stato si forte, anegati fossono|amenduni, 
74	kar li chevaliers estoit pesans por les armes 		Car li cheualiers estoit pesans pour lez armes	car le cħlr estoit pesant pour les armes 	car le cheualier estoit fort pesant pour les armes 	e boores |porel peso delas armas 	ché l cavaliere era pesante per l’arme 
75	qu’il avoit vestues. 		quil auoit uestues 	quil auoit uestues 	quil auoit uestues. 	que llebaua 	ch’elli avea vestite. 
76|77|78	Quant il fu de l’autre part de l’eve, |si ne descendi pas, |ains cort vers cels 	Si ne descendi pas ains cort uers ciax 	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre |ainsi que vous poes oir.|si ne descendi mie |ains cort sus a chiaus 	Quant il fu de lautre part de leaue |si ne descendy pas. |ains court uers ceulx 	Quant il fut de lautre part de leaue |si ne descendist oncques |ains courust uers ceulx 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	Quand’e fu da l’altra parte |dell’acqua, |si non discende |passo, anzi muove il cavallo inverso di coloro 
79|80	qui la damoisele tenoient |et fiert si le premier 	qui la damoisele renoient 	qui la damoisele tenoient si fiert le premier 	qui tenoient la damoisele |et fiert si fort le premier 	qui la damoiselle tenoient: |et fiert tellement le premier 	e firio al primero 	che lla T tenieno |e fiede si il primaio 
81	qu’il aconsieut 	que il consieut 	quil encontre si durement 	quil actaint 	quil encontre 	que encontro en tal manera 	ch’elli agiugne 
82|83|84|85|86	qu’il li met le glaive par mi le cors, |si l’abat a terre, |et li autre s’enfuient erraument |por ce |que desarmé estoient. 	quil li met le glaiue parmi le cors|si labat mort aterre. |et li autre sen fuient |porre |qu il estoient desarme. 	quil li met le glaiue parmi le cors si labat a la terre. |Et li autre senfuient pour chou |que desarme estoient. 	quil luy mect le glaiue parmy le corps |si labat a terre et les autres senfuyent erraument |par ce qͥlz estoient desarme. 	qu il lui met le glauie parmy le corps si labat a terre |et les autres se met tent en fuite. La damoiselle	que le metio la lança porel cuerpo |e los otros dos que aquello vieron fuyeron luego por miedo de no ser muertos |ca todos estauan desarmados 	che gli mette la lancia per me' il|corpo, si-llo abatte a |terra, |e gli altri se ne fugono tosto per ciò |che disarmati |erano. 
87|88|89|90|91|92|93	Et la damoisele|qui delivree se voit se met a genols devant Boort |et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, |quant vos m’avés de mort rescosse, |et aorés en soit Diex, |quant il ceste part vos amena, 	et la damaisele |qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. |quant uos mauez de mort rescoce. |et aoures soit diex |quant ils amena ceste part. 	Et la damoisele |qui deliure |se uoit. se met maintenant a genouls deuant bohort et dist.|ha: gentiex cheualiers de dies oess vous beneois |quar vous maues de mort rescousse. |Et aoures en soit diex |quant il ceste part vous amena. 	Et la damoisle|qui se uoit deliure se mect a genoux deuant boort. |Haa gentilz cheualier fait elle. |de dieu soyez uous beneist |dont uous mauez de mort rescousse |et aoure en soit dieu |dont il uous amena ceste part. 	qui deliuree se sent se met a genoulx deuant lui |et lui dit. |Haa gentil cheualier de dieu soiez uous benoit: |car ces gloutens me eussent occiz |se ne feussez uous. Damoiselle fait il 	e la donçella desque aquello vido finco los ynojos ante boores |e dixo ay jentil cauallero |vendito seades de dios que asi me librastes de muerte |e bendito sea dios |que aqui vos traxo 	E la damigella, |che si vide dilivera,|si mette a ginocchia davanti |Boordo: Hal, gentile |cavaliere, diss’ella, da Dio siate vo' benedetto |quando vo m’avete di morte riscossa, e adorato ne sia lddio |quand’elli in queste parti vo |menò, 
94	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	Car cil gloton meussent ia morte 	Car cist glouton meussent morte |se vous ne fuissies. Damoisele ce dist bohors 	Car ces gloutons meussent ia occise |se uous ne fussez Damoisele fait il 		que estos villanos me hubieran muerto |si por vos no fuera donçella dixo boores 	ché questi guiglioni m’avessono già |morta, 
							se vo' non foste. — 
							Damigella, disse 
95	por quoi ? — Sire fet ele, jel vos dirai bien, 	ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. 	pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien. 	pour quot. Sire fait elle ie le uous diray bien.	pour quoy. Sire fait elle ie le uous diray 	Por que señor dixo ella |yo vos lo dire 	Boordo, perché? -Il vo |dirò, diss’ella, bene, 
96|97	mais|que vos m’aiés mise a sauveté. — 	mais que uos maiez misse a Sauuete. 	mais que vous maies mise a sauuete 	mais que uous mayez mise a sauuete 	mais que uous me aiez mise a sauuete. 	mas ante conuiene 	ma' che vo' m’abiate messa a salvamento. — 
							Come, disse 
98|99	Coment ? fet il. Avés vos dont garde ? — |Certes, fet ele, ja asseur ne seraî fant 	Coument fait il auez uos dont garde. |Certes sire faic ele ia a seur ne sera 	Comment fait il aues vous encore paour. Sire fait elle ia asseuree |ne serai |tant 	Comment fait il auez uous donc garde. |Certes sire fait elle ia ne seray asseuree 	Comment fait il auez uous donc paour. Sire fait elle ia seure ne seray 	que non aya miedo de ninguno Donzella dixo boores 	elli, avete vo' dunque guardia? - Certo, sire, diss'ella, già sicura non sarò tanto 
100	com je sache laiens le seignor del chastel, 	tant com ie saiche laiens le signeur de cest chastel. 	que iou y sache le seignor del chastel :	tant que ie sache. 	tant |que ie sache leans le seigneur de ce chasteau/ 	de quien auedes miedo 	com’io sappia là entro il signore del|castello, 
101	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	Car cest li plus fel cheualiers dou monde et li plus traites. a ces paroles uoit issir un cheualier del chastel. 	quar cest li plus fel cheualiers del monde et li plus desloiaus. ches paroles voient. j. cheualier issir du castel. 	qui est le seigneur de ce chastel leans |car cest le plus fel cheualier du monde. 	car cest le plus fel cheualier du monde et le plus cruel |Ces parolles uoient issir ung cheualier du chasteau: 	señor dixo ella del señor del castillo ca es el mas follon omne de todo el mundo |e mas cruel Ellos asi fablando vieron salir del castillo vn caballero 	ché ciò è il più fiero cavaliere del mondo e I più traditore». A queste parole vidono uscire un cavaliere del castello, e là 
102|103|104	et la |ou il vit Boort, |si li escrie : « Laissiés, dans chevaliers, la damoisele	et la ou il uoit behort |si li est terre. Laissiez dans cheualiers la damoisele 	Et la ou il voit bohors. |si li escrie dans cheualiers laissies ester la damoisele 	Coment boort se combaty pour la damoisele. |A cest parole voyent yssir ung cheualier du chastel et la |ou il uoit boors |si luy crie laissez sire cheualier la damoisele 	et la |ou il uoit boort il lui escrie. Cheualier laissez la damoiselle	e quando vido a boores començo le a dar boçes |e a deçir don cauallero a dexar vos conuiene la donzella 	ov’egli vide Boordo |si-llo isgrida: «Danzi |cavaliere, lasciate la 
105|106|107	que vos n’enmenrois mie! |Par mon chief, mar le rescosistes!» |Si li cort 	que uos nen meneroie |et par mon chief mar la rescousites. |Si li acort 	quar vous ne lenmenrois pas |et par mon chief mar le rescousistes |quar vous le comperres 	que uous nemmennerrez pas. |par mon chief mal la rescoussistes.|si luy court sus 	et par mon chief mal la rescouistes. Boort lentent |si lui court	ca la non lleuaredes |e porla my cabeza ental Punto la acorristes 	damigella, |ché vonon la menere mica, |e per mio capo male la |riscoteste!».Si gli corre suso |quanto 
108	quanqu’il puet le glaive alongié; 	quanquil puet le glaiue alongnre. 	se iou puis moult chier. 	tant comme il puet le glayue esloigne. 		e luego se dexaron correr el vno contra el otro 	ch’elli puote, la lancia |islungata, 
				Et boort le firrt si fort a son uenir 			
				que lescu ne le haubert ne le garantist 			
				quil ne luy mecte fer 			
				et fust parmy le corps. 			
				Et cil cheit a terre tout estandu 			
				car plus na mestier de mire. 			
				Et quant ceulx du chastel uoyent leur cheualier ainsi abatu 			
				si luy en enuoyent incontinant ung autre 			
				pour uenger celuy 			
109	et Boors retrait son glaîve a lui del cors a celui 	et behors retrait son glaiue del cors au ribaut 	Et quant bohors lentent |si point vers lui 	qui dist a boort |quil se gardast de luy 		e boores lo firio conla lança |que auia sacado del cuerpo del villano 	e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce 
							che non gli metta per me' il corpo e ferro e
							fusto, 
				quil le deffioit. et il dist 			
				quil le desfie aussi. 			
				Lors trait son glayue du corps a celuy 			
110|111	qu’il avoit ocis; |si laisse le cheval corre et le fiert si tres durement 	que il auoit ocis. |Si li laisse le cheual.|et le fiert si durement 	quanque il pot del cheual traire le glaiue alongie |quil auoit trait del cors a celui |quil auoit ochis. |Si fiert celui si durement 	quil auoit occis. |si luy laisse aller le cheual et le fier si fort 	tant qu il peut du cheual traire le glaiue allongnie et le fiert si durement 	que auia muerto |en tal manera 	e que' cade a terra tutto isteso |che più nonn-à mestier di medico. |E quando que del castello vidono insi lor cavaliere abatuto,|si ve ne rimandarono immantanente uno altro |per quello |vendicare, |che disse a Boordo |che ssi guardi da- |llui, |ch’elli il |disfida, |ed e' dice |che disfida |lui. PAllora trae la lancia del corpo a colui|ch’elli avea |morto, |si lascia il cavallo andare |e l fiede si duramente 
112	qu’il l’abat a terre si estordi 	quil labat a terre si estordi 	quil labat a terre |si estordi	quil labat a terre si estourdy 	quil labat a terre si estourdy 	que dio conel Porlas ancas del cauallo a tierra asi estordido 	ch’elli Il’labatte a terra si stordito 
113|114|115	qu’il n’a pooir de relever, |ains gist pasmés, |kar il chai si felenessement 	que cil na pooir de releuer. |Ains fu pasmes. |Car il fu cheus|si uilainnement 	quil not pooir de lui releuer. |Ains iut illueques tous pasmes |quar il cai si felenessement 	quil na pouoir de se releuer. |ains gist pasme |car il fu cheu si felonnessement 	qu il na pouoir de soy releuer: 	que non se pudo leuantar |asi estaua amorteçido dela cayda 	che non à podere di sé |rilevare, anzi giace |ispasimato, |ché fu caduto si fellonosamente 
116|117|118|119	qu’a poi |que la canole del col n'avoit brisee. |Et Boors li vet a cheval |par desus le cors tant que tot le debrise. 	qua pou |quil not la chenole dou col bͥsie. |et behors li ua a cheual par desus le cors. |tant que tout le debrisse. 	que a poi |que la canoele del col ne li est brisie. |Et bohors li uait tout a cheual par desus le cors |Si que tout le debrise. 	qua ponu que la chanole du coul ne luy eftoit brise.|Et boort luy uait a cheual par dessus le corps |tant que tout le debrise. 	et booit lui ua par dessus le col a cheual tant |que tout le debrise. 	que las coyunturas del pescuezo tenia quebradas |e boores traxo tantas vezes el cauallo sobre el Que todo lo quebranto e la donçella 	che a poco |che non si ruppe il |collo, |e Boordo gli va cavalcando per di suso il corpo |tanto che di tutto il dibriscia.
120	Et lors est la damoisele si liee 	et lors est la damoisele si lie 	Et lors est la damoisele |si lie 	et lors est la damoisele |si liee 	Et boort a tant la damoiselle esiouye 	que aquello vido fue muy alegre 	Allora est la damigella si lieta 
121	qu’ele ne puet plus 	que ele ne puet plus. 	que plus ne puet. 	quelle ne puet plus 	que elle ne peut plus: 	que mas no lo podia ser 	ch’ella non può |più, 
122	et dist a Boort : « Sire, nos n’avons mes garde,	et dit a beh̾. Sire fait |ele nous nauons 	Si dist a bohort sire nous nauons hui mes garde. 	et dist a boort. sire nous nauons |mais garde 	et dit a boort. Sire nous nauons mes garde: 	e dixo a boores |señor agora non auedes aqui deque vos mas guardar 	e disse a Boordo: Sire, non no abiamo oggimai |guardia, 
		mais garde ce cuige. 					
123	kar je ne cuit 	Car ie ne cuit 	Car iou quit 	car ie cuidoie 	car ie ne cuide point 	ca eneste castillo no auia 	ch’io non credo mica 
124	qu’il eust plus de chevaliers çaiens que cestui;	quil ait mais cheualier laiens plus que cestui. 	quil ni a plus de cheualiers laiens que cestui. 	quil y eust leans plus de cheualiers |quil ny a 	qu il y ait plus de cheualiers leans que cestui 	mas deste cauallero |segund cuydo 	ch’egli abbia là entro più cavalieri |che 
