A	B
1011	1099
1012	1100
1013	1101
1014	1102|1103
1015|1016	1104
1017	1105
1018	1106
1019|1020	1107
1021	1108
1022	1109|1110
1023	1111
1024	1112
1025	1113
1026	1114
1027|1028	1115
1029	1116|1117
1030	1118
1031	1119
1032	1120
1033	1121
1034	1122
1035	1123|1124
1036	
1037	1125
1038	1126
1039	1127
1040	1128
1041	1129|1130
1042	
1043	1131|1132
1044	1133
1045	1134
1046	1135
1047	1136
1048	1137
1049	1138|1139
	1140
	1141
	1142
1050	1143
1051	1144|1145
1052	1146
1053	1147
1054	1148
1055	1149
1056	1150
1057	1151
1058	1152
1059	1153
1060	1154
1061|1062	1155
1063	1156
1064	1157
1065	1158
1066	1159
1067	1160
1068	1161
1069	1162
1070	1163
1071	1164
1072	1165
1073|1074	1166
1075	1167
1076	1168|1169
1077	1170
1078	1171
1079	1172
1080	1173
1081	1174
1082	1175
1083	1176
1084	1177
1085	1178
1086	1179
1087	1180
1088	1181
1089|1090	1182
1091	1183|1184
1092	1185
1093	1186
1094	1187
1095	1188
1096	1189
1097	1190
1098	1191
1099	1192
	1193
1100	1194|1195
1101|1102	1196
1103|1104	1197
1105	1198
1106	1199|1200
1107|1108	1201
1109	1202
1110	1203
1111	1204
1112	1205
1113	1206
1114	1207
1115	1208
1116	1209|1210
1117	1211
1118	1212
1119	1213
1120	1214
1121|1122	1215
1123	1216
1124	1217
1125	1218
1126	1219
1127	1220
1128	1221
1129	1222
1130	1223
1131	1224
1132	1225
1133	1226
1134|1135	1227
1136	1228
1137	1229
1138	1230
1139	1231
1140	1232
1141	1233
1142	1234
1143	1235
1144	1236
1145	1237
1146|1147	1238
1148	1239
1149	1240
1150	1241
1151	1242
1152	1243
1153	1244
1154	1245
1155	1246
1156	1247
1157	1248
1158	1249
1159	1250|1251
1160|1161	1252
1162	1253
1163	1254
1164	1255
1165	1256
1166	1257
1167	1258
1168	1259
1169	1260
1170|1171	1261
1172	1262|1263
1173|1174	1264
1175	1265
1176	1266
1177	1267|1268
1178	1269
1179|1180	1270
1181	1271
1182	1272
1183	1273
1184	1274
1185	1275|1276
1186	1277
1187|1188	1278
1189	1279|1280
1190|1191	1281
1192	
1193	1282
1194	1283
1195	1284
1196	1285|1286
1197	1287|1288
1198	1289
1199	1290|1291
1200|1201	1292
1202	1293
1203	1294
1204	1295
1205	1296
1206	1297|1298
1207	1299
1208	1300
1209|1210	1301
1211	1302
1212	1303|1304
1213	1305
1214	1306
1215	1307
1216	1308
1217	1309
1218	1310
1219	1311
1220	1312|1313
	1314
1221	1315
1222	1316
1223	1317
1224|1225	1318
1226	1319
1227|1228	1320
1229|1230	1321
1231|1232	1322
1233	
1234	
1235	
1236	
