micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
Et il dist 	Et il dist 	Et il dit 	et il dit 	et il dit 	Et il dist 	dixo el 	Ed e dice
qu’il i ira volentiers par cest couvant. «  Or en venez donc, fait ele. — Alez, fait il, 	quil ira uoullentiers par ce cenuenant. La dame sen ua auant/ 	quil yra uoulentiers par tel conuent.  Or uenez donc fait elle. 	quil ira uolentiers par cest couant.  Or en uenez  dont fait ele ales deuant fait il 	quil ira uolenters par cest couent.  or uenez  dont fet ele alez fist il 	quil yra uolentiers par tel conuent.  Ore vous en uenes  dont fait elle.  Ales deuant fait il 	yre conbusco  por tal pleito  pues andad dixo ella 	che v’andrà volentieri per questo convenente.  Or venite dunque, diss'ella.  — Andate, diss’elli, 
et je vos suirrai. » La dame s’an vait avant 		et ie uous suiuray. La dame sen ua deuant 	et ie uous sieurai sans faille la o uos ires LOrs sen ua la dame 	et ge uous siurai.  La dame sen uint auant 	et ie vous sieurrai.  Lors sen uait la dame deuant et li cheualiers apres 	y yo yre delante  entonzes se fue delante 	e i' vo seguirò». Il eLa dama se ne Va avanti 
et cil aprés 	et luy aprez/ 	et il apres 	et ciz apres 	et cil apres. 		y el enpos della 	e quelli apresso 
qui greingnor mestier eust de repos  que de chevauchier; 		qui eust plus grant mestier de reposer que de cheuaucher. si sont tant aler 	qui grignor mestier eust de reposer que de cheuauchier. 	qui greigneur mester aust de repos que de cheualcher. 	qui greignor mestier eust de repos que de cheualchier.	ca mucho hauia el menester de folgar  mas que de andar 	che maggior mistieri avesse di riposare  che di cavalcare. 
si ont tant alé  qu’il vindrent en J. valee et voient el fonz del val I. chastel bien fait et bien seant	si ont tant alle  quilz uindrent en une uallee. Il uoit au fons du ual ung chastel bien fait et bien seant/ 	que ilz uindrent en une ualee  et uirent ou fons du ual ung chastel bien fait et bien seant 	Si ont tant ale quil uinrent en une petite ualee. 	si ont tant ale quil uindrent en une ualee.  et uoient el fonz dun ual .i. chastel bien fet et bien seant 	Si ont tant ale  quil vindrent a vne ualee.  Si voient el fons du ual vn castel fort et bien seant 	e quando llegaron a vn balle vieron vn castillo muy fermoso 	Si ànno tanto andato  ch’elli vengono in una valata  e vidono nel fondo della valle un castel ben fatto e ben sedente
dont li mur estoient fort et grant et menuement crenelé.  Quant il vindrent au chastel, 	denc les murs estoient fors et haultz et bien crenelles  Quant ilz uindrent au chastel 	dont les murs estoient fors a grans. bien carrelez.  Quant ilz uindrent au chastel	et uoient el fons .I. chastel dunt li mur sont haut et fort et maiement crenele.  et quant il sont uenu a la porte 	dont li mur estoient fort et hault et menuement quarnele  quant il uindrent au chastel 	et dont li mur estoient haut et fort  et menuement kernele  Et quant il vindrent au castel 	e muy alto y muy fuerte 	donde e muri erano forti e alti e minutamente  merlati.Quand’e' venono nel castello, 
si estoit ja grant nuit  et la dame apele celui 	si estoit ia grant nuyt/  et la dame appelle cellui	si estoit ia grant nuyt  et la dame apelle celuy 	si fu Ia grans nuis. et la dame apelle celui 	si estoit ia grant nuit.  et la dame apele celui 	si estoit ia grant su os el nuit. et la dame apele celui 	y quando y llegaron hera ya noche 	si era già grande notte,  slla dama apella quello 
qui la porte gardoit  et li dit  qu’il ouevre la porte et cil si fait.  Et il antrent anz  et chevauchent dusqu’au mestre palais ;  et quant cil de laienz voient  que lor dame vient, si li saillent a l’encontre o cierges et o tortiz, 	qui la porte gardoit/  si luy commanda  qnil ouurist/  et si fist il puis uont iusques au maistre pallaiz.  Et quant ceulx de leans uoient  que leur dame uient  si lui saillent a lencontre a cierges et a torches/ 	qui gardoit la porte  et luy dist  qu il euure la porte  et il le fait. Ilz entrent ens  et cheuauchent iucquau maistre palays.  et quant ceulx de leans uoyent leur dame  qui uient si saillent encontre a cierges et a tortiz. 	qui la perte gardoit  et li dit  quil lourit.  Et cil si fit  si entrent ens  et cheuauchent iuc au maitre palais.  Et quant cil de laiens sorrent  que lor dame uenoit si saillent a lancontre.  com gent saige et cortoise. atout Grans cierges et grans tortis 	qui la porte porte gardoit. et li dit  quil oeure la porte.  Et cil si fet.  Et il entrent enz  et cheuauchent iusques au mestre palais  et quant cil de laienz uoient  que lor dame uient.  si li saillent a lencontte o cierges et o tortiz. 	qui la porte gardoit  et li dist  quil oeureche la porte.  Et cil si fait erranment  Et il entrent ens et cheualchent iusques au maistre palais  Et quant cil de laiens voient  que lor io dame vient  si saillent a lencontre as cierges et as tortis. 	y llamo ella ala puerta  y abrieronla luego  y desque entraron fueronse al gran palaçio y quando los dela villa vieron asu señora salieron todas porlas Ruas  ala Resçeuir con candelas ençendidas 	che-lla porta guardava elli disse  ch'ell apra la porta,  e que si fa. E elli entrano dentro  e cavalcano insino al mastro palagio,  e quando quelli di là entro vegono  che lor dama viene,  si aluminano i torchi, 
car autrement n’i veissent pas por la nuit  qui trop ert oscure.  Si descendent la dame  et ele dist 	car la nuyt estoit trop obscure. Il deschendent leur dame/  et elle leur commande 	car autrement ny fussent ilz pas uenuz pour la nuryt  qui estoit obscure  si descent la dame  et leur dist	Car autrement ni ueissent il point  por la nuit qui estoit oscure.  Si descent la dame  et ele lor dit 	Car autrement ni ueissent il pas.  pour la nuit  qui trop iert oscure.  si descendent la dame  et lor dit. la dame 	quar autrement ne la ueissent il pas la nuit  qui trop est obseure.  Si descent la dame  et lor dist. 	que de otra mente no podian ver  que mucho façia escuro e tanto que llegaron al palaçio desçendio la dueña  e dixo a toda su compaña 	ch’altrimenti non andassono elli passo per la notte  che troppo era scura.e discendono la dama  e ella dice 
qu’il ne s’entremetent de lui, « 	qu il ne sentremettent mie de elle.	quilz ne sentremectent de liee 	quil ne sentremeisent ia de li. 	quil ne sentremetent de lui. 	quil al ne sentremetent ia de li. 	de seruir 	che non si ntramettano già di lei, 
mais je vos pri, fait ele,  d’onorer cel chevalier  et de servir,  car je vos di, fait ele, 	Mais ie uous prie fist elle de ce cheualier:  et que uous le serues au plus  que uous pourres/  car bien sachies 	mais ie uous pry fait  elle faictes demourer ce cheualier  car ie uous dy 	Mais ie uos pri donorer cel signor et del seruir  Car ben Sachiez fait ele 	Mes ge uous prie fet ele donorer cest cheualier et le seruir.  Car bien sachiez 	mais iou vous pri  fet elle donorer chest cheualier  et de lui seruir.  Car ie vous di 	ami no quiero  que vos trauajedes  mas todo el seruiçio y la honrra  que ami auedes de fazer 	ma i' vo priego, diss’ella, d’onorare questo cavaliere  e di servire,  ché ben sappiate  ch’egli è il produomo del mondo 
qu’il est li plus prodons del monde et le millor chevalier».  Et le descendent maintenant  et li ostent l’escu del col, 	que cest ung des meilleurs cheualiers du mende.  Et ilz le deschendent maintenant/  si luy ostent lescu de son col/ 	quil est le meilleur cheualier et le plus preudomme du monde Il le descent maintenant.  et luy ostent lescu du coul. 	qu il est li plus preudons del monde  et li muedres cheualiers.  et il le descendent maintenant  et li ostent lescu de son col. 	quil est li plus preudom del monde et li meilleur cheualier.  Et il le descendent maintenant.  et li ostent lescu de son col. 	quil est li plus preudoms del monde et li mieldres cheualiers.  Et cil le descendent maintenant  si li Ostent lescu de son col 	quelo fagades aeste Cauallero  que es el mejor cauallero del mundo  y ellos le ayudaron a desçender del cauallo 	e 'l miglior cavaliere».  E elli il discendono immantanente  e-lli tragono suo scudo di collo, 
puis le moinnent amont 	puis le mainent ament 	puis sen uiennent amont 	et le mainnent amont	puis le mainent amont 	et puis le mainent amont 	y le tomaron el escudo 	e l menano a monte 
et le desarment.  Et la dame le resgarde 	et le desarment au mieulx  qu il peuent.  Et la dame le regarde 	et le desarment et la dame le regarde 	et le desarment.  Et la dame lesgarde 	et le desarment  Et la dame le regarde. 	et le desarment.  et la dame vit 	y lleuaronlo avna camara y desarmaronlo  y la dueña lo cato 	e l disarmano.  E-lla dama il riguarda 
et voit le vis gros et anflé  et le nes escorchié et sanglant des cox 	si uoit  quil a le uisage gros et enffle/  et le nez escorche et tout senglant des coupz 	et uoit le uis gros et enfle et le nes esrache et senglant des coups 	et uoit quele il a le uis trestout enfle et gros  et le nes escorchie et tout sanglant. des cox 	et uoit le uis gros et enfle.  et le nez escorchie  et sanglent. des i̶ cox 	quil ot le vis gros et enfle  et le nes escorcie  et sanglent dez colps 	y viole todo el Rostro ynchado  y las narizes desolladas delos grandes golpes 	e li vide il viso grosso e 'nfiato,  e l naso iscorticato e sanguinoso de' colpi 
qu’il ot donnez et receuz ; 	quil auoit donnes et recheuz/ 	quil a donnes et receuz.	quil ot donez et receus. 	quil ot donnez et receuz 	quil ot donne et receus 	quele dieron 	ch’egli ebbe donati e ricevuti:
si li fait aporter eve chaude a laver son col et son vis	si luy fist aporter eaue chaude  pour lauer son corps et son uiz/ 	Si luy fait aporter eaue chaude  et luy fait lauer son coul et son uis 	Si font aporter iaue chaude a lauer son col et son uis. 	Si li fet aporter eue chaude a lauer son cors et son uis 	Si li fait aporter eue chaude a lauer son col et son vis 	y ella le fizo dar del agua Caliente para lauar el Rostro y el Cuello 	si gli fa recare acqua fredda  e lavare fa viso e suo collo 
qui touz estoit nerciz des mailles del haubert. 	qui tout estoit noircy des mailles du haubert. 	qui estoit noire des mailles du haubert. 	qui tous estoit noirciz des mailles del haubert. 	qui touz estoit nerciz des mailles del hauberc. 	qui tous estoit noircis des mailles del hauberc 	que andaua tinto dela loriga 	che tanto era tinto delle maglie de l’asbergo. 
Et quant ele resgarde l’escu,  si dist oiant touz ceus de laienz : «  Ha, escuz, tant avez hui esté resgardez et desirrez d’estre tenuz de maîntes beles puceles!  Si m’aïst Diex,  bien se puet celui vanter 	Et quant elle regarde lescu si dist oyans tous ceulx de leans  Haa escu:  tant aues huy este regarde  et desire de estre tenu de mainte belle dame.  Si maist dieu bien se peult uanter celluy 	Et quant elle regarde lescu  si dist oyans tous ceulx de leans  haa escu tant auez huy este regarde  et desire destre tenu de maintes belles dames.  Si maist dieu bien se puet cil uanter 	et quant ele trueue lescu  si lesgarde mout longuement.  et dit oiant ciax de laiens.  ha escus tant auez hui este esgardes et desirres estre ueus de maintes beles dames.  Si maist diex bien ce puet uanter ciz 	Et quant ele regarde lescu. ele dit oiant touz cels de laienz.  ha: escu  tant auez hui este regarde et desirre destre tenuz de mainte bele pucele.  si mait diex bien se puet celui uanter 	Et quant elle regarde son escu  si dist oiant tous ceuls de laiens.  ha : escus tant aues este hui regardes et desires destre tenus as mains de mainte bele pucele.  Si mait diex bien se puet vanter cils 	y despues Cato ella el su escudo gran pieça  y dixo ansi  que todos lo oyeron ay escudo ay escudo  que tanto fuistes oy Catado detan fermosa dueña y donzella  y tan deseado fue aquel 	E quando ella risguarda lo scudo di Lancelotto, ella disse udendo tutti quelli di là entro:  «Ail, scudo, tanto avete stato oggi compianto e disiderato d’essere tenuto da molte belle pulcelle!  e m’aiuti Idio, ben si puote vantare colui 
qui vos porte, que onques chevalier tel merveilles ne fit en I. jor  com a hui fait cist. 	qui uous porte/  que encques mais cheualier tant de merueillee ne fist en ung iour/  comment uous aues huy fait. 	qui uous porte que oncque cheualier ne fist telz merueilles en ung iour  comme il a huy fait. 	qui uos porte conques cheualiers ne fist tex merueilles en .I. Iour.  com il a hui faites. 	qui uous porte.  que onques cheualier tel merueille ne fist en .i. ior  comme cist a hu ifet. 	qui vous porte.  conques cheualiers ne fist teus merueilles en vn iour  comme cils a hui fetes. 	que vos traia  y asi me aiude dios bien se puede loar aquel Cuio vos sodes  que nunca Cauallero fizo tales marauillas en vn dia  como el fizo 	che vo porta,  ché unque cavaliere ta' maraviglie non fece in un giorno come questi à oggi fatte. 
Et beneoiz soit Diex 	Et benoist soit le nom de dieu 	et benoist soit dieu 	et beneois soit diex 	Et beneoiz soit diex. 	Et beneois soit diex 	e loado sea dios 	eE benedetto sia lddio 
qui le me donna acointier,	qui le me donna trouuer/ 	qui le me donna huy encontre. 	qui le me dona hui trouer 	qui le me dona trouuer. 	qui le me fist encontrer. 	que melo oy fizo fallar 	che l mi donò a trovare, 
car il ne me poïst mie greingnor honor avenir de ce 	car greigneur henneur ne me pouoit aduenir/  que de ce 	car il ne me pouoit plus grant bonneur aduenir  que de ce 	car il ne me porra plus Grans honors auenir 	Car il ne me poist greignor honneur aueuir  comme de ce 	Car il ne me peust mie greignor honor auenir  que de ce 	que no podia yo hauer oy mas honrra  que delo hauer por huesped 	ch’elli non mi potesse mica maggiore onore avenire come di ciò 
qu’il est venuz a mon hostel. » 	quil est herbegie en mon hostel. 	quil est uenu a mon houstel. 	comme e ce qu il est uenus en mon ostel. 	quil est uenuz en mon hostel. 	quil est uenus en mon ostel.	entonzes fue asu Camara 	ch’egli è venuto in mio ostellos. 
Lors entre en sa chambre et aporte robe de cendal a vestir a Lancelot;  et quant il est vestuz, 	Lors entra a sa chambre si aporta une robe de chendal a lancelot/  et quant il est uestu 	Lors entre en une chambre et aporte a uestir a lancelot. robes de cendal  et quanit il est uestu 	Atant entra la dame en sa chanbre.  et li aporte une robe de sendail a uestir  Et quant il est uestus 	Lors entre en sa  chambre.et aporte robe de cendal a uestir a lanc̃. Et quant il est uestuz. 	Lors entra la dame en sa cambre  et aporta vne robe de cendal a uestir a lancelot  Et quant il est uenus 	e traxole vnos muy Ricos paños de çendal 	Allora entra in sua camera  e reca roba di endado vermiglio a vestire a Lancelotto.  Quand’egli è vestito, 
si le fait seoir 	si le fist seoir pres de elle 	si le fait seoir 	si le fait seoir en .I. lit. 	si le fet seoir. 	si le fait seoir. 	y vistiolo 	si 'l fa sedere 
et li dist: « Sire, reposez vos, car si maist Diex vos le devez bien faire,  car asez avez esté travilliez. » 	et luy dit Sire reposes uous/  car asses longuement auez este trauaille.  Et il dist  qu il ne a mie grant mestier de repoz pour trauail  quil aist eu. 	et luy dist. Sire repousez uous car uous estes moult trauaille 	et li dit sire reposes uos.  Car uos le deuez bien faire.  Car assez auez hui este lassez et trauilliez. 	et li dit. Sire : reposez uous.  car si mait diex uous le deuez bien fere.  Car assez auez hui este trauailliez.  Et il dit 	Et li dist. Sire reposez vous.  quar si mait diex vous le deues bien faire  quar asses aues hui este 	e fizolo asentar en vna su Cama y dixole  señor sedvos ay 	e lli disse:  «Sire, riposate voi,  ché, se m’aiuti ldio, voi il dovete ben fare,  ché assai avete oggi stato travagliatos.  E elli li dice  che non à mica gran mestier di riposare, 
				quil na mie grant mester de repos 			
				car il nest laz ne trauailliez. 			
Et ele conmande a cels de laienz  qu’il apareillent a mengier, 	Et elle commande a ceulx de leans  qu ilz appareillassent a menger/ 	et elle commande a ceulx de leans quilz apareillent a manger 	et la dame commande a ciax de laiens quil apareillent a menger. 	Et ele commande a cels de laienz  quil appareillent a maingier 	traueillies.Et elle commande a ceuls de laiens  que il appareillent a mangier 	que asi dios me ayude mucho hauedes trauajado oy 	ch’e non è né lasso né travagliato.  eElla comanda a  que' di là entro  ch’elli aparechiasono a mangiare,
car il en est tans  et il si font. 	et eulx si font. 	car il en est temps  et ilz le font. 	Car il en est bien tant 	Car il en est tens  et il si font. 	quar il en est tamps.  Et cil  si font puis quele lot commande. 	e fizole luego dar de comer 	ch’elli n’è ben tempo,  e elli 'l fanno. 
Quant il furent assis a la table,  si vint laienz I. vallez 	QUant ilz furent assiz a la table/ si uint leans ung uarlet 	et quant ilz sont assis a table  si uint leans ung uarlet 	Qnent il furent assis  Si uint laiens uns uarles 	QUant il furenr assis a la table.  si uint laienz .i. uallet. 	Quant il furent assis a la table  si vint laiens vns ualles. 	y ellos estando alas mesas entro vn donzel 	sOuand’e' furono aseduti al mangiare alla tavola,  si vene là entro un valetto 
qui dist a la dame: « Dame, mes sires est venuz. — De par Deu, fait ele, di li 	qui dist a la dame/ dame monsieur est uenu. de par dieu fist elle dy luy 	qui dist a la dame. Dame messire est uenu de par dieu fait elle.  dy luy 	qui dit a la dale de par dieu fait ele ua  si li di 	qui dist a la dame. Dame; messires est uenuz. de par dieu fet ele. 	qui dist a la dame. Dame mesires uient  De par dieu fait elle. Di li 	y dixo señora mi señor es venido  enel nombre de dios dixo ella 	che disse alla dama: «Dama, monsignor est venuto.  — Da par Dio, diss’ella, dilli 
qu’il viengne mengier 	quil uiengne mengier/	quil uiegne manger 	qui uaingne mengier.	di li  quil uiengne mengier 	que il uiegne mangier 	ve y dile 	ch’elli vegna a mangiare 
et qu’il ne demort mie,  car il a çaienz I. chevalier  a cui je voil	et quil y a ceans ung cheualier  a qui ie uueil 	et quil ne demeure pas  car il y a ceans ung cheualier  a qui ie uueil	et quil ne demort mie.  Car il a saients un cheualier a cui Ie weil 	et quil ne demeurt mie.  Car il a caienz .i. cheualier.  a qui ge ueul 	et quil ne demeurt mie.  Car il a chaiens. j. cheualier  a qui iou uoel 	que venga luego aca  y no se detenga  que vn Cauallero posa aqui  aquien yo queria fazer mucha honrra y mucho seruiçio 	e ch’elli non falli mica,  ch’egli à qua entro un cavaliere a cuivoglio 
que il face grant joie. » Li vallez vient a son signor	quil face moult grant ioie/ le uarlet uint au seigneur 	qu il face grant ioye.  Et le uarlet ung a son seigneur	qui face Ioie grant. et grant feste  et li uarles reuient a son signor 	quil face grant ioie. Le uallet uient a son seigneur 	quil face ioie Et li ualles uient a son seignor 	y el donzel Corrio asu señor 	ch’elli faccia grande gioia». Il valetto viene a suo signore 
et li dist ce  que sa dame li mandoit. 	et luy dist ce  que sa dame luy mandit. 	et luy dist ce  que sa dame luy mandoit. 	et li dit ce  que sa dame li mande. 	et li dit ce  que sa dame li mandoit	si li dist ce  que sa dame li mande. 	y contole quanto su señora le mandara dezir 	e-lli disse ciò  che sua dama li mandava, 
Et il se desarma maintenant 	Et il se fist maintenant desarmer/	Et il se desarme 	et cil se desarme maintenant. 	Et sil se desarma maintenant 	Et il se desarme maintenant. 	y el descaualgo luego 	e elli si disarma immantanente; 
et ausint firent tuit li autre; 	et aussi firent tous les aultres cheualiers. 	et aussi firent tous les autres. 	et ausi font li autre qui auec lui sont uenu. 	et aussi firent tuit li autre 	et ausssji firent tuit li autre  qui auec lui estoient venu. 	e otros nuebe 	altresi feciono tutti gli altri, 
si vint el palais soi disieme de chevaliers 	si uint au pallaiz soy disieme 	si uint au palays luy douxiesme de cheualiers et la dame 	Si uint el palais lui disime de cheualiers. 	si uint el pales soi disieme de cheualiers. 	Si vint el palais soi dizime de cheualiers, 	que Conuenian y fueronse parala dueña a do estaua 	si venne nel palagio sé decimo di cavalieri; 
					Et quant la dame le uoit uenir 		
et la dame se leva encontre lui et ansi fist Lanceloz. 	Et la dame se leua encentre luy/  et aussi fit lancelot.	si leua encontre luys et aussi fist lancelot. 	et la dame ce lieue encontre lui.  et ausi fait lanc̃.	Et la dame se leua encontre lui  et aussi fist lanc̃. 	si se lieue scase encontre lui  et aussi fist lancelot. 	e la dueña e don lanzarote se leuantaron aellos 	e la dama si Illevò incontro a-llui, altresi fece Lancelotto, 
Et li sires li conmande molt tost  qu’il se rasiet 	Et le seigneur leur commanda moult tost  qu ilz se raseissent. 	et le sire leur commande moult tost  quilz se asseoient	et li sires li commande  quil se raciee. 	Et li sires li commande molt tost  quil se rassiee. 	Et li sires lez refait asseoir 	y el huesped demando a don lanzarote  que estubiese en paz 	e l signor le comandò tosto molto  ch’ella si rasegga,
et il si fait. 	Et ceusx si fent. 	et ilz le font. 	et il si fait.	et il si fet. 	Et il si font 	e luego se asentaron todos a Comer  Como el huesped dezia delas marauillas 	e ella si fa. 
Quant il furent assis 	Quant ilz furent assis 	Quaut ilz furent assis 	et quant il furent tuit assis 	quant il furent assis	Quant il furent assis au mengier ensi 	que don lanzarote fiçiera enel torneo  Despues que todos fueron asentados a comer 	Quand’e furono asseduti al mangiare 
et il orent un poi mengié, 	et ilz eurent ung peu mengie 	et ilz eurent unag pou mange 	et il orrent a pou mengie.	et il orent .i. poi mengie. 	com vous poes oir. 	e Comieron el primero manjar 	e elli ebbono un poco mangiato, 
si li dist la dame: « Sire, faites joie a vostre oste, 	si lui dit la dame Sire faictes ioie a nostre hoste	si luy dist la dame sire faictes ioye a uostre hoste. 	si dit la dame a son signor. Sire faites faite a uostre hoste 	Si li dist la dame. Sire: fetes ioie a nostre hoste. 	Si dist la Sdame a son seignor. Sire faites ioie a vostre oste. 	dixo a su marido la dueña señor fazed gran fiesta y gran alegria coneste vuestro huesped 	si disse la dama al signor:  Sire, fate gioia al nostro oste, 
car bien sachiez 	car bien sachez 	car bien sachez 	que bien sachiez 	Car bien sachiez 	quar bien Ne sachies 	ca saued 	ché ben sappiate 
que a plus prodome de lui ne poez vos faire honor. — Prodom, fait il, dame?  Qu’est ce	que a plus preudomme de lui ne pouez uous faire honneur. Preudomme fist le sire. Dame 	qua plus preudomme de luy ne pourriez uous faire ioye ne honneur. preudomme fait il dame  qu est ce 	que a plus preudome de lui ne poeis faire honor. Preudome dame fait li Sires. 	que a plus preudome de lui ne poez uous fere honneur. Preudom; fet li sires dame que est ce 	que a plus preudomme de lui ne le poes vous faire. Preudomme fait li sires. Dame  que est ce 	que con mejor no lo podedes vos fazer  dueña  dixo el 	che a più produomo di lui non poteste vo' fare onore.  —Produom?, disse il signor; dama,  che est ciò 
