37	qu’il vindrent en J. valee et voient el fonz del val I. chastel bien fait et bien seant	quil uindrent en une ualee. |et uoient el fonz dun ual .i. chastel bien fet et bien seant 	37|38
38	dont li mur estoient fort et grant et menuement crenelé. 	dont li mur estoient fort et hault et menuement quarnele 	39
39	Quant il vindrent au chastel, 	quant il uindrent au chastel 	40
40	si estoit ja grant nuit 	si estoit ia grant nuit. 	41
41	et la dame apele celui 	et la dame apele celui 	42
42	qui la porte gardoit 	qui la porte porte gardoit.	43
43	et li dit 	et li dit 	44
44	qu’il ouevre la porte	quil oeure la porte. 	45
45	et cil si fait. 	Et cil si fet. 	46
46	Et il antrent anz 	Et il entrent enz 	47
47	et chevauchent dusqu’au mestre palais ; 	et cheuauchent iusques au mestre palais 	48
48	et quant cil de laienz voient 	et quant cil de laienz uoient 	49
49	que lor dame vient,	que lor dame uient. 	50
50	si li saillent a l’encontre o cierges et o tortiz, 	si li saillent a lencontte o cierges et o tortiz. 	51
51	car autrement n’i veissent pas por la nuit 	Car autrement ni ueissent il pas. |pour la nuit 	52|53
52	qui trop ert oscure. 	qui trop iert oscure. 	54
53	Si descendent la dame 	si descendent la dame 	55
54	et ele dist 	et lor dit. la dame 	56
55	qu’il ne s’entremetent de lui, « 	quil ne sentremetent de lui. 	57
56|57	mais je vos pri, fait ele, |d’onorer cel chevalier 	Mes ge uous prie fet ele donorer cest cheualier et le seruir. 	58
58|59	et de servir, |car je vos di, fait ele, 	Car bien sachiez 	59
60	qu’il est li plus prodons del monde et le millor chevalier». 	quil est li plus preudom del monde et li meilleur cheualier. 	60
61	Et le descendent maintenant 	Et il le descendent maintenant. 	61
62	et li ostent l’escu del col, 	et li ostent lescu de son col. 	62
63	puis le moinnent amont 	puis le mainent amont 	63
64	et le desarment. 	et le desarment 	64
65	Et la dame le resgarde 	Et la dame le regarde. 	65
66	et voit le vis gros et anflé 	et uoit le uis gros et enfle. 	66
67	et le nes escorchié et sanglant des cox 	et le nez escorchie |et sanglent. des i̶ cox 	67|68
68	qu’il ot donnez et receuz ; 	quil ot donnez et receuz 	69
69	si li fait aporter eve chaude a laver son col et son vis	Si li fet aporter eue chaude a lauer son cors et son uis 	70
70	qui touz estoit nerciz des mailles del haubert. 	qui touz estoit nerciz des mailles del hauberc. 	71
71|72	Et quant ele resgarde l’escu, |si dist oiant touz ceus de laienz : « 	Et quant ele regarde lescu. ele dit oiant touz cels de laienz. 	72
73	Ha, escuz,	ha: escu 	73
74	tant avez hui esté resgardez et desirrez d’estre tenuz de maîntes beles puceles! 	tant auez hui este regarde et desirre destre tenuz de mainte bele pucele. 	74
75|76	Si m’aïst Diex, |bien se puet celui vanter 	si mait diex bien se puet celui uanter 	75
77	qui vos porte,	qui uous porte. 	76
78	que onques chevalier tel merveilles ne fit en I. jor 	que onques cheualier tel merueille ne fist en .i. ior 	77
79	com a hui fait cist. 	comme cist a hu ifet. 	78
80	Et beneoiz soit Diex 	Et beneoiz soit diex. 	79
81	qui le me donna acointier,	qui le me dona trouuer. 	80
82	car il ne me poïst mie greingnor honor avenir de ce 	Car il ne me poist greignor honneur aueuir |comme de ce 	81|82
83	qu’il est venuz a mon hostel. » 	quil est uenuz en mon hostel. 	83
84	Lors entre en sa chambre et aporte robe de cendal a vestir a Lancelot; 	Lors entre en sa |chambre.et aporte robe de cendal a uestir a lanc̃.	84|85
85	et quant il est vestuz, 	Et quant il est uestuz. 	86
86	si le fait seoir 	si le fet seoir. 	87
87	et li dist: « Sire, reposez vos,	et li dit. Sire : reposez uous. 	88
88	car si maist Diex vos le devez bien faire, 	car si mait diex uous le deuez bien fere. 	89
89	car asez avez esté travilliez. » 	Car assez auez hui este trauailliez. |Et il dit 	90|91
		quil na mie grant mester de repos 	92
		car il nest laz ne trauailliez. 	93
90	Et ele conmande a cels de laienz 	Et ele commande a cels de laienz 	94
91	qu’il apareillent a mengier, 	quil appareillent a maingier 	95
92	car il en est tans 	Car il en est tens 	96
93	et il si font. 	et il si font. 	97
94	Quant il furent assis a la table, 	QUant il furenr assis a la table. 	98
95	si vint laienz I. vallez 	si uint laienz .i. uallet. 	99
96	qui dist a la dame: « Dame, mes sires est venuz. — De par Deu, fait ele, di li 	qui dist a la dame. Dame; messires est uenuz. de par dieu fet ele. 	100
97	qu’il viengne mengier 	di li |quil uiengne mengier 	101|102
98	et qu’il ne demort mie, 	et quil ne demeurt mie. 	103
99	car il a çaienz I. chevalier 	Car il a caienz .i. cheualier. 	104
100	a cui je voil	a qui ge ueul 	105
101	que il face grant joie. » Li vallez vient a son signor	quil face grant ioie. Le uallet uient a son seigneur 	106
102	et li dist ce 	et li dit ce 	107
103	que sa dame li mandoit. 	que sa dame li mandoit	108
104	Et il se desarma maintenant 	Et sil se desarma maintenant 	109
105	et ausint firent tuit li autre; 	et aussi firent tuit li autre 	110
106	si vint el palais soi disieme de chevaliers 	si uint el pales soi disieme de cheualiers. 	111
107	et la dame se leva encontre lui et ansi fist Lanceloz. 	Et la dame se leua encontre lui |et aussi fist lanc̃. 	112|113
108	Et li sires li conmande molt tost 	Et li sires li commande molt tost 	114
109	qu’il se rasiet 	quil se rassiee. 	115
110	et il si fait. 	et il si fet. 	116
111	Quant il furent assis 	quant il furent assis	117
112	et il orent un poi mengié, 	et il orent .i. poi mengie. 	118
113	si li dist la dame: « Sire, faites joie a vostre oste, 	Si li dist la dame. Sire: fetes ioie a nostre hoste. 	119
114	car bien sachiez 	Car bien sachiez 	120
115	que a plus prodome de lui ne poez vos faire honor. — Prodom, fait il, dame? 	que a plus preudome de lui ne poez uous fere honneur. Preudom; fet li sires dame	121
116	Qu’est ce	que est ce 	122
117	que vos dites ? 	que uous dites. 	123
118	Certes je ne di mie 	Certes ge ne di mie 	124
119	qu’il ne soit prodom et vaillanz. 	que il ne soit preudom 	125
120	mais il a molt a faire en I. prodome, plus 	et uaillant mes il a molt plus afere en .i. preudom 	126
121	que je ne cuidoie hui 	que ge ne quidoie hui 	127
122	matin.Si ai tant apris en cest jor d’ui 	matin.Si ai tant apris en cest iour |dui. 	128|129
123	que je cuit 	que ge cuit 	130
124	qu’il ait el monde 	que il ait el monde	131
125	que I. prodome.	que .i. preudom. 	132
126	Mais celui 	Mes celui 	133
127	que je di ai je bien hui veu esprouver entre chevaliers 	qui ge di. ai gehui si bien ueu esprouuer entre cheualiers. 	134
128	que puis que chevalerie fu establie, ne cuit je 	que puis que cheualierie. fu establie ne cuit ge 	135
129	que hons mortex feist tels merveilles 	que hom mortel feist tiex merueilles 	136
130	com il a hui faites. » 	comme il a hui fetes.	137
131|132	Lors li demande la dame |ausi 	Et lors li demande la dame aussi 	138
133	comme s’ele n’i eust mie esté: « Sire,	comme s ele ni eust pas este. Sire : 	139
134	ou fu ce 	ou fu ce 	140
135	que veistes celui chevalier 	que uos ueistes celui preudome	141
136	que vos dites ? —	que uous dites. 	142
137	Ce fu, fait il, a l’assembles le roi Baudemagu et del roi de Norgales. — 	Ce fu fet il a lasemblee del roy badem̃ et del roy de norgales. 	143
138	Ha, sire. 	Biau sire fet ele 	144
139	quiex greingnors merveilles pooit il faire 	quiex greignors merueilles pooit il fere 	145
140	que li autre faisoient ? — 	que les autres. 	146
141	Quelz, dame ? 	Quiex : dame: 	147
142|143	Ce ne vos avroie je ouan conté. |Par foi, ja Diex ne m’aïst 	fet ilz ge ne uous auroie mie dit en .i. an 	148
144	se je savoie pas raconter ce 	ce 	149
145	que je li vi faire, 	que ie li ui fere. 	150
146	ne vos ne m’en creriez mie, 	Ne ge nen seroie mie creuz. 	151
147	se je vos juroie sor sainz, 	se ge le iuroie sor sainz. 	152
148	car il vos sambleroit merveilles. » 	Car il uous sembleroit menchonge. 	153
149	Et cele cui il plest? a escouter ce 	Et cele a qui il plest molt a escouter ce 	154
150	qu’ele ot veu et meesmement devant celui 	que ele ot. et meesmement deuant celui	155
151|152	qui ce avoit fait dist au signor: « |Biau sire, 	qui ce auoit fet. Dist au seignor. 	156
153	toute voies an diroiz vos aucunnes beles jostes devant cest prodome 	Biax sire touteuoies nous en diroiz uous aucuns biaus cox. |deuant ce preudome 	157|158
154	qui çaienz est herbergiez 	qui ceainz est hebergiez.	159
155	si qu’il le sache a dire,	si quil le sache dire 	160
		quant il uendra en som pays. 	161
156	quant il venra en son païs. — Biaux cox, fait li sires, vos am puis je dire plus de M., 	Biax cox fet li sires |: uous em puis ge dire. plus de .m. 	162|163
157|158	car je l’aloie touz jorz sivant |por veoir les merveilles 	Car ge laloie ades siuant pour les merueilles 	164
159	qu’il faisoit: 	quil fesoit. 	165
160	si li vi occirre a V. cox V. chevaliers 	Si li ui occirre a .u.cox .u. cheualiers. et .u. cheuaux. 	166
161	et V. sergenz si vistement 	et si uestement 	167
162	qu’il fandoit pres que a par mi les chevax et les chevaliers et de moi meesmes vos di je 	quil fendoit tres parmi les cheualiers et les cheuaux. |Et de moi meismes. uous di ge 	168|169
163|164	qu’il fandi mon escu en I. moitiez|et trancha ma sele 	quil fendi mon escu. et ma sele trencha en .ii. monitiez parmi. 	170
165	et coupa mon cheval par mi les espaules,	et mon cheual trencha parmi les espaulles tout a .i. seul cop. 	171
166	et tot a J. sol cop. — Sire, fait la dame, 	En non dieu dist la dame.	172
167	dont ne cuit je mie 	dont ne uolsissiez uous mie 	173
168	que vos receussiez l’autre cop. — Je, dame ? fait li sires. 	quil recourast lautre cop. Ie: dame. fet il. 	174
169	Qu’est ce 	que est ce 	175
170	que vos dites ? 	que uous dites. 	176
171	Si m’aïst Diex, je n’atandisse l’autre cop por toute la terre le roi Artu,	Si mait diex. ge nen atendisse .i. autre cop de sa main. pour toute la terre le roy artur. 	177
172	car aprés s’espee ne me couvenist il ja mire fors la mort,	car apres le cop de sespee ne couient il ia mire fors la mort. 	178
173	ne il n’a mie au mien esciant home si hardi el monde,	Ne il na mie a mon escient si hardi home el monde. 	179
174	s’il avoit hui veu ce 	se il auoit ueu ce 	180
175	qu’il avoit fait, 	quil a hui fet. 	181
176	que jamais l’atandist a cop.» 	qui iames latendist a cop. 	182
177|178	Et la dame s’ancommance a rire. « |Encore vos dirai je greingnors merveilles, fait li sires, 	Et la dame en commence a rire. Encor uous dirai ge fet li sires greignors merueilles. par mon chief ge li ui abatre .ui. cheualiers. dun sol retroux de lance.	183
179	que je li vi abatre a J. retrous de lance IIIl. chevaliers : 		
180	ce ne fist onques ne home ne deables. — 	Et ce ne fist onques ne hom. ne dyables . 	184
181	Or me dites, fait la dame, 	Or me dites. sire fet la dame 	185
182	que feriez vos,	et que feriez uous 	186
183	se vos teniez celui en vostre ostel ? — 	se uous auiez aussi preudome hebergie. en nostre hostel. 	187
184	Certes, dame, fait il, 	par dieu fet il dame.	188
185	se la force en estoit moie, il ne se partiroit ja de moi, 	se la force en estoit moie . 	189
186	ainz le tandroie avec moi, 	iames de ceainz nistroit ainz le tendroie auecques moi. 	190
187	car plus riche tresor ne porroie je mie tenir. — 	car plus riche tresor ne porroie ge tenir.	191
188	Et s’il i avoit, fait la dame, esté en tel manniere 	Et se il y auoit este fet la dame en tele maniere	192
189	que vos nel conneussiez, 	que uous nel conneussiez. En tel maniere dame 	193
190|191	que feriez vos ? — Je n’avroie jamais joie, fait il ; |et s’il le savoient	fet il. Ie nauroie iames ioie. 	194
192	et il nel me disoient, il n’am porroient eschaper sanz mort. — En non Dieu, fait ele, 	Et se cil de mon hostel le sauoient. il nen porroient eschaper sanz mort. |sil ne le me fesoient assauoir. En non dieu sire fet ele 	195|196
193	donc nel vos celerai je plus, 	dont nel uous celerai ge plus. 	197
194	ainz le vos dirai, 	ainz le uos dirai. 	198
195|196	car je ne voil mie avoir vostre haine. |Si saichiez 	Car ge ne uoil pas auoir uostre hayne. Sachiez 	199
197	que ce est cil prodom 	qui ce est cil preudome 	200
198	qui delez vos siet. » 	que uous dites. moustrez moi 	201
199	Et il le resgarde. « Monstrez moi, fait il, son escu, 	fet il son escu. 	202
200	car par ce le connoistrai je bien. » 	Car par ce le connistrai ge bien. 	203
201	Et ele conmande 	Et ele commande. 	204
202	que l’an li aport. « Dame, dame, fait Lanceloz vos me dites ore tant de honte en vostre ostel 	que len li aport. Lescu dame: fet lanc̃. uous me ferez tant de honte en uostre hostel 	205
203	comme vos voldrez; 	comme il uous plera. 	206
204	mais se je quidasse 	mes se ge cuidasse	207
205	que vos fussiez si pooir 	que uous fussiez si uilame. |que ge ni fusse anuit entrez pour pooir 	208|209
206	que vos eussiez. — 	que uous eussiez. 	210
207	Ha, sire, faît la dame, poise il ja plus parlé, 	Ha: sire fet la dame. tenez uous ceste chose a mesprison. Dame: oil certes. sire fet ele donc nen sera il ia plus fet. 	211
208	puis qu’il vos poise, 	puis que il uous em poise. |Et sachiez	212|213
209	et sachiez que honor. » 	que ge le fesoie par amors. |et uous quidoie fere grant honneur.	214|215
210	Lors s’en vait li sires en une chambre connoist bien 	Et lors se lieue li sires |et uet en la chambre. 	216|217
211	et en a trop grant joie. 	ou li escuz pendoit. 	218
212	Lors revient est touz suens a faire son commandement; 	Et si tost. |comme il le uoit 	219|220
213	et il l’an 	si le connoist bien. |Si en a trop grant ioie. 	221|222
214	Cele nuit fu couchiez a aise, 	Et sen uient a lanc̃. |et li fet trop grant ioie. 	223|224
215	si se reposa, 	et li dit 	225
216|217	car Quant il fu esvilliez, |si estoit ja li soulaux granz piece fresche et nouvele 	qu il est tout sien 	226
218|219	et il la prant et la vesti. |Quant il mengiers aprestez. 	a fere son commandement. 	227
220	Quant il orent mengié et les tables li prie 		
221|222	qu’il remaingne huimés |et il dist 	et il len mercie. 	228
223|224	qu’il ne le montez el |cheval, il prant son escu 	CEle nuit fu lanc̃. conchie a aise. 	229
225|226	et demande l. glaive « Dame, vos souvient il del couvenant |que nos eusmes vos pri je, fait il 	Car assez estoit laz et trauailliez.	230
227	que vos vos en aquitoiz 	si se dormi 	231
228|229	si com vos vilainne, je ne fusse anuit entrez en vostre hostel |por vos il donques ? — Dame, oîl certes. — 	et reposa iusques a lendemain uerz prime. 	232
230	Dont n’an sera je le faisoie par amors 	Et quant il se fu esueilliez. 	233
231|232	et vos quidoie faire grant |ou li escuz estoit, 	si estoit ia li soleus leuez grant piece auoit. 	234
233|234	et si tost com il l’a veu, |si le arriere 	Et la dame li ot appareillie deuant son lit. une robe de lin blanche et deliee. 	235
235|236	et fait Lancelot trop grant feste |et dist 	Et quant il se fu uestuz et appareilliez. 	236
237	qu’il mercie molt. 	et il ot oi messe. 	237
238	assez estoit las et travilliez,		
239|240	et dormi dusque vers prime. avoit levez a; |et la dame li ot apparillié robe de lin fu vestuz et aparilliez 	si fu li mengier appareilliez. 	238
241	et il ot oi messe, 	Et|quant il orent mengie 	239|240
242	si fu li furent levees, Lanceloz demande ses armes 	et les tables furent leuecs. il demande ses armes. |Et li sires. li prie 	241|242
		que il remaingne huimes. 	243
243	et li sires feroit en nule manniere. 	Et il dist |quil ne remaindroit en nule maniere. 	244|245
244	Et quant il est touz armez	Et quant il est armez	246
		et montez seur son cheual. il demande .i. glaiue. 	247
245	et et l’an li aporte. 	et len li aporte. 	248
246	Lors dist a la damoisele de laienz: entre moi et vos ? — Sire, fait ele, ofl bien. — Dont devez faire. » 	Lors dist a la dame de laienz. Dame uous souuient il del conuent |qui est entre moi et uous. Sire fet ele oil bien. 	249|250
		Dont uous pri ge fet il 	251
		que uous uus en aquitiez uerz moi. 	252
		Si comme uous le deuez fere 	253
247	Et ele dist 	Et ele dist 	254
248	que si fera ele volentiers.	que|si fera ele uolentiers. 	255|256
249	Lors fait enseler J. palefroi 	Et lors fet enseler .i. palefroi. 	257
250	et dist a I. vallet 	et dist a .i. uallet 	258
251	qu’il la sive. « Dame, fait il, 	quil la siue. 	259
252	ou devez vos aler ? — Sire, je manrai cest seignor a Corbenic 	Et li sires dist dame ou deuez uous aler. Sire fet ele ge merrai cest seigneur a cornebinc.	260
253	que je li ai en couvant a monstrer la plus bele riens del siecle. — Alez donc, fait li sires, 	Car ge li ai en couenant a mostrer la plus bele riens du siecle. |alez donques fet il. 	261|262
254	et pensez dou revenir. » 	et pensez de reuenir. au plus tost fet ele |que ie porrai. 	263|264
255	Ele se part atant de laienz 	Et ele sem part atant. 	265
256	et aquielt sa voie ou Lanceloz, 	et aqueult sa uoie auec lanc̃. 	266
257	si fu molt bien enmuselee por le souleil 	et se fu molt bien enuolopee pour le soleil 	267
258	qui mal ne li feist. 	qui chaut estoit. 	268
259	Einsi chevauchent dusque aprés none tant 	EInssi cheuauchent iusques a nonne. 	269
260	que il viennent en une valee 	tant que il uindrent en une ualee. 	270
261	et voient devant aux el fonz del val J. petit chastel molt bien seant, 	Et uoient deuant els el fonz dun ual .i. chastel petit molt bien seant de toutes choses. 	271
262	car il est clos tout entor d’eve parfonde et de bons murs batilliez. 	Car il est clos tout entor deue roide et parfonde. |et de murs batailliez.	272|273
263	Quant il vindrent pres, 	Et quant il uiennent 	274
264	si encontrerent une damoisele 	pres.Si encontrent une pucele desus .i. palefroi. 	275
265	qui dist a la dame : « Dame, 	qui dist a la dame Dame. 	276
266	ou menez vos cel chevalier? » 	ou menez uous cel cheualier. 	277
267	Et ele dist : A Corbenic. — Voire, dame, fet la pucele, en non Deu, donc ne l’amez vos gueres, 	et ele dist a corbeuie. uoire : dame fet ele. |En non dieu 	278|279
		dont ne lamez uous gueres. 	280
268	car vos l’amenez en tel leu 	car uous alez en tel lieu 	281
269	dont il ne puet partir sanz honte et sanz domage. » 	dont il ne puet partir sanz honte et sanz |domage.Si fera fet la dame se dieu plest. 	282|283
270	Tant ont alé 	TAnt ont ale 	284
271	qu’il viennent au chastel 	quil uindrent au chastel. 	285
272	et troevent le pont 	Et trueuent le pont de fust 	286
273	par ou on	par ou len passoit. 	287
274	passoit,si entrent enz, 	si entrent enz. 	288
275	et quant il viennent en la maistre rue, 	Et|quant il uindrent en la mestre rue. 	289|290
276	si li conmance l’an a dire: « Sire chevaliers, la charrette vos atant. » 	Si commencent a dire li .i. |et li autre a lanc̃. Sire cheualier. la charrete uous atent.	291|292
277	Et il respont basset 	Et il dist basset 	293
278	que s’il li couvient entrer, ce n’est? pas la premiere foiz 	que il le couient entrer en la charrete. ce niert mie la premiere foiz 	294
279	qu’il i a antré. 	quil y estoit entrez. 	295
280	Et il chevaucherent toutes voies tant 	Si cheuauchent touteuoies 	296
281	qu’il aprochierent de la maistre tor ; 	tant quil aprochent de la mestre tour. 	297
282	si la prise molt, 	Si la prise molt lanc̃. 	298
283	car c’est la plus bele et la plus fort 	Car ce est la plus riche et la plus et la plus bele 	299
284	qu’il onques veist a son esciant. Il resgarde sor destre 	que il onques mes ueist de son grant. |Et il regarde sor destre 	300|301
285	et ot une voiz de fame assez pres de lui, 	et ot crier une fame assez pres de lui celi ert auis. 	302
286	ce li ert avis. Il vet cele part 	Et il point cele part 	303
287	et voit 	et regarde et uoit. 	304
288	que c’ert la damoisele 	que ce est la damoisele 	305
289	que mes sires Gauvain vost geter de la cuve, 	.que. Messires .G. uolt giter de la cuue. 	306
290	mes il he pot, 	Mes il ne pot. 	307
291	et ele crioit: « Sainte Marie, 	Et ele crie. sainte marie. 	308
292	qui me getera de ci ?, 	qui me getera de ci. 	309
293	Et quant ele voit venir Lancelot, 	Et quant ele uoit lanc̃. 	310
294|295	si dist: « |Ha sire, getez moi de ceste eve 	si li dist. Sire cheualier. ostez moi de ceste eue 	311
296	qui m’art !» Il vient a la cuve 	qui toute mart. |Et il uient a la cuue. 	312|313
297	et la prant par les braz 	si la prent par la main. 	314
298	et la met fors, 	et la met hors. 	315
299	Et quant ele se voit delivre, 	Et quant ele se uoit deliuree. 	316
300	si li chiet as piez 	si li chiet aus piez. 	317
301|302	et li baise la jambe |et le soler 	Et li bese la iambe et le soller. 	318
303	et li dist: « 	et li dist.	319
304	Ha, sire, beneoite soit l’eure 	Ha: sire beneoite soit leure 	320
305	que vos fustes nez, 	que uous fustes nez. 	321
306	car vos m’avez gité de la greingnor dolor ou fame fust onques. » 	Car uous mauez ostee de la greigneure doleur. |ou fame fust onques. 	322|323
307	Mais maintenant conmance la sale a emplir de dames et de chevaliers 	Maintenant commence la sale a emplir de dames et de cheualiers. 	324
308	et si assemblent tuit cil de la vile por veoir la damoisele 	Et si assemblent tuit cil du chastel |pour ueoir la merueille. 	325|326
309	et la mainnent en une chapele 	Et uestent la damoisele et lamoinent a une chapele. 	327
310	por randre graces a Nostre Seingnor. 	pour rendre graces a nostre seignor. 	328
311	Lors moinnent Lancelot en I. cimetiere desouz la tor 	Et lors moinent lanc̃. en .i. cimetiere. |qui illec deiouste estoit. 	329|330
312	et li monstrent I. tombe molt riche 	et li moustrent une tombe molt riche. 	331
313	ou il avoit lestres escrites 	ou il auoit lectres escriptes. 	332
314|315	qui disoient: « |Ja ceste tombe ne sera levee devant 	Qui disoient. ia ceste tombe. ne sera leuee par home. 	333
316|317	que li lieparz i mestra main, |de qui li granz lions doit issir,	deuant que li liepart dont li granz lyons istra metra la main. 	334
318	et cil la levera legierement, 	Et cil la leuera legierement.	335
319	et lors sera engendrez li granz lions en la bele fille au roi de la Terre Forainne. » 	Et lors sera engendrez li granz lyons. en la bele fille au roy de la terre foraine. 	336
320	Quant il a les lestres leues, 	Et quant il a les letres leues	337
321	si n’entant pas 	Si nentent mie ce 	338
322	qu’eles vuelent dire et cil 	que eles ueulleut dire. |Et cil 	339|340
323	qui entor lui sont li dient: « Sire, nos cuidons bien	qui sont eutour li dient. Sire nous cuidons bien. 	341
324	que ce soiez vos 	que ce serez uous de	342
325	dont ces letres parolent, 	qui ces letres parolent. 	343
326	car nos savons bien par la damoisele 	Car nous le sauons bien par la damoisele	344
327	que vos avez delivree 	que uous auez deliuree 	345
328|329	que vos estes li mieldres chevaliers de touz cels |qui or sont. — 	que uous estes li mieldres cheualiers. del monde.	346
330	Que volez vos 	Et que uolez uous fet il 	347
331	que je face? Je sui pres de faire totes voz volentez. — Nous volons. font il, 	que ie face. Ie sui touz prez de fere uos uolentez. |et nous uolons font il. 	348|349
332	que i vos levez ceste tombe 	que uous ceste tombe leuez. 	350
333	et veoiz 	et uoiez 	351
334	qu’il a desouz. » 	quil a dedenz. 	352
335	Et il met la main au plus gros chief et la lieve trop legierement 	Et il met la main au gros chief. |Et la lieue trop legierement. 	353|354
336	et voit dedenz le plus hideuz serpent et le plus felon par samblant 	Et uoit dedenz le plus hisdeus serpent et le plus felon par semblant 	355
337	dont il oïst onques parler. 	dont il onques oist parler. 	356
338|339	Et|quant il voit Lancelot, 	Et aquant il uoit lanc̃. 	357
340	si li gete feu si ardant 	si se dresce|Si li rue parmi la gueule feu ardant. 	358|359
341	qu’il li brule tout son haubert et ses armes 	si quil li brulle tout son hauberc et ses armes 	360
342	et se lance fors de la tombe en mi le cimetiere 	et se lance hors de la fosse. enmi le cimetiere. |et commence a giter feu 	361|362
		et flambe parmi la bouche. 	363
343	si que li arbrisel 	Si que li arbres 	364
344	qui dedenz estoient conmencierent a ardoir por l’ardeur dou feu. 	qui estoient el cimetiere commenciere commencierent a ardoir de langoisse del feu. 	365
345	Et cil de laienz tornent en fuie 	Et cil de laienz sen fuirent pour la dolor del feu. 	366
346	et montent as fenestres en haut 	et monterent aus fenestres en hault .	367
347	por veoir 	pour ueoir 	368
348	conment il sera 	comment il sera. 	369
		Et gietent a lanc̃. son escu et son glaiue 	370
349	et Lanceloz gete son escu l devant son vis, 	et il le prent. |Et met lescu deuant son piz.	371|372
350	puis s’adresce cele part 	puis sadresce cele part 	373
351	ou il vit le serpent comme cil 	ou il uoit le serpent comme cil 	374
352	qui ne doute aventure 	qui ne doute |auent᷑e 	375|376
353	qui avenir li puisse. 	qui auenir li puisse. 	377
354	Et li serfald]panz li giete feu envenimé 	Et li serpent li giete feu enuenime. 	378
355	si qu’il li art son escu par defors 	si que il li art son escu par dehors. 	379
356	et Lanceloz le fiert par mi le piz del glaive 	Et lanc̃. le fiert parmi le piz del glaiue. 	380
357	si qu’il li met el cors et fer et fust. 	si quil li met el cors et fer et fust. 	381
358	Et il conmance a batre a la terre de ses eles comme cil 	Et cil commence la terre a batre de ses eles. |comme cil 	382|383
359	qui est navrez a mort, 	quil ert naurez a mort. 	384
360	et ll met la main a l’espee 	Et il met la main a lespee 	385
361	et li donne grant cop la	et li donne granz cox. la	386
362	ou il le puet ataindre 	ou il le puet ataindre. 	387
363	tant qu’il li fait le chief voler.	tant quil li fet le chief uoler.	388
364	Lors viennent? avant li chevaliers 	Et lors uienuent auant li cheualier. 	389
365|366	qui ja estoit armez |por aidier a Lancelot; 	qui ia estoient arme pour aider. a lanc̃. 	390
367	et quant il voient 	Et quant il uoient 	391
368	qu’il l’a ja occis, 	quil la ia ocis. 	392
369	si le reçoivent a grant joie 	si le retornent a grant ioie. 	393
370	et conmancent li sain a sonner. 	Et commencent tuit li saint a sonner. 	394
371	Maintenant viennent laienz chevaliers, dames et damoiseles tant 	Maintenant uiennent laienz cheualiers et dames et damoiseles. 	395
		tant que ce nest se merueille non. 	396
		Si font a lancelot si grant honneur 	397
372	que ce n’est se merveille non a	que ce nest se merueille non. 	398
373	et li dient 	Et li dient 	399
374	que bien soit il venuz sor touz ceaux dou monde ; 	que bien soit il uenuz sor touz cels del monde. 	400
375	si le moinnent el maistre palais 	Si le mainent el mestre pales 	401
