0|1	Einsi fu Lanceloz III. jorz laienz, |si adolez 	Insi fu Lancelotto tre giorni là entro si adolorato 	0
63	se vos poiez. — 	se vo' poteste. |— Certo, diss’elli, 	68|69
64|65	Certes il n’est riens |que je poïsse faire 	e non è cosa che l’uom potesse fare 	70
66	que je ne feisse, 	ch’i' non facessi per convenente 	71
67	par couvant que j’an fusse hors. — 	ch’i' ne fossi fuori. 	72
68	Par foi, fait ele, 	—Per fé, diss’ella, 	73
69	et je vos en osterai, 	i' vo ne trarrò 	74
70|71	se vos |por moi volez faire ce 	se vo' volete per me fare ciò 	75
72	que je vos conmanderai. — Dites, fait il, 	ch’i' vo comanderò. |— Dite, diss’elli, 	76|77
73	car je le ferai, 	ch’io il farò s’i' n’ò il potere. 	78
74|75	se j’en ai le pooir?, —|Or mescoutez 	— Or m’ascoltate dunque, diss’ella. 	79
76	dont, fait ele. Il est voirs 	Elli è vero, diss’ella, 	80
77	que la roine de Sorestan, la dame de cest chastel 	che- lla reina di Sorestan, la dama di questo castello 	81
78	ou vos estes, m’a tenue longuement avec li 	ove vo' siete, m’à tenuta molto lungamente con esso ler 	82
79	et si vos dirai comment. Il avint, bien a passé X. anz 	e si vo dirò come. Elli avenne, ben à passato X. anni, 	83
80	que j’estoie petite 	ch’io era picola, 	84
81|82	que mes peres, li dus de Rocedon, conmança guerre contre le roi? de Sorestan |qui fu seingnor a la roine de ceanz. 	che mi' padre il duca di Rocedom cominciò guerra incontra l re di Sorestan; 	85
83	Mais au darrien firent pais, 	ma al di dietro feciono pace, 	86
84	por ce que mes peres me donna en mariage a I. petit fil le roi 	per ciò che mi padre mi dè a maritaggio a un piccolo infante figliuolo 	87
85	qui n’avoit mie plus de VI. anz 	che l re aveva, |ch’avea sei anni, 	88|89
86|87	et je estoie en l’aage de V. anz. |Aprés ce ne demoura gueres 	e io era ne l’agio. v. anni. Apresso ciò, non dimorò guari 	90
88	que mes peres morut et ma mere ausi, 	che mi' padre mori e mia madre altresi, 	91
89	si que ma terre remest a garder a ceste roine. 	si che mia terra rimase a guardare alle mani di questa dama. 	92
90	Oan ot VIll. jorz devant Noël, 	Oguanno, dinanzi a Natale otto giorni, 	93
91	s’esmut li chevaliers 	si mosse il valletto	94
92	qui fiancie m’avoit a la cort 	che giurato m’avea ad andare alla corte del re Artù 	95
93	por estre chevaliers noviax, 	per essere cavaliere novello, 	96
94	si nos an mesavint	si noi ne misavenne tanto 	97
95	tant qu’il fu occis a l’issue de la forest de Karlion. 	ch’elli fu ucciso all’intrar della foresta di Carlian. 	98
96	Quant je soi 	Quando seppi 	99
97	qu’il fu morz, 	che fu morto, 	100
98	si m’an vos de ceanz aler et li demandai 	si mi volea di qua entro andare |e le domandai 	101|102
99	qu’ele me randist ma terre. 	ch’ella mi rendesse mia terra;	103
100|101	Mais la roine |si n’en volt riens faire, 	ma la reina no ne volle nulla fare, 	104
102	ainz dist, 	anzi mi disse che, s’io ne l’angosciasse un poco, 	105
103	se je l’angoissoie I. poi, je n’an tandroie jamés plain pié por pooir 	i' no ne terei giamai piesn piè, |per potere 	106|107
104	que je eusse. 	ch’i' avesse. 	108
105	Si le laissai atant, 	i la lascia' atanto, 	109
106	que plus n’en osai dire 	che più non osai di dire, 	110
107	et tant qu’il avint avant ier n’a mie III. semainnes 	e tanto che l’altrieri non à mica tre settimane	111
108	que J. suens freres me demanda a fame	che un su' fratello mi domandò a femina 	112
109	et ele m’i donna. 	e ella il mi donò 	113
110	Ele le me fist fiancier maugré mien, 	e mi fece giurare mal mi' grado. 	114
111	si le revesti de toute ma terre 	Si lo rivesti di tutte mie terre, 	115
112	et an doivent estre les noces de diemanche an VIII. jorz. 	e ne doveva essere il maritare domenica a otto giorni. 	116
113	Mes certes por noiant, 	a certo che per niente il fanno, 	117
114	car je ne l’avrai ja a mari ne a seingnor, 	ch’i' non arò a già marito né a signore, 	118
115	car j’ai bien raison, 	ch’i ho buona ragione 	119
116	qu’il est li plus desloiaux chevaliers et li plus couarz 	ch’egli è il più dislial cavaliere e l più codardo 	120
117	qui onques fust.	che unque fosse. 	121
118|119	Et se vos por moi voliez tant faire |que a celui jor venissiez touz armez 	E-sse voi veniste tutto armato al giorno 	122
120	pour contredire ces espousailles en ce chastel 	per contradire questo matrimonio in questo castello, 	123
121	et feissiez	e faceste tanto 	124
122	tant que cist mariages fust desfaiz, je vos geteroie anuit de ceste prison 	che questo maritaggio fosse disfatto, |i vo gittere stanotte di questa prigione 	125|126
123|124	et vos donroie bon cheval et bonnes armes. — |En non Deu, damoisele, fait li, 	e vo donere buon cavallo e buone armi. — Al nome di Dio, damigella, disse Lancelotto, 	127
125	se vos ce volez faire, je vos creanterai comme loiax chevaliers 	se vo' ciò volete fare, |i' vi giuro, 	128|129
		come lial cavaliere, 	130
126	que je a celui jor revanroie en cest chastel	ch’io a quel giorno riverei in questo castello 	131
127	et feroie 	e farò tanto 	132
128	que je vos deliverroie de cel chevalier 	ch’i' vo diliverò da quel cavaliere: 	133
129	et avriez vostre terre quite, 	e arete vostra terra cheta, 	134
130	s’il n’i a autre arest 	se non v’à altro alresto 	135
131	que vos m’avez dit. —	che voi m’abiate detto. 	136
132	Certes, fait ele, il n’i a autre arest. — 	— Certo, diss’ella, |non v’à altro aresto. 	137|138
133	Dont vos craant je, fait il, 	—|eDunque vo giuro lealmente, diss’egli, 	139|140
134	que je cest couvenant vos tandrai. — 	ch’i' questo convenente vo terrò. 	141
135	Et je vos craant loiaument 	— E vo giuro lealmente, diss’ella, 	142
136	que je anuit vos giterai fors de ceanz.» 	ch’io stanotte vo trarò di qua entro». 	143
137	Ensi aseure li uns l’autre : 	Insi asicura l’uno a l’altro. 	144
138|139	si s’em part atant la damoisele et Lanceloz remest liez |et joianz de ce 	si si parte atanto la damigella e Lancelotto rimane lieto e gioioso di ciò 	145
140	que la damoisele li promet	ch’ella li promette. 	146
141	Quant il fu auques anuitié 	E quand’e' fu alquanto anottato 	147
142	et cil de laienz furent couchié et endormi, la damoisele ouvre l’uis de la chambre 	e que di là entro furono coricati e dormiti, la damigella apre l’uscio della camera 	148
143	et vint a Lancelot	e viene a Lancelotto 	149
144	et li dist: « Sire, venez aprés moi. » 	e disse: Sire, venite apresso mes. 	150
145	Et il se lieve, 	E elli si lieva 	151
146	si la siut 	e si-lla seguita,	152
147	et ele l’enmoinne en une chambre de laienz pres d’un vergier ; 	e ella el mena in una camera di là entro presso d’un verzieri. 	153
148	si le fait mengier, 	Si 'l fa mangiare, 	154
149	puis li baille bonnes armes et bon cheval. 	poscia li dona buone armi e buono cavallo, 	155
150|151	Et quant il est apparilliez comme de monter, il dist a la damoisele: e Dites moi |de quel tornoiement li chevalier 	e quand’egli è apparecchiato come del montare, elli disse alla damigella: eDamigella, ditemi di qual torniamento i cavalieri di qua entro parlavano stasera apresso vespro. 	156
152	de ceanz parloient anuit aprés vespres. — Sire, fait ele, volentiers. Il est voirs 	— Sire, diss’ella, volentieri. |sEgli è vero 	157|158
153	que li rois Baudemaguz et li rois de Norgales fiancerent I. tornoiement li uns encontre l’autre, de gent contre gent: 	che 'l re Bando di Maguzo |e l re di Norgales giurarono un torniamento l’uno incontr’all’altro, 	159|160
		e di gente incontro a gente. 	161
154	si ont hui esté assemblez en une praerie 	Si ànno oggi stati asembiati in una prateria 	162
155	qui est a JI. liues loing de ci 	ch’è due leghe presso di qui, 	163
156	si que cil de ceanz 	si che quegli di qua entro, 	164
157	a cui vos en oïstes parler an sont anuit venu. — 	a cu' vo n’udisti parlare, ne sono stanotte venuti. 	165
158	Et liquel, fait il, en ont le peor ? — 	— e qua', diss’egli, |n’ànno il piggiore? 	166|167
159	Par foi, fet ele, li rois Baudemaguz en a esté chaciez de place, 	-Per fé, diss’ella, il re Bando di Maguzo n’é stato caciato della piaza, 	168
160	car il n’avoit mie tant de gent amené de la moitié comme li rois de Norgales. 	ch’egli non avea mica tante genti della metà come il re di Norgales; 	169
161	Mais il ont pris terme d’assembler juedi. » 	ma egli ànno preso termine di ar sembiante giuovedi». 	170
162	Et il n’avoit c’un jor entre II. 	E egli non f v’avea|che un giorno in mezo. 	171|172
163	Quant il oit 	E quando Lancelotto intende 	173
164	que li rois Baudemaguz en a esté chaciez de champ, 	che l re Bando n’è stato cacciato del campo, 	174
165	si est molt dolanz, 	si n’è molto dolente, 	175
166	car ce est un des homes del monde 	ché ciò è un degli uomini del mondo 	176
167	qui plus li a fait honor, 	che più gli à fatto d’onore:	177
168	si est molt dolanz de ce 	si n’è molto dolente di ciò 	178
169	qu’il n’i a esté; 	ch’egli non v’è stato, 	179
170	car s’il i fust, a ce	ché s’egli vi fosse, 	180
171|172	qu’il se sent sain et haitié |et desirrant de porter armes, il ne cuide mie 	acciò che-ssi sente sano e atato, disiderante di portare arme, non crede mica 	181
173	que li rois en eust le peor 	che l re avesse avuto il piggiore, 	182
174	si com il a eu. 	si com’egli à ora. 	183
175	Lors monte en son cheval 	Allor monta in su' cavallo 	184
176	et conmande la damoisele a Deu 	e acomanda la damigella a Dio, 	185
177	et ele li dist 	e ella I priega 	186
178	qu’il ne l’oublist pas des couvant	che no lla dimentichi del convento 	187
179	que il i a. — 	ch’ella li à. 	188
180	Si m’aïst Diex, fet il, no ferai je. » 	Se m’aiuti lddio, diss’elli, non faròs. 	189
181	Si s’en vait atant 	Si se ne va tanto 	190
182	et entra en I. vergier et del vergier entra en une petite praerie. 	ed entra in un veriere; del verziere entrò in una picola prateria. 	191
183	Lors trueve I. estroit sentier	Allor truova uno stretto sentiere 	192
184	qui le mena droit a une forest 	che l mena diritto in una foresta, 	193
185	ou il avoit I. pavillon tandu devant J. grant orme. Il torne cele part son cheval, 	ov’egli truova un padiglione teso davanti a un grande olmo;|e egli torna in quelle parti in sul cavallo, 	194|195
186|187	por ce |que genz i cuidoit trouver, 	per ciò che gente vi crede trovare, 	196
188	si descent a l’entree 	si discende, 	197
189	et voit dedanz III. cierges ardanz et I. grant lit couvert d’un samit porpre. Il vait au lit, 	e all’entrata vide di dentro due ceri ardenti e un gran letto coperto d’uno sciamito. |vE egli viene al letto, 	198|199
190	mes il n’i troeve home ne fame, 	ma e'non vi truova né huomo né femina, 	200
191	ne el pavillon ausi. 	né nel padiglione altresi: 	201
192	Et quant il voit ce, 	e quand’e vide ciò, 	202
193	si vient a son cheval 	si venne al su' cavallo	203
194	et oste ! le frain et la sele et le moinne pestre, 	e gli trae el freno e lla sella |e l mena a pascere. 	204|205
195	puis se desarme 	Poscia si disarma 	206
196	et met l’espee a son chevez, 	e mette sua spada a suo capo, 	207
197	si se despoille 	e si si dispoglia 	208
198	et dit 	e dice 	209
199	qu’il se couchera anz. 	che si si coricherà entro, 	210
200	puis qu’il n’i trueve ame;	poscia che non vi truova anima. 	211
201|202	puis estaint les cierges |por la clarté 	Poscia dispegne i ceri per la chiarità 	212
203	qui mal ne li feist;	che mal no gli facesse, 	213
204	si se couche 	e si si corica 	214
205	et s’andort tout maintenant. 	e dorme immantanente. 	215
206	Aprés ce ne demora gueres	Appresso ciò, non dimora guari 	216
207	que laienz vint I. chevalier, 	che là entro venne un cavaliere 	217
208|209	celui cui li pavillons estoit; |et quant il vit les cierges estains, 	e vid’e ceri spenti, 	218
210	si cuida bien 	si crede bene 	219
211	que sa fame fust endormie 	che sua dama fosse indormita |e 	220|221
212	et qu’ele eust les cierges estainz por la clarté. Il estoit sanz espee et sanz armeure, 	ch’ella avesse e ceri spenti per la chiarità. |'Elli era sanza ispada e sanza armadura, 	222|223
213	si se fu tost despoilliez 	si fu tosto dispogliato, 	224
214	et se couche errant delez Lancelot 	e si corica tostamente allato a Lancelotto 	225
215	et se trest pres de lui 	e si trae apresso di lui, 	226
216	et l’acole	e-ll’abbraccia 	227
217	et le conmance a baisier, 	e comincia a T baciare, 	228
218	car il cuidoit vraiement 	ch’elli crede veramente 	229
219	que ce fust sa fame. 	che ciò fosse sua femina. 	230
220	Quant Lanceloz sant celui 	csQuando Lancelotto senti quelli 	231
221	qui einsint le baisoit, 	che nsi l baciava, 	232
222	si saut sus touz desvez 	si salta suso tutto isbigottito 	233
223	et cuide bien 	e crede bene 	234
224	que ce soit dame ou damoisele : 	che ciò sia dama o damigella, 	235
225	si l’aert a JI. braz. 	si 'l piglia alle due	236
226	Et cil s’aperçoit tantost et cuide	braccia;“e que se n’avede tantosto |e crede bene 	237|238
227	que ce soit li lichierres sa fame. 	che ciò sia il liaggiatore di sua femina, 	239
228	si se desvoleppe de lui et l’aert i a Il. braz 	si si disviluppa da llui |e l piglia co-lle due braccia 	240|241
229	et le sorprant 	e l solprende 	242
230	si que ainz	si che, 'nanzi 	243
231	qu’il se fust pris garde, 	che Lancelotto se ne fosse presso guardia, 	244
232	l’ot il geté desouz lui a la terre ; 	l’à elli gittato di sotto lui alla terra.	245
233	si dist: « 	eE li disse: 	246
234	Certes, lerres, mar me venistes faire honte	Certo, ladro, mal me venisti a fare onta 	247
235	et mar vos couchastes avec ma fame en mon pavillon meismes. 	e mal vo coricaste con esso mia femina in mio padiglione medesimol». 	248
236	Puis li donne del poing en mi les denz 	Poscia li dona del pugno nel miluogo de denti, 	249
237|238	si que a poi|que il ne li a brisiez en la bouche, 	si ch’a poco che no ne li à tratti nella bocca, 	250
239	et li sans en saut 	e l sangue ne salta, 	251
240	si qu’il en a le menton tout sanglant. 	si che n’à il mento tutto sanguinoso. 	252
241	Quant Lanceloz se sent si mal mener, 	eQuando Lancelotto si sente si malmenare, 	253
242	si l’aert a la gorge et le fait voler par dessus lui 	si l piglia per me la gola e l fa volare per di suso lui, 	254
243	et le fait flatir a L. chaillou	e l fa ferire inn-un feristo	255
244	qui en mi le pavillon estoit. Li chevaliers ot une grant plaie au chaoir 	che li êl miluogo del padiglione era. ll cavaliere ebe una gran piaga al cadere 	256
245	qu’il fist 	ch’elli fece, 	257
246	et Lanceloz se relieve 	e Lancelotto si rileva 	258
247	et vait cele part	e viene in quelle parti 	259
248	ou il ot s’espee laissie, 	ov'egli ebbe sua spada lasciata, 	260
249	si l’a traite del fuerre toute nue. La lune luisoit cler 	si la trae del fodero tutta ignuda. a luna lucea molto chiaro, 	261
250	si que l’am pooit auques veoir par mi le pavillon; 	si che l’uomo potea alquanto vedere per me' l padiglione. 	262
251	et quant li chevaliers voit venir Lancelot l’espee traite, 	PQuando il cavaliere vide venire Lancelotto la spada tratta, 	263
252	si ne l’ose atandre, 	si non l’osa attendere, 	264
253	ainz s’an torne fuiant toz nuz 	anzi si torna fuggendo tutto ignudo 	265
254	et s’en vet vers la forest. 	e si mette inverso la foresta. 	266
255	Et Lanceloz le siut 	eE Lancelotto il seguita tutto ignudo, 	267
256	qui atant nel velt mie laissier ; 	ch’atanto nol vuole mica lasciare: 	268
257	si le chace tant sanz robe 	si lo caccia tanto sanza nulla roba 	269
258	qu’il l’aconsielt, 	che l’agiugne, 	270
259	si le fiert par mi la teste de l’espee 	si gli dona per me la testa della spada	271
260	si qu’il le fant tout dusqu’es danz 	si ch’egli il fende tutto |insin qua a' denti, 	272|273
261	et cil chiet morz a terre. 	e que cade morto a terra. 	274
262	Et Lanceloz revient el pavillon 	E Lancelotto riviene al padiglione 	275
263	et se couche 	e si corica	276
264	et s’andort dusqu’au matin; 	e si dorme insino al mattino, 	277
265	mais molt se sant bleciez del cop 	ma molto si sente brisciato del colpo 	278
266	que cil li ot doné en mi les danz. A l’andemain 	che que' li ebbe donato nel miluogo de denti. |Allo 'ndomane,	279|280
267	quant li oisel enconmancerent a chanter, 	quando l’ugioletti cominciarono a cantare. |si 	281|282
268	si se leva et vesti 	si leva |e vesti, 	283|284
269	et prist ses armes 	e pigliò sue armi 	285
270	et monta en son cheval, 	e monta in su' cavallo. 	286
271	puis se parti de laienz, 	poscia si parti di là entro, 	287
272	qu’il ne sot pas a cele foiz 	ch’eli non seppe passo a quella fiata 	288
273	qui li chevaliers fut 	chi l cavaliere fu	289
274	qu’il ot occis. 	ch’egli avea morto. 	290
275	Quant il est antrez en la forest,	Quand’egli è entrato nella foresta, 	291
276	si encontre IlII. escuiers 	si incontra quattro scudieri 	292
277	qui menoient en destre IIlI. destriers toz blans	che menavano a destra quatro destrieri tutti bianchi 	293
278	et avoit chascuns couvertures blanches; 	e avieno catuno bianche coverture. 	294
279	et aprés venoient dui autre 	Apresso avieno due altri scudieri 	295
280	qui portoient le hernois a J. chevalier, haubert et hiaume et chauces de fer et genoillieres 	che porta vano li arnesi dun cavaliere, asbergo e elmo e calze di ferro e ginochiali 	296
281	et cote a armer de blanc samit; et li autres portoit I. escu blanc comme nois. Il salue les escuiers 	e cotte d’armare di bianco esciamito, |e l’altro portava uno scudo bianco 	297|298
		come neve. 	299
		eElli saluta lo scudieri 	300
282	et lor demande 	e domanda 	301
283	cui cil hernois est. « Sire, font il, a l. chevalier	a cui est quello arnese: Sire, dicon elli, d’un cavaliere 	302
284	qui demain velt estre a J. tornoiement de Il. rois. — 	che domane vuole essere al torniamento di due re. 	303
285|286	Et|conment a il non, cil chevaliers ? fait Lanceloz. — Sire l'an l’apele Galehoudin 	—E come à nome quel cavalier?, dice 	304
287	et fu niés i Galehot, le sire des Lointaingnes Illes. — 	Lancialotto.— Sire, dicono egli, l’uomo l’apella Galeadino: fu figliuolo di Galeotto il signore de-lLontane Isole. |— usGià cui iuta egli?, disse Lancelotto. 	305|306
288	Et a quels aidera il ? fet Lanceloz. — Il aidera au roi de Norgales, 	— Egli aiuta, |dison'egli, al re di Norgales, 	307|308
289	por ce que ses aieux est. — 	per ciò che ces aeux est. |—	309|310
290	Et cil tornoiemenz 	E quel torniamento dove sarà?, disse Lancelotto. 	311
291	ou sera il, biaux frere? — En une praerie par	— Bel sire, disono egli, per una prateria 	312
292	ou vos avez orendroit passé. » 	dove voi avete immantenente passato». 	313
293	Lors les conmande lanceloz a Deu,	Allora glicosmlanda Lancelotto a Dio, 	314
294	si s’em part atant. 	si se ne parte atanto; 	315
295	Et quant il a I. poi alé, 	quando egli à un poco andato,	316
296	si oit a destre sonner une cloche; il s’adrece cele part 	si ode a dextra sonar una campana, |e s’adiriza in quelle parti	317|318
297	et troeve une abaie de nonains. Il descent a l’entree 	e truova una badia di monache bianche. 	319
298	et baille son cheval a garder a J. garçon, 	Egli discende a l’entrata e dà su cavallo a guardar a uno garzone; 	320
299	puis entre el moustier tout armé fors d’iaume et d’escu et de glaive. 	poscia entra nel monisterio tutto armato, fuor di suo elmo e discudo e di 	321
300	Et quant il est laienz entrez,	lancia;e quando egli è là entro entrato, 	322
301|302	si troeve la seror Meleagant, cele |qui l’ot geté de la dolerouse prison 	e' vi truova la sirochia di Meliagante, quella el trasse della dolorosa prigione 	323
303	ou il ot esté mis. Ele resgarde 	dov’egli era stato messo. 	324
304	et avise 	E que' il riguarda e avisa tanto, 	325
305	tant qu’ele quenoist 	e ella il conobbe 	326
306	que ce est Lanceloz, 	che ciò era Lancelotto, 	327
307	mes molt se merveille 	ma molto si maraviga 	328
308	que li bel chevol sont devenu 	che i belli capelli sono divenuti 	329
309	qu’il selt avoir, 	che soleva avere. 	330
310	et panse qu’il ait esté malades.	Si si |pensch’egli è stato malato, 	331|332
311	et que par ce li soient chaoit: 	e che perciò si gli son caduti; 	333
312	si se sueffre de parler a lui dusque aprés vespres. 	si soffera di parlar al llui'nsin apresso messa. 	334
313	Quant li freres ot chanté 	asOuando i frati l’ebono cantata 	335
314	et Lanceloz fu issuz del moustier, la damoisele vet aprés lui 	e Lancelotto fu uscito del mistieri, la damigella venne apresso lui 	336
		e-lli disse: Sire, vo' siate il benvenuto». 	337
		eE	338
		quand’e' la vide, 	339
315	et li dist: « Sire, vos soiez li bien venu ! — Ma douce damoisele, vos soiez la bien venue ! 	si la conobbe, |si le disse: «Mia dolce damigella, vo' siate la benvenuta. 	340|341
316	Comment l’avez vos puis fait 	Come l’avete vo poscia fatto 	342
317|318	que je ne vos vi ? — Sire, fait ele, bien, |Deu merci et la vostre. — 	ch’i' non vo vidi?-Sire, diss’ella, ben, Dio mercé e lla vostra. 	343
319	Et quele aventure vos a amené ça ? — Sire, je ving por i. tornoienent 	— E quale aventura, diss’elli, |vo à qua amenato? 	344|345
		— ire, diss’ella, i' vegno per uno torniamento 	346
320	qui demain sera pres de ci; 	che domane sarà presso di qui, 	347
321	si l’a empris mes sires li rois Baudemaguz contre le roi de Norgales 	si l’à impreso mi padre il re Bando di Maguzo contr’al re di Norgale. 	348
322	mais il en a ja esté vaincuz I. foiz, 	Ma elli n’à già stato una fiata vinto, 	349
323	car trop a gent li rois de Norgales, » 	ché troppo ha gran gente il re di Norgale». 	350
324	Et il dist 	E elli dice 	351
325|326	que|ausi i est il venuz 	ch’altresi era elli venuto 	352
327	por veoir le. « Voire, sire, fet ele, 	per vederlo.|Vere, diss’ella, 	353|354
328	et i irez vos demain? — 	sire, v’andrete voi lo 'ndomane? 	355
329	Oil, fait il, 	— Oil, diss’elli, 	356
330	se je puis. — 	s’i' |posso.—	357|358
331	Dont vos voldroie je prier por Deu et par amors	Dunque vo vore io. diss'ella, pregare per Dio e per amore	359
332	que vos aidissiez as noz. » 	che voi atasti a me»; 	360
333	Et il dist 	ed e le disse 	361
334	que si fera il volentiers de tout son pooir. « Sire, fait ele, C. mile merciz de Deu. 	che si farà elli e volenteri di tutto su' podere. |MeaSire. diss’ella, centomilia mercé di Dio. 	362|363
335	Dont sai je bien 	Dunque so i' bene 	364
336	que li rois de Norgales i perdra le tout 	che l re di Norgale vi perderà tutto 	365
337	et mes peres en avra l’onor. 	e mi' padre n’arà l’onore. 	366
338	Et je vos pri 	E i' vo priego 	367
339	que vos huimais demorez o moi 	che vo' rimagniate oggimai qua entro con esso meco, 	368
340	et demain mouvroiz a aler au tornoiement. 	e domane moveremo ad andare a torniamento; 	369
341	Et vos le devez bien fere, 	e voi il dovete ben fare, 	370
342|343	car se vos orandroit vos esmouviez, |vos ne troveriez meshui nul si bon ostel pres del tornoiement. 	ché se voi oraindiritto vo moveste, vo' non trovereste oggimai si buono stare presso del torniamento.	371
344	Et sachiez 	E sappiate 	372
345	que vos seroiz bien serviz et aaisiez de toutes les choses 	che vo sarete molto ben servito di tutte le cose	373
346|347	que l’an porra. » |Et il dist 	che l’uom potrâ». Elli dice 	374
348	que il remaindra, 	ch’elli rimarà, 	375
349	puis qu’il li plest; 	poscia che le piace, 	376
350	si se fait desarmer maintenant 	si si fa disarmare immantenente. 	377
351	et ele prant I. vallet, 	E ll’uom prende un valetto, 	378
352	si li dist: « Va t’an droit au chastel de la Herpe 	si gli disse: |«Vattene diritto al castello dellArpa 	379|380
353	ou tu trouveras le roi Baudemaguz mon pere; 	ove tu troverai il re Bando di Maguz mi' 	381
354	si li di 	padre:si gli dirai 	382
355	que j’ai çaienz mon signor Lancelot del Lac 	ch’i' ho qua entro monsignor Lancelotto de Lac 	383
356	qui li doit demain aidier au tornoi alement 	che li dee domane atare al torniamento, 	384
