A	B
1083	1020
1084	1021
1085	1022
1086	1023
1087	1024
1088	1025
1089	1026|1027
1090	1028
1091	1029
1092	1030
1093	1031
1094	1032
1095	1033
