A	B
1041	
1042	
1043	
1044|1045	302
1046|1047	303
1048|1049	304
1050|1051	305
1052	
1053	
1054	
1055	
1056	
1057	
1058	
1059	
1060	
1061	
1062	
1063|1064	306
1065	
1066	
1067|1068	307
1069	
1070	
1071	
1072	
1073	
1074	
1075	
1076	
1077	
1078	
1079	
1080	
1081	
1082	
1083	
1084	
1085	
1086	
1087	
1088	
1089	
1090	
1091	
1092	
1093	
1094|1095	308
