micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
Si puis bien. fait il. — 	Si puis bien fist monseigneur yuain 	Si puis fait il. 		si puis bien fet misire. yuains. 	Si puis bien fait il. 		— Si posso bene, disse monsignor Yvanos. 
Or me di, nains, fait Boorz,  et de la cort seztu nouveles ? — 	Or me dictes nayn fist boort scauez uous delacourt nouuelles. 	Or me di nains fait behors  et de la cort ces tu nulles nouelles. 	Or me di nains ce dist bohors et de la cort ses tu nulle nouelle.	OR me di nains fet .bo. et de la court. sez tu nules nouueles.	Or me dy fait il sceis tu nouuelles de la court. 	por estas nuebas 	S.— Or mi di', nano, disse Boordo,  della corte sa' tu nulle novelle? - 
Oïl, fait li nains, li rois a fait mander par toute sa terre 	oy fis til Le roy artus a mande par toute sa terre 	Oil fait il. li rois a mande par tote sa terre	Oil fait il  quar li roys a fait crier par toute sa terre 	oil fet li nains li rois a fet crier par toute sa terre. 	Ouil fait le nain. le roy a fait mander par toute sa terre 		Oil, disse il nano. Il re Artù à fatto mandare per tutta sua terra 
qu’il fera ferir J. tornoiement as huitaves de la Magdelainne es prez desouz Kamaalot;	que il fera faire ung tournoiement huyt iours apres la magdaleine es prez de dessoubz kaamalot 	que il fera faire  .i. tornoiement es pres desous kamaalot as octaues de la magdlainne. 	quil fera ferire vn tornoiement as octaules de la magdalaine es pres desous camaalot. 	que il fera ferir .i. tornoiement as octaues de la madaglaine. es prez de souz camaalot. 	quil fera ung tornoyement ferir es prez soubz camaalot aux octaues apres la magdalene. 		ch’elli farà fedire un torniamento nel prato di sotto Kamalot a l’otava della Madalena: 
si envoie touz ses messages as barons de cest pais  por ce qu’il i soient,  et je meismes le vois nonçant? a touz les prodomes 	et a enuoye tous ses messagiers aux barons de cestuy pays affin  quilz y soient/  Et moy mesmes. le uoiz noncant a tous les cheualiers 	si a enuoiet ses mesaiges as barons de cest pais.  et ie meismes le uois noncent a tous les barons 	Si envoie tous ses messages as barons de cest pais por chou  que il y soient.  Et iou meismes le vois nonchant a tous lez preudommes 	Si a enuoie touz ses messages. as barons de ceste terre.  pour ce  quil i soient  Et ge meismes le uoiz denoncant atouz les cheualiers preudomes 	si enuoye tous ses messages aux barons de ce pays et affin  quil y soyent ie mesmes le uoys donancer a tous les cheualiers 	que me dezides que agora e yo aCabado 	si à mandati tutti suoi messaggi a' baroni di questo paese,  per ciò  che vi sieno. E i'medesimo il vò anunziando a tutti i cavalieri produomini 
que je conois  qu’il i aillent,  car touz li monz i sera. — Diex doint, fait Boorz,  que je aie entre ci et la achevee la besoingne a ceste damoisele, 	que ie congnoiz.  Car tout le mende y sera Dieu doint fist boort  que iaye entre cy et la acheuee la besoingne de ceste domoiselle/ 	que ie quenois.  Or doint diex fait behors  que ie aie escheuee la besongne ceste damoisele entre ci et la 	que iou connois  quil y aillent.  quar moult y aura grant gent.  Diex doinst fet bohors  que iou aie entre ci et la achieuee ma besoigne 	que ge connois.  quil y aillent.  Car touz li mondes i sera.  Diex doinst fet boors.  que iaie entre ci  et la acheue la besoingne a ceste damoisele. 	que ie cognoys  quilz y aillent  car tout le monde y sera. Dieu doint fait boort  que iaye entre cy et la acheuer la besoigne de la damoisele. 	e dime tu enano  dixo bores 	ch’i' posso conoscere  che vi vadano,  ché tutto il mondo vi sarà.  — Dio doni, disse Boordo,  ch’io abia intra qui e là accivita la bisogna di questa damigella, 
car molt avroie grant joie, se g’i pooie venir a tans. » Longuement ont parlé ensemble  tant que Boorz dist a mon signor Yvain: « Sire, je vos conmanderai a Dieu  et m’an irai,  qu’il le me couvient faire,  car je me hasteroie volentiers de ma besoingne mestre a fin  por savoir 	car moult auroye grant ioye  se ie y pouoye uenir a temps Longuement ont parle ensemble/  tant que boort dist a monseigneur yuain Sire ie uous commanderay a dieu/  et ainsi le me conuient faire/  car ie me hasteroye moult uoulentiers de ma besoingne mettre affin/  pour scauoir 	que mout auroie grant ioie ce ie i pooie uenir. LOnguement ont parle ensanble.  tant que behors dit a monsignor .y. Sire ie uos comant a dieu  et men irai  car il le me couient a faire.  Car ie me hasteroie uolentiers  por ma besongne acheuer  por sauoir 	quar moult auroie grant ioie se iou pooie uenir a tamps au tornoiement. Longement ont parle ensamble. Tant que bohors dist a monseignor ywain. Sire iou vous commanch a dieu  si men irai  quar iou me hasteroie volentiers de ma besoigne metre a fin.  pour sauoir 	Car ml̃t auroie grant ioie  se gi pooie uenir a temps. Longuement ont parle ensemble.  tant que boors dist a monseignor .y. Sire : ge uous commanderai a dieu.  et men yrai.  car il le me couient a fere  Car ge me hasteroie uolenters de metre ma besoigne a fin.  pour sauoir 	car moult auroye grant ioye  si ie y pouoye uenir a temps. Longuement ont parle ie uous commande a dieu ie men yray  car il le me conuient faire. ensemble  tant que boort dist a messire yuain. Sire  et si me hasteroye uoulentiers de mectre ma besoigne  afin pour sauoit 	sabes algunas nuebas dela Corte  si dixo el  que el Rey mando pregonar vn torneo  para otro dia despues de sancta maria magdalena 	ché molto avrei grande gioia  s’i' vi potesse venire a tempos. Lungamente ànno parlato insieme,  e tanto che Boordo disse a monsignor  Yvano:eSire, i' vo comanderò a Dio  e me n’andrò,  ch’elli mi conviene a-ffare,  ch’i' mi studierei volentieri di mia bisogna mettere a-ffine per sapere 
se je porroie venir au tornoiement a tans: 	se ie pourroye uenir a temps au tournoyement. 	por sauoir ce porroie a tans uenir a ce tornoiement. 	se iou porroie uenir a tamps au tornoiement 	se ie porroie uenir a tens au tornoiement. 	si ie pourroye estre a temps au tornoyement. 		s’io potessi essere a tempo al torniamento: 
car je sai bien  que mes sires i sera,  se Diex le deffent de mort et de prison 	Car ie scay bien  que monseigneur Lancelot y sera  se dieu le deffent de mort et de prisen. 	Car ie sai bien  que messires i cera  se diex le desfant de mort ou de prison. 	quar iou sai bien  que me sires y sera  se dieu plaist  et le desfende de mort et de prison. 	quar ge sai bien.  que messires i sera  se diex le desfent de mort. et de prison. 	car ie scay bien  que mon sire sera si dieu le deffent de mort et de prison 	y a de ser enlos prados de Camalot  y yo bo alo dezir a todos los Caualleros 	ch’i' so bene  che monsignor Lancelotto vi sarà,  se Dio il difende di morte e di pregione, 
et por lui veoir i voil je estre. — Sire, fait mes sire Vvain,  puis que vos en volez aler, je vos commanderai a Jhesu Crist 	Et pour laller ueoir y uueil ie estre. Sire fist menseigneur yuain  puis que uous uous en uoullez aller ie uous commanderay a iesucrist 	por ce i uoroie ie estre. Sire fait messires .y. ie uos comant a dieu. 	Et pour lui ueoir y vol iou estre. Sire fait  dont mesire ywains.  puis que vous en voles aler. iou Vous commanc a dieu 	et pour lui ueoir il uoil ge estre. Sire fet misire .y.  puis que uous en uolez aler.  ge uous commanderai a ihun crist. 	Et ie uueil estre pour le ueoir. Sire fait messire yuain  puis que uous en uoulez aller ie uous commanderay a ihesucrist 	y omes buenos 	e per lui vedere vi voglio essere.  —- Sire, disse monsignor Yvano.  poscia che vo' vo ne volete andare,  i' vo comanderò a Geso Cristo 
qui vos contajduie en quel que leu  que vos ailliez. » 	qui uous conduise en quelque lieu  que uous ailliez. 		qui vous conseut en quel lieu  que vous aillies. 	qui uous conduie en quel lieu  que uous ailliez. 	quil uous conduye en quel que lieu  que uous aillez 	que fallare 	che vo conduca in qualche luogo  che vo' andiate». 
Et il s’em part maintenant o la damoisele  por cui il est de cort partiz.  Et mes sire Yvain remest si navrez	Si se partit auec la damoiselle  qu il auoit amenee de la court auec lui  Et monseigneur yuain demeura la sy naure	et il sen ua entre lui et la damoisele.  et messires y remest si naures 	Et Rors sen part bohors entre lui et la damoisele  pour qui il sestoit de cort partis.  et mesire ywains remest illuec 	Et il sen part maintenant o la damoisele.  pour qui il est de court partiz.  Et misire .y. remest si naurez et plaiez	Et il sem part adonc  et sen uait o la domoisele  pour qui il sestoit party de court.  et messire yuain  qui demeure si naure 	si me ayude dios dixo bores yo ay sere  y ansi fablaron vna gran pieza  fastaque dixo bores a don yban 	“E si parte immantanente con esso la damigella  per cui elli era di corte partito.  E monsignor Yvano rimase si piagato e si naverato 
qu’il avoit bien mestier de mire, 	quil auoit bien mestier de mire. 	quil auoit bien mestier de mire. 	qui bien auoit mestier de mire 	quil auoit bien mestier de mire. 	quil auoit bien mestier de mire 	a dios vos encomiendo 	ch’elli avea ben mistieri di medico, 
car il avoit assez perdu del sanc; 	Sy se reposa lui/ 		quar il auoit asses perdu de sanc. 	Car molt auoit perdu del sanc.	car il auoit assez perdu de sang. 	ca yo bo conesta donzella 	ché molto avea perduto del sangue. 
si se repose entre lui et le nain dusque vers none; et quant li chauz fu remez  et li solauz fu abaissiez,  si monta mes sire Vvain sor son cheval 	et le nayn iusques uers nonne.  Et puis quant le chault fut passe  et le souleil fut abaissie/ il monta sus son cheual/ 	et se repose entre lui et le nain iuqua none.  Et quant li solaus fu abaissiez  si monte messires .y. 	si se reposerent entre lui et le nain iusques enuers nonne.  Et quant li caus fu remes  et li solaus abaissies  si monte mesire ywains sour son cheual 	si se repose entre lui et le naim. iusques uers nonne.  Et quant li chauz fu remes  et le soleil fu abessiez  Si monta misire. yuains en son cheual. 	si se repouse luy et le nain iucqua nonne.  Et quant le souleil fut abaisse monta messire yuain sur son cheual 	con quien sali dela Corte y saued que el acaba todo lo  porque Conella salio dela corte 	Si si riposa intra-llui e l nano insin qua inverso nona.  Quando il caldo fu rimaso  e l sole fu abassato,  si monta monsignor Yvano in su' cavallo: 
et s’en ala le petit pas tant  qu’il vindrent a I. blanche abaie de nonains. Il descent	et puis si sen alla tout le petit pas  tant  quil uint a une abapye de blanches nonnains.  Alors descendit a terre/ 	et sen ua tot le pas tant quil uient a une abeie de nonains. 	et se mist au chemin le petit pas  tant quil sen viennent entre lui et le nain a vne blanche abbaye de nonnains.  si descent 	et sen ala le petit pas.  tant que il uient a une abaye de blanches nonnains Il descent 	et sen alla le petit pas tant  qu il uint a une blanche abaye de nonnains. Il descent 	y a todo dio çima 	ei se ne va il piccol passo  tanto che viene a una abadia di bianche monache. Elli discende 
et demande l’ostel,  et li sergent li saillent a l’encontre, 	et demanda logis/ et les uarles de leans lui uindrent a lencontre pour ce 	Si demande lostel. et li sergent de laiens saillent auant 	et lez dames de lostel  et li sergant li saillent a lencontre 	et demande lostel  Et li seriant. li saillent a lencontre 	et demande loustel et les sergens de leans saillent a lencontre 	y torno al torneo al plazo çierto 	e domanda l’ostello,  e'sergenti li salgono a lo ncontro 
por ce que malades lor samble,  si le desarment au plus doucement 	que malade leur sembloit  Si se desarmerent au plus doulcement 	por ce que cheualiers malades lor sanble.  Si le desarment au plus soef 	pour ce que malades lor samble  si le desarment au plus doucement 	por ce que malades lor semble.  si le desarment au plus doucement 	par ce qu il leur semble malade.  si le desarment au plus doucement 	y don yban finco mal llagado envn monesterio de dueñas 	per ciò che malato lor sembia.  eSi l disarmano al più dolcemente 
que il pueent  et le mestent couchier en une chambre 	quilz peurent  et le misdrent couchier en une chambre 	quil puent  et le mainnent couchier an une chambre. 	quil pueent et le metent couchier en vne cambre 	que il pueent et le metent coucher en une chambre. 	quilz peuent et le mectent coucher en une chambre 	fastaque fue guarido 	ch’elli possono  e 'l menano a coricare in una camera, 
et li font garder ses plaies a une des damoiseles de laienz 	et lui firent regarder ses playes par une des dames de leans/ 	et li font regarder ses plaies a une dame 	et font regarder ses plaies a vne dez dames fo de laiens 	et li font regarder ses plaies a une des dames de laienz 	et luy font regarder ses playes a une damoisele de leans 		e lli fanno riguardare sue piaghe a una delle dame di là entro 
qui assez savoit de cel mestier.  Et quant ele les a veues, 	qui assez scauoint de tel mestier.  Et quant elle le ueit/ 	qui asses sauoit de tel mestier.  et com ele le uit	qui asses sauoit del mestier. Cuant la dame  ot ueues lez plaies ywain.  et elle lez ot bien regardees.  O 	qui assez sauoit de tel mestier.  Et quant ele les a ueues. 	qui assez sauoit du mestier.  Et quant elle les a ueues 	e desque fue guarido partiose dende 	ch’assai sapea di tal mistieri.  E quando ella l’à ben proveduto, 
si dist  qu’il n’a garde de mort, 	si dist  quil nauoit garde de mourir. 	si dit  quil na garde de morir. 	si dist sire or ne vous esmaies mie  quar vous naues garde de mort 	si dit  quil na garde de 	si dit  quil na garde de mort et	e andubo tanto 	si gli disse  che non à guardia di morire, 
car ele le cuide randre sain et antier dedenz XV. jorz.  Si remest ainsi laienz 	Car elle le cuide rendre sain et haittie dedens. xu. iours/  ainsi demeura leans monseigneur yuain 	et quele le randra tout sain dedens .xu. Iors et porra cheuauchier. 	et que elle le renderoit tout sain ains vn mois. 	morir.Car ele le quide rendre sainz et hetiez dedenz .xu.  iours.Si remest einssi misire .y. laienz 	quelle le ciude rendre sain et haitie dedans xu. iours.  Si demoura ainsi 	fasta que topo vna vieja envn Rozin magro 	ch’ella il crede rendere sano e atato di dentro xv. giorni.  Si rimase insi là entro monsignor Yvano 
tant qu’il fu auques gueriz des plaies  que mes sire Boorz li avoit faites. 	tant quil fut presque gary des playes  que boort lui auoit faictez 	Ensi remest messires .y. .xu. Iors tant que il fu garis 	si remest mesire ywain laiens 	tant quil fu auques gariz des plaies que. bo. li auoit fetes. 	tant quil fu guery des playes  que boort luy auoit faictes		tanto ch’elli fu alquanto guarito delle piaghe  che Boordo li avea fatte. 
Quant il fu auques gariz,  si se part de laienz  et commande les dames a Deu, car molt l’avoient servi en sa maladie.  Quant mes sire Yvain se fu partiz de laienz, »  si chevaucha toute la semainne ainsi 	Puis apres quant il fut sain  quil peult bien cheuauchier il se partit de leans/  et commanda les dames a dieu/  Car moult lauoient bien seruy en sa maladie.  Quant menseigneur yuain fut parti de leans.  Si cheuaucha toute la semeine 	et quant il fu garis et haitiez  si comanda les dames de laiens a dieu.  quant il fu partis de laiens  si cheuaucha tote la matinee 	tant quil fu auques garis.  Si sen part de laiens  et commanda lez dames a dieu Et cheualcha toute la semaine entiere 	Et quant il fu auques sainz.  que il pot cheuaucher  si se parti de laienz.  et commanda les dames a dieu.  Car molt lauoient bien serui en sa maladie.  QUant. misire. yuains  se fu partiz de laienz  si cheuaucha toute la semaine. einssi	Quant il fu aucques guery  si se part de leans  et commande les dames a dieu  car bien lauoient seruy  que sa maladie.  Quant messire yuain  se fu party de leans  si cheuaucha toute la sepmnaine	E traia vn enano a pie e tirauale delos cauellos  e dauale muy grandes palmadas  y el venia diziendo valame sancta maria 	Quando elli fu alquanto sano  e che poté cavalcare,  si si parti di là entro  e comanda le dame a Dio,  ché molto l’avieno ben servito in sua malattia.  Quando monsignor Yvano si fu partito di là entro, si cavalca tutta la settimana 
comme aventure le menoit tant 	sicom̃e auenture le menoit/  et	si comme auanture le mainne. 	si comme auenture le menoit.  tant	comme auenture le menoit. 	comme auanture le menoit. 		insi come aventura il mena, 
qu’il vint a unes broces. 	tant quil arriua en une lande. 	Tant quil uint a lantree dunes broses. 	quil vint en vne broces. 	tant quil uint a unes bronces. 	tant quil uint a unes broces. 		tanto ch’elli venne in un bosco. 
Lors resgarda devant lui el chemin  et voit une vielle sor J. povre roncin  qui traine encoste de lui I. nain tout a pié par les chevox que il ot granz, 	Lors regarda deuant luy  si ueit une grant uielle sur ung poure roncin  qui traineoit auec soy ung nain par les cheueulx tout criant et a pie. 	et lors regarde uant soi  et uoit une uielle sor .i. poure roncin.  qui trainoit .i. nain par les cheueus.  et li nains estoit petis et noirs et de chief chenus 	Lors regarda deuant lui el chemin et voit vne vielle sor vn poure roncin  qui trainoit dencoste li vn nain tout a pie par lez cheueus  quil auoit grans. 	Lors regarde deuant lui el chemin.  et uoit une grant uieille sus .i. poure roncin.  qui traynoit encoste de soi .i. naim. tout a pie. par les cheueuls.  et il ot grant barbe. 	Lors regarda deuant luy ou chemin  et uoit une uielle sur ung poure roucin qui trayne apres luy ung nain tout a pie par les cheueux quil a grans. 	y don yban fue aella 	Allor riguarda davanti lui nel camino  e vide una gran vecchia, suso un povero ronzino,  che tranava in costa sé unano, tutto a piè, per li capelli,  e elli ebbe gran barba,
si le vait batant des poinz par mi les joes,  et il vait criant: « Aide, aide!»  Et mes sire Yvain se haste de tost aler  por secorre le nain,  si dist a la vielle,  quant il l’a atainte: »  Ha, dame, por Dieu, laissiez le nain,  que je vos pri  que vos le laissiez. —	Et le batoit parmi les ioues  Et il alloit criant aide aide.  Et messire yuain si se haste de tost aller  pour secourir le nayn  Et luy auiue la.  Ha ha dist dame  pour dieu laissiez le nayn si ferez courtoisie.  Et en le regardant uit  que cestoit ung cheualier si dist  que pour lui ne le laira elle mie. 	et cele le ua batant parmi les yex et parmi le nes  et cil crie aide  et messires .y.  se haste de lui secorre.  et dit a la uielle dame laissiez le nain si feres cortoisie.  et ele dit  que por lui ne le laira ele mie Dame ie uos pri fait il  que uos le laissiez.	si le uait batant des Ipgaocl poins parmi les iex . et li nains uait criant aide aide  et mesires ywain se haste daler pour Secorre le nain.  Si dist a la vielle  quant il lot atainte ha dame laissies le nain  si feres que cortoise.  Et elle se regarde et voit  que cest vns cheualiers.  Si li dist  que pour luj ne le lairoit elle mie. Dame fet il ie voel  que vous pour moi le laissies. 	si le uet batant des poinz parmi les ioes.  et il uait criant aide aide.  Et misire .y. se haste de tost aler pour secorre le naim.  Si dit a la uieille  quant il la atainte.  Ha: dame  por dieu lessiez le naim.  si ferez cortoisie.  Et ele se regarde  et uoit  que ce est .i. cheualier. 	si le uait batant des poings par les ioues. et il crie aide aide.  et messire yuain se haste de tost aller pour secourre. le nain.  car il len prie  si ferez bien et courtoisie.  et elle le regarde  si uoit  que cest ung cheualier. si luy dit  que pour lie ne le lerra il pas.  haa dame  si fere pour dieu laissez le nain  et ferez courtoisie. 	e dixo ayais cortesia bieja  si vos fiziesedes lo que yo vos mandare  dixo la vieja  yo faria del enano 	“i l va la vecchia battendo di spine  per me li ochi, ed e' va gridando: «Aiuta! Aiuta!».  vMonsignor Yvano  si studia di tosto andare per socorere il nano,  si disse alla vecchia,  quand’e l’agiugne: Hal, dama, per Dio, lasciate il nano,  si farete cortesia». Ella si riguarda  e vide  che ciò è un cavaliere,  si disse  che per lui non lascerà ella mica. 
							Hal, dama, fé elli, i' vo priego, per Dio, 
Se vos por moi, fait ele, voliez faire ce  que je vos requerroie, je feroie por vos ce  que vos me requerriez de cest nain. — Je ferai por vos ce  que je porrai faire, fait mes sire Yvain,  si le quitez. — Le me creantez vos, fait ele, comme loiax chevaliers ? —  OIl, fet il. »  Et ele le laisse maintenant,  puis li dist 	Ha a dame ie uous prie par amours  que uous le laissez.  se uous uoulez faire pour moy aucune chose/  et ie feray apres du nayn a uostre plaisir. Le me prometez uous ainsi dist elle comme loyal cheualier oy fist il.  Et a lors le laissa aller  puis dist au cheualier 	Ce uos uoliez faire fait  ele ce  que ie uos requerrore ie feroi ce  que uos me requeres. Iel ferai fait il cutes le nain.  dites le uos fait ele loiaument.  et il dit oil et ele le laisse.  et ele li dit 	Se vous fet elle volies fere pour moi ce  que iou vous requerroie. iou len lairoie aler.  Lors li respont mesire ywain.  et li dist Dame  fet il iou ferai pour vous tout ce 	Si li dit  que pour lui ne le lera ele mie.  Ha: dame: fet il. Ie uous pri par amors que uous le lessiez.  se uous pour moi uoliez fere ce  que ge uous requerroie.  Ge feroie pour uus ce  que uus me requerez de cest naim  se uous uoulez fere ce  que ge uus requerrai Ge ferai pour uous. ce  que ie porrai fet misire .y.  si le quitiez. le me creantez uous fet ele comme loiaux cheualiers.  oil fet il :  Et ele le lesse maintenant.  et puis li dit quil ost son hialme de sa teste.  Et il li demande pour quoi.  pour ce fet ele 	Si uous uoulez fait elle faire pour moy ce  que ie uous requerray. ie firar pour uous ce  que uous me requerez.  Dame ie feray pour uous ce  que ie pourray faire dist messire yuain.  Le me creancer uous fait elle comme loyal cheualier.  ouil fait il.  et elle le laisse maintenant  puis luy dist 	lo que vos quisieredes  pues plazeme dixo don yban  Pues tirad vuestro yelmo dixo ella  y el lo tiro y ella dixo luego al enano 	che vo' lasciate.  — e vo per me, diss’ella, volete fare ciò  ch’i' vo richiederò,  i' farei per voi ciò che voi mi richiedete di questo nano.  —eE io, i' farei per voi ciò  ch’iopotessi, disse monsignor Yvano,  se vo' l chetate.  — Digiuratelmel voi, diss’ ella, come liale cavaliere.  — Oil, diss’egli».  E ella el lascia immantanente;  poscia li disse 
				que ge uous ueul ueoir apertement. 			
qu’il oste son hiaume de sa teste  et ele le voit bel chevalier et bien fait de vis fors tant seulement 	quil ostast sen heaulme de sa teste  et il luy demanda pour quoy.  Pour ce fist elle  que ie uous uueil ueoir appertement. Adonc osta son heaulme de sa teste  si le uit beau cheualier/ et plaisant de uisage fors tant seullement 	quil ot son hiaume de sa teste.  et il si fait.  et ele le regarde 	que iou porrai  se vous le quites. 	Et il oste son hialme de sa teste  et ele le uoit biau cheualier.  et molt bien fet de uis. fors tant seulement. 	quil oste son heaume de sa teste.  et elle le uoit beau cheualier et bien fait de uis. fors tant 	e paro mientes ael ca era muy fermoso 	che traesse suo elmo di sua testa, e ella el vide bel cavaliere e molto ben fatto del viso, forse tanto solamente 
