A	B
1016	1074
1017	1075
1018	1076|1077
1019	1078
1020	1079
1021	1080
1022	1081
1023	1082
1024|1025	1083
1026	1084|1085
1027	1086
1028	1087
1029	1088|1089
1030	1090
1031	1091
1032	1092
1033	1093|1094
1034	1095
1035	1096
1036	1097|1098
1037	1099|1100
1038	1101
1039|1040	1102
1041	1103|1104
1042	1105
1043	1106
1044	1107
1045	1108
1046	1109
1047|1048	1110
1049	1111
1050	1112
1051	1113
1052	1114
1053	1115
1054	1116
1055	1117
1056	1118
1057	1119
1058	1120
1059	1121
1060	1122
1061	1123
1062	1124
1063	1125|1126
1064	1127
1065	
1066	1128
1067|1068	1129
1069	1130|1131
1070	1132
1071	1133
1072	1134
1073|1074	1135
1075	1136
1076	1137|1138
1077	1139
1078|1079	1140
1080	1141
1081|1082	1142
1083	
1084|1085	1143
1086	1144
1087|1088	1145
1089	1146
1090	1147
1091	1148
1092	1149
1093	1150
1094	1151
1095	1152
1096	1153
1097	1154
1098	1155
1099	1156|1157
1100	1158
1101	1159
1102	1160
1103	1161
1104	1162
1105	1163
1106	1164
1107	1165
1108|1109	1166
1110	1167
1111	1168
1112	1169
1113	1170
1114	1171
1115	1172
1116	1173
1117	1174
1118	1175
1119	1176
1120	1177
1121	1178|1179
1122	1180
1123	1181
1124	1182
1125	1183
1126	1184
1127	1185
1128	1186
1129	1187
1130	1188
1131	1189
1132	1190
1133	1191
1134	1192|1193
1135	1194
1136	1195
1137	1196
1138	1197
1139	1198
1140	1199
1141	1200|1201
1142	1202|1203
1143	1204
1144	1205
1145	1206
1146	1207
1147	1208
1148	1209|1210
1149|1150	1211
1151	1212
1152	1213
1153	1214
1154	1215
1155	1216
1156	1217
1157	1218
1158	1219
1159	1220
1160	1221
1161	1222
1162	1223
1163|1164	1224
1165	1225|1226
1166	1227
1167	1228
1168	1229
1169	1230
1170	1231
1171	1232
1172	1233
1173	1234
1174	1235
1175	1236|1237
1176	1238
1177	1239
1178	1240
1179|1180	1241
1181	1242
1182	1243
1183	1244
1184	1245
1185	1246
1186	1247
1187	1248
1188	1249
1189	1250
1190	1251
1191	1252
1192	1253
	1254
1193	1255|1256
1194	1257
1195	1258
1196	1259|1260
1197	1261
1198	1262
1199	1263
1200	1264
1201	1265|1266
	1267
1202	1268
1203	1269
1204	1270
1205	1271
1206	1272
1207	1273
1208	1274|1275
1209	1276
1210	1277
1211	1278
1212|1213	1279
1214|1215	1280
1216	1281
1217	1282
1218	1283
1219	1284
1220	1285
1221	1286
1222	1287|1288
1223	1289|1290
1224	1291
1225	1292
1226	1293
1227	1294
1228	1295
1229	1296
1230	1297
1231	1298
1232	1299
1233	1300|1301
1234	1302
1235	1303
1236	1304
1237	1305
1238	1306
1239	1307
1240	1308
1241	1309
1242	1310
1243	1311
1244	1312
1245|1246	1313
1247	1314
1248	1315|1316
1249	1317
1250	1318|1319
1251|1252	1320
1253	1321
1254	1322
1255	1323
1256	1324
1257	1325
1258	1326
1259	1327
1260	1328
1261	1329
1262	1330
1263	1331
1264	1332
1265	1333
1266	1334
1267	1335
1268	1336
1269	1337
1270	1338
1271	1339
1272	1340
1273	1341
1274	1342
1275	1343
1276	1344
	1345
	1346
	1347
1277	1348
1278|1279	1349
1280	1350
1281	1351
1282	1352|1353
1283	1354
1284	1355|1356
1285	1357
1286	1358|1359
1287	1360
1288	1361
1289	1362|1363
1290	1364
1291	1365
1292	1366|1367
1293	1368
1294	1369
1295	1370
1296	1371
1297	1372
1298|1299	1373
1300	1374
1301	1375|1376
1302	1377
1303	1378
1304	1379
1305	1380
1306	1381
1307	1382
1308	1383
1309	1384
1310	1385
1311|1312	1386
1313	1387
1314	1388|1389
1315	1390
1316	1391
1317	1392
1318	1393
1319	1394
1320	1395|1396
1321	1397
1322	1398
1323	1399
1324|1325	1400
1326	1401
1327	1402
1328	1403
1329|1330	1404
1331|1332	1405
1333	1406
1334	1407
1335	1408
1336	1409
1337	1410
1338	1411
1339	1412
1340	1413
1341	1414
1342	1415
1343	1416
1344	1417
1345	1418
1346	1419
1347	1420
1348	1421
1349	1422
1350	1423
1351	1424
1352	1425|1426
1353	1427|1428
1354	1429
1355|1356	1430
1357	1431
1358	1432
1359	1433
1360	1434
1361	1435
1362|1363	1436
1364	1437
1365	1438
1366	1439
1367	1440
1368	1441
1369	1442
1370	1443
1371|1372	1444
1373	
1374	1445
1375	1446
1376	1447
1377	1448
1378	1449
1379	1450
1380	1451
1381	1452
1382	1453
1383	1454
1384	1455
1385	1456
1386	1457
1387	1458
1388	1459
1389	1460
1390	1461
1391|1392	1462
1393	1463
1394	1464
1395	1465
1396	1466
1397	1467
1398	1468
1399	1469
1400	1470
1401	1471
1402	1472
1403	1473
1404	1474
1405	1475
1406|1407	1476
1408	1477
1409	1478
1410	1479
1411	1480
1412	1481
1413	1482
1414	1483
1415	1484|1485
1416	1486
1417	1487
1418	1488
1419	1489
1420	1490
1421	1491
1422|1423	1492
1424	1493
1425	1494
1426	1495
1427	1496
1428	1497
1429	1498
1430	1499|1500
1431	1501
1432	1502
1433	1503
1434	1504
1435	1505
1436	1506
1437	1507
1438	1508
1439	1509
1440	1510
1441	1511
1442	1512
1443	1513
1444	1514
1445	1515
1446	1516
1447	1517
1448	1518
1449	1519
1450	1520
1451	1521
1452	1522
1453	1523
1454	1524
1455	1525|1526
1456	1527
1457	1528
1458	1529|1530
1459	1531
1460	1532|1533
1461	1534
1462	1535
1463	1536|1537
1464	1538
1465	1539
1466	1540|1541
1467	1542|1543
1468	1544
1469	1545|1546
1470	1547
1471	1548
1472	1549
1473	1550
1474	1551
1475	1552
1476	1553|1554
	1555
1477	1556
1478	1557|1558
1479	1559
1480	1560
1481	1561
1482	1562
1483	1563
1484	1564
1485	1565
1486	1566
1487|1488	1567
1489	1568
1490	1569
1491	1570
1492	1571
1493	1572
1494	1573
1495|1496	1574
1497	1575
1498	1576|1577
1499	1578
1500|1501	1579
1502	1580
1503	1581
1504	1582
1505	1583
1506	1584
1507|1508	1585
1509|1510	1586
1511	1587
1512	1588
1513	1589
1514	1590
1515|1516	1591
1517	1592
1518	1593
1519|1520	1594
1521	1595
1522|1523	1596
1524	1597
1525	1598
1526	1599
1527	1600
1528	1601|1602
1529|1530	1603
1531	1604
1532	1605
1533	1606
1534	1607
1535	1608
1536	1609
1537	1610
1538	1611
1539	1612
1540	1613
1541	1614
1542	1615|1616
1543	1617
1544	1618
1545	1619
1546	1620
1547	1621
1548	1622
