0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
28|29	mais il n’en trueve point |et quant il voit 	mais il nen i trurue point : 	31
30	qu’il n’i passera, 		
31|32	si ne set |que fere, 	si ne sot que faire 	32
33	que retorner ne voldroit il mie. 	car retorner ne wet il mie 	33
34	Atant voit issir del chastel une damoisele 	atant uoit issir une damoisele dou chastel 	34
35	qui ert tote nue en sa chemise,	qui estoit tote nue en sa chemisse 	35
36	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	36
37	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	37
38	et ele crioit 	et ele crioit 	38
39|40	quanque ele pooit crier |por els 	quantque le pooit crier. por ciax 	39
41	qui li faisoient tel honte et tel laidure 	qui li fasoient tele honte. et tel laidure 	40
42|43	qu’il la venoient batant tot contreval la riviere. |Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	que il la menoient batant tout contrtual la riuiere t quant la damoisele uoit le cheualier dautre part la riuiere. 	41
44	si commence a crier: « 	si li comance a crier.	42
45	Ha, gentilz chevaliers, secorés ceste damoisele 	ha: gentis cheualiers secores ceste damoisele 	43
46	que cist ribaut vuelent ocirre. 	que ciz ribaut wellet ocire. 	44
47|48	Ha, frans hom, |ne m’i laissiés morir, 	ha; frans hons ne mi laissiez morir 	45
49	se vos onques eustes pitié de nule gentil damoisele !» 	se uos eutes onques pitie de franche damosele. 	46
50	Quant Boors ot ce 	quant boh̾. oit cele 	47
51|52	qu’ele li prie |si pitousement 	que si piteusement lapele et li prie 	48
53	qu'il la secore, 	quil la sekeure. Sire set 	49
54	si ne set que fere, 	que faire. 	50
55	kar volentiers li aidast 	car uolentiers li alait aidier 	51
56	s’il peust; 	se il poist. 	52
57|58	mais il voit l’eve noire et parfonde |et si perilluse 	Mais il uoit leue si parfonde et si perilleuse 	53
59	qu’il cuide bien noier, 	que il cuide bien perir 	54
60	s’il se met dedens; 	se il se met dedans. 	55
61	et d'autre part il voit cele 	et dautre part il uoit cele 	56
62	qui si durement crie merci; 	qui si docemet li prie nc .ci.	57
63	si l'em prent tels pitiés 	Si len prent tes pitiez 	58
64	qu’il en laisse totes poors 	quil en laisse totes paours. 	59
65	et fet le signe de la crois en mi son vis, 	Si fait le signe de la crois enmi son uis. 	60
66	puis enbrace l’escu 	puis enbrace lescu. 	61
67	et broche le cheval des esperons 	et broche le cheual des esperons 	62
68	et se fiert en l’eve. 	et se fiert en leue tot errantment.	63
69	Et li chevals fu fors,	Et li cheuaus fu fors 	64
70	si commence a noer 	si comance a noer 	65
71	si tost com il ot terre perdue, 	si tost com il ot terre perdue 	66
72	si l’enporte d’autre part de la rive a quelque paine, 	si lenporte dautͤ part la riue a quelque painne. 	67
73	mais ançois ot beu de l’eve li uns et li autre, 		
74	et se li chevals ne fust si buens, 		
75	noié fuissent ambedui, 		
76	kar li chevaliers estoit pesans por les armes 		
77	qu’il avoit vestues. 		
78	Quant il fu de l’autre part de l’eve, 		
79|80	si ne descendi pas, |ains cort vers cels 	Si ne descendi pas ains cort uers ciax 	68
81	qui la damoisele tenoient 	qui la damoisele renoient 	69
82	et fiert si le premier 		
83	qu’il aconsieut 	que il consieut 	70
84	qu’il li met le glaive par mi le cors, 	quil li met le glaiue parmi le cors	71
85	si l’abat a terre, 	si labat mort aterre. 	72
86	et li autre s’enfuient erraument 	et li autre sen fuient porre 	73
87	por ce que desarmé estoient. 	qu il estoient desarme. 	74
88	Et la damoisele	et la damaisele 	75
89	qui delivree se voit se met a genols devant Boort 		
90|91	et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. 	76
92	quant vos m’avés de mort rescosse, 	quant uos mauez de mort rescoce. 	77
93	et aorés en soit Diex, 	et aoures soit diex 	78
94	quant il ceste part vos amena, 	quant ils amena ceste part. 	79
95	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	Car cil gloton meussent ia morte 	80
96	por quoi ? — Sire fet ele, jel vos dirai bien, 	ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. 	81
97|98	mais|que vos m’aiés mise a sauveté. — 	mais que uos maiez misse a Sauuete. 	82
99	Coment ? fet il. Avés vos dont garde ? — 	Coument fait il auez uos dont garde. 	83
100	Certes, fet ele, ja asseur ne seraî fant 	Certes sire faic ele ia a seur ne sera 	84
101	com je sache laiens le seignor del chastel, 	tant com ie saiche laiens le signeur de cest chastel. 	85
102	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	Car cest li plus fel cheualiers dou monde et li plus traites. a ces paroles uoit issir un cheualier del chastel. 	86
103	et la ou il vit Boort, 	et la ou il uoit behort 	87
104	si li escrie : « Laissiés, dans chevaliers, la damoisele	si li est terre. Laissiez dans cheualiers la damoisele 	88
105	que vos n’enmenrois mie! 	que uos nen meneroie 	89
106	Par mon chief, mar le rescosistes!» 	et par mon chief mar la rescousites. 	90
107	Si li cort 	Si li acort 	91
108	quanqu’il puet le glaive alongié; 	quanquil puet le glaiue alongnre. 	92
109	et Boors retrait son glaîve a lui del cors a celui 	et behors retrait son glaiue del cors au ribaut 	93
110	qu’il avoit ocis; 	que il auoit ocis. 	94
111	si laisse le cheval corre 	Si li laisse le cheual.	95
112	et le fiert si tres durement 	et le fiert si durement 	96
113	qu’il l’abat a terre si estordi 	quil labat a terre si estordi 	97
114	qu’il n’a pooir de relever, 	que cil na pooir de releuer. 	98
115	ains gist pasmés, 	Ains fu pasmes. 	99
116	kar il chai si felenessement 	Car il fu cheus si uilainnement 	100
117|118	qu’a poi que la canole del col n'avoit brisee. |Et Boors li vet a cheval 	qua pou quil not la chenole dou col bͥsie. et behors li ua a cheual par desus le cors. 	101
119	par desus le cors tant que tot le debrise. 	tant que tout le debrisse. 	102
120	Et lors est la damoisele si liee 	et lors est la damoisele si lie 	103
121	qu’ele ne puet plus 	que ele ne puet plus. 	104
122	et dist a Boort : « Sire, nos n’avons mes garde,	et dit a beh̾. Sire fait |ele nous nauons 	105|106
		mais garde ce cuige. 	107
123	kar je ne cuit 	Car ie ne cuit 	108
124|125	qu’il eust plus de chevaliers çaiens |que cestui;	quil ait mais cheualier laiens plus que cestui. 	109
126	si vos dirai ore seurement ce 	Si uus dirai ore seurement ce 	110
127	que vos me demandastes n’a encor gaires. — 	que uos me demandates na gaires. 	111
128	Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	Dites dont damoisele fait il. |SIre fait ele par foi entre moi et .i. cheualier 	112|113
129	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mes amis estoit. cheuauchiens hui matin parmi cest chastelet illuec. 	114
130	et quant li freres a celui 	et quant li freres a celui 	115
131	que vos avés abatu me vit, 	que uos aues ore abatu: me uit. 	116
132	si me volt a force prendre, 	Si me uot a force prandre.	117
133	kar il m’avoit molt longuement amee; 	Car il mauoit mout longuement amee. 	118
134	si me prist al frain 	Si me prist |et me uost mener a force 	119|120
135	et m’en volt mener a force, mes mes amis se combati a lui 	si tost comme il me tint au fraing. |Mais mes amis se combati a lui 	121|122
136	tant 	tant 	123
137	qu’il l’ocist. 	que il locit. 	124
138|139	Et|quant cist 	et quant ciz 	125
140	que vos veez ci ore vit son frere mort, 	que uos ueez ore ci uit son frere mort : 	126
141	si fist mon ami prendre a force de vilains et de gens 	si fist mon ami prandre a force de uilains et de gent. 	127
142	et l’ocist en venjance de son frere. 	Et locit en la uangence de son frere. 	128
143	Mais de moi, 	mais de moi 	129
144	por cui Ses freres avoit esté ocis, dist il 	p̾ |cui ses freres auoit este ocis dist il 	130|131
145	qu’il se vengeroit sans main metre;	quil sen uangeroit sans main mestre. 	132
146	si me fist prendre a ces ribaus 	Si me fist prandre a ses .iiii. uilains 	133
147	que vos veistes 	que uos ueistes	134
148	et lor commanda 	si lor coumanda 	135
149	qu’il me noiaissent, « 	quil me noiassent. 	136
150|151	kar par armes, dist il, |ne vueil je mie 	Car par hommes ne uoeil ge gaie fait il quele morit. 	137
152|153	qu’ele muire » ; |si m'enmenoient, 	Si [cum] amenerent ainsi 	138
154	si com vos veistes, morir 	com uos ueistes [raqrir] 	139
155	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. Sire fait la damoisele a beħ. 	140
156	Or vos ai conté mon errement ; 	Or uous ai conte mon errement. 	141
157|158	si voldroie des Ore mes, |se vostre plaisirs estoit, 	Si uorroie desormais se uostres [puisses] estoit : 	142
159	que vos me menissois a salveté en un mien chastel 	que uos me menissiez a sauuete en .i. mien chastel 	143
160	qui est ci pres. — Volentiers », fet il. 	qui est ci pres. uolentiers damoisele Sire a 	144
161	Si le prent par les bras 	si la prent par le bras 	145
162	et le monte par devant lui sor le col de son cheval, 	et la mest deuant lui sur le col de son cheual. 	146
163	si a geté son escu derieres son dos, 	Si ageste erranmet son escu derier son dos. 	147
164	si s’en vet cele part 	Si sen ua cele part 	148
165	ou la damoisele li enseigne tant 	ou la damoisele li ensangne. |Si cheuaucherent ainsi 	149|150
166	que ce vint aprés midi 	tant que ce uint apres midi.	151
167	qu’il voient en un tertre I. bel a chastel, 	et lors uirent deuant aux en lor chemin .i. |tertre.Ou il auoit .i. tres bel chastel. 	152|153
168	et lors ataignent Il. escuiers	et lors ataignent .ii. escuiers 	154
169	qui issoient d’un bossel 	qui issoient dun boschet. 	155
170	et aportoit chescuns venoisons trosee detriers soi.	et aportoit chascuns uenison trossee douant soi. 	156
171	Quant il virent la damoisele, 	et quant il uirent la damoisele 	157
		qui beh̾ auoit deuant luy 	158
172	si descendent a pié 	si sont dessendu a pie	159
173	et li font grant joie com a celi 	et li font la plus grant ioie dou monde a cele 	160
174	qui lor dame estoit 	qui leur lige dame estoit 	161
175	mais molt se merveillent de ce 	Mais mout se merueillent 	162
176	qu’il la virent plorer: 	quant il la uirent si plorer. et plus de son ami 	163
177	si li enquierent 	que il ne uerent pas mandent 	164
178	que ele a. 	que ele a. 	165
179	Et ele lor dit 	et ele lor dit 	166
180	comment ses amis avoit esté ocis, «	et conte coment ueuir auecques li. |Si li en quierent et de ses amis auoit este ocis. au chastel 	167|168
181	et je meismes euisse esté morte. 	ou il trespasoient. Sire meismes fait ele eusse este morte : 	169
182	se ne fust cis frans chevaliers	Ce ne fust ciz frans cheualiers ci. 	170
183	qui par sa debonaireté me resqueust 	qui par sa debonairete 	171
184	et se mist em peril de mort por ma vie sauver. » 	et par sa franchisse marescosse des mains a mes anemis et se mist en peril de mort |por moi sauuer. 	172|173
		et se ne lauoie ie pas deserui. 	174
		et diex doint 	175
		que ie li puisse guerredoner.	176
185	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Lors conseille maintenant la damoisele a .i. des escuiers. |et il destrore maintenant sa uenisson 	177|178
186	si la baille a son compaignon por porter, 	et la baille a lautre por portee 	179
187	si s’en vet vers le chastel 	Si sen ua uers le chastel 	180
188|189	quanqu’il puet traire del roncin. |Et Boors demande a la damoisele 	quanque il puet de roncin traire et behors demande a la damoisele 	181
190|191	comment li chastials a non |ou ses amis a esté ocis. « Sire, fet ele, il a non Galedon 	comment li chastiax auoit non ou ses amis. auoit este ocis. Sire fait ele il a non Galedon. 	182
192	et l’eve par ou vos passastes a non Galede. » 	et leue par ou uos pasates a non banllete. 	183
193|194	Ensi parolent tant |qu’il sont venu jusqu’al chastel,	Ainsi parole tant que il sont uenu ducau chastel. Sire uoit beh̾ mout bel 	184
195	si le voit Boors bien seant et fort. 	et mout bien sains. 	185
196	Et quant il montent ! le tertre, 	et quant il ont monte le tertre 	186
197	si voient de laiens issir dames et damoiseles a grant plenté 	si uoient issir de laiens dames et damoiseles grant plante 	187
198	dont les unes karolent 	dont les unes dancent 	188
199	et les autres dancent 	et les autre [...] |et [lulent]. 	189|190
200	et les autres joent de divers geus; 	et les autre iouent de diuers gex si estoient totes acemees 	191
201	si estoient acesmees et vestues richement et	et mout richement 	192
202	avec venoient chevaliers jusqu’a X. 	uestues.et auec elles uenoient cheualier iusqua .xx. 	193
203	qui molt faisoient grant joie; 	qui mout fassoient grant ioe. 	194
204|205	et quant il voient Boort, |si crient tuit encontre lui: « Bien viengniés, sire,	et quant il uoient bohort si crient tuit encontre lui bien uiengne li sires 	195
206	qui nostre dame avez delivres de mort 	qui nostre dame a deliuree de mort 	196
207	et rescosse des mains a ses enemis !» 	et rescousse des mains a ses anemis 	197
208	Et lors font descendre lor dame et lui avec : 	et lors font dessendre lor dame et lui auec. 	198
209	si ne vos porroit nus conter la joie 	Si ne uos porroit nus comper la ioie 	199
210	qui li fu fete. A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, 	qui li fu faite. A tel ioie et a tal faite en mainnent beh̾. ducau palais dou chastel. 	200
211|212	si le font desarmer, |ou il volsist ou non,	Si le font desarmer uossist ou non. 	201
213	et il le fist a envis, 	et il le fait mout enuiz. 	202
214	kar il n’estoit encore mie tens de herbergier. 	Car il nestoit mie eure ne tans de herbregier. 	203
215	Ensi remist Boors laiens, 	ensi remest laiens 	204
216	si li firent grant joie li un et li autre 	si li firont grant ioie et li un et li autre. 	205
217	Et quant il orent mengié. a damoisele demande a Boort 	Et quant il orrent mengie: la damoisele demande 	206
218	comment il avoit non ét ¡l dist 	comment il auoit non. 	207
219|220	qu’il avoit non Boors li Essilliés. « |Et vos, fet il. damoisele, 	etil li dit.	208
221	quels est li vostre nons ? — Sire, fet ele. je ai non Blevine de Glocedun, issi a non cist chastials ou nos somes. » A ces paroles 	et uos comment fait il damoisele Sire fait ele iai non uenyne de glocedras |ainsis a non li chastias ou nos somes A ses paroles 	209|210
222	qu’il disoient, es vos I escuier 	que il dissoient euousa. escuer 	211
223|224	qui laiens entre,|si s’agenoille devant la damoisele. « Dame, fet il, la damoisele de Honguefort vostre cosine vos salue 	qui laiens entre. et sa genoille deuant la damoisele. Dame fait il madarne la damoisele De honguefort uostre cousine uous salue. 	212
225	et vos mande 	Et uous mande 	213
226	qu’ele vient herbergier o vos. » 	que ele uient herbregrer o uus	214
227	Et quant cele l’entent, 	Et quant cele lentant 	215
228	si saut sus si liee et si joiose 	si saut sus si lie et si ioeuse	216
229	que nule plus 	com ele puet plus. 	217
230	et demande al vaslet 	et demande au uarlet 	218
231	ou ele est. « Dame. fet il, a mains de demie lieue pres de ci. » 	ou ele est. Dame fait il a mains de demi lieu pres de ci. 	219
232	Et ele fet maintenant sa sele metre et dist 	et ele fait maintenant sa sele mestre. |et dit 	220|221
233	qu’ele ira encontre li; 	que ele ira encomtre. 	222
234	si monte 	Si monte 	223
235	et maine o li. VI. chevaliers 	et mainna .ui cheualiers auecques li. 	224
236|237	et Illl. en laisse |por fere compaignie a Boort ; 	et .iiii. en laisse por faire compangnie a behͦ. 	225
238	si se part atant de laiens. 	si se part de laiens. entre li et sec cheualiers . 	226
239	Mes Boors 	Mais beh̾. 	227
240|241	qui les noveles a of̈es de cele de Honguefort |si ne set que fere, 	qui les noueles ot oiez de cele de honguefort ne set que 	228
242	kar se il remaint laiens, ne puet estre 	faire.Car cil remaint laiens il ne puet estre 	229
243	que l’en nel conoisse 	que len ne le quenoisse. 	230
244	et ce ne voldroit il por rien: 	et si ne uodroit ce por rien. 	231
245|246	si pense longuement a ceste chose. |Quant il ot une piece pensé, 	Si se pance longuement ace. 	232
247	si se drece en estant 	et se dresce en estant a ce 	233
248	et demande ses armes tost et isnel. « Sire, font cil 	et demande ses armes. tost et inel. Sire font cil 	234
249	qui avec lui estoient, 	qui auec lui estoient 	235
250	qu’en volés vos fere ? — Je me vueil. fet il, un poi aler esbatre jusqu’a cel boschel, 	quen uoles uos faire. Ie men ueil fait il aler .i pou esbare |iusqua cele forest. 	236|237
251	si revendrai orendroit. » 	et reuandrai orendroit |et cil	238|239
252|253	Cil n’osent son commandement refuser. |si aportent ses armes 	qui nosent son commandement escondire Li aportent 	240
254	et il les prent. 	et il les prant. et	241
255	Et quant il est armés, 	quant il est armes 	242
256|257	si monte en son cheval a, |si se part de laiens par une posterne par devers le boschel », 	si se part de laiens par la poterne par deuers .i. bochet 	243
258	ne ne velt	si ne uoet 	244
259	que nus li face compaignie. 	que nus li face compongnie.et	245
260	Et quant il est l. poi eslongiés del chastel, 	quant il est i |po eslongniez dou chastel 	246|247
261|262	si torne a destre vers une forest |qu’il voit haute et espesse 	si torne a destre par deuers une forest haute et espesce 	248
263	et s’en vet al ferir des esperons; 	et sen ua au ferir des esperons. 	249
264	si se fiert en la forest 	Si se fiert en la forest 	250
265|266	et eirre tant |qu’il li anuite ; 	et erre tantquil li anuitie. 	251
267	et lors escote, 	et lors escoute 	252
268	si ot une cloche soner 	si oit une cloche soner 	253
269	et il sot bien tantost	et il seit bien 	254
270	que c’estoit hermitages: 	que cest hermitages 	255
271	si s’en torne cele part 	si se torne cele part 	256
272	et descent a l’uis,	et descent a luis 	257
273	si apele et li hermites li oevre son huis, 	et apele. |et li ermites li ouure 	258|259
274	si a le reçoit a bele chiere 	et le resoit a mout bele chiere. 	260
275	et le desarme il meismes, 	et le desarme il meismes 	261
276	puis vet cueillir de l’erbe al cheval 	et puis ua cuillir de lerbe il meismes por le cheual. |et 	262|263
277	et por fere lit al chevalier.	por faire lit au cheualier 	264
278|279	Ensi est Boors remés chiés l’ermite, |et la damoisele de Glocedun chevalcha tant a 	Ainsi est boh̾ retrais chies lermite. et la damoisele de glocdon cheuauche 	265
280	qu’ele encontra cele de Honguefort; 	quant ele fu partie de son chastel |tant que ele encontre la damoiselle de honguefort 	266|267
281	si s’entresaluent, 	si sentre saluent. 	268
282	mais molt se merveille cele de Glocedun, 	mais mout ce merueille la damoisele de glocedun 	269
283	quant ele voit sa cosine si atornee et tote sa maisnie: 	quant ele voit sa cosine si atornee. et tote sa mainiee ausi. 	270
284	si li demande l’acheison 	Si li a demande lacoison. 	271
285	et cele li conte de chief en chief 	et cele len conte la uerite de chief en chief 	272
286	et dist 	et dit 	273
287	que jamés ne finera d’errer 	que iamais ne finera derrer 	274
288	jusqu’el ait le chevalier trové, « 	tant que ele ait le cheualier troue. 	275
289	et bien sachiés, fet ele, bele cosine, 	et bien sachiez bele cosine 	276
290|291	que c’est li plus bials chevaliers et li mieldres |que je onques mes veisse, 	que cest li muxdres cheualiers et li plus biax dou monde. 	277
292	et si est encore jovenes enfés; 	et si est encore iones enfes. 	278
293	si ai tel duel, 	Si ai tel duel 	279
294	quant il me membre de la vilenie 	quant ie mamenbre de la uilenie 	280
295	que je fis, 	que ie li fis: 	281
296	qu’a poi que li cuers ne me part el ventre. — En non Dieu, bele cosine, 	ca pou Li cuers ne me part. 	282
297	fet cele de Glocedun, 	En non dieu bele cosine fait cele de glocedun. 	283
298	s’il vos avint bele aventure, il ne m’est pas hui avenue mains bele. » 	Si uos auint bele auanture: il ne mest pas hui auenue mains bele. 	284
299|300	Si li conte tot ensi |com il li estoit avenu 	Si li conte coument il li est auenu. 	285
301	et dist 	et dit	286
302	qu’ele a le chevalier herbergié; « 	que ele a le cheualier herbregre. 	287
303	mais bien sachiés, fet ele, 	et bien sachiez 	288
304	que c’est li plus bials chevaliers 	que cest li plus biax cheualiers 	289
305	que je onques mes veisse 	que ie onques ueisse. 	290
306	et jovenes durement » ; 	et iosnes durement. 	291
307	si li devise sa façon et son grant et sa mesure 	Si li deuisse sa fason et son grant et sa mesure. 	292
308	tant qu’a cele de Honguefort est avis 	Tant que a cele de honguefort est auis 	293
309	que c’est cil 	que ce est cil 	294
310	qu’ele quiert, 	que ele quiert.	295
311	si li tarde molt 	si li tarde mout 	296
312	qu’ele le voie. 	quele le uoie. 	297
313	Ensi chevalchent jusqu’al chastel, 	ainsi cheuauchent tant que au chastel sont uenues. 	298
314|315	si descendent la damoisele molt honorement |et molt font grant joie de li	Si dessandent la damoisele de honguesfort mout honorablement. et mout font grant ioie de li. 	299
316	Et lors sont montees el palés; 	et lors sont montees el palais amont. 	300
317	si demande cele de laiens 	Si demande cele de laiens 	301
318|319	ou ses ostes est. « |Par foi, font si chevalier, 	ou ses ostes est. par foi font cil cheualier il sen ua maintenant tous armes 	302
320	¡l s’en vet orrendroit tos armés fors de cest chastel, 	fors de cest chastel. 	303
321	mais il nos dist 	mais il nous dit 	304
322	qu’il revendroit tantost; 	que il reuanroit tantost. 	305
323|324	n’onques |por nul pooir ne volt soffrir 	ne onques por nul pooir ne uost souffrir 	306
325	que nus de nos alast avec lui. — 	que nus alast auec lui. |que part	307|308
326	Quel part s’en ala il ? fet ele. — Dame, font il, vers cel boschel. — 	sen |ua il fait ele Dame font il uers cest bochet. 	309|310
327	Or tost, fet ele, montés, alés aprés lui, 	Or tost montes illec apres 	311
328	si le nos ramenés. » 	si le nous ramenez. 	312
329	Lors sont monté li X. chevalier 	Loes sont monte .x. cheualier. 	313
330	et vienent jusqu’al boschel, 	et uiennent iuscau bochet 	314
331	si le cerchent amont et aval, 	si le serchent amont et aual. 	315
332	mes del chevalier ne pueent riens trover, 	mais del cheualier ne pueent point trouer. 	316
333|334	si en sont molt irié et dolent |et mandent a lor dame 	En non dieu fait ele ainsi ne remandra il pas. 	317
335|336	qu’il ne le pueent trover. « En non Dieu, fet ele, |ensi ne remandra il pas. » 	si mente ele 	318
337|338	Si monte et tote sa maisnie |et commande a cerchier le bois de totes pars 	et coure sa mainie et comande a cenhier le bois de toutes pars. 	319
339	et il en font son commandement.	Et il font son commandement. 	320
340	Mais tot ce ne lor valt riens, 	Mais tout ce ne lor uaut rien. 	321
341	kar il n'em puent avoir nul asenement a, 	Car il ne pueent trouer nul a lanement dou monde 	322
342	Quant ele vit ce, 	quant ele uoit ce: 	323
343	si s’en retorne en son chastel dolente et corociee 	si en retorne en son chastels 	324
344	et conte a cele de Honguefort 	et conte a cele de honguefort 	325
345	comment ses ostes s’en estoit alez, 	comment ses ost en est alez. 	326
346	puis demande a cels de laiens: « Bials seignors, 	et puis demande a ciax de laiens oiez signor 	327
347	quant s’em parti il — 	quant sen ala il. 	328
348	Par foi, dame, font il, 	Par foi dame 	329
349	si tost com il vos en vit aler et dist 	si tost com il uous en uit aler. |et dit 	330|331
350|351	qu’il revendroit tost. — |Par foi, fet ele, gabez nos a. » 	quil reuandroit tost par foi signor gabe nos A. 	332
352	Lors demanda cele de Honguefort 	Et lors demanda cele de honguefort 	333
353	quels armes il portoit 	ques armes il a 	334
		et cele li deuise. 	335
354	et ele li devise. « En non Dieu, fet ele, je te trovai hui matin a l’entree d’une forest, 	En non dieu fait |Se ioe lencontrai hui matin a lantree dune forest 	336|337
355|356	mes il ne portoit mie tel escu |com cil	mais il ne portoit mie tel escu. comme cil 	338
357	que je quier. — Bele cosine, fet cele de laiens, il le puet bien avoir changié 	que ie quier bele cousine fait cele de Iaiens il le puet bien |auoir changie puis 	339|340
358	et je vos di al mien cuidier 	et ie uos di au mien cuidier 	341
359	que ce est cil 	que cest ciz 	342
360	que vos querez : 	que uus querez. 	343
361	si vos prie 	Si uous pri 	344
362	que vos me laissiés o vos aler 	que uous me laissiez a uos Aler 	345
363	tant que trové l’aions 	tant que troue laions 	346
364	et lors savrai l’acheison 	et lors saurai locoson 	347
365	por quoi il laissa mon ostel a tel ore. — Il m’est molt bel, fet cele de Honguefort, 	por coi il a laisier mon ostel a tel eure. il met mout bel fait cele de hongefort. 	348
366|367	que vos i viegniés, |puis	que uous i uangnerez	349
368	qu’il vos plest. » 	de que il uos plait. 	350
369	Ensi remistrent la nuit laiens 	Ainsi remesent laiens la nuit. 	351
370	et al matin. 	et au matin 	352
371	si tost com eles ! virent le jor, 	si tost comme eles uirent le ior: se leuerent 	353
372	si leverent et se partirent del chastel 	et se partirent del chastel. 	354
373	et entrerent en la queste de lor chevalier.	Si entrent en la quese de lor cheualier 	355
374	Mais or laisse atant li contes a parler d’eles et de Boort	mais or laisse li contes a parler atant deles et de behort. 	356
375	et retorne a parler de Lancelot la 	et retorne a parler de lancͣ. la 	357
376|377	ou il est entrez en la forest de Sarpenic, |si com li contes a devise ariers. 	ou il est entrer en la forest de sarpenic GRant chaut cedit li contes fist le ior 	358
378	Or dist li contes 		
379|380	qu’il fist grant chaut le jor |que Lancelos entra en la forest de Sarpenic 	que lanc̃. entra en la foret de sarpenic. 	359
381|382	et |por ce ne remest il mie	et por ce ne remest il pas 	360
383	qu’il ne chevalchast jusqu’à none; 	que lanc̃ ne cheuanchast iusques a none. 	361
384	si li avint ensi 	Si auint 	362
385	qu’il n’encontra home ne feme jusqu’al vespre; 	quil nancontra home ne fame iuscau uespre. 	363
386	mais lors sans faille, 	mais lors sans faille 	364
387	si com il dut issir de forest 	Si comme il dut issir de la forest 	365
388	qui tot le jor li ot duré, encontra une damoisele 	qui tote ior li ot dure|Si encontra une damoisele 	366|367
389	qui molt faisoit grant duel 	qui mout faissoit grant duel. 	368
390	et chevalchoit I. palefroi noir a molt riehe lorain 	et cheuauchoit .i. palefroi noir a mout riche lomin 	369
391	et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele 	et a mout riche cele de lueure dangeterre. Il salue la damoisele 	370
392	et ele lui. « Damoisele, fet il, 	et ele autresi lui. Damoisele fait lanc̃ 	371
393|394	kar me dites, |s’il vos plest, 	car me dites ore ce il uos plait 	372
395	por quoi vos plorés. — 	que uos auez.|et por coi uus plorez. 	373|374
396	Certes, sire, fet ele, 	Certes sire fait ele 	375
397	se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja, 	se ie i cuidoie |auoir preu ie le uos diroie. Damage fait il ni aurez uos ia se dieu plait. 	376|377
