a	b	c	d	e
12	si ne demora gueres qu il vint a une eve P lee	Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant|et roide	porque llego a vn valle|Por do corria vn agua muy negra	si non dimora guari|che viene a una acqua lata	si ne demoura gueres quil uint en une uallee
					ou il couroit une eau monlt roid de la quelle estoit grande
13	et parfonde	et parfunde	e fea|e fonda	e perfonda	et parfonde
14	mais il n i trueve pont ne gué ne passage nul	mais il ni troeue ne pont ne passage	e non fallo puente|por do Pudiese pasar	ma e' non vi truova né ponte né guado né passaggio nullo	et ne treuue ne pont ne planche par ou il puisse passer
15|16|17	Et il regarde d autre part de l eve|si voit I|petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	Et il regarde de lautre part de laigue|si y uoit|j|castel moult bien seant|clos de mur bateillie tout entor a la reonde	e cato dela otra parte Del agua|e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	Ed elli isguarda d altra parte dell acqua|si vide uno piccolo castello molto ben sedente|chiuso d uno muro battagliato tutto intorno alla ritonda	Sy regarde de laul tre part de leaue|⁊ uoit ung beau chastel monlt bien seant|et biencloz de muraille tout entour
18	ll regarde grant piece le chastel	Il regarde le chastel grant piece	e el cato gran pieça el castillo	eElli riguarda gran peza il castello	Il regar de le chastel grant pieche
19	dont la façons li plest molt a regarder	dont la fachons li plaisoit moult a regarder	ca mucho se pagaua delo catar	donde la fazion gli piace molto al riguardare	car monl tluy plaisoit a uoir
20|21	puis s en torne contreval la riviere|por savoir s il i peust trover ne pont ne gué	puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue	e despues torno la rribera ayuso|Por saber|si podria fallar puente	poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado	puis sen tourne contre ual la riuiere pour scauoir sil pouroĩt trouuec ne pont ne gue par le
					quel il
					puis se passer
			Por do pasase		
22	mais il n en trueve point	mais il ni trueue nul passage	mas el no pudo fallar ninguna	ma|e non ve ne truova punto	mes il nen truue point
				e quand	
23|24	et quant il voit qu il n i passera|si ne set	Et quant il voit chou|si ne set	e boores desque esto vido no sabia	e vede|che non potrà passare|si non sa	Et il uoit ce|si ne scait
25	que fere	que faire	que se façer	che fare	que faire
26	que retorner ne voldroit il mie	quar retorner ne volroit il en nulle maniere	ca el no se queria tomar en ninguna manera	ché ritornare non vorebbe elli mica	car retourner ne uoulloit pas
27|28	|qui ert tote nue en sa chemise	Lors uoit issir del castel vne damoisele toute nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	?Atanto vide uscire una damigella del castello|ch era tutta ignuda in sua camicia solamente	A tant uoit yssir une damoiselle du cha stel la quelle estoit toute nue en sa chemise
29	si le menoient troi vilain molt vilainement a	si le menoient|iiij	que traian quatro rribaldos muy sañudamente	si lla menavano iiii|rubaldi molto villanamente	sy la menoient quatre ribaulx monlt felonneu sement
		ribaut moult felenessement			
30	et tenoit chescuns une hache en sa main;	et tenoit Cascuns en sa main|i	e cadavno traia enla mano vna lança	e tenieno ciascuno una acciaia in sua mano	et tenoiẽt chascun en sa main ungeou stel trenchant
		coutel trenchant			
31|32|33	et ele crioit quanque ele pooit crier|por els|qui li faisoient tel honte	Et elle crioit quamque elle pooit|por chiaus|qui li faisoient tel laidure	e ella daua vozes	Ed ella grida quanto|ch ella può gridare per coloro|che lle facieno cotale onta	Et la damoiselle crioit tant commeelle pouoit pour la laidute|et honte q̃ telx ribaulx lup faisoient
34	et tel laidure qu il la venoient batant tot contreval la riviere	quar il lenmenoient tot contreual la riuiere batant	quanto podia dar|e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	e tal ladiura|ch elli la menavano battendo tutto contravalle la riviera	et la menoiẽt hatant contre ual la riuiere
35	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant elle vit le cheualier de lautre part de laigue	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	E quando la damigella vide lo cavaliere dall altra parte dell acqua	Et quãt la damoy selle uoit le cheualier de lautre coste del a ry
36	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	si li commenche a crier|Ha : gentils homs	e a deçir ay jentil cauallero acorred a esta donçella	si gli comincia a gridare|	uiere commenca a crier|et dire en tell maniere Haa beau
					et gentil cheualier secoures ceste da moiselle
				gentile huomo	
				soccorete questa damigella	
		quar secoures ceste damoisele			
37	que cist ribaut vuelent ocirre	que cist ribaut voelent ochirre	que estos Ribaldos me quieren	che questi rubaldi vogliono uccidere	que ces ribaulx ueullent occire
					haa franc hõme fait elle me lesres uoꝰ ainsi moucir entre les maĩs de telx paillars
				! Hal	
				franco cavaliere	
38	Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele	Pour dieu ne mi laissies ore mie morir|se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame	ansi matar ay buen cauallero|si nunca oviste piedad de donçella auelda agora de mi	non mi lasciate uccidere|se voi unque aveste piatà di nulla gentile damigella	et se uous pitie de moy|car se uoꝰ ne me secoures ie sups a la mort liurer
39	Quant Boors ot ce qu ele li prie	Quant bohors oy|que la damoisele li prioit	e no me dexedes	“Quando Boordo ode colei|che l priega	Et quant boort ouyt quelse le prioit
40	si pitousement qu'il la secore	si piteusement de li secorre	asi morir|Quando boores oyo lo	si piatosamente|che lla soccorra	si piteusement
41	si ne set	si One sot	que la donçella deçia no supo	si non sa	si ne scait
42	que fere	que faire	que façer	che fare	que faire
43	kar volentiers li aidast s il peust;	quar volentiers li alast aidier sil peust estre	ca muy de grado la quisiera acorrer	ché volentieri l andasse ad atare se potesse	car uoulentiers luy all ast aider se il peult estre
44	mais il voit l eve noire	mais il voit laigue parfonde	si pudiese Mas el agua hera muy fonda	ma|e vede l acqua nera	mes il uoit la riuiere pfonde
				e profonda	
45	et parfonde	& perillouse	e peligrosa	e perigliosa	et dangereuse a passer
			e negra		
		et noire			
46	et si perilluse qu il cuide bien noier s il se met dedens;	si quide bien morir se il|si met	e bien cuidaua morir|si se y Metiese	che crede bene morire s elli|si mette di dentro	et scait bien sil ẽtre dedens qͥl se met en peril de moit
				;	
47	et d'autre part il voit cele	Et dautre part voit il cels	e dela otra parte veya la donçella	e d altra parte|e vede colei	Et daul tre part il uoit celle
48	qui si durement crie merci;	qui si piteusement li crie merci	que muy afincada mente le pedia merçed	che si duramente gli grida mercé	qui si piteusemẽt fui crie mercy
49	si l'em prent tels pitiés qu il en laisse totes poors	si len prent tele pitsiles quil en laisse toute paour	e ovo tal piedad della|que le fiço todo el miedo perder	si ne gli prende tale piatà|che ne lascia tutte paure	Si luy en prent teile pitie quil en laisse toute paour
50	et fet le signe de la crois en mi son vis	et met le signe de la vraie crois en mi son front	e fiço la señal dela cruz sobre	e si fa el segno della santa croce nel miluogo del suo viso	⁊ faitle
		& en mi son pis			
51	puis enbrace l escu	puis enbrace son escu	si e enbraço el escudo	poscia imbraccia lo scudo	si gne de la croix deuant son uisaige puys embiache son escu
52	et broche le cheval des esperons	et fiert le cheual des esperons	e firio al cauallo de las espuelas	e broca il cavallo degli sproni	et fiert soncheual des esperõs
53|54|55	et se fiert en l eve|Et li chevals fu fors|si commence a noer	et se lance en laigue|Et li cheuaus commence a noier:	e lanço se en el agua|e el cauallo començo de nadar luego	si fiede nell acqua isnellamente||incominciò a notare	et se lanche dedens leaue tout erraumẽt:|et le cheual commence a noer
56	si tost com il ot terre perdue	si tost quil a terre perdue	e perdio tierra en tal manera	si tosto com'elli ebbe terra perduta	si tost quil eust terre perdue
57|58|59	si l enporte d autre part de la rive a quelque paine|mais ançois ot beu de l eve li uns|et li autre	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns|& li autres	que paso dela otra parte del agua|mas ante beuio el cauallo del agua	si ne l portò d altra parte della riva a qualche pena|	et sen passe le cheual iusq̃s de laultre part de leaue mes ce fust agrãt paine|car aĩs quilz feussent passes beurent de leauelun|et lauftre
60|61|62|63	et se li chevals ne fust|si buens noié fuissent ambedui|kar li chevaliers estoit pesans|por les armes qu il avoit vestues	Et se li cheuaus ne fust|si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues|si en fu moult en peril|uant bohors ot passe laigue pour la damfolisele secorre ainsi	e si el caballo tan bueno no fuera sin dubda el moriera enel agua|e boores porel peso delas armas|que llebaua	e se l cavallo non fosse stato|si forte|anegati fossono amenduni|ché l cavaliere era pesante per l arme|ch elli avea vestite	et se le cheual neust esie foit|et don ilz feussent nopes|et lun|⁊ laultrecar lecheualiet estoit fort pesant pour les acmes quil auoit Seconde Gestues
64|65	Quant il fu de l autre part de l eve|si ne descendi pas ains cort vers cels	que vous poes oir|si ne descendi mie ains cort sus a chiaus	e desque fue dela otra Parte del agua dexo se correr aquellos	Quand|e fu da l altra parte dell acqua|si non discende passo	Quut il fut delautre part de leaue|si ne descẽdist oncq̃s ains courust uers ceulx
				anzi muove il cavallo inverso di coloro	
66	qui la damoisele tenoient	qui la damoisele tenoient	que la donçella tenian	che lla T tenieno	qui la damoiselle tenoient:
67|68|69	et fiert|si le premier qu il aconsieut qu il li met le glaive par mi le cors|si l abat a terre	si fiert le premier quil encontre|si durement quil li met le glaiue parmi le cors|si labat a la terre	e firio al primero|que encontro en tal manera|que le metio la lança porel cuerpo	e fiede|si il primaio|ch elli agiugne|che gli mette la lancia per me' il corpo|si llo abatte a terra	⁊ fiert tellemẽt le premier quil encontre qͥl lui met le glauie pamy le corps|si labat a terre
70|71	et li autre s enfuient erraument|por ce	Et li autre senfuient pour chou	e los otros dos|que aquello vieron fuyeron luego|por miedo de no ser muertos	e gli altri se ne fugono tosto per ciò	⁊ les autres se met tent en fuite
72	que desarmé estoient	que desarme estoient	ca todos estauan desarmados	che disarmati erano	
73|74	Et la damoisele|qui delivree se voit se met a genols devant Boort	Et la damoisele|qui deliure se uoit|se met maintenant a genouls deuant bohort	e la donçella desque aquello vido finco los ynojos ante boores	E la damigella|che si vide dilivera|si mette a ginocchia davanti Boordo	La damoiselle qͥ deliuree se sẽt se met a genoulx deuant lui
75	et dist Ha gentils chevaliers de Dieu soiés vos beneois	et dist|ha: gentiex cheualiers de dies oess vous beneois	e dixo ay jentil cauallero vendito seades de dios	|gentile cavaliere	et lui dit|Haa gen tif cheualier de dieu soiez uous benoit:
76	quant vos m avés de mort rescosse	quar vous maues de mort rescousse	que asi me librastes de muerte	diss ella|da Dio siate vo' benedetto quando vo m avete di morte riscossa	
77|78|79	et aorés en soit Diex|quant il ceste part vos amena|kar cist gloton m euissent ja morte	Et aoures en soit diex|quant il ceste part vous amena|Car cist glouton meussent morte se vous ne fuissies	e bendito sea dios|que aqui vos traxo|que estos villanos me hubieran muerto	e adorato ne sia lddio quand elli in queste parti vo menò|ché questi guiglioni m avessono già morta	car ces gloutõs me eussẽt occiz se ne feussez uoꝰ
				se vo' non foste	
80|81|82	— Damoisele fet il|por quoi|? — Sire fet ele jel vos dirai bien	Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien	si por vos no fuera donçella dixo boores|Por que señor dixo ella yo vos lo dire	— Damigella|disse Boordo|perché||diss ella|bene	Da moiselle fait il pour quop|Sire fait elle ie le uous diray
83|84	mais que vos m aiés mise a sauveté|— Coment	mais que vous maies mise a sauuete Comment fait il aues vous encore paour	mas ante conuiene	ma'|che vo' m abiate messa a salvamento|— Come	mais q̃ uous me aiez mise a sauuete
85|86|87|88	? fet il|Avés vos|dont garde|? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	Sire fait elle ia asseuree ne serai|tant que iou y sache le seignor del chastel :	que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo	disse elli|avete vo' dunque guardia|diss'ella|già sicura non sarò tanto com io sappia là entro il signore del castello	E ommẽt fait il auez uous|donc paour|Sire fait esle ia seure ne serap|tant que ie sache leans le seigneur de ce chasteau
					
				sire	
89	kar c est li plus fel chevaliers del monde	quar cest li plus fel cheualiers del monde	ca es el|mas follon omne de todo el mundo	ché ciò è il più fiero cavaliere del mondo	car cest le plus fel cheualier du monde
90|91|92	et li plus traîtres|A ces paroles voient issir I|chevalier del chastel	et li plus desloiaus||j|cheualier issir du castel	e mas cruel Ellos|asi fablando vieron salir del castillo vn caballero	e I più traditore|A queste parole vidono uscire un cavaliere del castello	⁊ le plus cruel Ces parolles uoient issir ung cheua lier du chasteau:
93	et la ou il vit Boort	Et la ou il voit bohors	e quando vido a boores començo le a dar boçes	e là ov egli vide Boordo	⁊ la ou il uoit boort iefuil escrie
				si llo isgrida	
				Danzi cavaliere	
94	si li escrie Laissiés dans chevaliers la damoisele	si li escrie dans cheualiers laissies ester la damoisele	e a deçir don cauallero a dexar vos conuiene la donzella	lasciate la damigella|ché vonon la menere mica	
95	que vos n enmenrois mie! Par mon chief mar le rescosistes	quar vous ne lenmenrois pas|et par mon chief mar le rescousistes	ca la non lleuaredes|e porla my cabeza ental Punto la acorristes	e per mio capo male la riscoteste|Si gli corre suso quanto	Cheualier laissez la damoiselle par mon chief mal la rescouistes
96|97|98|99	Si li cort quanqu il puet le glaive alongié;|et Boors retrait son glaîve a lui del cors a celui qu il avoit ocis;|si laisse le cheval corre|et le fiert	quar vous le comperres se iou|puis moult chier|Et quant bohors lentent|si point vers lui quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui quil auoit ochis|Si fiert celui	e luego se dexaron correr el vno contra el otro|e boores lo firio conla lança|que auia sacado del cuerpo del villano|que auia muerto en tal manera	ch elli puote|la lancia islungata|si ve ne rimandarono immantanente uno altro per quello vendicare|che disse a Boordo|si lascia il cavallo andare|e l fiede	Boort lẽtẽt|si lui court tãt qͥl peut du cheual traire le glai ue allongnie|⁊ le fiert
				che ssi guardi da llui	
				ch elli il disfida	
				ed e' dice	
				che disfida lui	
				PAllora trae la lancia del corpo a colui	
				ch elli avea morto	
				e Boordo il fiede	
				si duramente in suo venire	
				che llo scudo né llo asbergo no llo guerentisce	
				che non gli metta per me' il corpo	
				e ferro	
				e fusto	
				e que' cade a terra tutto isteso	
				che più nonn à mestier di medico	
				E quando que del castello vidono insi lor cavaliere abatuto	
100	si tres durement qu il l abat a terre	si durement quil labat a terre	que dio conel Porlas ancas del cauallo a tierra|asi estordido	si duramente|ch elli Il labatte a terra	si duremẽt quil labat a terre
101	si estordi qu il n a pooir de relever ains gist pasmés	si estordi quil not pooir de lui releuer|Ains iut illueques tous pasmes	que non se pudo leuantar|asi estaua amorteçido dela cayda	si stordito|che non à podere di sé rilevare	
102	kar il chai	quar il cai		anzi giace ispasimato|ché fu caduto	
103|104	si felenessement qu a poi|que la canole del col n'avoit brisee	si felenessement|que a poi|que la canoele del col ne li est brisie	que las coyunturas del pescuezo tenia quebradas	si fellonosamente|che a poco|che non|si ruppe il collo	si estourdp qͥl na pouoir de soy releuer:
105	Et Boors li vet a cheval par desus le cors	Et bohors li uait tout a cheual par desus le cors	e boores traxo tantas vezes el cauallo sobre el	e Boordo gli va cavalcando per di suso il corpo	et booit lui ua par dessus le col a cheual tãt
106	tant que tot le debrise	Si que tout le debrise	Que todo lo quebranto	tanto che di tutto il dibriscia	que tout le debrise
107|108	Et lors est la damoisele|si liee qu ele ne puet plus	Et lors est la damoisele|si lie|que plus ne puet	e la donçella|que aquello vido fue muy alegre|que mas no lo podia ser	|si lieta|ch ella non può più	Et booit a tant la damoisesle esioupe q̃ elle ne peut plus:
109	et dist a Boort Sire nos n avons mes garde	Si dist a bohort sire nous nauons hui mes garde	e dixo a boores señor agora non auedes aqui deque vos|mas guardar	e disse a Boordo|	⁊ dit a boort|Gire nous nauons mes garde:
				non no abiamo oggimai guardia	
110	kar je ne cuit qu il eust plus de chevaliers çaiens	Car iou quit quil ni a plus de cheualiers laiens	ca eneste castillo no auia|mas deste cauallero segund cuydo	ch io non credo mica|ch egli abbia là entro più cavalieri	car ie ne cuide poĩt qͥl y ait plus de cheualiers leans
111	que cestui;	que cestui	e agora os direlo	che questi	que cestui
112|113	si vos dirai ore seurement ce|que vos me demandastes n a encor gaires	Si vous dirai ce|que vous me denmandastes|ore le me dites	que me preguntastes seguramente Pues deçidmelo dixo boores	si vi dirò ora sicuramente ciò|che voi mi domandaste	si uous dirap seurement ce q̃ uous mauez demã de
114|115	— Dites fet il|	dont fait bohors|Par foy sire fait elle entre moi et	asi es dixo la donçella|que oy mañana entre mi	— Dite|diss elli|— laPer fé|diss ella	Par ma fop fait elle moy
				intra me	
116|117	et I|chevalier	i|cheualier	e vn cauallero	e uno cavaliere	⁊ ung cheualier
118	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mes amis estoit cheualchiemes parmi chest chastel	que hera mi amigo pasamos poreste castillo	che mio amico era cavalcamo oggi mattinetto per me questo ricetto	qui mon amy estoit cheuauchions par mi cest chasteau
119	et quant li freres a celui	Et quant li freres a celui	e quando el señor del castillo hermano de	e quando il fratello di colui	Et quant le frere de celui
120|121	que vos avés abatu me vit|si me volt a force prendre	qui vous aues abatu me uit|si me volt auoir|et prendre par force	aquel que vos derribastes me vido quisome prender afuerça	che voi avete ora abatuto mi vide|si mi volle a forza prendere	que uous auez abatu me uist|si me uoulut auoir|⁊ prẽdie a force:
122	kar il m avoit molt longuement amee;	quar il mauoit lonc tamps amee	e trabo del freno demi palafren	ché m avea lungamente amato|; simmi prese al freno	car il me auoit longuemẽt apmee
123	si me prist al frain	Si me prist au frain	e quisome llebar	e mi volle menare a forza|ma mio amico	Il print mon cheual
124	et m en volt mener a force mes mes amis se combati a lui tant qu il l ocist	et men volt mener a force|Mais mes anis se combati a lui tant quil locist	e me vido mi amigo llebar conbatiose conel tanto quelo mato	si combatté tanto a llui|che ll ucise	et men uoulut mener a foice:|mais mon amp se combatist a lui tãt qͥl loccist
125	Et quant cist	Et quant chils cheualiers	e quando	ME quando questo	Et quant celui
126|127	que vos veez ci ore vit son frere mort|si fist mon ami prendre a force de vilains	que vous uees chi vit son frere mort|si fist mon ami prendre par force de vilains	aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente	che voi avete qui ora abatuto vide suo fratello morto|si fece mio amico prendere a forza di villani	que uous uoiez cy uist son frere mort il fist mon amp prendre par for ce de gens
128	et de gens	et locist	e de villanos	e di genti	et de uillains
129	et l ocist en venjance de son frere	por uengance de son frere quil auoit ochis	e matolo en enmienda dela muerte desu hermano	e l uccise in vendicanza di suo fratello	⁊ loccist en uengãce de son frere
130|131|132	Mais de moi|por cui Ses freres avoit esté ocis dist il qu il se vengeroit sans main metre;|si me fist prendre a ces ribaus	Et dist quil se vengeroit de moi sans main metre|et me fist tantost prendre a ches|iiij	e dixo|que demi se vengaria el seguramente|porque fui ocasion dela muerte de su hermano entonçe fiço tomar aquellos quatro villanos	Ma di me|per cui suo fratello avea stato morto|diss elli|che ssi vendicherebbe sanza in me mettere mano|si mi fece prendere a nfino a tre l rubaldi	et dist quil se uẽgeroit de moy sãs main mettre|Ei me fist prendre par ces qua tre ribaulx
		ribaus			
133	que vos veistes	que vous ueistes ore	que vos vistes	che vo' vedeste	que uous auez ueu
134	et lor commanda qu il me noiaissent	et lor commanda quil me noiassent	e mandoles|que me matasen en aquel agua	e loro comandò|che m anegassono	⁊ leur cõman da quilz me noyassẽt
					
				diss elli	
135	kar par armes dist il ne vueil je mie qu ele muire ;	Car par armes dist il ne voeil iou mie|que elle muire	ca por armas no me queria matar	non voglio|ch ella muoia	car par armes neuueil le pas|que elle meure
136|137	si m'enmenoient|si com vos veistes morir	Si me menoient ensi com vous ueistes	e ellos me mataran sin falta	i mmi menavano|insi come vo vedeste|per fare morire	Gi me emmenoient aĩ|si comment uous auez ueu pour noyer
		por noier			
138	quant vos me venistes secorre par la volenté de Dieu	quant vous me uenistes rescorre par la volente de dieu	si vos porla voluntad de dios	quando vo mi veniste a soccorrere per la volontà di Dio	quant uaus me uenistes secourir par la uoulente de dieu
139	et par la vostre	et la vostre	e porla vuestra no me acorrierades agora vos	e della vostra	et par la uostre
140		vous ai conte mon errement	e contado todo mi acaesçimiento	Or vo ho contato tutta mia ventura	Or uous ap toute cõpte ma foitune
141	si voldroie des Ore mes se vostre plaisirs estoit	si volroie se vostre volentes y estoit	como me contesçio|e querria	si vo vorre' da oggimai|se vostro piacere fosse	si uoul droie se uostre uoulentey estoit
142|143	que vos me menissois a salveté en un mien chastel|qui est ci pres	que vous me metissies a sauuete|En vn mien castel|qui est pres de chi	que me llebasedes a vn mi castillo|que es çerca de aqui	pregare|che vo' mi conduceste a salvamento in uno mio castello|ch è qui presso	que uous me menissez a sauuete en ung Partie mien chasceau qͥ est ey pres
144|145	— Volentiers fet il|Si le prent par les bras	volentiers fait il|et il le prent maintenant par les bras	si vos plaze de GraDo dixo boores	— Volentier|disse elli|Si lla prende per lo braccio	Moulentiers du il|⁊ il la prent par le bras
			e luego echo su escudo alas espaldas		
146	et le monte par devant lui sor le col de son cheval	et le met sor le col de son cheual	e tomola Porel braço|e pusola antesi Ensu caballo	e la monta davanti a sé sopra il corpo di suo cavallo	et puis la met sur le col de son cheual
147	si a geté son escu derieres son dos	et met son escu derriere son dos	e fuese|ansi conella	si getta suo scudo di dietro suo dosso	si a iecte son escu derrier son dos:
148	si s en vet cele part ou la damoisele li enseigne	si sen torne cele part ou la damoisele lenseigne	por do ella lo yria guiando fasta medio dia	si se ne va in quelle parti ove la damigella gli 'nsegna	⁊ puis tourne celle part la ou la damoiselle lui enseigne
149|150	tant que ce vint aprés midi qu il voient en un tertre I|bel a chastel	Tant que chou vint apres miedi|que il virent deuant euls vn moult bel castel	Que vieron vn muy fermoso castillo	tanto che ciò venne apresso di mezodi|che vegono davanti loro|in uno poggio|uno castello molto bello	tant que uint aprez midp q̃ ilz uirent deuant eul x ung moult heau cha|steau:
151|152|153|154	et lors ataignent Il|escuiers|qui issoient d un bossel|et aportoit chescuns venoisons trosee detriers soi	Et lors ataingnent|ij|escuiers a lentree dun boskel|et portoit cascuns venison torsee derriere lui	e alcançaron dos escuderos ala salida devn monteçillo|que traia cada vno vn corço atroxado trassi	|che uscivano d uno boschello|e aportavano amenduni cacciagione torsata di dietro a llui	⁊ lors attaignent deux escuiers a lẽtree de ung petit boix|⁊ portoit chacun uenoisõ der rier lui tioussee
155	Quant il virent la damoisele	Et quant il voient la damfolisele	e desque vieron la donçella desçendieron apie		Et quant ilz uirent la damoi selle ilz descendirẽt a pie|⁊ lui firent
156	si descendent a pié	si descendent a pie	e fueron	si discenderono immantanente a ppiè	si grãt hõ neur
157	et li font grant joie com a celi	et li font|si grant ioie comme a celui	e fezieron gran alegria conella|como aquella	e gli fanno grande gioia come a colei	⁊ si grant iope comme a celle
158	qui lor dame estoit	qui lor dame estoit	que hera su señora	che loro dama era	qui leur da me estoit:
				ma molto	
159	mais molt se merveillent de ce qu il la virent plorer:	mais moult sesmerueillent de ce quil la voient plorer	mas mucho se marauillaron|porque la vian	si maravigliarono di ciò|che lla vidono impiagnendo	mais moult se merueillent de ce qͥlz la uoient plourer:
			ansi venir		
160	si li enquierent	si li demandent	e preguntaronla	Si lla inchiesono	si demandent
161	que ele a	que elle a	que auia	ch ell avea	que elle a
162	Et ele lor dit comment ses amis avoit esté ocis	Et elle lor conte comment sez amis auoit este ochis	e ella les conto|como su amigo hera muerto	ed ella lor disse come suo amico era stato ucciso|ed io medesima	et elle leur compte comment son amy auoit este occy
163|164	et je meismes euisse esté morte|se ne fust cis frans chevaliers	et iou meisme eusse este ochise|se ne fust cils frans cheualiers	e dixo yo mesma fuera muerta sino fuera|por aqueste buen cauallero	diss ella|fosse stata morta|se non fosse questo franco cavaliere	⁊ mop mesmes eusse este occie se ne feust ce franc cheualier
165	qui par sa debonaireté me resqueust	qui par Sa debonairete ma rescousse	que me libro	che per sua dibonarità mi riscosse	qui par sa debonnairete ma rescousse
166|167	et se mist em peril de mort|por ma vie sauver	et se mist en peril de mort pour moi sauuer	e se metio en peligro de muerte|Por me librar	si si misse in periglio di morte per mia vita salvare	⁊ sest mis en peril de moit pour me p sauuer
					
		Et lors conseilla elle a			
		j			
168	Et lors conseille a l un de ses escuierset cil se destrosse maintenant de sa venoison	de ses escuiers|Et cil destorse tout maintenant sa venison	e luego destroçaron el vn corço	si consiglia con l uno|e quelli iscioglie immantanente sua cacciagione	Et lors elle parle a conseil a ung des escuiers|⁊ celui se destrousse maintenant de sa uenoison
169|170|171	si la baille a son compaignon|por porter|si s en vet vers le chastel quanqu il puet traire del roncin	et le baille a porter a son compaignon|& sen vait vers le castel quanque il pot del ronchi traire	e pusieronlo enel Palafren|e ymbiaronlo al castillo conel vn escudero|e pusieron ala donçella enel otro|e fueronse contrael castillo|quanto podian	e la dona a suo compagnone per portarnela|si se ne va inverso il castello quanto|che può trarre del ronzino	⁊ la baille a porter a son cõpaignon|⁊ sen ua uers le chasteau tant quil peut courir atout son roussin
172	Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis	Et bohors demande a la damoisele comment li castiaus auoit non ou ses amis auoit este ochis	e boores pregunto ala donçella|como auia nombre el castillo	eE Boordo domanda alla damigella come il castello à nome ove suo amico avea stato morto|Sire	Et booit demande a la damoiselle comment le chasteau auoit nom ou son amp auoit este occp
